Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
MRO,2020-12,73.00M,742.00M,822.00M,500.00M,0,-0.4284,-0.43,0,36.00B,0,2020-12,76.00M,-338.00M,-79.00M,-79.00M,15.64B,357.00M,5.404B,-212.00M,966.00M,-341.00M,-3.00M,822.00M,57.00M,10.56B,17.96B,937.00M,1.612B,1.213B,7.395B,16.34B,6.182B,212.00M,966.00M,747.00M
MRO,2020-09,57.00M,1.119B,866.00M,600.00M,0,-0.4,-0.4,0,35.81B,-105.00M,2020-09,77.00M,-317.00M,-62.00M,-62.00M,16.03B,382.00M,5.405B,-234.00M,847.00M,-310.00M,7.00M,761.00M,53.00M,10.89B,18.66B,937.00M,1.922B,1.566B,7.771B,16.74B,6.205B,129.00M,847.00M,643.00M
MRO,2020-06,37.00M,522.00M,831.00M,600.00M,0,-0.95,-0.95,0,35.64B,-341.00M,2020-06,77.00M,-750.00M,-69.00M,-69.00M,16.42B,388.00M,5.503B,-485.00M,849.00M,-765.00M,-15.00M,490.00M,88.00M,11.18B,18.57B,937.00M,1.405B,1.065B,7.392B,17.16B,6.327B,144.00M,849.00M,620.00M
MRO,2020-03,83.00M,817.00M,948.00M,0,0,-0.06,-0.06,0,35.54B,76.00M,2020-03,78.00M,-46.00M,-64.00M,-64.00M,16.90B,405.00M,5.502B,-94.00M,1.244B,-49.00M,-3.00M,1.024B,76.00M,11.96B,19.72B,937.00M,1.909B,1.442B,7.757B,17.81B,6.315B,170.00M,1.244B,703.00M
MRO,2019-12,105.00M,858.00M,928.00M,0,0,-0.0251,-0.03,95.00M,35.00B,305.00M,2019-12,72.00M,-20.00M,-78.00M,-78.00M,17.00B,420.00M,5.501B,91.00M,1.537B,-3.00M,17.00M,1.233B,93.00M,12.15B,20.24B,937.00M,2.135B,1.745B,8.092B,18.11B,6.347B,214.00M,1.537B,1.122B
MRO,2019-09,112.00M,1.165B,923.00M,0,0,0.21,0.21,95.00M,34.08B,326.00M,2019-09,71.00M,165.00M,-64.00M,-64.00M,16.72B,448.00M,4.903B,141.00M,1.552B,175.00M,10.00M,1.249B,82.00M,12.27B,20.37B,937.00M,2.52B,2.379B,8.102B,17.85B,5.723B,185.00M,1.552B,1.148B
MRO,2019-06,50.00M,961.00M,968.00M,0,0,0.2,0.2,95.00M,33.99B,413.00M,2019-06,72.00M,161.00M,-64.00M,-64.00M,16.73B,476.00M,4.902B,221.00M,1.566B,193.00M,32.00M,1.381B,87.00M,12.10B,21.28B,937.00M,2.688B,2.471B,9.181B,18.59B,6.71B,192.00M,1.566B,1.144B
MRO,2019-03,59.00M,1.019B,895.00M,0,0,0.21,0.21,97.00M,34.38B,305.00M,2019-03,83.00M,174.00M,-49.00M,-49.00M,16.71B,509.00M,5.501B,80.00M,1.535B,27.00M,-147.00M,1.20B,94.00M,12.21B,21.41B,937.00M,2.776B,1.858B,9.202B,18.63B,7.344B,225.00M,1.535B,1.086B
MRO,2018-12,63.00M,1.462B,985.00M,0,0,0.4762,0.47,97.00M,38.63B,395.00M,2018-12,96.00M,390.00M,-80.00M,-80.00M,16.80B,478.00M,5.499B,107.00M,1.655B,406.00M,16.00M,1.38B,88.00M,12.13B,21.32B,937.00M,2.921B,1.832B,9.193B,18.40B,7.361B,288.00M,1.655B,1.079B
MRO,2018-09,-21.00M,1.564B,993.00M,0,0,0.3,0.3,97.00M,39.26B,545.00M,2018-09,110.00M,254.00M,-58.00M,-58.00M,16.90B,555.00M,5.498B,302.00M,1.734B,357.00M,103.00M,1.538B,101.00M,12.04B,21.78B,937.00M,3.065B,2.142B,9.734B,18.71B,7.592B,243.00M,1.734B,1.335B
