Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Income (Quarterly),Net Income,Net Loan Assets,Net PP&E,Non-Current Portion of LTD and Capital Lease Obligation,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
MS,2021-03,-1.962B,216.04B,14.14B,2.22,2.19,16.62B,0,2021-03,4.12B,150.60B,0,227.27B,227.44B,5.344B,1.176B,14.81B,7.677B,101.78B,1.116T,9.27B,430.01B,292.17B,1.013T,683.85B,687.21B,7.677B,227.44B,97.74B
MS,2020-12,-537.00M,179.31B,13.69B,1.84,1.81,9.228B,0,2020-12,3.385B,146.24B,0,212.23B,192.30B,4.43B,1.018B,12.41B,6.308B,88.39B,955.94B,8.54B,340.13B,247.37B,866.12B,599.54B,587.88B,6.308B,192.30B,72.54B
MS,2020-09,1.00M,191.85B,10.48B,1.68,1.66,9.287B,0,2020-09,2.717B,141.97B,0,215.98B,198.97B,3.487B,736.00M,10.96B,5.78B,86.64B,975.36B,8.54B,350.76B,260.30B,887.35B,603.35B,594.18B,5.78B,198.97B,62.29B
MS,2020-06,2.095B,200.38B,9.515B,1.98,1.96,9.146B,0,2020-06,3.196B,148.70B,0,206.67B,198.07B,4.355B,1.119B,12.70B,6.687B,85.86B,947.80B,8.54B,379.60B,253.40B,860.57B,564.76B,574.64B,6.687B,198.07B,74.42B
MS,2020-03,-2.788B,144.39B,9.67B,1.02,1.01,9.25B,0,2020-03,1.698B,130.64B,0,205.06B,197.83B,2.146B,366.00M,8.747B,4.978B,81.55B,895.43B,8.54B,288.26B,261.70B,812.73B,562.84B,521.37B,4.978B,197.83B,55.65B
MS,2019-12,-1.598B,113.63B,5.773B,1.33,1.3,9.35B,0,2019-12,2.239B,125.52B,0,204.42B,202.92B,2.733B,428.00M,10.22B,5.995B,82.38B,902.60B,8.54B,266.51B,268.15B,819.05B,537.67B,520.59B,5.995B,202.92B,59.51B
MS,2019-09,-2.051B,112.18B,6.824B,1.28,1.27,9.434B,0,2019-09,2.173B,120.90B,0,208.18B,192.10B,2.71B,492.00M,9.395B,5.141B,81.72B,891.96B,8.54B,250.96B,261.22B,809.11B,540.02B,516.42B,5.141B,192.10B,53.38B
MS,2019-06,-2.473B,111.61B,6.752B,1.24,1.23,8.77B,0,2019-06,2.201B,116.20B,0,200.32B,193.09B,2.903B,657.00M,9.614B,5.231B,80.72B,875.96B,8.54B,260.85B,247.79B,794.07B,507.15B,515.56B,5.231B,193.09B,52.67B
MS,2019-03,-2.292B,112.90B,3.581B,1.41,1.39,8.851B,0,2019-03,2.429B,115.58B,0,203.44B,179.56B,2.955B,487.00M,9.693B,5.324B,80.25B,853.53B,8.54B,264.72B,232.90B,772.12B,498.20B,509.46B,5.324B,179.56B,53.30B
MS,2018-12,-3.999B,116.51B,8.78B,0.81,0.8,8.92B,0,2018-12,1.531B,109.98B,0,199.93B,191.03B,1.857B,300.00M,7.95B,4.536B,78.70B,865.52B,8.54B,246.44B,260.13B,785.44B,500.62B,495.72B,4.536B,191.03B,60.84B
MS,2018-09,-3.07B,105.59B,10.77B,1.19,1.17,9.024B,0,2018-09,2.112B,112.11B,0,199.03B,201.74B,2.851B,696.00M,9.313B,4.975B,79.11B,875.88B,8.54B,261.23B,263.16B,795.37B,485.40B,502.82B,4.975B,201.74B,61.71B
MS,2018-06,-3.406B,108.80B,9.415B,1.32,1.3,9.133B,0,2018-06,2.437B,109.14B,0,203.00B,194.92B,3.109B,640.00M,10.00B,5.296B,78.03B,858.50B,8.54B,255.88B,255.91B,779.01B,488.24B,494.56B,5.296B,194.92B,66.84B
MS,2018-03,-3.06B,101.37B,10.20B,1.48,1.45,9.045B,0,2018-03,2.668B,104.13B,0,200.24B,191.51B,3.42B,714.00M,10.45B,5.532B,77.39B,851.73B,8.54B,241.81B,258.14B,773.27B,506.88B,483.83B,5.532B,191.51B,56.19B
MS,2017-12,-2.544B,103.14B,3.436B,0.29,0.29,9.081B,0,2017-12,643.00M,104.43B,0,210.11B,198.79B,2.471B,1.81B,8.963B,4.94B,78.98B,853.69B,8.54B,247.64B,256.21B,773.58B,528.12B,484.59B,4.94B,198.79B,54.39B
MS,2017-09,-2.488B,95.15B,5.912B,0.95,0.93,9.158B,0,2017-09,1.781B,97.64B,0,202.10B,197.06B,2.482B,697.00M,8.675B,4.756B,78.83B,841.02B,8.54B,247.47B,253.66B,761.05B,517.31B,453.36B,4.756B,197.06B,54.92B
MS,2017-06,-2.45B,104.02B,2.589B,0.89,0.87,9.232B,0,2017-06,1.757B,95.95B,0,189.89B,189.54B,2.642B,846.00M,8.978B,4.84B,77.92B,832.39B,8.54B,257.19B,248.66B,753.31B,524.57B,451.74B,4.84B,189.54B,48.34B
MS,2017-03,-2.643B,106.55B,2.37B,1.02,1,9.298B,0,2017-03,1.93B,94.25B,0,180.34B,190.51B,2.808B,815.00M,9.236B,5.03B,76.05B,814.95B,7.54B,254.97B,247.51B,737.77B,463.94B,458.24B,5.03B,190.51B,46.46B
MS,2016-12,-1.07B,108.28B,2.206B,0.84,0.81,9.331B,0,2016-12,1.666B,92.51B,0,178.79B,194.01B,2.246B,566.00M,8.541B,4.712B,77.15B,813.89B,7.54B,250.27B,243.15B,735.43B,503.07B,439.38B,4.712B,194.01B,51.41B
MS,2016-09,-905.00M,123.86B,2.324B,0.83,0.81,9.414B,0,2016-09,1.597B,93.16B,0,177.70B,201.19B,2.381B,749.00M,8.418B,4.683B,77.12B,828.87B,7.54B,274.28B,253.84B,750.50B,491.04B,446.27B,4.683B,201.19B,52.83B
MS,2016-06,-1.238B,121.80B,2.482B,0.76,0.75,9.495B,0,2016-06,1.582B,88.80B,0,176.92B,194.00B,2.483B,833.00M,8.425B,4.598B,76.01B,807.50B,7.54B,265.34B,237.79B,730.32B,469.91B,443.71B,4.598B,194.00B,44.76B
MS,2016-03,-1.656B,120.84B,3.608B,0.56,0.55,9.568B,13.16B,2016-03,1.134B,85.76B,6.259B,166.45B,186.63B,1.738B,578.00M,7.327B,4.259B,75.18B,787.46B,7.54B,253.91B,226.93B,711.28B,457.90B,426.57B,4.259B,186.63B,45.41B
MS,2015-12,-1.419B,150.05B,3.715B,0.4,0.39,9.656B,12.84B,2015-12,908.00M,78.21B,6.182B,175.26B,193.78B,1.439B,496.00M,7.281B,4.311B,75.29B,834.11B,7.54B,327.33B,256.06B,757.69B,418.27B,441.19B,4.311B,193.78B,50.07B
MS,2015-09,-1.447B,143.54B,5.012B,0.49,0.48,9.745B,12.55B,2015-09,1.018B,75.89B,6.141B,173.47B,181.49B,1.474B,423.00M,7.344B,4.042B,75.04B,825.76B,7.54B,307.42B,252.12B,749.69B,436.84B,431.89B,4.042B,181.49B,57.12B
MS,2015-06,-1.266B,148.26B,4.915B,0.87,0.85,9.661B,12.33B,2015-06,1.807B,68.70B,6.108B,170.95B,190.18B,2.727B,894.00M,9.256B,5.022B,74.16B,829.10B,7.54B,296.23B,256.58B,753.63B,448.72B,426.30B,5.022B,190.18B,56.73B
MS,2015-03,-1.248B,156.61B,3.656B,1.2,1.18,9.747B,11.77B,2015-03,2.394B,66.58B,5.642B,169.26B,181.07B,2.855B,387.00M,9.444B,5.089B,70.90B,801.51B,6.04B,288.86B,254.67B,729.41B,443.47B,404.04B,5.089B,181.07B,48.96B
MS,2014-12,-1.115B,164.28B,10.82B,0.48,0.47,9.643B,12.32B,2014-12,-1.63B,58.21B,5.911B,161.47B,181.90B,-2.931B,-1.353B,7.296B,5.694B,72.92B,814.51B,6.04B,318.11B,276.42B,740.50B,417.82B,398.35B,5.694B,181.90B,54.84B
MS,2014-09,-733.00M,150.90B,11.94B,0.85,0.83,9.737B,12.03B,2014-09,1.693B,55.26B,5.778B,158.46B,178.88B,2.22B,463.00M,8.47B,4.77B,70.76B,826.57B,5.04B,314.41B,302.24B,754.37B,428.24B,380.58B,4.77B,178.88B,54.56B
MS,2014-06,-968.00M,157.29B,11.18B,0.94,0.92,9.811B,12.44B,2014-06,1.899B,46.30B,6.019B,163.99B,176.00B,1.932B,15.00M,8.15B,4.776B,67.07B,831.38B,3.24B,325.37B,301.36B,761.11B,413.21B,385.37B,4.776B,176.00B,60.51B
MS,2014-03,-1.093B,151.86B,6.375B,0.75,0.74,9.881B,12.21B,2014-03,1.505B,42.87B,6.008B,169.72B,157.12B,2.37B,785.00M,8.553B,4.877B,65.92B,832.70B,3.24B,327.09B,309.18B,763.67B,425.28B,380.22B,4.877B,157.12B,57.10B
MS,2013-12,-1.014B,142.04B,2.333B,0.07,0.07,10.10B,0,2013-12,84.00M,37.73B,0,172.33B,152.09B,-202.00M,-386.00M,7.434B,4.629B,65.13B,832.22B,2.39B,333.74B,416.47B,763.98B,406.18B,277.14B,4.629B,152.09B,57.71B
MS,2013-09,-1.169B,125.42B,2.366B,0.46,0.45,10.20B,11.95B,2013-09,906.00M,34.57B,5.966B,174.77B,145.56B,1.365B,363.00M,7.54B,4.521B,63.18B,802.69B,1.528B,332.39B,409.59B,736.58B,384.05B,256.28B,4.521B,145.56B,64.47B
MS,2013-06,-694.00M,115.67B,2.475B,0.42,0.41,10.33B,11.47B,2013-06,980.00M,30.62B,5.928B,181.44B,137.13B,1.796B,574.00M,8.059B,4.736B,62.70B,801.38B,1.528B,318.36B,391.34B,735.31B,388.76B,266.48B,4.736B,137.13B,62.27B
MS,2013-03,-516.00M,117.22B,2.779B,0.49,0.48,10.43B,11.43B,2013-03,962.00M,29.05B,5.946B,189.06B,127.72B,1.583B,333.00M,7.722B,4.796B,62.11B,780.96B,1.528B,315.92B,253.18B,715.53B,378.59B,391.70B,4.796B,127.72B,64.29B
