Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
MSCI,2020-12,-58.86M,1.301B,75.94M,0,675.87M,1.89,1.87,1.801B,414.92M,367.73M,2020-12,156.22M,-37.03M,-37.03M,233.78M,12.77M,3.519B,234.08M,184.34M,195.17M,38.95M,27.06M,443.66M,84.53M,-443.23M,4.199B,1.328M,1.926B,1.022B,4.642B,2.273B,3.620B,133.64M,40.45M,558.57M
MSCI,2020-09,-65.30M,1.303B,70.70M,0,531.49M,2.18,2.16,1.803B,412.37M,354.63M,2020-09,182.36M,-37.06M,-37.06M,232.69M,63.84M,3.519B,227.62M,175.76M,189.04M,6.685M,24.90M,425.33M,80.28M,-386.59M,4.112B,1.328M,1.843B,834.85M,4.498B,2.269B,3.663B,127.01M,26.76M,429.80M
MSCI,2020-06,-71.07M,1.385B,70.46M,0,587.11M,1.38,1.36,1.806B,423.31M,339.16M,2020-06,115.12M,-40.46M,-40.46M,241.67M,54.58M,3.521B,215.18M,167.37M,139.17M,24.04M,22.53M,409.62M,79.93M,-310.93M,4.187B,1.328M,1.910B,845.00M,4.498B,2.278B,3.653B,123.98M,37.90M,466.10M
MSCI,2020-03,-72.20M,1.067B,74.61M,0,574.47M,1.75,1.73,1.813B,424.22M,342.17M,2020-03,148.12M,-36.75M,-36.75M,249.98M,58.39M,3.332B,207.88M,161.15M,162.85M,14.72M,26.56M,416.78M,86.38M,-354.33M,3.912B,1.328M,1.620B,798.28M,4.266B,2.292B,3.468B,134.29M,22.35M,481.99M
MSCI,2019-12,-62.58M,1.507B,70.15M,0,574.66M,1.45,1.44,1.824B,425.68M,336.45M,2019-12,122.78M,-34.99M,-34.99M,257.11M,66.64M,3.236B,199.43M,159.86M,146.53M,23.75M,27.10M,406.61M,89.14M,-76.71M,4.204B,1.324M,2.082B,900.79M,4.281B,2.123B,3.380B,137.02M,20.71M,499.27M
MSCI,2019-09,-62.10M,881.15M,70.49M,0,479.37M,1.62,1.6,1.806B,411.43M,323.76M,2019-09,136.98M,-32.25M,-32.25M,251.36M,72.96M,2.742B,201.22M,142.51M,168.75M,31.76M,24.31M,394.25M,78.67M,-147.86M,3.480B,1.323M,1.386B,744.52M,3.628B,2.094B,2.883B,122.55M,14.05M,409.52M
MSCI,2019-06,-57.76M,771.12M,71.98M,0,528.92M,1.48,1.47,1.814B,450.29M,313.58M,2019-06,125.69M,-32.57M,-32.57M,253.81M,77.84M,2.744B,192.38M,147.60M,159.74M,34.06M,23.75M,385.56M,78.04M,-231.80M,3.425B,1.323M,1.323B,766.96M,3.657B,2.102B,2.890B,121.20M,14.20M,438.31M
MSCI,2019-03,-57.20M,642.78M,82.35M,0,524.99M,2.11,2.08,1.822B,446.26M,289.04M,2019-03,178.19M,-31.83M,-31.83M,256.66M,79.60M,2.745B,162.68M,139.93M,128.29M,-49.90M,23.17M,371.38M,83.54M,-316.51M,3.296B,1.323M,1.178B,720.80M,3.612B,2.118B,2.891B,126.36M,12.52M,427.10M
MSCI,2018-12,-58.40M,904.18M,73.76M,0,537.98M,1.75,1.7,1.827B,276.38M,287.93M,2018-12,152.13M,-29.80M,-29.80M,90.88M,82.01M,2.576B,169.82M,133.99M,187.29M,35.16M,20.31M,361.69M,77.86M,-166.49M,3.388B,1.30M,1.435B,809.01M,3.554B,1.953B,2.745B,118.11M,20.14M,473.43M
MSCI,2018-09,-58.21M,1.398B,70.91M,0,441.88M,1.39,1.36,1.834B,261.36M,287.03M,2018-09,123.83M,-29.38M,-29.38M,82.74M,70.63M,2.575B,176.40M,118.11M,146.85M,23.01M,20.59M,357.93M,70.90M,378.44M,3.806B,1.30M,1.857B,675.05M,3.428B,1.949B,2.753B,110.62M,11.78M,378.70M
