Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
MSFT,2020-12,3.367B,131.97B,14.19B,5.387B,30.40B,2.05,2.03,50.77B,109.75B,28.88B,2020-12,1.924B,15.46B,-26.00M,-26.00M,62.04B,3.159B,64.01B,17.90B,14.33B,18.34B,2.874B,4.899B,43.08B,6.086B,130.24B,304.14B,81.90B,173.97B,67.49B,173.90B,130.16B,106.42B,10.98B,14.33B,27.31B
MSFT,2020-09,3.11B,137.98B,11.00B,6.497B,33.48B,1.84,1.82,50.81B,102.39B,26.15B,2020-09,2.705B,13.89B,-589.00M,-589.00M,56.97B,3.016B,64.81B,15.88B,14.89B,16.12B,2.231B,4.926B,37.15B,5.35B,123.39B,301.00B,81.09B,177.08B,70.06B,177.61B,123.92B,107.55B,10.28B,14.89B,22.85B
MSFT,2020-06,3.186B,136.53B,12.34B,3.749B,36.00B,1.48,1.46,50.39B,96.10B,25.69B,2020-06,1.895B,11.20B,-686.00M,-686.00M,52.90B,3.384B,67.25B,13.41B,14.66B,13.42B,2.22B,5.214B,38.03B,7.073B,118.30B,301.31B,80.55B,181.92B,72.31B,183.01B,119.40B,110.70B,12.29B,14.66B,32.01B
MSFT,2020-03,2.676B,137.63B,10.98B,3.748B,27.01B,1.41,1.4,48.92B,91.18B,24.05B,2020-03,1.644B,10.75B,-614.00M,-614.00M,49.67B,3.57B,70.11B,12.98B,12.54B,12.84B,2.091B,4.887B,35.02B,6.184B,114.50B,285.45B,79.81B,170.50B,58.71B,170.95B,114.94B,112.24B,11.07B,12.54B,22.70B
MSFT,2019-12,-255.00M,134.25B,12.36B,6.247B,27.34B,1.53,1.51,49.37B,88.56B,24.55B,2019-12,1.823B,11.65B,34.00M,34.00M,48.96B,4.10B,70.53B,13.89B,11.50B,14.08B,2.436B,4.603B,36.91B,6.054B,110.11B,282.79B,79.62B,167.07B,59.64B,172.68B,115.72B,113.04B,10.66B,11.50B,23.52B
MSFT,2019-09,-61.00M,136.64B,10.41B,3.017B,29.90B,1.4,1.38,49.62B,83.27B,22.65B,2019-09,2.622B,10.68B,-637.00M,-637.00M,46.30B,4.356B,73.14B,12.69B,12.01B,12.69B,2.008B,4.565B,33.06B,5.398B,106.06B,278.96B,78.88B,165.90B,58.12B,172.89B,113.06B,114.78B,9.963B,12.01B,19.09B
MSFT,2019-06,-340.00M,133.82B,10.41B,5.516B,32.68B,1.72,1.71,49.78B,79.19B,23.30B,2019-06,2.063B,13.19B,-669.00M,-669.00M,43.86B,4.763B,72.85B,12.40B,15.05B,12.60B,-591.00M,4.513B,33.72B,6.387B,102.33B,286.56B,78.52B,175.55B,69.42B,184.23B,111.00B,114.81B,10.90B,15.05B,29.52B
MSFT,2019-03,-1.265B,131.62B,10.17B,6.515B,24.25B,1.15,1.14,49.96B,76.20B,20.40B,2019-03,1.951B,8.809B,-671.00M,-671.00M,40.77B,5.722B,72.56B,10.34B,9.494B,10.49B,1.677B,4.316B,30.57B,5.744B,94.86B,263.28B,77.79B,159.89B,53.86B,168.42B,103.39B,114.56B,10.06B,9.494B,19.27B
MSFT,2018-12,-2.013B,127.66B,12.42B,3.516B,24.28B,1.09,1.08,50.06B,72.60B,20.05B,2018-12,1.961B,8.42B,-672.00M,-672.00M,39.52B,5.861B,75.34B,10.26B,9.596B,10.38B,1.965B,4.07B,32.47B,5.72B,92.13B,258.86B,77.56B,156.87B,50.32B,166.73B,101.98B,116.41B,9.79B,9.596B,19.68B
MSFT,2018-09,-2.615B,135.88B,9.905B,6.497B,26.70B,1.15,1.14,43.43B,69.12B,19.18B,2018-09,3.614B,8.824B,-674.00M,-674.00M,38.16B,5.515B,75.38B,9.955B,10.85B,10.22B,1.397B,3.977B,29.08B,5.247B,85.97B,257.62B,71.30B,164.20B,56.28B,171.65B,93.42B,115.38B,9.224B,10.85B,17.39B
