Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
MSI,2020-12,-2.446B,1.254B,1.127B,138.00M,1.554B,2.43,2.37,3.453B,3.189B,1.146B,2020-12,508.00M,412.00M,-53.00M,-53.00M,1.49B,463.00M,5.565B,566.00M,1.506B,522.00M,109.00M,181.00M,2.273B,342.00M,-558.00M,10.88B,2.00M,4.327B,3.489B,11.42B,6.549B,7.928B,580.00M,1.043B,2.398B
MSI,2020-09,-2.433B,1.007B,959.00M,335.00M,1.359B,1.21,1.18,3.475B,3.062B,909.00M,2020-09,489.00M,205.00M,-58.00M,-58.00M,1.448B,445.00M,5.563B,367.00M,1.352B,251.00M,45.00M,175.00M,1.868B,313.00M,-756.00M,10.36B,2.00M,3.971B,3.312B,11.10B,6.39B,7.789B,542.00M,847.00M,2.314B
MSI,2020-06,-2.475B,1.341B,852.00M,640.00M,1.294B,0.79,0.78,3.365B,2.971B,766.00M,2020-06,449.00M,135.00M,-58.00M,-58.00M,1.427B,438.00M,5.496B,257.00M,1.353B,176.00M,40.00M,161.00M,1.618B,297.00M,-830.00M,10.37B,2.00M,4.086B,3.48B,11.19B,6.288B,7.709B,509.00M,819.00M,2.141B
MSI,2020-03,-2.566B,1.672B,868.00M,933.00M,1.278B,1.15,1.12,3.317B,2.903B,787.00M,2020-03,442.00M,197.00M,-52.00M,-52.00M,1.453B,435.00M,5.569B,225.00M,1.307B,224.00M,26.00M,168.00M,1.655B,341.00M,-948.00M,10.72B,2.00M,4.481B,3.879B,11.65B,6.235B,7.767B,562.00M,832.00M,2.08B
MSI,2019-12,-2.44B,1.001B,1.156B,138.00M,1.449B,1.43,1.39,3.394B,3.03B,1.22B,2019-12,447.00M,243.00M,-55.00M,-55.00M,1.546B,458.00M,5.61B,616.00M,1.505B,193.00M,-50.00M,182.00M,2.376B,368.00M,-700.00M,10.64B,2.00M,4.178B,3.439B,11.32B,6.464B,7.886B,604.00M,984.00M,2.559B
MSI,2019-09,-2.759B,1.138B,987.00M,735.00M,1.223B,1.6,1.51,3.337B,2.941B,1.007B,2019-09,460.00M,267.00M,-54.00M,-54.00M,1.524B,425.00M,5.611B,424.00M,1.385B,348.00M,80.00M,172.00M,1.994B,359.00M,-1.101B,10.37B,2.00M,4.154B,3.656B,11.46B,6.219B,7.801B,583.00M,897.00M,2.355B
MSI,2019-06,-2.737B,953.00M,929.00M,146.00M,1.187B,1.25,1.18,3.184B,2.892B,931.00M,2019-06,424.00M,207.00M,-56.00M,-56.00M,1.507B,443.00M,5.819B,358.00M,1.319B,275.00M,67.00M,170.00M,1.86B,351.00M,-970.00M,9.974B,2.00M,3.831B,2.876B,10.93B,6.143B,8.052B,573.00M,875.00M,2.262B
MSI,2019-03,-2.724B,886.00M,884.00M,144.00M,1.158B,0.92,0.86,3.276B,2.878B,773.00M,2019-03,425.00M,151.00M,-55.00M,-55.00M,1.53B,461.00M,5.84B,234.00M,1.341B,185.00M,33.00M,162.00M,1.657B,327.00M,-1.108B,9.993B,2.00M,3.714B,2.979B,11.08B,6.279B,8.104B,539.00M,907.00M,2.201B
MSI,2018-12,-2.765B,1.257B,1.166B,31.00M,1.263B,2.58,2.44,2.744B,2.258B,1.088B,2018-12,356.00M,422.00M,-59.00M,-59.00M,895.00M,415.00M,5.289B,539.00M,1.478B,465.00M,42.00M,165.00M,2.254B,336.00M,-1.293B,9.409B,2.00M,4.272B,3.096B,10.68B,5.137B,7.589B,549.00M,981.00M,2.473B
MSI,2018-09,-2.571B,839.00M,961.00M,337.00M,1.211B,1.52,1.43,2.838B,2.59B,901.00M,2018-09,367.00M,247.00M,-59.00M,-59.00M,892.00M,393.00M,5.095B,317.00M,1.292B,270.00M,22.00M,158.00M,1.862B,323.00M,-1.411B,8.963B,2.00M,3.664B,3.088B,10.36B,5.299B,7.27B,584.00M,833.00M,2.272B
MSI,2018-06,-2.58B,878.00M,938.00M,347.00M,1.132B,1.11,1.05,2.868B,2.555B,822.00M,2018-06,391.00M,180.00M,-58.00M,-58.00M,895.00M,420.00M,5.298B,291.00M,1.247B,227.00M,46.00M,162.00M,1.76B,316.00M,-1.507B,8.881B,2.00M,3.581B,2.922B,10.37B,5.30B,7.451B,531.00M,769.00M,2.069B
MSI,2018-03,-2.508B,795.00M,799.00M,492.00M,1.157B,0.73,0.69,2.971B,2.546B,669.00M,2018-03,441.00M,117.00M,-46.00M,-46.00M,900.00M,415.00M,5.304B,197.00M,1.234B,140.00M,23.00M,152.00M,1.468B,279.00M,-1.554B,9.051B,2.00M,3.621B,3.096B,10.59B,5.43B,7.494B,472.00M,752.00M,2.136B
