Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
MTD,2020-12,-334.92M,94.25M,378.94M,50.32M,149.11M,9.15,9.03,747.06M,1.421B,559.04M,2020-12,297.61M,216.30M,-9.505M,-9.505M,798.87M,34.45M,1.284B,278.15M,461.65M,269.18M,52.88M,39.87M,937.98M,226.37M,282.68M,2.815B,0.448M,1.057B,840.33M,2.532B,1.758B,1.692B,280.89M,264.82M,593.81M
MTD,2020-09,-327.27M,153.69M,337.75M,55.11M,150.48M,6.76,6.68,740.87M,1.313B,469.61M,2020-09,292.33M,161.77M,-9.31M,-9.31M,758.01M,41.98M,1.169B,215.86M,417.65M,205.81M,44.04M,34.66M,807.36M,204.97M,443.07M,2.767B,0.448M,1.046B,764.08M,2.323B,1.720B,1.559B,253.75M,237.51M,521.78M
MTD,2020-06,-345.60M,127.28M,292.70M,53.58M,150.74M,5.29,5.22,739.76M,1.233B,397.97M,2020-06,299.75M,126.56M,-9.582M,-9.582M,743.39M,44.93M,1.147B,162.75M,389.02M,155.26M,28.69M,31.19M,690.67M,190.13M,450.09M,2.680B,0.448M,989.81M,702.83M,2.230B,1.690B,1.527B,235.22M,226.67M,490.43M
MTD,2020-03,-347.70M,323.58M,274.75M,56.40M,144.84M,4.08,4.03,742.59M,0,374.41M,2020-03,292.11M,98.12M,-10.22M,-10.22M,742.65M,44.90M,1.513B,127.28M,381.08M,118.50M,20.38M,34.39M,649.16M,198.74M,306.40M,2.886B,0.448M,1.201B,679.84M,2.579B,1.685B,1.900B,247.13M,223.00M,518.56M
MTD,2019-12,-323.67M,207.78M,345.67M,55.87M,122.49M,7.95,7.84,742.22M,0,498.30M,2019-12,274.28M,192.75M,-9.635M,-9.635M,748.66M,45.27M,1.235B,243.47M,420.75M,231.14M,38.39M,35.30M,843.97M,206.72M,420.78M,2.789B,0.448M,1.110B,754.51M,2.369B,1.680B,1.614B,254.83M,254.64M,566.26M
MTD,2019-09,-314.99M,120.53M,318.81M,48.58M,126.92M,5.28,5.2,740.60M,0,435.06M,2019-09,280.98M,129.40M,-9.80M,-9.80M,722.59M,39.95M,1.124B,183.89M,396.45M,169.36M,39.96M,36.02M,753.87M,202.83M,438.30M,2.636B,0.448M,963.81M,719.26M,2.198B,1.672B,1.478B,251.17M,238.44M,503.25M
MTD,2019-06,-301.43M,124.44M,311.83M,51.92M,128.70M,5.15,5.06,745.77M,0,419.54M,2019-06,286.35M,127.16M,-8.882M,-8.882M,728.01M,40.28M,1.088B,165.42M,397.43M,155.22M,28.06M,36.58M,731.37M,205.22M,504.09M,2.661B,0.448M,981.45M,707.25M,2.157B,1.679B,1.450B,254.12M,234.65M,498.72M
MTD,2019-03,-289.75M,126.48M,291.13M,53.80M,128.96M,4.5,4.42,749.49M,0,388.32M,2019-03,282.09M,111.80M,-9.094M,-9.094M,722.93M,39.65M,1.008B,135.62M,412.79M,125.68M,13.87M,36.05M,679.45M,204.42M,561.75M,2.637B,0.448M,969.38M,707.96M,2.075B,1.667B,1.367B,252.70M,251.35M,489.28M
MTD,2018-12,-302.41M,178.11M,340.36M,49.67M,105.38M,7.25,7.11,752.09M,0,477.57M,2018-12,268.82M,181.19M,-8.84M,-8.84M,717.53M,48.82M,985.02M,227.74M,426.87M,230.45M,49.27M,36.20M,817.92M,201.65M,590.06M,2.619B,0.448M,1.046B,734.43M,2.029B,1.573B,1.294B,249.82M,270.42M,535.53M
MTD,2018-09,-283.53M,137.45M,315.59M,55.75M,123.53M,5.04,4.93,758.77M,0,419.25M,2018-09,277.27M,126.65M,-9.003M,-9.003M,697.69M,50.22M,988.89M,170.11M,375.69M,160.36M,33.71M,34.84M,734.85M,202.45M,531.62M,2.558B,0.448M,971.50M,697.47M,2.026B,1.586B,1.329B,249.14M,246.93M,494.89M
MTD,2018-06,-265.72M,183.19M,309.37M,52.05M,126.84M,4.41,4.31,756.26M,1.177B,412.62M,2018-06,270.05M,111.47M,-8.309M,-8.309M,678.71M,46.14M,1.020B,157.32M,393.36M,143.60M,32.13M,35.32M,722.00M,208.02M,532.43M,2.558B,0.448M,1.003B,688.82M,2.026B,1.555B,1.337B,255.31M,247.47M,486.20M
MTD,2018-03,-236.52M,98.95M,285.89M,14.88M,130.70M,3.66,3.58,769.51M,1.023B,374.93M,2018-03,278.32M,93.30M,-8.359M,-8.359M,696.89M,46.69M,978.72M,127.81M,387.50M,117.44M,24.14M,34.71M,660.82M,200.67M,560.75M,2.512B,0.448M,927.37M,636.88M,1.951B,1.585B,1.314B,247.12M,227.66M,483.92M
MTD,2017-12,-265.41M,148.69M,322.26M,19.68M,107.17M,3.01,2.93,766.56M,0,455.78M,2017-12,255.39M,76.98M,-8.625M,-8.625M,668.27M,51.23M,960.17M,205.24M,392.67M,193.90M,116.92M,32.32M,778.03M,206.55M,547.28M,2.550B,0.448M,1.007B,689.67M,2.003B,1.543B,1.313B,250.53M,239.84M,528.62M
MTD,2017-09,-277.64M,169.09M,297.82M,18.53M,123.73M,4.1,3.99,768.39M,0,400.98M,2017-09,263.53M,104.95M,-8.248M,-8.248M,641.71M,31.09M,1.051B,151.02M,358.28M,139.63M,34.68M,32.20M,698.80M,207.03M,512.98M,2.497B,0.448M,986.56M,652.36M,1.984B,1.511B,1.332B,249.95M,220.60M,483.17M
MTD,2017-06,-298.39M,146.33M,278.04M,21.61M,126.19M,3.94,3.84,647.89M,0,375.61M,2017-06,253.73M,101.58M,-8.171M,-8.171M,600.90M,37.11M,947.78M,137.16M,322.31M,126.85M,25.27M,32.58M,653.66M,195.62M,461.92M,2.248B,0.448M,913.75M,588.81M,1.786B,1.334B,1.197B,238.46M,197.43M,448.10M
MTD,2017-03,-331.12M,164.89M,251.18M,19.48M,132.93M,3.57,3.48,644.13M,0,343.39M,2017-03,242.38M,92.47M,-7.741M,-7.741M,572.06M,56.85M,944.21M,116.49M,312.81M,113.85M,21.38M,31.20M,594.57M,185.66M,439.85M,2.204B,0.448M,912.86M,561.16M,1.764B,1.291B,1.203B,226.90M,184.14M,439.41M
MTD,2016-12,-355.00M,158.67M,288.94M,18.97M,100.33M,5.27,5.17,643.43M,0,420.76M,2016-12,222.05M,137.78M,-7.407M,-7.407M,563.71M,64.31M,875.06M,180.53M,327.75M,181.28M,43.51M,29.38M,709.70M,200.96M,434.94M,2.167B,0.448M,896.78M,587.52M,1.732B,1.270B,1.144B,240.23M,194.58M,454.99M
MTD,2016-09,-266.40M,146.13M,281.10M,21.78M,136.26M,3.84,3.77,651.26M,0,369.49M,2016-09,239.98M,101.33M,-7.167M,-7.167M,527.48M,65.34M,826.02M,142.59M,327.24M,133.32M,31.99M,30.14M,650.60M,187.68M,500.52M,2.221B,0.448M,946.10M,620.85M,1.720B,1.275B,1.100B,226.91M,200.64M,414.61M
MTD,2016-06,-282.78M,114.65M,260.71M,20.94M,140.82M,2.99,2.93,558.28M,0,347.58M,2016-06,234.01M,79.59M,-6.872M,-6.872M,514.31M,78.03M,693.26M,120.42M,321.34M,103.17M,23.58M,30.70M,608.29M,187.80M,491.96M,2.062B,0.448M,900.26M,591.11M,1.570B,1.161B,978.68M,227.15M,201.07M,407.97M
MTD,2016-03,-259.82M,110.60M,239.77M,17.38M,125.62M,2.44,2.4,564.17M,0,299.91M,2016-03,227.32M,65.67M,-6.58M,-6.58M,521.50M,64.09M,681.87M,93.59M,311.63M,86.41M,20.74M,28.97M,539.67M,168.92M,543.33M,2.035B,0.448M,866.70M,544.79M,1.492B,1.169B,947.15M,206.32M,185.49M,387.30M
MTD,2015-12,-266.65M,98.89M,282.79M,14.49M,88.83M,4.51,4.41,561.54M,954.22M,390.75M,2015-12,214.38M,123.35M,-6.755M,-6.755M,517.23M,50.98M,575.14M,174.20M,318.48M,161.49M,38.14M,31.11M,673.54M,177.42M,580.46M,1.959B,0.448M,795.33M,558.21M,1.379B,1.164B,820.67M,216.55M,190.83M,411.42M
MTD,2015-09,-238.04M,123.30M,264.62M,21.06M,112.01M,3.23,3.16,562.70M,934.77M,339.53M,2015-09,225.54M,88.86M,-7.029M,-7.029M,513.57M,63.88M,601.73M,126.50M,339.50M,116.92M,28.06M,29.71M,604.15M,175.55M,586.35M,2.054B,0.448M,868.32M,593.42M,1.467B,1.185B,873.78M,213.02M,212.82M,390.54M
MTD,2015-06,-197.42M,149.31M,259.14M,23.35M,121.68M,2.79,2.73,552.14M,933.15M,322.91M,2015-06,223.28M,77.56M,-6.942M,-6.942M,522.20M,55.20M,605.14M,110.68M,329.80M,102.05M,24.49M,29.79M,582.06M,174.81M,654.25M,2.097B,0.448M,912.66M,579.54M,1.443B,1.184B,863.16M,212.24M,207.74M,402.40M
MTD,2015-03,-219.20M,75.36M,236.90M,114.69M,121.64M,2.24,2.19,548.18M,0,298.80M,2015-03,218.66M,63.05M,-6.725M,-6.725M,510.52M,60.64M,409.18M,89.78M,312.09M,82.96M,19.91M,28.46M,535.70M,173.04M,666.13M,1.976B,0.448M,814.85M,637.70M,1.310B,1.161B,671.83M,209.03M,188.75M,382.38M
MTD,2014-12,-212.95M,85.26M,303.05M,116.16M,100.90M,4.27,4.17,556.87M,0,394.38M,2014-12,204.53M,121.17M,-6.924M,-6.924M,511.46M,56.73M,335.79M,168.66M,325.72M,159.39M,38.21M,31.32M,697.43M,186.79M,719.60M,2.009B,0.448M,849.43M,678.89M,1.290B,1.160B,610.62M,225.72M,205.19M,435.65M
MTD,2014-09,-76.03M,126.31M,285.55M,120.02M,109.11M,2.96,2.89,560.75M,0,343.55M,2014-09,219.71M,85.00M,-5.991M,-5.991M,512.09M,64.75M,365.01M,119.50M,298.42M,111.84M,26.84M,30.35M,629.10M,186.50M,848.94M,2.107B,0.448M,872.91M,650.88M,1.259B,1.235B,607.63M,224.05M,178.77M,410.90M
MTD,2014-06,-35.57M,111.01M,280.66M,121.31M,113.98M,2.55,2.49,572.02M,0,328.18M,2014-06,224.45M,74.02M,-5.956M,-5.956M,521.88M,61.74M,345.36M,105.66M,300.13M,97.40M,23.38M,32.12M,608.83M,183.10M,907.71M,2.143B,0.448M,886.39M,640.38M,1.236B,1.257B,595.32M,222.51M,182.36M,427.50M
MTD,2014-03,-33.18M,115.80M,257.98M,16.26M,114.96M,1.98,1.93,569.86M,0,292.64M,2014-03,224.42M,58.05M,-5.666M,-5.666M,517.69M,63.12M,449.58M,83.86M,288.42M,76.38M,18.33M,29.50M,550.62M,172.19M,923.60M,2.135B,0.448M,890.10M,509.20M,1.212B,1.245B,702.34M,208.78M,170.51M,425.16M
