Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
MU,2021-02,81.00M,7.184B,4.587B,323.00M,0,0.54,0.53,1.57B,65.30B,1.649B,2021-02,4.743B,603.00M,-32.00M,-32.00M,32.42B,661.00M,6.825B,663.00M,4.55B,635.00M,48.00M,641.00M,6.236B,214.00M,40.66B,54.14B,120.00M,17.28B,5.433B,13.47B,36.86B,8.039B,986.00M,3.657B,3.353B
MU,2020-11,110.00M,7.032B,4.037B,273.00M,0,0.72,0.71,1.564B,68.40B,1.736B,2020-11,5.521B,803.00M,-38.00M,-38.00M,32.81B,656.00M,6.885B,866.00M,4.856B,841.00M,51.00M,647.00M,5.773B,214.00M,39.91B,53.69B,120.00M,16.53B,5.688B,13.78B,37.16B,8.096B,870.00M,4.016B,3.691B
MU,2020-08,71.00M,8.142B,3.988B,270.00M,0,0.89,0.87,1.562B,65.92B,2.068B,2020-08,5.607B,988.00M,-37.00M,-37.00M,31.62B,643.00M,6.906B,1.204B,5.817B,1.125B,136.00M,630.00M,6.056B,231.00M,39.00B,53.68B,119.00M,17.96B,6.635B,14.68B,35.71B,8.047B,864.00M,4.802B,3.912B
MU,2020-05,-11.00M,8.658B,3.675B,330.00M,0,0.72,0.71,1.56B,63.87B,1.763B,2020-05,5.405B,803.00M,-28.00M,-28.00M,30.68B,553.00M,6.896B,892.00M,5.364B,870.00M,68.00M,649.00M,5.438B,216.00M,37.82B,52.00B,119.00M,17.90B,6.185B,14.18B,34.11B,8.00B,871.00M,4.333B,3.603B
MU,2020-02,-9.00M,7.481B,3.442B,237.00M,0,0.37,0.36,1.56B,62.15B,1.355B,2020-02,5.208B,405.00M,-12.00M,-12.00M,30.25B,586.00M,5.736B,440.00M,5.077B,427.00M,21.00M,681.00M,4.797B,223.00M,37.02B,49.65B,119.00M,15.98B,5.822B,12.62B,33.67B,6.803B,915.00M,4.32B,3.049B
MU,2019-11,6.00M,7.588B,3.778B,462.00M,0,0.44,0.43,1.561B,60.63B,1.366B,2019-11,4.943B,491.00M,-3.00M,-3.00M,29.96B,609.00M,5.699B,518.00M,5.408B,561.00M,55.00M,640.00M,5.144B,211.00M,36.50B,49.65B,119.00M,16.17B,6.317B,13.15B,33.48B,6.832B,848.00M,4.64B,3.419B
MU,2019-08,9.00M,7.955B,3.475B,1.31B,0,0.51,0.49,1.568B,57.82B,1.395B,2019-08,5.118B,561.00M,18.00M,18.00M,28.24B,636.00M,4.541B,571.00M,4.626B,655.00M,71.00M,623.00M,4.87B,212.00M,35.88B,48.89B,118.00M,16.50B,6.39B,12.12B,32.38B,5.727B,824.00M,3.768B,3.195B
MU,2019-05,8.00M,6.689B,2.96B,1.346B,0,0.76,0.74,1.567B,55.80B,1.828B,2019-05,4.905B,840.00M,23.00M,23.00M,27.14B,622.00M,3.564B,1.019B,3.494B,716.00M,-135.00M,606.00M,4.788B,206.00M,35.32B,46.29B,118.00M,15.07B,5.397B,10.10B,31.22B,4.701B,809.00M,2.75B,3.257B
MU,2019-02,6.00M,7.533B,2.971B,2.634B,0,1.45,1.42,1.578B,53.73B,2.864B,2019-02,4.39B,1.619B,31.00M,31.00M,26.20B,0,3.606B,2.008B,4.062B,1.904B,280.00M,601.00M,5.835B,209.00M,34.57B,47.49B,118.00M,16.55B,7.361B,12.06B,30.94B,4.696B,856.00M,3.388B,4.416B
MU,2018-11,-5.00M,5.563B,3.298B,398.00M,0,2.91,2.81,1.584B,51.20B,4.615B,2018-11,3.876B,3.293B,5.00M,5.00M,24.81B,0,3.736B,3.792B,4.20B,3.773B,477.00M,611.00M,7.913B,209.00M,33.87B,44.60B,117.00M,15.04B,5.189B,9.856B,29.56B,4.667B,823.00M,3.465B,5.418B
MU,2018-08,10.00M,6.802B,3.289B,859.00M,612.00M,3.73,3.56,1.559B,49.09B,5.151B,2018-08,3.595B,4.325B,-16.00M,-16.00M,23.67B,227.00M,3.78B,4.309B,4.374B,4.346B,20.00M,567.00M,8.44B,215.00M,32.29B,43.38B,117.00M,16.04B,5.754B,10.21B,27.34B,4.458B,842.00M,3.332B,5.478B
MU,2018-05,22.00M,7.071B,3.074B,1.454B,603.00M,3.3,3.1,1.562B,47.26B,4.723B,2018-05,3.369B,3.823B,-44.00M,-44.00M,22.70B,0,5.895B,3.953B,3.817B,3.716B,-109.00M,603.00M,7.797B,211.00M,28.65B,41.84B,117.00M,15.50B,5.883B,12.33B,26.35B,6.444B,770.00M,2.814B,4.912B
MU,2018-02,43.00M,8.042B,3.081B,1.514B,614.00M,2.86,2.67,1.576B,45.52B,4.27B,2018-02,3.184B,3.309B,-61.00M,-61.00M,21.86B,0,7.816B,3.574B,4.018B,3.453B,143.00M,523.00M,7.351B,196.00M,25.70B,41.26B,116.00M,15.84B,6.135B,14.70B,25.43B,8.562B,696.00M,3.196B,4.437B
MU,2017-11,24.00M,6.174B,3.056B,1.401B,605.00M,2.36,2.19,1.596B,43.60B,3.747B,2017-11,3.16B,2.678B,-101.00M,-101.00M,20.72B,0,7.662B,3.103B,3.568B,2.792B,114.00M,448.00M,6.803B,191.00M,22.53B,37.19B,116.00M,13.36B,5.583B,13.80B,23.83B,8.215B,644.00M,2.756B,3.876B
MU,2017-08,29.00M,5.428B,3.026B,1.262B,482.00M,2.13,1.99,1.615B,41.53B,3.112B,2017-08,3.123B,2.368B,-132.00M,-132.00M,19.43B,0,9.893B,2.498B,3.467B,2.321B,-47.00M,447.00M,6.138B,193.00M,18.62B,35.34B,112.00M,12.46B,5.334B,15.87B,22.88B,10.53B,614.00M,2.514B,3.759B
MU,2017-05,12.00M,4.33B,2.957B,1.161B,442.00M,1.49,1.4,1.633B,40.27B,2.609B,2017-05,3.064B,1.647B,-143.00M,-143.00M,19.01B,0,10.51B,1.963B,3.50B,1.737B,92.00M,434.00M,5.566B,204.00M,16.17B,33.27B,111.00M,11.02B,5.143B,16.25B,22.24B,11.10B,646.00M,2.694B,3.497B
MU,2017-02,-7.00M,3.898B,2.944B,1.117B,392.00M,0.81,0.77,1.615B,39.49B,1.704B,2017-02,3.00B,894.00M,-153.00M,-153.00M,19.10B,0,11.34B,1.044B,3.648B,925.00M,38.00M,473.00M,4.648B,187.00M,14.29B,32.36B,111.00M,9.945B,5.207B,17.22B,22.41B,12.01B,660.00M,2.882B,2.891B
MU,2016-11,-7.00M,4.169B,2.959B,1.155B,332.00M,0.17,0.16,549.00M,34.88B,1.011B,2016-11,2.75B,180.00M,-132.00M,-132.00M,15.32B,0,8.521B,359.00M,3.999B,213.00M,31.00M,470.00M,3.97B,159.00M,12.32B,27.84B,110.00M,9.504B,5.546B,14.67B,18.33B,9.122B,652.00M,3.287B,2.453B
MU,2016-08,-35.00M,4.398B,2.638B,756.00M,189.00M,-0.16,-0.16,568.00M,33.60B,579.00M,2016-08,2.889B,-170.00M,-126.00M,-126.00M,14.69B,0,9.154B,15.00M,3.747B,-168.00M,3.00M,411.00M,3.217B,157.00M,12.08B,27.54B,109.00M,9.495B,4.835B,14.61B,18.04B,9.777B,564.00M,3.149B,2.068B
