Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
MXIM,2020-12,-14.27M,1.806B,211.87M,499.76M,0,0.69,0.68,638.71M,1.677B,416.42M,2020-12,261.48M,183.94M,-3.202M,-3.202M,541.01M,0,994.74M,216.99M,271.59M,210.46M,26.52M,114.80M,628.29M,80.15M,1.926B,3.883B,43.23M,2.589B,456.40M,1.957B,1.294B,1.500B,199.43M,132.16M,485.77M
MXIM,2020-09,-14.60M,1.612B,202.34M,0,0,0.64,0.63,645.22M,1.666B,417.01M,2020-09,265.66M,169.51M,-7.037M,-7.037M,542.42M,0,994.38M,210.25M,297.84M,194.40M,24.88M,115.47M,619.36M,82.95M,1.711B,3.654B,12.46M,2.357B,446.32M,1.943B,1.297B,1.496B,206.77M,140.49M,449.38M
MXIM,2020-06,-14.60M,1.614B,183.00M,0,0,0.78,0.77,650.50M,1.655B,362.37M,2020-06,259.63M,207.30M,-5.767M,-5.767M,550.41M,0,994.02M,178.66M,300.34M,169.50M,-37.80M,110.17M,545.37M,72.89M,1.657B,3.629B,0.266M,2.318B,453.33M,1.972B,1.311B,1.519B,183.70M,135.44M,404.78M
MXIM,2020-03,-12.65M,1.686B,195.48M,0,0,0.6,0.59,576.89M,1.667B,366.44M,2020-03,220.69M,161.19M,-1.622M,-1.622M,564.64M,0,993.66M,183.87M,271.43M,181.72M,20.54M,109.09M,561.92M,71.64M,1.620B,3.549B,0.267M,2.310B,387.93M,1.929B,1.239B,1.541B,182.57M,123.33M,378.27M
MXIM,2019-12,-11.29M,1.783B,190.55M,0,0,0.54,0.53,580.76M,1.662B,360.52M,2019-12,223.96M,146.05M,-0.017M,-0.017M,571.36M,0,993.30M,171.78M,248.84M,169.04M,22.99M,111.91M,551.07M,76.07M,1.727B,3.627B,0.27M,2.379B,360.47M,1.900B,1.248B,1.540B,188.74M,127.76M,348.34M
MXIM,2019-09,-12.00M,1.793B,189.72M,0,0,0.52,0.51,584.63M,1.666B,343.32M,2019-09,235.96M,140.16M,1.829M,1.829M,574.10M,0,992.94M,157.44M,252.31M,157.83M,17.68M,108.99M,533.04M,76.12M,1.781B,3.681B,0.271M,2.425B,342.52M,1.900B,1.256B,1.557B,185.88M,113.50M,370.32M
MXIM,2019-06,-11.35M,1.898B,200.15M,0,0,1.35,1.33,588.49M,1.651B,356.39M,2019-06,246.51M,367.56M,1.057M,1.057M,577.72M,0,992.58M,175.29M,265.87M,177.65M,-189.91M,105.14M,556.54M,75.13M,1.845B,3.744B,0.272M,2.540B,371.17M,1.899B,1.204B,1.528B,181.10M,118.10M,360.02M
MXIM,2019-03,-10.47M,1.898B,201.55M,0,0,0.48,0.47,593.29M,1.635B,340.83M,2019-03,272.83M,130.61M,3.318M,3.318M,571.96M,0,992.22M,158.88M,292.99M,160.46M,29.84M,107.08M,542.38M,74.12M,1.663B,3.804B,0.279M,2.577B,399.00M,2.141B,1.227B,1.742B,181.95M,130.98M,381.15M
MXIM,2018-12,-11.34M,1.961B,203.86M,0,0,0.48,0.47,599.41M,1.616B,373.05M,2018-12,278.92M,131.89M,0.472M,0.472M,571.98M,0,991.87M,184.14M,275.88M,182.68M,50.78M,110.30M,576.91M,77.85M,1.755B,3.889B,0.279M,2.658B,406.48M,2.134B,1.231B,1.727B,188.91M,139.08M,391.42M
MXIM,2018-09,-12.72M,2.563B,208.26M,0,0,0.71,0.7,607.04M,1.599B,430.24M,2018-09,275.37M,197.42M,-0.546M,-0.546M,573.01M,0,991.51M,235.18M,293.33M,233.64M,36.21M,112.71M,638.50M,81.52M,1.912B,4.549B,0.279M,3.312B,928.28M,2.636B,1.237B,1.708B,195.06M,144.96M,439.41M
MXIM,2018-06,-14.98M,2.626B,214.48M,499.41M,0,0.7,0.68,610.50M,1.582B,418.67M,2018-06,282.39M,194.17M,-2.055M,-2.055M,579.36M,1.436M,991.15M,223.23M,297.99M,223.70M,29.53M,112.06M,633.15M,82.61M,1.931B,4.452B,0.279M,3.210B,797.40M,2.521B,1.241B,1.723B,195.44M,110.53M,280.07M
MXIM,2018-03,-13.20M,2.724B,224.65M,499.05M,0,0.69,0.68,623.75M,1.579B,423.95M,2018-03,273.62M,193.63M,-2.534M,-2.534M,589.18M,0.756M,990.79M,227.11M,304.90M,222.30M,28.68M,114.39M,648.60M,81.30M,1.951B,4.623B,0.283M,3.341B,803.95M,2.672B,1.282B,1.868B,196.84M,108.75M,320.55M
MXIM,2017-12,-11.79M,2.823B,212.96M,498.69M,16.99M,-0.27,-0.27,558.73M,1.591B,409.68M,2017-12,259.60M,-75.02M,-3.121M,-3.121M,597.82M,0.643M,990.43M,208.42M,246.70M,197.93M,272.94M,115.90M,622.64M,85.32M,1.986B,4.565B,0.283M,3.343B,745.39M,2.579B,1.222B,1.833B,201.26M,95.29M,235.70M
MXIM,2017-09,-9.591M,2.774B,201.84M,249.79M,14.97M,0.55,0.54,570.86M,1.568B,373.83M,2017-09,245.35M,154.53M,-4.214M,-4.214M,595.62M,0,1.488B,190.64M,216.92M,180.95M,26.42M,108.60M,575.68M,73.68M,2.198B,4.536B,0.283M,3.308B,233.91M,2.338B,1.228B,2.104B,183.19M,70.60M,233.22M
MXIM,2017-06,-9.89M,2.745B,208.34M,249.72M,35.72M,0.58,0.57,581.88M,1.559B,393.67M,2017-06,247.24M,163.31M,-11.32M,-11.32M,606.58M,0,1.488B,200.55M,264.02M,195.58M,32.27M,114.01M,602.00M,75.13M,2.203B,4.570B,0.283M,3.306B,279.00M,2.368B,1.265B,2.089B,193.11M,81.06M,256.45M
MXIM,2017-03,-9.735M,2.156B,214.31M,0,36.14M,0.5,0.49,595.00M,1.623B,366.90M,2017-03,241.44M,140.21M,-3.884M,-3.884M,636.84M,0,991.88M,175.70M,258.39M,170.37M,30.16M,113.16M,581.22M,73.99M,2.160B,4.018B,0.284M,2.715B,294.11M,1.857B,1.303B,1.563B,191.20M,87.48M,257.59M
MXIM,2016-12,-11.79M,2.087B,210.82M,0,35.75M,0.46,0.45,608.41M,1.639B,340.18M,2016-12,236.04M,130.48M,-0.636M,-0.636M,660.66M,0,991.28M,150.32M,224.54M,148.44M,17.96M,114.06M,551.00M,71.54M,2.144B,3.948B,0.284M,2.623B,260.67M,1.804B,1.325B,1.543B,189.86M,73.64M,224.34M
MXIM,2016-09,-6.374M,2.268B,215.66M,0,38.78M,0.49,0.48,622.51M,1.635B,345.73M,2016-09,223.48M,137.61M,-6.87M,-6.87M,678.45M,0,990.68M,188.17M,246.42M,165.20M,27.59M,112.75M,561.40M,70.85M,2.135B,4.193B,0.284M,2.834B,531.97M,2.057B,1.359B,1.525B,157.56M,86.73M,253.52M
MXIM,2016-06,-14.22M,2.231B,219.10M,0,34.46M,0.32,0.32,637.19M,1.630B,347.03M,2016-06,227.93M,92.34M,-7.389M,-7.389M,692.55M,0,990.09M,154.55M,320.91M,115.95M,23.61M,113.49M,566.13M,71.48M,2.108B,4.235B,0.284M,2.807B,609.40M,2.127B,1.428B,1.517B,192.47M,103.69M,256.53M
MXIM,2016-03,-16.28M,1.860B,236.41M,0,0,0.49,0.48,687.50M,1.702B,318.84M,2016-03,234.60M,139.81M,-6.373M,-6.373M,748.78M,0,1.00B,180.77M,307.58M,171.34M,31.52M,119.18M,555.25M,71.78M,2.139B,3.981B,0.28M,2.462B,342.03M,1.843B,1.520B,1.501B,138.08M,113.60M,278.50M
MXIM,2015-12,-17.53M,1.773B,218.66M,1.024M,32.07M,0.24,0.23,702.53M,1.732B,292.17M,2015-12,274.74M,67.47M,-9.593M,-9.593M,770.55M,0.651M,1.00B,102.14M,283.18M,79.94M,12.47M,113.10M,510.83M,73.64M,2.149B,3.937B,63.01M,2.327B,315.25M,1.789B,1.611B,1.473B,190.03M,106.67M,231.18M
MXIM,2015-09,-17.60M,1.609B,276.16M,2.526M,35.09M,-0.25,-0.25,762.85M,1.750B,286.35M,2015-09,290.71M,-72.14M,-6.402M,-6.402M,805.58M,10.60M,1.00B,89.06M,310.86M,-82.17M,-10.02M,121.39M,562.51M,72.00M,2.115B,3.945B,10.82M,2.279B,345.95M,1.830B,1.666B,1.484B,197.29M,140.23M,282.47M
MXIM,2015-06,-17.23M,1.626B,278.82M,2.965M,30.33M,0.35,0.34,773.30M,2.354B,303.70M,2015-06,288.47M,98.66M,-11.94M,-11.94M,1.091B,90.59M,987.69M,108.30M,351.83M,123.45M,24.79M,121.55M,582.52M,72.53M,2.290B,4.216B,0.283M,2.319B,383.18M,1.926B,1.897B,1.543B,195.41M,123.10M,278.84M
MXIM,2015-03,-18.52M,1.467B,262.00M,4.804M,30.55M,0.28,0.28,795.21M,2.475B,315.27M,2015-03,297.27M,79.43M,-5.534M,-5.534M,1.156B,116.28M,1.00B,113.80M,324.78M,99.92M,20.48M,123.91M,577.26M,75.77M,2.254B,4.168B,12.36M,2.181B,355.33M,1.914B,1.987B,1.559B,201.47M,105.46M,278.43M
MXIM,2014-12,-18.54M,1.381B,252.73M,0,27.10M,-0.25,-0.25,817.95M,2.494B,314.08M,2014-12,306.56M,-72.03M,-7.599M,-7.599M,1.195B,120.31M,1.00B,93.31M,307.14M,-71.68M,0.359M,135.94M,566.81M,79.78M,2.242B,4.125B,0.283M,2.073B,334.24M,1.883B,2.052B,1.549B,220.76M,102.63M,258.51M
MXIM,2014-09,-19.07M,1.319B,241.45M,0,26.82M,0.35,0.35,933.36M,2.591B,338.82M,2014-09,305.11M,99.98M,-6.477M,-6.477M,1.304B,145.60M,1.001B,112.57M,308.31M,94.48M,-5.499M,140.36M,580.28M,79.99M,2.411B,4.305B,0.284M,2.028B,335.13M,1.894B,2.277B,1.559B,226.25M,116.47M,281.93M
MXIM,2014-06,-17.17M,1.372B,273.51M,0,25.73M,0.3,0.29,957.63M,2.575B,368.96M,2014-06,289.29M,84.79M,-22.31M,-22.31M,1.332B,159.88M,1.001B,128.79M,372.90M,107.61M,22.81M,143.80M,642.47M,83.15M,2.430B,4.406B,0.285M,2.087B,398.64M,1.976B,2.319B,1.577B,240.17M,122.14M,295.83M
MXIM,2014-03,-12.31M,1.231B,265.74M,0,24.26M,0.43,0.42,981.84M,2.585B,339.94M,2014-03,290.52M,122.54M,5.174M,5.174M,1.355B,171.43M,1.001B,112.57M,364.60M,111.91M,-10.63M,141.49M,605.68M,80.68M,2.401B,4.355B,0.283M,1.979B,391.39M,1.954B,2.375B,1.563B,227.37M,115.04M,304.13M
MXIM,2013-12,-12.57M,1.150B,291.60M,0,25.54M,0.16,0.15,1.002B,2.567B,328.67M,2013-12,297.23M,44.35M,-5.833M,-5.833M,1.372B,202.44M,1.001B,89.96M,352.61M,64.56M,20.21M,142.97M,620.27M,83.47M,2.356B,4.307B,0.283M,1.890B,381.12M,1.951B,2.417B,1.570B,238.72M,120.73M,288.28M
MXIM,2013-09,-14.11M,1.035B,238.04M,0,27.18M,0.36,0.36,567.62M,2.556B,347.20M,2013-09,278.22M,103.12M,-3.463M,-3.463M,1.375B,205.22M,500.96M,134.16M,303.37M,125.15M,22.03M,129.90M,585.24M,77.43M,2.398B,3.764B,0.283M,1.782B,335.36M,1.366B,1.982B,1.030B,213.04M,122.86M,297.89M
MXIM,2013-06,-15.75M,1.200B,236.80M,304.31M,26.56M,0.41,0.4,579.15M,2.525B,371.40M,2013-06,275.64M,119.01M,-3.522M,-3.522M,1.373B,206.86M,503.57M,154.33M,378.34M,144.26M,25.24M,132.01M,608.19M,82.08M,2.508B,3.936B,0.288M,1.940B,404.89M,1.428B,1.996B,1.023B,217.07M,127.76M,285.44M
MXIM,2013-03,-17.62M,1.573B,228.78M,304.79M,25.85M,0.45,0.44,587.60M,2.495B,376.10M,2013-03,268.02M,131.39M,-2.669M,-2.669M,1.369B,213.14M,503.57M,154.43M,376.80M,151.61M,22.82M,134.14M,604.88M,81.95M,2.613B,4.334B,0.292M,2.336B,706.96M,1.722B,1.998B,1.015B,221.67M,134.83M,300.05M
MXIM,2012-12,-15.45M,1.030B,241.93M,303.27M,25.36M,0.26,0.26,604.60M,2.460B,363.38M,2012-12,257.69M,76.62M,-2.798M,-2.798M,1.359B,192.43M,3.997M,142.01M,343.66M,114.75M,38.13M,135.74M,605.31M,80.06M,2.581B,3.739B,7.04M,1.724B,673.82M,1.157B,2.015B,483.52M,221.37M,132.64M,264.54M
