Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
NCLH,2020-12,-240.12M,3.300B,206.99M,124.88M,1.110B,-2.51,-2.51,599.00M,18.05B,-197.41M,2020-12,82.38M,-738.93M,-131.40M,-131.40M,13.62B,11.68B,-546.88M,679.19M,-707.41M,31.52M,9.579M,186.56M,4.354B,18.40B,0.316M,3.558B,1.914B,14.05B,14.84B,12.13B,349.47M,83.14M,20.58M
NCLH,2020-09,-372.00M,2.356B,190.16M,472.36M,1.116B,-2.5,-2.5,600.53M,17.36B,-183.64M,2020-09,81.26M,-677.37M,-139.66M,-139.66M,13.45B,10.47B,-517.78M,746.28M,-681.13M,-3.761M,6.518M,156.66M,4.088B,17.40B,0.30M,2.652B,2.334B,13.31B,14.75B,10.98B,334.14M,116.46M,78.50M
NCLH,2020-06,-495.89M,2.260B,301.65M,337.34M,1.113B,-2.99,-2.99,603.32M,15.53B,-284.72M,2020-06,82.26M,-715.24M,-114.54M,-114.54M,13.49B,10.01B,-595.41M,1.133B,-724.37M,-9.123M,16.93M,131.44M,4.337B,17.53B,0.281M,2.751B,2.584B,13.19B,14.78B,10.61B,310.69M,484.93M,74.21M
NCLH,2020-03,-579.25M,1.360B,994.26M,173.80M,1.660B,-8.8,-8.8,606.12M,0,252.62M,2020-03,85.52M,-1.881B,-68.91M,-68.91M,13.57B,8.432B,-216.26M,1.126B,-1.887B,-6.173M,1.247B,270.69M,4.375B,16.46B,0.239M,1.696B,2.960B,12.09B,14.77B,9.128B,468.89M,364.22M,96.28M
NCLH,2019-12,-295.49M,252.88M,887.42M,746.36M,1.955B,0.57,0.56,2.217B,0,593.20M,2019-12,95.43M,121.30M,-56.51M,-56.51M,13.37B,6.055B,199.38M,883.05M,118.89M,-2.406M,1.481B,229.86M,6.516B,16.68B,0.237M,730.14M,3.584B,10.17B,15.95B,6.585B,393.82M,100.78M,75.11M
NCLH,2019-09,-389.63M,407.26M,990.76M,605.11M,1.862B,2.1,2.09,2.221B,0,923.09M,2019-09,94.25M,450.58M,-60.19M,-60.19M,12.29B,5.673B,511.72M,932.85M,461.79M,11.20M,1.914B,255.15M,6.273B,15.94B,0.237M,842.72M,3.400B,9.665B,15.10B,6.266B,411.36M,72.15M,67.70M
NCLH,2019-06,-179.77M,419.92M,958.42M,605.14M,2.167B,1.11,1.11,2.226B,0,705.85M,2019-06,90.96M,240.19M,-65.97M,-65.97M,12.25B,5.744B,308.68M,810.14M,246.33M,6.138M,1.664B,240.90M,6.150B,15.97B,0.237M,903.56M,3.583B,9.816B,15.06B,6.233B,397.17M,75.78M,75.13M
NCLH,2019-03,-153.40M,304.71M,826.65M,608.31M,2.023B,0.54,0.54,2.231B,0,576.98M,2019-03,90.10M,118.16M,-73.50M,-73.50M,12.18B,5.934B,158.30M,797.89M,84.36M,-33.80M,1.404B,248.94M,5.905B,15.76B,0.237M,768.40M,3.429B,9.856B,14.99B,6.426B,418.68M,66.66M,57.05M
NCLH,2018-12,-161.65M,163.85M,817.26M,681.22M,1.593B,0.7,0.7,2.235B,0,563.94M,2018-12,90.20M,154.63M,-68.18M,-68.18M,12.12B,5.811B,209.58M,876.06M,150.70M,-3.933M,1.381B,208.94M,5.963B,15.21B,0.235M,550.31M,3.150B,9.243B,14.66B,6.092B,354.36M,159.56M,55.25M
NCLH,2018-09,56.12M,286.46M,928.94M,679.91M,1.649B,2.12,2.11,2.242B,0,929.41M,2018-09,95.95M,470.38M,-69.54M,-69.54M,12.03B,5.875B,550.28M,723.53M,480.83M,10.46M,1.858B,235.44M,6.198B,15.32B,0.235M,727.41M,3.052B,9.118B,14.59B,6.066B,379.14M,59.42M,46.56M
