Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
NDAQ,2021-03,-1.505B,989.00M,1.04B,435.00M,519.00M,1.81,1.78,11.48B,878.00M,612.00M,2021-03,298.00M,-28.00M,-28.00M,878.00M,542.00M,5.861B,420.00M,488.00M,395.00M,97.00M,1.652B,129.00M,6.332B,18.49B,2.00M,5.654B,5.556B,12.16B,12.84B,6.60B,192.00M,314.00M,574.00M
NDAQ,2020-12,-1.368B,2.94B,878.00M,0,235.00M,1.36,1.34,9.105B,1.413B,584.00M,2020-12,225.00M,-24.00M,-24.00M,856.00M,502.00M,5.93B,351.00M,626.00M,267.00M,42.00M,1.462B,180.00M,6.433B,17.98B,2.00M,7.66B,4.924B,11.54B,10.32B,6.619B,233.00M,399.00M,566.00M
NDAQ,2020-09,-1.632B,761.00M,897.00M,0,290.00M,1.61,1.58,8.818B,822.00M,517.00M,2020-09,264.00M,-24.00M,-24.00M,822.00M,513.00M,3.968B,338.00M,392.00M,357.00M,93.00M,1.414B,128.00M,6.011B,14.83B,2.00M,4.81B,4.161B,8.817B,10.02B,4.656B,179.00M,208.00M,504.00M
NDAQ,2020-06,-1.715B,917.00M,888.00M,0,351.00M,1.47,1.45,8.703B,801.00M,510.00M,2020-06,241.00M,-25.00M,-25.00M,801.00M,506.00M,3.885B,332.00M,596.00M,316.00M,75.00M,1.398B,128.00M,5.754B,14.56B,2.00M,4.716B,4.249B,8.802B,9.843B,4.553B,178.00M,447.00M,523.00M
NDAQ,2020-03,-1.909B,1.269B,847.00M,1.146B,416.00M,1.23,1.22,8.526B,699.00M,506.00M,2020-03,203.00M,-24.00M,-24.00M,699.00M,507.00M,3.272B,294.00M,476.00M,273.00M,70.00M,1.353B,164.00M,5.396B,14.80B,2.00M,5.27B,5.45B,9.40B,9.528B,3.95B,212.00M,344.00M,568.00M
NDAQ,2019-12,-1.686B,623.00M,608.00M,391.00M,211.00M,1.23,1.21,8.615B,1.216B,457.00M,2019-12,203.00M,-25.00M,-25.00M,730.00M,552.00M,3.327B,274.00M,468.00M,252.00M,49.00M,1.065B,136.00M,5.639B,13.92B,2.00M,4.29B,4.227B,8.285B,9.634B,4.058B,183.00M,280.00M,422.00M
NDAQ,2019-09,-1.833B,505.00M,639.00M,539.00M,267.00M,0.91,0.9,8.471B,707.00M,457.00M,2019-09,150.00M,-26.00M,-26.00M,707.00M,525.00M,3.266B,266.00M,317.00M,215.00M,65.00M,1.096B,144.00M,5.327B,12.98B,2.00M,3.499B,3.692B,7.653B,9.481B,3.961B,191.00M,180.00M,399.00M
NDAQ,2019-06,-1.666B,592.00M,607.00M,467.00M,333.00M,1.05,1.04,8.686B,755.00M,454.00M,2019-06,174.00M,-28.00M,-28.00M,755.00M,510.00M,3.365B,261.00M,438.00M,239.00M,65.00M,1.061B,145.00M,5.551B,14.13B,2.00M,4.363B,4.531B,8.581B,9.769B,4.05B,193.00M,319.00M,415.00M
NDAQ,2019-03,-1.645B,692.00M,580.00M,1.239B,402.00M,1.49,1.48,8.709B,748.00M,459.00M,2019-03,247.00M,-34.00M,-34.00M,748.00M,503.00M,2.685B,284.00M,405.00M,313.00M,66.00M,1.039B,127.00M,5.494B,14.50B,2.00M,4.736B,5.641B,9.009B,9.767B,3.368B,175.00M,287.00M,447.00M
NDAQ,2018-12,-1.53B,813.00M,670.00M,875.00M,194.00M,-0.27,-0.27,8.663B,800.00M,466.00M,2018-12,-44.00M,-36.00M,-36.00M,376.00M,501.00M,2.956B,255.00M,506.00M,328.00M,372.00M,1.136B,160.00M,5.449B,15.70B,2.00M,6.37B,6.57B,10.25B,9.33B,3.681B,211.00M,307.00M,384.00M
