Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
NI,2020-12,-156.70M,116.50M,723.70M,526.30M,243.30M,0.18,0.18,1.486B,24.18B,487.30M,2020-12,401.10M,84.40M,-79.50M,-79.50M,16.62B,1.471B,9.220B,228.90M,1.128B,144.60M,56.80M,1.211B,5.752B,22.04B,883.90M,1.659B,2.279B,16.20B,20.38B,13.92B,258.40M,881.60M,825.40M
NI,2020-09,-193.60M,58.60M,523.00M,1.410B,229.20M,-0.49,-0.49,1.486B,21.74B,379.50M,2020-09,396.50M,-172.90M,-92.10M,-92.10M,16.08B,1.448B,9.209B,128.70M,944.40M,-237.80M,-64.90M,902.50M,5.425B,22.70B,883.80M,2.821B,3.447B,17.28B,19.88B,13.83B,250.80M,703.60M,545.80M
NI,2020-06,-221.90M,142.20M,541.50M,1.179B,163.10M,-0.05,-0.05,1.486B,21.32B,421.20M,2020-06,311.80M,-4.70M,-94.20M,-94.20M,15.77B,1.486B,8.810B,175.50M,983.30M,1.20M,5.90M,962.70M,5.662B,22.44B,883.80M,2.860B,3.228B,16.77B,19.58B,13.55B,245.70M,714.40M,563.60M
NI,2020-03,-230.60M,203.80M,907.00M,2.054B,163.20M,0.16,0.16,1.486B,22.88B,698.50M,2020-03,254.00M,75.60M,-89.50M,-89.50M,15.59B,1.461B,7.818B,428.30M,1.149B,60.70M,-14.90M,1.606B,5.741B,22.59B,883.80M,3.225B,4.162B,16.85B,19.37B,12.69B,270.20M,847.70M,755.50M
NI,2019-12,-92.60M,139.30M,763.50M,1.787B,256.40M,-0.41,-0.41,1.486B,24.54B,633.70M,2019-12,424.70M,-139.30M,-90.10M,-90.10M,16.91B,1.485B,7.856B,376.60M,1.374B,-136.80M,2.50M,1.397B,5.987B,22.66B,883.80M,1.854B,3.746B,16.67B,20.81B,12.93B,257.10M,957.30M,905.40M
NI,2019-09,-130.30M,28.00M,590.60M,1.626B,242.80M,-0.02,-0.02,1.903B,24.04B,340.90M,2019-09,448.70M,6.60M,-90.90M,-90.90M,16.48B,1.477B,7.854B,90.80M,1.202B,-3.60M,-10.20M,931.50M,5.848B,22.13B,883.80M,1.378B,3.340B,16.28B,20.75B,12.94B,250.10M,801.60M,569.60M
NI,2019-06,-80.80M,23.70M,302.70M,2.092B,159.10M,0.76,0.75,1.906B,23.59B,707.70M,2019-06,318.60M,296.90M,-90.40M,-90.40M,16.13B,1.483B,7.110B,463.40M,1.256B,369.10M,72.20M,1.010B,5.976B,21.97B,883.80M,1.578B,3.814B,16.00B,20.40B,12.18B,244.30M,844.60M,911.70M
NI,2019-03,-52.80M,151.00M,1.233B,2.131B,152.60M,0.55,0.55,1.909B,23.10B,637.10M,2019-03,215.70M,218.90M,-91.80M,-91.80M,15.74B,1.402B,7.110B,374.40M,1.449B,277.90M,59.00M,1.870B,5.780B,21.89B,883.80M,1.916B,4.015B,16.11B,19.97B,12.10B,262.70M,1.018B,1.204B
NI,2018-12,-37.20M,112.80M,1.306B,2.027B,238.90M,-0.05,-0.05,1.911B,22.82B,155.70M,2018-12,422.50M,-11.70M,-84.10M,-84.10M,15.54B,1.342B,7.105B,-77.60M,1.461B,-165.40M,-153.70M,1.462B,5.751B,21.80B,883.80M,2.055B,4.037B,16.05B,19.75B,12.02B,233.30M,1.192B,1.147B
NI,2018-09,2.50M,41.80M,1.003B,1.660B,238.40M,-0.95,-0.95,1.914B,22.35B,-107.80M,2018-09,466.90M,-339.50M,-77.00M,-77.00M,15.17B,1.303B,7.094B,-315.20M,1.253B,-434.00M,-94.50M,895.00M,5.074B,20.70B,397.60M,1.369B,3.411B,15.63B,19.33B,12.21B,207.40M,724.30M,537.70M
NI,2018-06,-20.90M,68.20M,678.50M,1.198B,158.00M,0.07,0.07,1.917B,21.93B,328.50M,2018-06,336.50M,24.50M,-83.70M,-83.70M,14.85B,1.409B,7.092B,118.40M,907.40M,30.00M,5.50M,1.007B,5.463B,20.31B,398.10M,1.316B,2.560B,14.84B,18.99B,12.28B,210.10M,728.50M,614.40M
NI,2018-03,-19.00M,35.00M,1.127B,1.83B,154.70M,0.82,0.81,1.920B,21.50B,623.90M,2018-03,245.30M,276.10M,-87.70M,-87.70M,14.46B,1.397B,7.287B,400.30M,990.80M,338.80M,62.70M,1.751B,4.506B,20.10B,3.40M,1.634B,3.226B,15.59B,18.46B,12.37B,223.60M,787.40M,1.027B
NI,2017-12,-43.40M,29.00M,882.80M,1.49B,262.60M,-0.16,-0.16,1.922B,21.65B,485.50M,2017-12,471.10M,-52.40M,-88.90M,-88.90M,14.36B,1.305B,7.512B,276.20M,1.096B,165.00M,217.40M,1.368B,4.320B,19.96B,3.40M,1.763B,3.178B,15.64B,18.20B,12.46B,209.30M,893.30M,944.70M
NI,2017-09,-43.70M,19.30M,605.30M,1.133B,253.10M,0.04,0.04,1.925B,20.95B,311.70M,2017-09,511.50M,14.00M,-82.20M,-82.20M,14.04B,2.632B,7.519B,111.20M,931.10M,16.50M,2.50M,917.00M,4.363B,19.27B,3.40M,1.332B,2.567B,14.91B,17.94B,12.34B,200.50M,722.70M,522.90M
NI,2017-06,-35.60M,17.90M,668.40M,1.462B,168.60M,-0.14,-0.14,1.928B,20.50B,322.30M,2017-06,393.20M,-44.40M,-83.10M,-83.10M,13.67B,2.630B,6.777B,123.90M,890.50M,-71.00M,-26.60M,990.70M,4.123B,18.82B,3.30M,1.281B,2.778B,14.70B,17.54B,11.92B,198.40M,706.90M,580.30M
NI,2017-03,-19.60M,28.40M,963.90M,2.324B,166.30M,0.65,0.65,1.931B,19.99B,634.70M,2017-03,275.50M,211.30M,-85.20M,-85.20M,13.29B,2.657B,5.591B,415.40M,901.90M,332.50M,121.20M,1.599B,4.191B,18.64B,3.30M,1.471B,3.664B,14.44B,17.16B,10.78B,219.30M,758.20M,832.60M
NI,2016-12,-25.10M,26.40M,857.50M,1.851B,264.10M,0.27,0.27,1.933B,20.05B,439.50M,2016-12,494.40M,88.80M,-73.00M,-73.00M,13.07B,2.541B,6.058B,232.20M,1.005B,143.70M,51.50M,1.297B,4.071B,18.69B,3.30M,1.762B,3.452B,14.62B,16.93B,11.17B,207.30M,818.50M,852.40M
NI,2016-09,-179.00M,16.10M,554.80M,1.642B,255.20M,0.08,0.08,1.936B,19.87B,306.50M,2016-09,533.70M,27.20M,-85.00M,-85.00M,12.85B,2.493B,6.096B,113.60M,733.00M,32.20M,8.50M,861.30M,3.812B,18.07B,3.30M,1.378B,2.912B,14.26B,16.69B,11.34B,192.90M,594.40M,487.90M
NI,2016-06,-156.30M,15.70M,572.50M,1.413B,186.70M,0.09,0.09,1.937B,19.60B,325.10M,2016-06,414.70M,28.90M,-86.00M,-86.00M,12.56B,2.521B,5.857B,138.00M,792.40M,46.10M,17.10M,897.60M,3.811B,17.62B,3.20M,1.260B,2.696B,13.81B,16.36B,11.11B,187.10M,602.80M,490.30M
NI,2016-03,-103.80M,23.70M,851.20M,1.109B,218.30M,0.58,0.58,1.942B,19.22B,585.40M,2016-03,318.40M,186.60M,-90.50M,-90.50M,12.27B,2.532B,5.906B,381.30M,846.60M,291.60M,105.00M,1.437B,3.872B,17.47B,3.20M,1.395B,2.496B,13.60B,16.08B,11.10B,204.10M,671.30M,674.30M
NI,2015-12,-35.10M,15.50M,685.60M,1.001B,316.30M,0.19,0.19,1.944B,18.99B,412.20M,2015-12,536.60M,59.40M,-82.00M,-82.00M,12.11B,2.380B,5.948B,219.90M,929.80M,131.00M,66.60M,1.098B,3.844B,17.49B,3.20M,1.577B,2.658B,13.65B,15.92B,10.99B,192.30M,679.20M,681.00M
NI,2015-09,-19.60M,31.70M,520.20M,549.80M,264.70M,-0.02,-0.02,1.947B,18.50B,297.00M,2015-09,571.30M,-4.90M,-94.90M,-94.90M,11.69B,2.629B,6.134B,110.80M,801.50M,20.60M,5.80M,817.20M,3.800B,17.06B,3.20M,1.638B,2.073B,13.26B,15.42B,11.18B,186.20M,602.30M,520.20M
NI,2015-06,-44.40M,496.60M,606.70M,604.40M,228.50M,-0.11,-0.11,3.925B,26.63B,277.90M,2015-06,471.60M,-36.40M,-98.20M,-98.20M,16.91B,3.944B,8.881B,84.20M,1.316B,-108.70M,-35.60M,884.60M,6.506B,25.61B,3.20M,2.336B,2.524B,18.15B,23.27B,15.63B,193.70M,714.60M,729.80M
NI,2015-03,-46.60M,42.00M,1.257B,776.70M,198.10M,0.85,0.85,3.928B,25.97B,594.90M,2015-03,344.40M,268.40M,-92.80M,-92.80M,16.28B,3.926B,7.958B,386.60M,1.478B,297.00M,104.50M,1.852B,6.524B,24.90B,3.20M,2.261B,2.758B,17.43B,22.64B,14.67B,208.30M,999.20M,1.229B
NI,2014-12,-50.60M,24.90M,980.10M,1.844B,284.30M,0.49,0.48,1.955B,17.71B,413.20M,2014-12,618.20M,154.20M,-77.60M,-77.60M,11.06B,2.284B,8.152B,228.40M,1.166B,134.80M,55.30M,1.393B,6.175B,24.59B,3.20M,2.194B,3.964B,18.41B,22.40B,14.45B,184.80M,880.80M,949.10M
NI,2014-09,-41.60M,17.70M,589.80M,1.330B,263.60M,0.1,0.1,3.934B,25.12B,248.40M,2014-09,722.30M,31.40M,-94.70M,-94.70M,15.59B,3.683B,8.397B,71.20M,1.332B,-17.90M,-0.70M,838.20M,6.007B,23.71B,3.20M,2.012B,3.048B,17.70B,21.70B,14.65B,177.20M,842.20M,720.20M
NI,2014-06,-41.40M,18.00M,904.80M,1.631B,250.40M,0.25,0.25,3.936B,24.53B,430.30M,2014-06,544.80M,78.20M,-109.10M,-109.10M,15.09B,3.615B,7.641B,207.80M,1.386B,118.00M,39.50M,1.335B,6.028B,23.26B,3.20M,2.054B,3.431B,17.23B,21.20B,13.80B,222.50M,896.90M,959.70M
NI,2014-03,-42.50M,38.00M,1.562B,1.343B,247.30M,0.85,0.85,3.939B,24.02B,758.00M,2014-03,339.90M,266.20M,-109.10M,-109.10M,14.66B,3.534B,7.638B,508.20M,1.614B,429.10M,162.70M,2.320B,6.012B,23.11B,3.20M,2.320B,3.341B,17.10B,20.79B,13.75B,249.80M,1.215B,1.437B
NI,2013-12,-43.60M,26.80M,573.50M,1.241B,281.10M,0.48,0.48,3.942B,23.66B,-8.60M,2013-12,546.80M,151.80M,-55.80M,-55.80M,14.37B,3.408B,7.593B,-64.30M,1.526B,-187.50M,-70.60M,564.90M,5.887B,22.65B,3.20M,2.159B,3.178B,16.77B,20.49B,13.59B,55.70M,1.060B,1.076B
NI,2013-09,-60.40M,14.90M,711.90M,1.362B,270.50M,0.16,0.16,3.945B,23.17B,364.90M,2013-09,610.90M,48.10M,-103.70M,-103.70M,13.91B,3.273B,7.089B,156.10M,1.217B,77.40M,27.90M,1.077B,5.701B,22.08B,3.20M,1.746B,3.006B,16.38B,20.34B,13.38B,208.80M,836.50M,681.70M
