Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
NKE,2021-02,-446.00M,12.53B,5.638B,474.00M,0.92,0.9,513.00M,8.107B,4.719B,2021-02,6.693B,1.449B,-64.00M,-64.00M,8.107B,2.984B,12.38B,1.678B,5.219B,1.636B,187.00M,10.36B,3.041B,11.93B,36.18B,3.00M,24.70B,8.894B,24.25B,11.48B,15.36B,3.041B,2.513B,3.669B
NKE,2020-11,-429.00M,11.81B,6.396B,499.00M,0.8,0.78,493.00M,8.045B,4.847B,2020-11,6.09B,1.251B,-70.00M,-70.00M,8.045B,3.019B,12.31B,1.58B,5.166B,1.456B,205.00M,11.24B,3.267B,10.64B,34.84B,3.00M,23.61B,8.871B,24.20B,11.23B,15.32B,3.267B,2.342B,3.713B
NKE,2020-08,-401.00M,9.48B,5.853B,597.00M,0.97,0.95,495.00M,8.127B,4.741B,2020-08,6.705B,1.518B,-65.00M,-65.00M,8.127B,3.046B,12.37B,1.766B,4.995B,1.715B,197.00M,10.59B,2.975B,9.224B,33.26B,3.00M,21.94B,8.619B,24.03B,11.32B,15.42B,2.975B,2.28B,3.813B
NKE,2020-05,-56.00M,8.787B,3.96B,696.00M,-0.51,-0.51,497.00M,12.76B,2.353B,2020-05,7.367B,-790.00M,-50.00M,-50.00M,7.963B,2.684B,12.32B,-838.00M,4.028B,-804.00M,-14.00M,6.313B,3.191B,8.055B,31.34B,3.00M,20.56B,8.284B,23.29B,10.79B,15.00B,3.191B,2.99B,2.749B
NKE,2020-02,-57.00M,3.182B,5.631B,435.00M,0.54,0.53,498.00M,7.69B,4.473B,2020-02,5.807B,847.00M,-12.00M,-12.00M,7.69B,2.674B,6.221B,1.19B,4.225B,881.00M,34.00M,10.10B,3.283B,9.045B,26.22B,3.00M,15.74B,8.28B,17.18B,10.48B,8.895B,3.283B,3.121B,4.473B
NKE,2019-11,52.00M,3.502B,5.782B,737.00M,0.71,0.7,501.00M,7.55B,4.544B,2019-11,6.199B,1.115B,-12.00M,-12.00M,7.55B,2.802B,6.185B,1.22B,4.678B,1.249B,134.00M,10.33B,3.324B,9.351B,26.60B,3.00M,16.37B,8.264B,17.25B,10.23B,8.987B,3.324B,3.532B,4.792B
NKE,2019-08,180.00M,3.644B,5.789B,683.00M,0.87,0.86,503.00M,7.447B,4.871B,2019-08,5.835B,1.367B,-15.00M,-15.00M,7.447B,2.841B,6.138B,1.543B,4.663B,1.561B,194.00M,10.66B,3.328B,9.20B,26.25B,3.00M,16.23B,8.07B,17.05B,10.02B,8.979B,3.328B,3.55B,4.656B
NKE,2019-05,231.00M,4.663B,5.551B,15.00M,0.63,0.62,437.00M,9.469B,4.633B,2019-05,5.622B,989.00M,-12.00M,-12.00M,4.744B,3.347B,3.464B,1.227B,4.636B,1.243B,254.00M,10.18B,3.406B,9.04B,23.72B,3.00M,16.52B,7.866B,14.68B,7.192B,6.811B,3.406B,3.421B,4.272B
NKE,2019-02,197.00M,4.046B,5.272B,22.00M,0.7,0.68,437.00M,4.688B,4.339B,2019-02,5.415B,1.101B,-12.00M,-12.00M,4.688B,3.214B,3.465B,1.248B,4.354B,1.291B,190.00M,9.611B,3.091B,8.961B,22.92B,3.00M,15.80B,7.281B,13.96B,7.125B,6.679B,3.091B,3.095B,4.549B
NKE,2018-11,209.00M,4.041B,5.269B,15.00M,0.54,0.52,438.00M,4.588B,4.105B,2018-11,5.388B,847.00M,-14.00M,-14.00M,4.588B,3.204B,3.466B,963.00M,4.591B,997.00M,150.00M,9.374B,3.142B,8.729B,22.68B,3.00M,15.57B,7.278B,13.95B,7.111B,6.67B,3.142B,3.407B,4.346B
