Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
NLSN,2020-12,-1.105B,610.00M,712.00M,293.00M,370.00M,0.1,0.1,10.51B,1.999B,960.00M,2020-12,35.00M,-93.00M,-93.00M,825.00M,953.00M,8.372B,296.00M,791.00M,61.00M,25.00M,1.672B,455.00M,2.051B,14.14B,32.00M,2.224B,1.914B,11.89B,11.91B,9.978B,664.00M,274.00M,1.154B
NLSN,2020-09,-1.105B,2.25B,663.00M,1.885B,324.00M,0.02,0.02,10.64B,759.00M,900.00M,2020-09,7.00M,-92.00M,-92.00M,759.00M,1.004B,8.488B,232.00M,1.212B,79.00M,69.00M,1.563B,451.00M,2.032B,15.78B,32.00M,3.778B,3.421B,13.56B,12.00B,10.13B,668.00M,1.212B,1.094B
NLSN,2020-06,-1.112B,438.00M,664.00M,291.00M,361.00M,-0.08,-0.08,10.68B,779.00M,832.00M,2020-06,-30.00M,-91.00M,-91.00M,779.00M,1.016B,8.502B,157.00M,1.10B,-64.00M,-38.00M,1.496B,451.00M,2.021B,14.12B,32.00M,2.073B,1.752B,11.92B,12.05B,10.16B,675.00M,1.10B,1.131B
NLSN,2020-03,-1.13B,359.00M,721.00M,1.054B,402.00M,-0.05,-0.05,10.78B,804.00M,838.00M,2020-03,-18.00M,-93.00M,-93.00M,804.00M,1.031B,7.722B,109.00M,1.112B,-2.00M,11.00M,1.559B,515.00M,2.044B,14.19B,32.00M,2.014B,2.568B,11.96B,12.18B,9.394B,729.00M,1.112B,1.182B
NLSN,2019-12,-1.005B,454.00M,734.00M,914.00M,345.00M,-0.31,-0.31,10.87B,1.987B,957.00M,2019-12,-109.00M,-96.00M,-96.00M,859.00M,1.052B,7.765B,252.00M,854.00M,-43.00M,65.00M,1.691B,499.00M,2.195B,14.32B,32.00M,1.977B,2.501B,11.93B,12.34B,9.43B,705.00M,290.00M,1.103B
NLSN,2019-09,-1.166B,389.00M,694.00M,298.00M,316.00M,-1.33,-1.33,10.88B,848.00M,922.00M,2019-09,-472.00M,-99.00M,-99.00M,848.00M,1.068B,8.582B,269.00M,1.161B,-848.00M,-380.00M,1.616B,467.00M,2.155B,14.34B,32.00M,1.947B,1.775B,11.99B,12.40B,10.22B,653.00M,1.161B,1.146B
NLSN,2019-06,-1.115B,393.00M,699.00M,412.00M,363.00M,0.35,0.34,12.00B,903.00M,929.00M,2019-06,123.00M,-99.00M,-99.00M,903.00M,1.078B,8.651B,261.00M,1.114B,149.00M,23.00M,1.628B,483.00M,2.789B,15.59B,32.00M,2.026B,1.889B,12.60B,13.56B,10.71B,668.00M,1.114B,1.227B
NLSN,2019-03,-1.104B,402.00M,695.00M,385.00M,376.00M,0.12,0.12,12.03B,979.00M,868.00M,2019-03,43.00M,-97.00M,-97.00M,979.00M,1.10B,8.71B,209.00M,1.156B,79.00M,32.00M,1.563B,480.00M,2.79B,15.74B,32.00M,2.047B,1.917B,12.75B,13.70B,10.84B,659.00M,1.156B,1.221B
NLSN,2018-12,-1.11B,524.00M,707.00M,107.00M,355.00M,-2.68,-2.68,12.01B,1.501B,951.00M,2018-12,-952.00M,-97.00M,-97.00M,468.00M,1.108B,8.28B,273.00M,874.00M,-1.274B,-324.00M,1.658B,507.00M,2.847B,15.18B,32.00M,2.003B,1.657B,12.14B,13.18B,10.48B,678.00M,364.00M,1.118B
NLSN,2018-09,-1.01B,446.00M,681.00M,307.00M,345.00M,0.27,0.27,13.51B,0,919.00M,2018-09,96.00M,-97.00M,-97.00M,461.00M,1.406B,8.304B,280.00M,1.142B,157.00M,59.00M,1.60B,464.00M,4.017B,16.64B,32.00M,2.047B,1.794B,12.42B,14.59B,10.63B,639.00M,1.142B,1.249B
NLSN,2018-06,-1.015B,394.00M,698.00M,343.00M,361.00M,0.2,0.2,13.51B,1.486B,949.00M,2018-06,72.00M,-98.00M,-98.00M,471.00M,1.416B,8.321B,293.00M,1.085B,121.00M,44.00M,1.647B,494.00M,4.049B,16.70B,32.00M,2.12B,1.789B,12.45B,14.58B,10.66B,656.00M,1.085B,1.32B
NLSN,2018-03,-886.00M,462.00M,719.00M,360.00M,389.00M,0.2,0.2,13.61B,1.296B,891.00M,2018-03,72.00M,-94.00M,-94.00M,468.00M,1.423B,8.286B,231.00M,1.09B,114.00M,39.00M,1.61B,493.00M,4.258B,16.92B,32.00M,2.264B,1.839B,12.46B,14.66B,10.63B,660.00M,1.09B,1.374B
NLSN,2017-12,-940.00M,656.00M,734.00M,84.00M,361.00M,0.23,0.23,13.57B,0,1.027B,2017-12,81.00M,-96.00M,-96.00M,482.00M,1.435B,8.357B,386.00M,962.00M,246.00M,162.00M,1.761B,478.00M,4.245B,16.87B,32.00M,2.282B,1.697B,12.42B,14.58B,10.73B,641.00M,407.00M,1.28B
NLSN,2017-09,-979.00M,662.00M,692.00M,67.00M,328.00M,0.41,0.41,13.39B,0,949.00M,2017-09,146.00M,-94.00M,-94.00M,458.00M,1.219B,8.377B,341.00M,1.213B,242.00M,92.00M,1.641B,448.00M,4.259B,16.58B,32.00M,2.272B,1.608B,12.12B,14.31B,10.52B,608.00M,1.213B,1.282B
NLSN,2017-06,-1.051B,510.00M,678.00M,163.00M,352.00M,0.37,0.37,13.35B,0,966.00M,2017-06,131.00M,-91.00M,-91.00M,454.00M,1.245B,8.36B,330.00M,1.06B,224.00M,91.00M,1.644B,474.00M,4.191B,16.49B,32.00M,2.217B,1.575B,12.10B,14.28B,10.53B,636.00M,1.06B,1.367B
NLSN,2017-03,-1.134B,451.00M,661.00M,236.00M,364.00M,0.2,0.2,13.30B,0,865.00M,2017-03,71.00M,-89.00M,-89.00M,464.00M,1.272B,8.18B,237.00M,1.035B,116.00M,43.00M,1.526B,473.00M,4.123B,16.33B,32.00M,2.101B,1.635B,12.02B,14.23B,10.38B,628.00M,1.035B,1.287B
NLSN,2016-12,-1.211B,754.00M,670.00M,188.00M,297.00M,0.44,0.44,12.58B,0,986.00M,2016-12,159.00M,-85.00M,-85.00M,471.00M,1.175B,7.738B,360.00M,826.00M,261.00M,101.00M,1.656B,473.00M,4.102B,15.73B,32.00M,2.222B,1.594B,11.44B,13.51B,9.843B,626.00M,335.00M,1.171B
