Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
NOC,2020-12,-128.00M,4.907B,8.122B,1.806B,2.517B,1.97,1.97,18.30B,14.94B,2.09B,2020-12,759.00M,330.00M,-160.00M,-160.00M,8.604B,39.00M,15.60B,1.152B,1.806B,305.00M,-25.00M,10.21B,938.00M,10.58B,44.47B,167.00M,15.34B,9.58B,33.89B,29.12B,24.31B,938.00M,1.806B,6.641B
NOC,2020-09,-121.00M,4.995B,7.243B,1.803B,2.235B,5.91,5.89,19.56B,14.92B,1.84B,2020-09,853.00M,986.00M,-154.00M,-154.00M,8.666B,111.00M,15.55B,985.00M,2.197B,1.167B,181.00M,9.083B,855.00M,10.47B,44.77B,167.00M,14.55B,10.11B,34.30B,30.22B,24.20B,855.00M,2.197B,7.681B
NOC,2020-06,-117.00M,4.178B,7.058B,1.79B,2.179B,6.02,6.01,19.62B,14.69B,1.826B,2020-06,832.00M,1.005B,-154.00M,-154.00M,8.591B,140.00M,15.59B,994.00M,2.006B,1.203B,198.00M,8.884B,832.00M,9.712B,43.48B,167.00M,13.18B,9.727B,33.76B,30.30B,24.04B,832.00M,2.006B,7.449B
NOC,2020-03,-116.00M,3.278B,6.898B,0,2.027B,5.18,5.15,19.67B,14.38B,1.722B,2020-03,785.00M,868.00M,-125.00M,-125.00M,8.425B,133.00M,15.58B,934.00M,2.071B,1.053B,185.00M,8.62B,788.00M,9.062B,43.20B,167.00M,13.13B,10.18B,34.14B,30.08B,23.96B,788.00M,2.071B,8.054B
NOC,2019-12,-97.00M,2.245B,6.615B,0,2.237B,-2.39,-2.39,19.75B,14.27B,2.106B,2019-12,783.00M,-409.00M,-130.00M,-130.00M,8.423B,108.00M,14.08B,1.136B,2.226B,-569.00M,-160.00M,8.721B,970.00M,8.819B,41.09B,168.00M,10.68B,9.434B,32.27B,30.40B,22.84B,970.00M,2.226B,6.66B
NOC,2019-09,-87.00M,1.127B,6.748B,0,2.127B,5.52,5.49,19.83B,13.83B,1.727B,2019-09,810.00M,933.00M,-123.00M,-123.00M,8.122B,0,15.13B,951.00M,2.021B,1.055B,122.00M,8.475B,776.00M,9.731B,40.55B,169.00M,10.84B,8.416B,30.82B,29.72B,22.41B,776.00M,2.021B,7.888B
NOC,2019-06,-75.00M,1.088B,6.726B,0,1.942B,5.07,5.06,19.91B,13.43B,1.73B,2019-06,810.00M,861.00M,-137.00M,-137.00M,7.80B,0,14.92B,946.00M,1.962B,1.028B,167.00M,8.456B,784.00M,9.214B,39.58B,169.00M,10.16B,8.155B,30.37B,29.42B,22.22B,784.00M,1.962B,7.489B
NOC,2019-03,-59.00M,755.00M,6.493B,0,1.969B,5.08,5.06,19.99B,13.20B,1.696B,2019-03,778.00M,863.00M,-138.00M,-138.00M,7.703B,0,14.96B,936.00M,1.932B,1.034B,171.00M,8.189B,760.00M,8.739B,39.75B,170.00M,10.44B,8.821B,31.01B,29.31B,22.19B,760.00M,1.932B,7.951B
NOC,2018-12,-52.00M,1.579B,6.469B,0,1.917B,2.11,2.09,20.04B,11.74B,1.687B,2018-12,654.00M,356.00M,-142.00M,-142.00M,6.372B,0,13.88B,943.00M,2.182B,403.00M,47.00M,8.156B,744.00M,8.187B,37.65B,171.00M,9.68B,8.274B,29.47B,27.97B,21.19B,744.00M,2.182B,6.474B
NOC,2018-09,-5.535B,1.228B,6.096B,0,1.686B,7.15,7.11,20.10B,11.33B,1.989B,2018-09,719.00M,1.244B,-133.00M,-133.00M,6.025B,0,13.89B,1.172B,1.939B,1.364B,120.00M,8.085B,817.00M,9.103B,37.94B,174.00M,10.13B,8.039B,28.84B,27.81B,20.80B,817.00M,1.939B,7.302B
