Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
NOV,2020-12,-1.509B,1.692B,1.393B,110.00M,354.00M,-0.9,-0.9,2.02B,5.543B,-66.00M,2020-12,1.408B,-347.00M,-17.00M,-17.00M,2.493B,78.00M,2.446B,-301.00M,1.192B,-326.00M,22.00M,1.327B,235.00M,5.21B,9.929B,4.00M,5.209B,1.867B,4.65B,4.72B,2.783B,235.00M,698.00M,1.885B
NOV,2020-09,-1.577B,1.485B,1.245B,111.00M,371.00M,-0.14,-0.14,2.009B,2.569B,139.00M,2020-09,1.745B,-55.00M,-21.00M,-21.00M,2.569B,70.00M,2.443B,-74.00M,1.195B,-114.00M,-61.00M,1.384B,213.00M,5.465B,10.17B,4.00M,5.376B,1.884B,4.628B,4.792B,2.744B,213.00M,673.00M,1.937B
NOV,2020-06,-1.613B,1.447B,1.359B,115.00M,408.00M,-0.24,-0.24,2.018B,2.615B,137.00M,2020-06,1.929B,-93.00M,-20.00M,-20.00M,2.615B,71.00M,2.666B,-100.00M,1.224B,-134.00M,-47.00M,1.496B,237.00M,5.46B,10.45B,4.00M,5.59B,1.954B,4.914B,4.857B,2.96B,237.00M,725.00M,2.01B
NOV,2020-03,-1.655B,1.115B,1.659B,115.00M,470.00M,-5.34,-5.34,2.049B,2.613B,224.00M,2020-03,2.032B,-2.047B,-19.00M,-19.00M,2.613B,69.00M,2.648B,-59.00M,1.305B,-2.205B,-156.00M,1.883B,283.00M,5.486B,10.69B,4.00M,5.902B,2.163B,5.136B,4.788B,2.973B,283.00M,764.00M,2.518B
NOV,2019-12,-1.423B,1.171B,1.905B,114.00M,427.00M,-1.01,-1.01,3.659B,6.011B,376.00M,2019-12,2.197B,-385.00M,-21.00M,-21.00M,3.028B,140.00M,2.663B,87.00M,1.412B,-431.00M,-46.00M,2.281B,289.00M,7.778B,13.15B,4.00M,6.113B,2.247B,5.303B,7.036B,3.056B,289.00M,869.00M,2.498B
NOV,2019-09,-1.524B,1.313B,1.975B,113.00M,455.00M,-0.64,-0.64,4.102B,3.034B,151.00M,2019-09,2.537B,-244.00M,-21.00M,-21.00M,3.034B,174.00M,3.157B,-142.00M,1.414B,-189.00M,60.00M,2.126B,293.00M,8.057B,14.00B,4.00M,6.515B,2.276B,5.876B,7.49B,3.60B,293.00M,826.00M,2.414B
NOV,2019-06,-1.392B,1.121B,2.07B,116.00M,455.00M,-14.11,-14.11,4.106B,3.054B,62.00M,2019-06,2.858B,-5.389B,-19.00M,-19.00M,3.054B,177.00M,3.179B,-355.00M,1.372B,-5.757B,-373.00M,2.132B,417.00M,8.411B,14.35B,4.00M,6.766B,2.221B,5.862B,7.583B,3.641B,417.00M,794.00M,2.558B
NOV,2019-03,-1.413B,1.27B,1.684B,115.00M,412.00M,-0.2,-0.2,9.234B,3.394B,256.00M,2019-03,3.131B,-77.00M,-19.00M,-19.00M,3.394B,565.00M,3.211B,-48.00M,1.363B,-85.00M,-10.00M,1.94B,304.00M,13.76B,20.00B,4.00M,6.938B,2.103B,6.162B,13.06B,4.059B,304.00M,777.00M,2.332B
NOV,2018-12,-1.437B,1.427B,1.989B,7.00M,458.00M,0.03,0.03,9.284B,5.484B,409.00M,2018-12,2.986B,12.00M,-15.00M,-15.00M,2.797B,564.00M,2.704B,87.00M,1.522B,41.00M,26.00M,2.398B,322.00M,13.82B,19.80B,4.00M,7.279B,2.341B,5.907B,12.52B,3.566B,322.00M,912.00M,2.666B
NOV,2018-09,-1.328B,1.293B,1.761B,8.00M,570.00M,0.0026,0.0026,9.411B,0,393.00M,2018-09,3.177B,1.00M,-18.00M,-18.00M,2.813B,672.00M,2.706B,73.00M,1.404B,33.00M,29.00M,2.154B,320.00M,13.91B,19.89B,4.00M,7.221B,2.276B,5.917B,12.67B,3.641B,320.00M,778.00M,2.488B
