Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
NVDA,2021-01,19.00M,11.56B,1.847B,1.12B,288.00M,2.35,2.31,6.93B,4.264B,3.156B,2021-01,1.826B,1.457B,-46.00M,-46.00M,2.856B,404.00M,6.598B,1.507B,2.456B,1.47B,13.00M,1.146B,5.003B,503.00M,16.89B,28.79B,1.00M,16.06B,3.925B,11.90B,12.74B,7.973B,1.649B,1.262B,2.429B
NVDA,2020-10,12.00M,10.14B,1.766B,1.114B,235.00M,2.16,2.12,7.054B,2.74B,2.96B,2020-10,1.495B,1.336B,-46.00M,-46.00M,2.74B,405.00M,6.567B,1.398B,2.257B,1.348B,12.00M,1.047B,4.726B,515.00M,15.33B,26.88B,1.00M,14.39B,3.669B,11.55B,12.49B,7.878B,1.562B,1.167B,2.546B
NVDA,2020-07,4.00M,10.98B,1.591B,124.00M,222.00M,1.01,0.99,7.047B,2.665B,2.275B,2020-07,1.401B,622.00M,-41.00M,-41.00M,2.665B,394.00M,7.571B,651.00M,1.999B,609.00M,-13.00M,997.00M,3.866B,627.00M,13.91B,25.18B,1.00M,14.68B,2.41B,11.27B,10.50B,8.856B,1.624B,1.046B,2.084B
NVDA,2020-04,-10.00M,16.35B,1.076B,100.00M,174.00M,1.49,1.47,708.00M,2.31B,2.004B,2020-04,1.128B,917.00M,6.00M,6.00M,2.31B,99.00M,7.478B,976.00M,1.566B,981.00M,64.00M,735.00M,3.08B,293.00M,13.10B,23.25B,1.00M,19.58B,1.903B,10.16B,3.67B,8.252B,1.028B,913.00M,1.907B
NVDA,2020-01,1.00M,10.90B,1.09B,91.00M,141.00M,1.55,1.53,667.00M,3.303B,2.015B,2020-01,979.00M,951.00M,28.00M,28.00M,2.292B,89.00M,2.552B,990.00M,1.523B,1.016B,65.00M,738.00M,3.105B,287.00M,12.20B,17.32B,1.00M,13.69B,1.784B,5.111B,3.625B,3.327B,1.025B,748.00M,1.657B
NVDA,2019-10,-3.00M,9.769B,1.098B,89.00M,119.00M,1.47,1.45,661.00M,2.044B,1.916B,2019-10,1.047B,899.00M,32.00M,32.00M,2.044B,82.00M,2.459B,927.00M,1.187B,959.00M,60.00M,712.00M,3.014B,277.00M,11.21B,15.81B,1.00M,12.42B,1.475B,4.596B,3.39B,3.121B,989.00M,661.00M,1.455B
NVDA,2019-07,-1.00M,8.475B,1.038B,84.00M,127.00M,0.91,0.9,667.00M,2.019B,1.541B,2019-07,1.204B,552.00M,34.00M,34.00M,2.019B,77.00M,2.472B,571.00M,1.01B,606.00M,54.00M,704.00M,2.579B,266.00M,10.34B,14.78B,1.00M,11.39B,1.317B,4.439B,3.384B,3.122B,970.00M,495.00M,1.561B
NVDA,2019-04,-2.00M,7.802B,924.00M,80.00M,85.00M,0.65,0.64,672.00M,2.009B,1.296B,2019-04,1.426B,394.00M,31.00M,31.00M,2.009B,70.00M,2.474B,358.00M,963.00M,389.00M,-5.00M,674.00M,2.22B,264.00M,9.704B,14.02B,1.00M,10.63B,1.183B,4.317B,3.392B,3.134B,938.00M,498.00M,1.242B
NVDA,2019-01,-12.00M,7.422B,998.00M,3.00M,92.00M,0.93,0.92,663.00M,2.171B,1.207B,2019-01,1.575B,566.00M,28.00M,28.00M,1.404B,86.00M,1.988B,294.00M,1.176B,324.00M,-242.00M,647.00M,2.205B,266.00M,9.342B,13.29B,1.00M,10.56B,1.329B,3.95B,2.735B,2.621B,913.00M,602.00M,1.424B
NVDA,2018-10,-24.00M,7.591B,1.26B,0,80.00M,2.02,1.97,667.00M,0,1.921B,2018-10,1.417B,1.23B,22.00M,22.00M,1.292B,80.00M,1.987B,1.058B,1.471B,1.081B,-149.00M,605.00M,3.181B,258.00M,9.475B,13.66B,1.00M,11.39B,1.608B,4.182B,2.271B,2.574B,863.00M,942.00M,2.219B
