Ticker,Date,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
NVR,2021-03,2.774B,1.577B,0,67.72,63.21,0,67.32M,466.02M,2021-03,1.830B,248.76M,-13.40M,-13.40M,67.32M,314.45M,1.587B,324.54M,873.06M,312.01M,63.24M,2.043B,143.08M,3.047B,5.821B,0.206M,4.666B,873.06M,2.774B,1.155B,1.901B,141.49M,414.22M,22.06M
NVR,2020-12,2.778B,1.822B,0,82.08,76.93,0,80.26M,524.28M,2020-12,1.709B,305.00M,-13.17M,-13.17M,70.09M,240.76M,1.590B,397.51M,843.26M,385.37M,80.37M,2.346B,133.98M,3.103B,5.777B,0.206M,4.537B,843.26M,2.674B,1.240B,1.831B,126.77M,402.59M,18.30M
NVR,2020-09,2.561B,1.536B,0,69.19,65.11,0,73.24M,456.19M,2020-09,1.763B,256.47M,-11.69M,-11.69M,73.24M,211.12M,1.594B,332.26M,776.08M,321.46M,64.99M,1.992B,125.92M,2.919B,5.500B,0.206M,4.377B,776.08M,2.581B,1.123B,1.805B,123.93M,388.32M,21.46M
NVR,2020-06,2.001B,1.284B,0,44.56,42.5,0,77.18M,337.73M,2020-06,1.603B,164.08M,-9.525M,-9.525M,77.18M,158.02M,1.274B,218.68M,685.87M,209.83M,45.76M,1.622B,121.46M,2.612B,4.730B,0.206M,3.651B,685.87M,2.118B,1.079B,1.432B,119.05M,336.75M,20.80M
NVR,2020-03,1.092B,1.295B,0,47.97,44.96,0,81.20M,290.25M,2020-03,1.516B,175.70M,-6.486M,-6.486M,81.20M,147.16M,682.09M,167.21M,641.36M,161.38M,-14.33M,1.585B,128.38M,2.417B,3.888B,0.206M,2.661B,641.36M,1.471B,1.227B,829.25M,123.04M,367.23M,27.09M
NVR,2019-12,1.140B,1.567B,0,69.78,64.41,0,91.79M,426.04M,2019-12,1.347B,256.14M,-6.571M,-6.571M,83.00M,131.89M,683.68M,301.06M,653.01M,295.30M,39.16M,1.993B,131.49M,2.341B,3.810B,0.206M,2.526B,653.01M,1.469B,1.284B,815.56M,124.98M,306.97M,18.28M
NVR,2019-09,1.095B,1.518B,0,60.94,56.11,0,83.42M,396.33M,2019-09,1.496B,223.79M,-6.293M,-6.293M,83.42M,142.94M,683.82M,272.65M,645.14M,267.17M,43.39M,1.915B,130.38M,2.371B,3.843B,0.206M,2.641B,645.14M,1.472B,1.202B,826.76M,123.68M,325.80M,29.28M
NVR,2019-06,882.32M,1.425B,0,58.2,53.09,0,85.34M,377.54M,2019-06,1.398B,210.21M,-6.301M,-6.301M,85.34M,146.21M,685.32M,250.33M,652.27M,244.71M,34.50M,1.803B,133.04M,2.119B,3.603B,0.206M,2.333B,652.27M,1.484B,1.270B,831.53M,127.21M,352.81M,28.94M
NVR,2019-03,816.45M,1.339B,0,52.23,47.64,0,84.16M,351.04M,2019-03,1.281B,188.41M,-6.215M,-6.215M,84.16M,142.63M,684.04M,224.28M,637.33M,218.61M,30.20M,1.690B,132.49M,1.899B,3.363B,0.206M,2.152B,637.33M,1.464B,1.211B,826.67M,126.76M,326.45M,30.49M
NVR,2018-12,711.88M,1.591B,0,64.46,58.57,0,13.72M,407.04M,2018-12,1.253B,232.16M,-6.273M,-6.273M,6.51M,138.25M,597.68M,282.99M,621.44M,277.44M,45.28M,1.998B,128.90M,1.809B,3.166B,0.206M,2.004B,621.44M,1.357B,1.162B,735.93M,124.05M,288.57M,18.64M
NVR,2018-09,609.87M,1.473B,0,54.21,48.28,1.563M,6.763M,383.12M,2018-09,1.421B,195.82M,-6.197M,-6.197M,6.763M,167.68M,597.53M,255.25M,642.30M,249.71M,53.89M,1.856B,130.71M,1.682B,3.090B,0.206M,2.080B,642.30M,1.408B,1.010B,765.20M,127.87M,319.74M,26.36M
NVR,2018-06,431.55M,1.417B,0,55.9,49.05,1.908M,7.018M,373.42M,2018-06,1.434B,203.17M,-6.329M,-6.329M,7.018M,172.03M,597.37M,247.27M,632.42M,241.59M,38.41M,1.790B,128.31M,1.608B,3.009B,0.206M,1.921B,632.42M,1.402B,1.088B,769.41M,126.15M,325.97M,30.18M
NVR,2018-03,425.57M,1.212B,0,45.19,39.34,2.254M,6.237M,319.56M,2018-03,1.344B,166.05M,-6.282M,-6.282M,6.237M,167.49M,597.22M,196.76M,614.55M,191.00M,24.95M,1.532B,124.78M,1.467B,2.846B,0.206M,1.816B,614.55M,1.379B,1.030B,764.71M,122.80M,299.65M,22.37M
