Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
NWL,2020-12,-880.00M,981.00M,1.805B,595.00M,0,0.3,0.3,7.117B,3.594B,884.00M,2020-12,1.638B,127.00M,-69.00M,-69.00M,1.706B,414.00M,5.613B,276.00M,2.79B,101.00M,-26.00M,2.689B,608.00M,3.874B,14.70B,448.00M,4.628B,3.621B,10.80B,10.07B,7.179B,608.00M,1.592B,1.678B
NWL,2020-09,-988.00M,858.00M,1.785B,228.00M,0,0.72,0.71,7.09B,3.491B,914.00M,2020-09,1.718B,304.00M,-71.00M,-71.00M,1.658B,463.00M,6.279B,369.00M,2.664B,283.00M,-21.00M,2.699B,545.00M,3.726B,14.72B,448.00M,4.704B,3.108B,10.97B,10.02B,7.862B,545.00M,1.497B,1.814B
NWL,2020-06,-1.006B,619.00M,1.447B,538.00M,0,0.18,0.18,7.057B,3.455B,664.00M,2020-06,1.714B,78.00M,-71.00M,-71.00M,1.671B,471.00M,6.275B,176.00M,2.22B,93.00M,15.00M,2.111B,488.00M,3.492B,14.26B,448.00M,4.286B,2.917B,10.74B,9.971B,7.824B,488.00M,1.264B,1.641B
NWL,2020-03,-1.055B,476.00M,1.269B,765.00M,0,-3.02,-3.02,7.05B,3.422B,617.00M,2020-03,1.70B,-1.279B,-63.00M,-63.00M,1.684B,498.00M,5.878B,69.00M,2.062B,-1.483B,-204.00M,1.886B,548.00M,3.454B,13.90B,448.00M,3.917B,2.951B,10.42B,9.986B,7.473B,548.00M,1.136B,1.398B
NWL,2019-12,-920.00M,349.00M,1.772B,464.00M,0,1.88,1.87,8.625B,3.493B,852.00M,2019-12,1.606B,794.00M,-70.00M,-70.00M,1.77B,625.00M,5.932B,212.00M,2.31B,57.00M,-721.00M,2.624B,640.00M,4.963B,15.64B,447.00M,4.11B,2.978B,10.65B,11.53B,7.668B,640.00M,1.216B,1.842B
NWL,2019-09,-1.038B,465.40M,1.722B,765.90M,0,-1.48,-1.48,8.289B,3.364B,847.00M,2019-09,1.877B,-626.00M,-75.00M,-75.00M,1.697B,759.20M,6.247B,217.00M,2.452B,-968.00M,-327.00M,2.569B,630.00M,4.138B,16.01B,446.90M,5.468B,3.684B,11.84B,10.54B,8.158B,630.00M,1.212B,1.873B
NWL,2019-06,-921.30M,624.50M,1.615B,171.70M,0,0.21,0.21,8.462B,2.779B,865.00M,2019-06,1.845B,90.00M,-78.00M,-78.00M,1.569B,1.025B,7.280B,253.00M,2.282B,153.00M,30.00M,2.48B,612.00M,4.969B,17.67B,446.90M,7.062B,3.136B,12.66B,10.60B,9.526B,612.00M,1.178B,1.769B
NWL,2019-03,-936.50M,364.10M,1.387B,711.40M,0,-0.36,-0.36,8.495B,2.772B,655.00M,2019-03,1.799B,-151.00M,-80.00M,-80.00M,1.55B,1.001B,7.242B,86.00M,1.958B,-94.00M,-20.00M,2.042B,569.00M,4.948B,18.11B,446.50M,7.516B,3.552B,13.12B,10.59B,9.571B,569.00M,1.028B,1.606B
NWL,2018-12,-912.80M,495.70M,2.030B,318.70M,0,0.46,0.46,10.02B,3.013B,1.063B,2018-12,1.761B,184.00M,-103.80M,-103.80M,1.226B,1.09B,6.696B,321.80M,2.500B,20.90M,-90.90M,3.093B,740.90M,5.218B,17.72B,446.10M,5.958B,3.304B,12.47B,11.76B,9.166B,740.90M,1.358B,2.164B
NWL,2018-09,-1.037B,1.444B,1.633B,316.30M,0,-15.52,-15.52,8.745B,2.100B,915.40M,2018-09,1.858B,-7.311B,-105.60M,-105.60M,916.90M,1.564B,9.297B,311.00M,2.422B,-7.945B,-1.220B,2.549B,604.40M,5.993B,22.40B,490.10M,12.21B,4.097B,16.37B,10.19B,12.28B,604.40M,1.267B,2.015B
