Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
NXPI,2020-12,117.00M,2.275B,1.219B,1.749B,0,1.1,1.08,12.23B,6.521B,1.288B,2020-12,1.03B,309.00M,-67.00M,-67.00M,2.284B,85.00M,7.609B,459.00M,1.957B,326.00M,5.00M,460.00M,2.507B,221.00M,8.944B,19.85B,59.00M,4.324B,2.017B,10.70B,15.52B,8.679B,829.00M,991.00M,765.00M
NXPI,2020-09,90.00M,3.566B,1.177B,1.349B,0,-0.08,-0.08,12.34B,6.365B,1.09B,2020-09,1.064B,-22.00M,-101.00M,-101.00M,2.255B,136.00M,7.607B,31.00M,697.00M,-74.00M,-57.00M,438.00M,2.267B,203.00M,8.876B,21.12B,64.00M,5.604B,3.411B,12.05B,15.52B,8.638B,1.059B,697.00M,755.00M
NXPI,2020-06,50.00M,3.266B,957.00M,1.142B,0,-0.77,-0.77,12.77B,6.289B,860.00M,2020-06,1.228B,-214.00M,-91.00M,-91.00M,2.312B,136.00M,8.004B,-144.00M,729.00M,-241.00M,-33.00M,402.00M,1.817B,222.00M,8.862B,21.06B,64.00M,5.215B,2.992B,12.00B,15.84B,9.01B,1.004B,729.00M,481.00M
NXPI,2020-03,14.00M,1.079B,1.024B,1.177B,0,-0.08,-0.08,13.15B,6.239B,997.00M,2020-03,1.227B,-21.00M,-82.00M,-82.00M,2.397B,199.00M,7.366B,-42.00M,895.00M,-10.00M,2.00M,425.00M,2.021B,233.00M,9.036B,19.51B,64.00M,3.249B,1.831B,10.25B,16.26B,8.422B,1.039B,895.00M,616.00M
NXPI,2019-12,75.00M,1.045B,1.092B,1.117B,0,0.41,0.4,13.57B,6.19B,1.209B,2019-12,1.192B,114.00M,-84.00M,-84.00M,2.448B,282.00M,7.365B,195.00M,1.759B,104.00M,-20.00M,424.00M,2.301B,225.00M,9.441B,20.02B,64.00M,3.267B,1.791B,10.36B,16.75B,8.57B,1.014B,944.00M,667.00M
NXPI,2019-09,67.00M,3.537B,1.079B,1.107B,0,0.39,0.38,12.20B,6.033B,1.186B,2019-09,1.134B,109.00M,-85.00M,-85.00M,2.401B,285.00M,7.363B,211.00M,862.00M,148.00M,28.00M,396.00M,2.265B,221.00M,9.39B,21.25B,67.00M,5.944B,3.126B,11.66B,15.31B,8.533B,975.00M,862.00M,786.00M
NXPI,2019-06,118.00M,3.03B,1.066B,1.002B,0,0.15,0.14,12.52B,5.916B,1.151B,2019-06,1.144B,41.00M,-78.00M,-78.00M,2.397B,337.00M,7.361B,158.00M,770.00M,68.00M,21.00M,408.00M,2.217B,230.00M,9.325B,21.06B,67.00M,5.431B,2.983B,11.54B,15.63B,8.556B,993.00M,770.00M,780.00M
NXPI,2019-03,109.00M,2.192B,1.022B,0,0,-0.07,-0.07,12.95B,5.814B,1.072B,2019-03,1.241B,-21.00M,-77.00M,-77.00M,2.407B,390.00M,6.223B,52.00M,815.00M,-29.00M,-9.00M,415.00M,2.094B,248.00M,9.741B,20.67B,67.00M,4.62B,3.262B,10.74B,16.05B,7.479B,1.02B,815.00M,800.00M
NXPI,2018-12,123.00M,2.789B,1.16B,0,0,0.94,0.94,13.32B,5.735B,1.243B,2018-12,1.279B,276.00M,-64.00M,-64.00M,2.436B,450.00M,6.247B,225.00M,2.218B,147.00M,-141.00M,403.00M,2.403B,251.00M,10.50B,21.53B,67.00M,5.225B,3.385B,10.84B,16.30B,7.455B,1.018B,999.00M,792.00M
NXPI,2018-09,126.00M,1.944B,1.189B,0,0,5.64,5.6,13.63B,5.582B,1.256B,2018-09,1.284B,1.82B,-118.00M,-118.00M,2.394B,502.00M,5.354B,209.00M,2.532B,2.092B,311.00M,433.00M,2.445B,252.00M,10.63B,21.06B,71.00M,4.403B,3.596B,10.25B,16.65B,6.655B,1.047B,949.00M,845.00M
