Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
OMC,2021-03,-1.246B,4.897B,2.837B,5.90M,1.278B,1.33,1.33,9.822B,2.896B,590.30M,2021-03,1.139B,287.80M,-47.50M,-47.50M,1.741B,434.40M,6.817B,465.40M,9.742B,417.90M,111.90M,0,3.427B,71.60M,3.211B,25.61B,44.60M,13.73B,13.47B,21.92B,11.88B,8.451B,124.90M,9.742B,6.633B
OMC,2020-12,-1.214B,5.600B,2.987B,3.90M,1.361B,1.85,1.84,9.908B,2.965B,769.80M,2020-12,1.101B,398.10M,-56.10M,-56.10M,1.809B,443.50M,6.921B,614.70M,11.76B,566.70M,141.50M,0,3.757B,101.30M,3.084B,27.65B,44.60M,15.59B,15.53B,24.07B,12.06B,8.545B,155.10M,11.76B,7.813B
OMC,2020-09,-1.381B,3.278B,2.560B,23.60M,1.130B,1.45,1.45,9.745B,2.989B,646.30M,2020-09,1.174B,313.30M,-48.50M,-48.50M,1.841B,424.60M,6.910B,501.40M,8.759B,452.90M,120.90M,0,3.206B,90.20M,2.639B,23.78B,44.60M,11.86B,12.16B,20.66B,11.92B,8.494B,144.90M,8.759B,6.298B
OMC,2020-06,-1.457B,3.281B,2.599B,6.40M,1.07B,-0.11,-0.11,9.553B,2.983B,201.70M,2020-06,1.159B,-24.20M,-47.20M,-47.20M,1.868B,428.70M,6.890B,62.50M,8.151B,15.30M,21.90M,0,2.801B,82.10M,2.413B,22.64B,44.60M,10.89B,11.33B,19.78B,11.75B,8.449B,139.20M,8.151B,5.291B
OMC,2020-03,-1.528B,2.694B,2.843B,10.90M,1.076B,1.19,1.19,9.514B,3.118B,564.00M,2020-03,1.313B,258.10M,-45.80M,-45.80M,1.988B,401.60M,6.322B,420.20M,9.656B,374.40M,97.40M,0,3.407B,86.80M,2.448B,23.68B,44.60M,11.85B,12.86B,20.75B,11.83B,7.894B,143.80M,9.656B,6.690B
OMC,2019-12,-1.198B,4.309B,3.341B,612.50M,1.215B,1.9,1.89,9.779B,3.204B,800.10M,2019-12,1.258B,415.00M,-47.20M,-47.20M,2.062B,408.10M,5.807B,646.40M,12.02B,607.90M,158.90M,0,4.141B,97.50M,2.854B,26.78B,44.60M,14.58B,15.98B,23.41B,12.20B,7.429B,153.70M,12.02B,7.829B
OMC,2019-09,-1.349B,2.446B,2.995B,611.30M,1.059B,1.33,1.32,9.626B,3.186B,628.40M,2019-09,1.428B,290.20M,-49.30M,-49.30M,2.048B,423.90M,5.784B,473.30M,9.631B,424.00M,112.30M,0,3.624B,97.20M,2.464B,23.65B,44.60M,11.60B,13.26B,20.67B,12.05B,7.406B,155.10M,9.631B,6.548B
OMC,2019-06,-1.235B,2.904B,2.981B,1.508B,1.094B,1.69,1.68,9.718B,3.259B,739.20M,2019-06,1.364B,370.70M,-50.20M,-50.20M,2.115B,438.00M,5.344B,573.70M,10.57B,523.50M,130.60M,0,3.720B,107.70M,2.410B,25.04B,44.60M,12.80B,15.07B,22.08B,12.24B,7.015B,165.50M,10.57B,7.245B
OMC,2019-03,-1.218B,3.455B,2.877B,1.095B,1.104B,1.18,1.17,9.747B,3.136B,592.10M,2019-03,1.314B,263.20M,-46.00M,-46.00M,1.985B,418.90M,5.62B,428.90M,10.53B,382.90M,102.70M,0,3.469B,103.60M,2.413B,25.21B,44.60M,13.07B,14.91B,22.24B,12.14B,7.328B,163.20M,10.53B,7.037B
OMC,2018-12,-1.228B,3.658B,3.279B,507.70M,1.159B,1.78,1.77,9.767B,1.879B,807.60M,2018-12,1.162B,399.20M,-60.80M,-60.80M,694.40M,413.70M,4.384B,627.20M,11.64B,574.10M,149.70M,0,4.087B,119.10M,2.547B,24.62B,44.60M,13.73B,15.27B,21.51B,10.89B,6.240B,180.40M,11.64B,7.666B
OMC,2018-09,-1.186B,2.106B,3.033B,510.70M,1.142B,1.33,1.32,9.808B,1.886B,681.70M,2018-09,1.359B,298.90M,-56.70M,-56.70M,673.10M,398.90M,4.358B,502.30M,9.851B,445.60M,115.30M,0,3.714B,113.50M,2.382B,22.49B,44.60M,11.58B,13.28B,19.54B,10.91B,6.262B,179.40M,9.851B,6.811B
OMC,2018-06,-1.167B,1.919B,3.092B,20.80M,1.147B,1.61,1.6,9.820B,1.973B,767.10M,2018-06,1.354B,364.20M,-52.50M,-52.50M,697.20M,451.00M,4.867B,582.30M,9.832B,529.80M,136.70M,0,3.860B,117.40M,2.321B,22.17B,44.60M,11.23B,12.62B,19.31B,10.94B,6.693B,184.80M,9.832B,6.760B
OMC,2018-03,-875.10M,2.57B,3.033B,8.60M,1.214B,1.15,1.14,10.06B,1.989B,596.50M,2018-03,1.378B,264.10M,-46.90M,-46.90M,691.70M,454.40M,4.885B,421.70M,10.52B,374.80M,90.90M,0,3.630B,105.40M,2.626B,23.51B,44.60M,12.34B,13.60B,20.30B,11.17B,6.698B,174.80M,10.52B,7.199B
OMC,2017-12,-963.00M,3.796B,3.359B,11.80M,1.267B,1.1,1.09,9.706B,1.970B,817.60M,2017-12,1.111B,254.40M,-70.00M,-70.00M,690.90M,483.60M,4.913B,626.40M,11.90B,576.50M,289.50M,0,4.176B,121.50M,2.615B,24.93B,44.60M,14.12B,15.11B,21.78B,10.82B,6.670B,191.20M,11.90B,8.084B
OMC,2017-09,-958.20M,1.851B,3.081B,38.70M,1.133B,1.14,1.13,9.713B,1.992B,638.30M,2017-09,1.458B,263.60M,-52.40M,-52.40M,690.50M,472.50M,4.927B,470.20M,9.749B,417.80M,132.00M,0,3.720B,99.50M,2.522B,22.21B,44.60M,11.42B,12.62B,19.17B,10.79B,6.545B,168.10M,9.749B,7.046B
OMC,2017-06,-1.112B,1.874B,3.037B,19.30M,1.141B,1.41,1.4,9.574B,1.964B,752.70M,2017-06,1.402B,328.60M,-51.30M,-51.30M,687.70M,490.30M,4.93B,571.50M,10.07B,520.20M,166.70M,0,3.790B,110.10M,2.256B,22.16B,44.60M,11.51B,12.86B,19.40B,10.66B,6.541B,181.20M,10.07B,7.143B
OMC,2017-03,-1.253B,2.486B,2.990B,28.60M,1.177B,1.03,1.02,9.489B,1.931B,597.00M,2017-03,1.350B,241.80M,-45.40M,-45.40M,678.20M,458.30M,4.914B,415.70M,9.845B,370.30M,108.00M,0,3.587B,108.60M,2.135B,22.24B,44.60M,11.73B,13.07B,19.57B,10.51B,6.501B,181.30M,9.845B,6.797B
OMC,2016-12,-1.356B,3.023B,3.425B,28.80M,1.187B,1.47,1.47,9.404B,1.908B,816.90M,2016-12,1.125B,350.30M,-90.20M,-90.20M,674.80M,480.50M,4.920B,623.50M,10.83B,561.80M,182.80M,0,4.242B,120.80M,2.162B,23.17B,44.60M,12.72B,14.01B,20.51B,10.44B,6.495B,193.40M,10.83B,7.511B
OMC,2016-09,-1.090B,1.969B,3.161B,25.20M,1.126B,1.06,1.06,9.490B,1.937B,630.30M,2016-09,1.355B,253.80M,-42.00M,-42.00M,678.90M,539.00M,5.007B,453.10M,9.034B,411.10M,134.30M,0,3.791B,104.10M,2.324B,21.40B,59.60M,10.83B,11.96B,18.58B,10.57B,6.615B,177.20M,9.034B,6.489B
OMC,2016-06,-1.062B,1.537B,3.139B,11.70M,1.163B,1.36,1.36,9.526B,1.918B,745.70M,2016-06,1.365B,326.10M,-44.80M,-44.80M,683.40M,553.00M,5.022B,561.80M,8.663B,517.00M,167.90M,0,3.885B,110.90M,2.282B,20.94B,59.60M,10.31B,11.54B,18.16B,10.62B,6.621B,183.90M,8.663B,6.423B
OMC,2016-03,-949.30M,1.75B,2.925B,1.039B,1.252B,0.9,0.9,9.445B,1.924B,574.40M,2016-03,1.362B,218.40M,-40.10M,-40.10M,690.10M,489.00M,3.613B,392.10M,8.680B,352.00M,115.50M,0,3.499B,108.10M,2.376B,21.07B,59.60M,10.55B,12.94B,18.16B,10.52B,5.221B,182.30M,8.680B,6.321B
OMC,2015-12,-1.015B,2.620B,3.390B,1.007B,1.284B,1.35,1.35,9.021B,1.899B,763.70M,2015-12,1.123B,331.60M,-36.80M,-36.80M,692.70M,469.10M,3.564B,575.50M,10.13B,538.70M,176.70M,0,4.153B,115.80M,2.452B,22.11B,59.60M,11.98B,14.22B,19.22B,10.13B,5.002B,188.20M,10.13B,7.221B
OMC,2015-09,-981.60M,1.43B,3.103B,1.013B,1.182B,0.97,0.97,9.022B,1.919B,603.80M,2015-09,1.455B,239.30M,-35.90M,-35.90M,691.30M,613.50M,3.602B,428.30M,8.577B,392.40M,128.90M,0,3.707B,103.70M,2.478B,20.46B,59.60M,10.25B,12.39B,17.55B,10.20B,5.167B,175.50M,8.577B,6.314B
OMC,2015-06,-759.20M,1.362B,3.084B,1.019B,1.219B,1.27,1.26,9.125B,1.951B,721.40M,2015-06,1.511B,313.90M,-34.60M,-34.60M,706.60M,651.70M,3.548B,538.60M,8.799B,504.00M,165.30M,0,3.805B,110.10M,2.647B,20.78B,59.60M,10.50B,12.55B,17.69B,10.28B,5.143B,182.80M,8.799B,6.502B
OMC,2015-03,-936.70M,1.532B,2.915B,9.90M,1.153B,0.84,0.83,9.007B,1.894B,554.00M,2015-03,1.410B,209.10M,-34.20M,-34.20M,681.50M,643.30M,4.594B,377.70M,8.077B,343.50M,112.70M,0,3.469B,102.10M,2.390B,20.07B,59.60M,9.905B,11.02B,17.24B,10.17B,6.217B,176.30M,8.077B,5.840B
OMC,2014-12,-618.20M,2.390B,4.371B,7.60M,1.181B,1.3,1.3,9.212B,1.929B,-176.30M,2014-12,1.167B,329.50M,-30.00M,-30.00M,708.00M,543.90M,4.542B,579.40M,9.099B,549.40M,182.20M,0,4.195B,-1.050B,2.85B,21.43B,59.60M,11.08B,12.06B,18.11B,10.35B,6.046B,-755.70M,9.099B,6.525B
