Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
ORCL,2021-02,-1.155B,35.86B,1.915B,5.758B,8.088B,1.72,1.68,46.71B,13.82B,8.17B,2021-02,0,5.021B,-562.00M,-562.00M,6.816B,7.892B,63.54B,3.957B,812.00M,3.276B,-1.745B,1.621B,10.08B,2.245B,8.90B,118.11B,26.26B,43.74B,20.25B,108.47B,74.36B,88.22B,4.213B,812.00M,4.637B
ORCL,2020-11,-1.286B,38.59B,1.939B,7.251B,8.062B,0.82,0.8,46.94B,13.08B,7.861B,2020-11,0,2.442B,-573.00M,-573.00M,6.627B,0,63.53B,3.755B,724.00M,2.972B,530.00M,1.601B,9.80B,2.16B,7.917B,110.01B,26.30B,46.25B,21.35B,101.40B,63.76B,80.05B,4.106B,724.00M,4.423B
ORCL,2020-08,-1.337B,42.28B,1.88B,2.997B,9.875B,0.74,0.72,47.27B,0,7.487B,2020-08,0,2.251B,-583.00M,-583.00M,6.401B,0,67.77B,3.404B,534.00M,2.595B,344.00M,1.589B,9.367B,2.149B,9.491B,113.55B,26.24B,49.94B,18.75B,103.41B,63.61B,84.66B,4.083B,534.00M,4.576B
ORCL,2020-05,-1.716B,43.06B,1.969B,2.371B,8.002B,1,0.98,47.51B,0,8.47B,2020-05,0,3.116B,-509.00M,-509.00M,6.244B,0,69.23B,4.389B,637.00M,3.696B,580.00M,1.479B,10.44B,2.237B,12.07B,115.44B,26.49B,52.14B,17.20B,102.72B,63.30B,85.52B,4.081B,637.00M,5.551B
ORCL,2020-02,-1.679B,25.86B,1.964B,2.355B,7.814B,0.81,0.79,47.87B,0,7.832B,2020-02,0,2.571B,-334.00M,-334.00M,6.248B,0,49.32B,3.595B,533.00M,3.076B,505.00M,1.50B,9.796B,2.337B,14.24B,96.70B,26.68B,33.44B,15.74B,81.82B,63.26B,66.08B,4.237B,533.00M,4.162B
ORCL,2019-11,-1.637B,27.44B,2.048B,999.00M,8.087B,0.71,0.69,48.30B,0,7.566B,2019-11,0,2.311B,-320.00M,-320.00M,6.27B,0,50.67B,3.237B,534.00M,2.81B,499.00M,1.531B,9.614B,2.391B,15.56B,98.44B,26.37B,34.54B,14.59B,82.26B,63.90B,67.67B,4.329B,534.00M,4.05B
ORCL,2019-08,-1.571B,35.70B,1.957B,3.748B,10.09B,0.64,0.63,48.59B,0,7.261B,2019-08,0,2.137B,-304.00M,-304.00M,6.264B,0,50.69B,2.98B,486.00M,2.482B,345.00M,1.557B,9.218B,2.31B,18.43B,106.23B,26.45B,42.38B,18.88B,87.21B,63.84B,68.34B,4.281B,486.00M,3.82B
ORCL,2019-05,-1.628B,37.83B,2.063B,4.494B,8.374B,1.1,1.07,49.06B,0,9.074B,2019-05,0,3.74B,-323.00M,-323.00M,6.252B,0,51.67B,4.44B,580.00M,3.866B,126.00M,1.562B,11.14B,2.648B,21.78B,108.71B,26.91B,46.39B,18.63B,86.35B,62.32B,67.72B,4.634B,580.00M,5.134B
ORCL,2019-02,-1.734B,40.03B,1.976B,4.487B,8.007B,0.78,0.76,49.45B,0,7.638B,2019-02,0,2.745B,-263.00M,-263.00M,6.197B,0,51.67B,3.438B,603.00M,3.088B,343.00M,1.426B,9.614B,2.367B,23.71B,109.44B,26.73B,47.62B,17.99B,85.20B,61.82B,67.21B,4.20B,603.00M,3.993B
ORCL,2018-11,-1.965B,49.39B,2.001B,6.477B,8.246B,0.63,0.61,49.88B,0,7.561B,2018-11,0,2.333B,-223.00M,-223.00M,6.003B,0,51.56B,3.262B,587.00M,2.774B,441.00M,1.475B,9.562B,2.40B,30.57B,118.32B,27.43B,56.94B,20.32B,87.26B,61.38B,66.95B,4.299B,587.00M,3.975B
ORCL,2018-08,-1.766B,60.09B,1.953B,3.743B,10.35B,0.58,0.57,50.00B,11.81B,7.24B,2018-08,496.00M,2.265B,-181.00M,-181.00M,5.918B,0,54.39B,2.882B,527.00M,2.54B,275.00M,1.564B,9.193B,2.36B,38.07B,128.36B,27.81B,67.01B,19.56B,89.79B,61.35B,70.23B,4.358B,527.00M,3.729B
ORCL,2018-05,-1.689B,67.26B,2.173B,4.491B,8.341B,0.84,0.82,50.42B,10.29B,8.841B,2018-05,436.00M,3.276B,-197.00M,-197.00M,5.897B,0,56.13B,4.263B,529.00M,3.907B,631.00M,1.543B,11.01B,2.62B,46.37B,137.85B,28.95B,76.16B,19.12B,90.98B,61.69B,71.85B,4.578B,529.00M,5.136B
ORCL,2018-02,-1.296B,70.46B,1.996B,4.491B,8.003B,-0.98,-0.98,49.36B,8.096B,7.68B,2018-02,312.00M,-4.047B,-220.00M,-220.00M,5.904B,0,56.22B,3.409B,603.00M,3.191B,7.238B,1.496B,9.676B,2.381B,47.79B,138.20B,29.05B,77.73B,17.97B,89.93B,60.47B,71.96B,4.271B,603.00M,3.902B
