Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
Ticker,2020-12,-2.155M,465.64M,1.357B,322.78M,0,5.45,5.4,881.03M,8.555B,1.472B,2020-12,3.653B,392.94M,-37.75M,-37.75M,6.090B,155.90M,5.842B,534.27M,4.290B,499.93M,106.98M,2.829B,937.87M,140.26M,11.60B,0.711M,4.500B,5.262B,11.46B,7.097B,6.194B,937.87M,4.201B,330.29M
Ticker,2020-09,-17.04M,1.627B,1.527B,818.32M,0,7.13,7.07,873.72M,8.411B,1.680B,2020-09,3.527B,527.25M,-41.09M,-41.09M,5.987B,174.18M,5.763B,725.01M,4.216B,686.41M,159.15M,3.208B,955.46M,709.22M,12.50B,0.733M,5.533B,5.669B,11.79B,6.971B,6.125B,955.46M,4.088B,333.53M
Ticker,2020-06,-22.11M,872.42M,1.454B,318.60M,0,7.16,7.1,873.00M,8.330B,1.637B,2020-06,3.529B,531.67M,-41.09M,-41.09M,5.965B,155.53M,5.780B,736.49M,4.135B,700.41M,168.74M,3.092B,900.69M,589.10M,11.73B,0.741M,4.784B,5.022B,11.14B,6.944B,6.117B,900.69M,4.028B,330.17M
Ticker,2020-03,-25.76M,287.07M,1.181B,316.93M,0,4,3.97,910.14M,8.250B,1.296B,2020-03,3.557B,300.44M,-38.71M,-38.71M,5.944B,73.21M,6.133B,423.56M,3.875B,379.66M,79.22M,2.476B,872.34M,108.84M,11.11B,0.742M,4.202B,4.625B,11.00B,6.907B,6.375B,872.34M,3.771B,304.61M
Ticker,2019-12,4.89M,40.41M,1.158B,316.06M,0,4.29,4.25,936.81M,8.120B,1.325B,2019-12,3.454B,324.92M,-34.56M,-34.56M,5.877B,133.28M,5.546B,441.50M,3.706B,409.31M,84.40M,2.483B,883.08M,397.34M,10.72B,0.756M,3.834B,4.469B,10.32B,6.883B,5.850B,883.08M,3.605B,294.41M
Ticker,2019-09,0,42.80M,1.244B,308.73M,0,5.14,5.08,808.26M,7.962B,1.423B,2019-09,3.349B,391.29M,-35.20M,-35.20M,5.780B,117.55M,5.346B,536.36M,3.811B,501.89M,110.60M,2.667B,886.17M,166.22M,10.37B,0.757M,3.724B,4.581B,10.21B,6.648B,5.626B,886.17M,3.707B,300.14M
Ticker,2019-06,0,55.81M,1.222B,304.03M,0,4.56,4.51,808.39M,7.781B,1.368B,2019-06,3.262B,353.68M,-33.94M,-33.94M,5.649B,113.53M,5.415B,498.07M,3.613B,464.97M,111.29M,2.590B,870.21M,144.68M,10.20B,0.767M,3.701B,4.360B,10.06B,6.501B,5.697B,870.21M,3.526B,339.98M
Ticker,2019-03,0,56.72M,1.131B,296.60M,0,4.09,4.05,808.72M,7.648B,1.279B,2019-03,3.229B,321.15M,-33.74M,-33.74M,5.563B,109.48M,5.090B,444.79M,3.626B,414.15M,93.00M,2.411B,834.50M,372.36M,10.06B,0.783M,3.650B,4.326B,9.689B,6.412B,5.363B,834.50M,3.531B,317.13M
Ticker,2018-12,0,31.32M,1.081B,0,0,3.76,3.72,807.26M,5.646B,1.234B,2018-12,3.193B,300.36M,-30.78M,-30.78M,3.587B,105.57M,3.417B,428.04M,3.474B,393.16M,92.80M,2.315B,806.28M,353.67M,7.981B,0.79M,3.543B,3.894B,7.627B,4.438B,3.733B,806.28M,3.387B,270.18M
Ticker,2018-09,0,40.02M,1.167B,0,0,4.54,4.5,789.18M,5.512B,1.316B,2018-09,3.140B,366.15M,-30.91M,-30.91M,3.502B,102.64M,3.174B,485.15M,3.474B,455.65M,89.50M,2.483B,830.61M,498.38M,7.895B,0.803M,3.560B,3.905B,7.396B,4.335B,3.491B,830.61M,3.384B,325.93M
