Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
OXY,2020-12,-288.00M,2.008B,3.519B,913.00M,0,-1.41,-1.41,8.461B,120.03B,641.00M,2020-12,1.898B,-1.112B,-379.00M,-379.00M,66.95B,7.113B,36.39B,-417.00M,6.557B,-1.425B,-276.00M,4.16B,209.00M,18.57B,80.06B,9.978B,8.819B,8.223B,61.49B,71.24B,53.27B,1.058B,2.987B,2.115B
OXY,2020-09,-283.00M,1.896B,3.522B,3.017B,0,-4.07,-4.07,0,121.66B,586.00M,2020-09,1.66B,-3.575B,-332.00M,-332.00M,69.62B,7.508B,36.68B,-363.00M,6.152B,-4.058B,-403.00M,4.108B,166.00M,19.86B,84.43B,9.978B,10.69B,10.50B,64.57B,73.74B,54.07B,949.00M,2.682B,2.083B
OXY,2020-06,-312.00M,1.011B,3.541B,2.88B,0,-9.12,-9.12,0,126.65B,-613.00M,2020-06,1.477B,-8.131B,-277.00M,-277.00M,73.73B,7.887B,36.77B,-1.42B,6.249B,-8.184B,-1.468B,2.928B,225.00M,23.35B,89.45B,9.975B,8.437B,9.919B,66.11B,81.02B,56.19B,807.00M,3.034B,2.359B
OXY,2020-03,-334.00M,2.021B,4.293B,2.917B,0,-2.49,-2.49,0,124.66B,2.117B,2020-03,1.436B,-2.013B,-318.00M,-318.00M,80.27B,9.403B,36.83B,885.00M,7.155B,-2.095B,-82.00M,6.41B,260.00M,31.30B,101.64B,9.972B,14.11B,11.96B,70.35B,87.53B,58.38B,1.232B,3.845B,2.458B
OXY,2019-12,-221.00M,3.032B,4.502B,630.00M,0,-1.5,-1.5,0,125.68B,2.126B,2019-12,1.581B,-1.139B,-392.00M,-392.00M,83.64B,9.717B,39.41B,395.00M,10.36B,-869.00M,167.00M,6.628B,345.00M,34.23B,107.19B,9.971B,14.63B,12.70B,72.96B,92.56B,60.25B,1.731B,4.91B,4.233B
OXY,2019-09,-332.00M,4.84B,3.923B,494.00M,0,-1.08,-1.08,0,138.00B,1.936B,2019-09,1.601B,-794.00M,-325.00M,-325.00M,91.20B,9.92B,48.26B,801.00M,13.00B,-574.00M,163.00M,5.859B,245.00M,36.08B,125.44B,9.971B,20.94B,15.70B,84.44B,104.50B,68.74B,1.135B,7.825B,5.854B
OXY,2019-06,-184.00M,1.751B,2.815B,368.00M,0,0.84,0.84,0,77.68B,1.605B,2019-06,1.582B,635.00M,-112.00M,-112.00M,32.80B,950.00M,10.60B,991.00M,7.512B,941.00M,306.00M,4.42B,163.00M,21.35B,44.77B,179.00M,9.425B,7.88B,23.42B,35.34B,15.54B,614.00M,5.445B,5.273B
OXY,2019-03,-168.00M,1.752B,2.652B,356.00M,0,0.84,0.84,0,76.50B,1.352B,2019-03,1.484B,631.00M,-20.00M,-20.00M,32.58B,918.00M,10.67B,796.00M,7.181B,856.00M,225.00M,4.004B,140.00M,21.24B,44.38B,179.00M,9.27B,7.537B,23.14B,35.11B,15.61B,556.00M,5.261B,5.31B
OXY,2018-12,-172.00M,3.033B,3.009B,116.00M,0,0.93,0.93,0,74.42B,1.753B,2018-12,1.26B,706.00M,-64.00M,-64.00M,31.44B,907.00M,10.20B,1.093B,7.296B,832.00M,126.00M,4.762B,162.00M,21.33B,43.85B,179.00M,9.932B,7.412B,22.52B,33.92B,15.11B,660.00M,4.885B,4.893B
OXY,2018-09,-154.00M,2.954B,2.768B,116.00M,0,2.44,2.44,0,72.98B,2.448B,2018-09,1.009B,1.869B,-62.00M,-62.00M,31.16B,1.162B,10.20B,1.842B,8.256B,2.579B,710.00M,5.216B,151.00M,21.49B,44.96B,179.00M,11.11B,8.372B,23.46B,33.84B,15.09B,606.00M,5.443B,6.00B
