Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
PAYX,2021-02,57.20M,990.70M,328.40M,7.00M,38.40M,0.97,0.97,2.108B,494.90M,783.30M,2021-02,0,350.50M,-8.50M,-8.50M,494.90M,233.30M,889.90M,468.60M,73.90M,462.60M,112.10M,1.112B,314.70M,2.976B,9.666B,3.60M,6.622B,5.356B,6.690B,3.044B,1.334B,314.70M,73.90M,1.106B
PAYX,2020-11,73.10M,868.40M,319.90M,6.90M,40.60M,0.76,0.75,2.096B,492.00M,663.80M,2020-11,0,272.40M,-8.50M,-8.50M,492.00M,240.40M,889.20M,354.30M,70.40M,349.60M,77.20M,983.70M,309.50M,2.890B,8.615B,3.60M,5.592B,4.38B,5.726B,3.023B,1.346B,309.50M,70.40M,991.80M
PAYX,2020-08,79.50M,866.30M,307.10M,6.10M,39.60M,0.59,0.59,2.111B,492.10M,625.10M,2020-08,0,211.60M,-8.40M,-8.40M,492.10M,243.50M,892.00M,284.00M,113.80M,276.10M,64.50M,932.20M,341.10M,2.779B,8.377B,3.60M,5.340B,4.263B,5.598B,3.037B,1.335B,341.10M,113.80M,855.90M
PAYX,2020-05,56.50M,932.40M,291.70M,5.10M,39.20M,0.62,0.61,2.122B,1.479B,623.40M,2020-05,0,220.70M,-7.70M,-7.70M,522.20M,240.80M,893.70M,299.60M,129.90M,291.60M,70.90M,915.10M,323.80M,2.781B,8.551B,3.60M,5.465B,4.427B,5.769B,3.086B,1.342B,323.80M,129.90M,790.30M
PAYX,2020-02,45.20M,853.80M,340.30M,51.20M,38.80M,0.99,0.98,2.138B,1.463B,802.40M,2020-02,0,354.50M,-6.20M,-6.20M,528.10M,232.70M,901.80M,470.10M,67.70M,464.20M,109.70M,1.143B,332.30M,2.760B,9.467B,3.60M,6.389B,5.390B,6.707B,3.078B,1.317B,332.30M,67.70M,847.00M
PAYX,2019-11,11.60M,635.00M,323.40M,51.30M,42.20M,0.72,0.72,2.146B,1.430B,667.30M,2019-11,0,258.70M,-6.80M,-6.80M,520.90M,226.80M,896.70M,341.70M,76.30M,337.00M,78.30M,990.70M,325.60M,2.569B,8.702B,3.60M,5.628B,4.824B,6.132B,3.074B,1.308B,325.60M,76.30M,905.60M
PAYX,2019-08,26.50M,627.30M,325.40M,56.50M,41.30M,0.74,0.73,2.163B,1.408B,666.60M,2019-08,0,264.20M,-5.80M,-5.80M,516.20M,227.60M,890.30M,349.10M,110.70M,344.30M,80.10M,992.00M,317.50M,2.519B,8.638B,3.60M,5.556B,4.824B,6.119B,3.082B,1.295B,317.50M,110.70M,861.40M
PAYX,2019-05,0.10M,712.60M,322.10M,0,40.30M,0.64,0.64,2.182B,1.275B,658.30M,2019-05,0,230.40M,-5.00M,-5.00M,408.70M,223.10M,809.40M,314.50M,75.90M,310.50M,80.10M,980.40M,343.80M,2.620B,8.676B,3.60M,5.678B,4.845B,6.056B,2.998B,1.212B,343.80M,75.90M,854.20M
PAYX,2019-02,-19.30M,732.00M,325.30M,53.60M,39.40M,0.9,0.9,2.202B,1.252B,745.10M,2019-02,0,324.60M,-3.60M,-3.60M,404.70M,229.20M,800.00M,429.30M,73.90M,425.60M,101.00M,1.070B,315.80M,2.598B,10.36B,3.60M,7.292B,6.550B,7.765B,3.071B,1.215B,315.80M,73.90M,844.70M
PAYX,2018-11,-47.40M,759.00M,264.90M,57.30M,42.50M,0.66,0.65,938.60M,1.221B,594.00M,2018-11,0,235.80M,2.00M,2.00M,394.00M,161.60M,0,307.20M,70.60M,309.30M,73.50M,858.90M,286.80M,2.424B,7.002B,3.60M,5.29B,4.307B,4.578B,1.712B,271.10M,286.80M,70.60M,591.20M
