Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Income (Quarterly),Net Income,Net Loan Assets,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
PBCT,2021-03,-195.30M,11.62B,556.90M,0.34,0.33,2.835B,1.212B,2021-03,144.50M,42.38B,269.50M,0,1.573B,94.70M,182.20M,37.70M,480.50M,188.70M,7.592B,64.17B,249.50M,11.62B,586.20M,56.58B,62.73B,55.05B,199.70M,12.10M,246.90M
PBCT,2020-12,-89.20M,9.017B,3.106B,0.49,0.49,2.851B,1.373B,2020-12,-145.30M,43.54B,677.60M,0,1.298B,126.00M,-100.10M,45.20M,485.00M,192.30M,7.603B,63.09B,249.40M,10.10B,1.230B,55.49B,56.42B,53.81B,202.00M,21.70M,207.80M
PBCT,2020-09,-77.90M,5.136B,2.342B,0.34,0.34,3.244B,989.10M,2020-09,144.60M,44.83B,281.30M,0,1.592B,143.00M,172.10M,27.50M,492.50M,193.40M,7.832B,60.87B,249.40M,5.136B,657.50M,53.04B,58.84B,51.23B,203.60M,55.10M,196.00M
PBCT,2020-06,-73.90M,5.560B,0,0.21,0.21,3.254B,0,2020-06,89.90M,45.05B,285.70M,0,2.304B,0,110.40M,20.50M,495.20M,194.40M,7.763B,61.51B,249.40M,5.560B,492.10M,53.75B,59.02B,52.24B,204.60M,0,0
PBCT,2020-03,-92.70M,5.528B,0,0.3,0.3,3.264B,0,2020-03,130.40M,43.96B,300.80M,0,5.502B,0,166.20M,35.80M,519.80M,203.10M,7.726B,60.43B,249.40M,5.528B,1.421B,52.71B,58.07B,50.24B,213.80M,0,0
PBCT,2019-12,-166.90M,4.281B,0,0.31,0.31,3.285B,0,2019-12,137.40M,43.93B,776.00M,0,1.326B,0,173.90M,36.50M,506.90M,199.60M,7.947B,58.59B,249.40M,4.862B,5.261B,50.64B,55.80B,45.20B,209.40M,0,0
PBCT,2019-09,-182.30M,3.772B,0,0.34,0.33,3.065B,0,2019-09,135.10M,38.56B,258.50M,0,3.864B,0,165.50M,30.40M,454.70M,184.60M,7.131B,52.07B,249.00M,3.772B,1.681B,44.94B,50.60B,42.44B,192.60M,0,0
PBCT,2019-06,-193.00M,3.752B,0,0.33,0.33,3.073B,0,2019-06,133.20M,38.33B,261.00M,0,2.966B,0,168.40M,35.20M,454.40M,187.90M,7.046B,51.62B,249.00M,3.752B,1.345B,44.58B,50.32B,42.43B,195.90M,0,0
PBCT,2019-03,-224.60M,3.674B,0,0.3,0.3,2.896B,0,2019-03,114.60M,35.28B,255.80M,0,2.476B,0,144.60M,30.00M,427.40M,181.60M,6.621B,48.09B,248.80M,3.674B,1.285B,41.47B,46.84B,39.38B,188.30M,0,0
PBCT,2018-12,-256.80M,4.053B,0,0.35,0.35,2.866B,0,2018-12,133.00M,35.04B,456.30M,0,969.00M,0,148.80M,15.80M,421.40M,180.10M,6.534B,47.88B,248.80M,4.380B,3.663B,41.34B,45.51B,37.44B,187.00M,0,0
PBCT,2018-09,-270.80M,3.859B,2.757B,0.33,0.33,2.569B,914.40M,2018-09,117.00M,31.98B,243.80M,11.30M,3.281B,144.30M,149.20M,32.20M,398.70M,164.70M,5.959B,44.13B,248.50M,3.859B,996.30M,38.17B,43.00B,36.49B,169.60M,57.90M,223.40M
PBCT,2018-06,-260.70M,3.971B,2.835B,0.31,0.31,2.574B,878.10M,2018-06,110.20M,32.29B,246.30M,0,4.418B,115.20M,141.00M,30.80M,396.10M,164.00M,5.900B,44.57B,248.50M,3.971B,1.110B,38.67B,43.36B,36.89B,168.90M,47.20M,163.70M
PBCT,2018-03,-255.80M,4.036B,0,0.31,0.3,2.555B,0,2018-03,107.90M,31.88B,250.00M,0,3.698B,0,137.30M,29.40M,386.10M,168.90M,5.846B,44.10B,248.50M,4.036B,1.071B,38.26B,42.99B,36.59B,174.00M,0,0
PBCT,2017-12,-181.70M,4.017B,0,0.3,0.3,2.56B,0,2017-12,106.30M,32.38B,418.80M,0,1.127B,0,132.40M,26.10M,379.70M,163.60M,5.820B,44.45B,248.50M,4.337B,4.023B,38.63B,42.26B,34.44B,171.50M,0,0
PBCT,2017-09,-169.70M,3.914B,0,0.26,0.26,2.568B,0,2017-09,90.80M,32.17B,264.70M,0,4.211B,0,129.80M,39.00M,373.90M,157.10M,5.746B,44.00B,248.40M,3.914B,838.80M,38.25B,42.86B,36.76B,165.00M,0,0
PBCT,2017-06,-174.60M,4.354B,0,0.2,0.19,2.426B,0,2017-06,69.30M,31.41B,270.20M,0,4.038B,0,102.10M,32.80M,366.50M,159.90M,5.704B,43.02B,248.40M,4.354B,953.00M,37.32B,41.85B,35.85B,167.80M,0,0
PBCT,2017-03,-181.90M,4.545B,0,0.22,0.22,2.136B,0,2017-03,70.80M,29.47B,239.40M,0,3.146B,0,102.80M,32.00M,333.30M,154.40M,5.195B,40.23B,248.20M,4.545B,940.70M,35.03B,39.18B,33.65B,160.70M,0,0
PBCT,2016-12,-195.00M,5.024B,0,0.24,0.24,2.142B,0,2016-12,75.90M,29.62B,421.40M,0,1.291B,0,106.10M,30.20M,331.00M,152.60M,5.142B,40.61B,248.10M,5.378B,3.911B,35.47B,38.75B,31.41B,158.80M,0,0
PBCT,2016-09,-120.40M,5.627B,0,0.24,0.24,2.070B,0,2016-09,73.70M,29.19B,245.10M,0,4.316B,0,106.30M,32.60M,336.10M,143.30M,4.862B,40.69B,4.00M,5.627B,1.175B,35.83B,39.68B,33.97B,149.10M,0,0
PBCT,2016-06,-120.30M,5.420B,0,0.23,0.23,2.076B,0,2016-06,68.50M,28.88B,249.50M,0,4.621B,0,102.50M,34.00M,325.40M,137.40M,4.830B,40.15B,3.90M,5.420B,1.001B,35.32B,39.14B,33.62B,143.20M,0,0
PBCT,2016-03,-134.70M,5.300B,3.20B,0.21,0.21,2.079B,884.30M,2016-03,62.90M,28.33B,252.10M,0,4.114B,91.70M,94.60M,31.70M,322.40M,139.10M,4.791B,39.26B,3.90M,5.300B,654.20M,34.47B,38.31B,33.22B,144.90M,48.00M,150.60M
