Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
PCAR,2020-12,-1.050B,4.969B,4.655B,3.114B,0,1.17,1.17,0,12.30B,913.80M,2020-12,1.222B,405.80M,8.50M,8.50M,7.003B,1.312B,7.740B,507.60M,2.976B,521.80M,116.00M,71.70M,5.569B,165.50M,10.39B,28.26B,346.60M,19.58B,7.331B,17.87B,8.684B,10.54B,406.20M,1.980B,12.87B
PCAR,2020-09,-1.189B,4.539B,4.102B,2.616B,0,1.11,1.11,0,6.729B,833.80M,2020-09,1.124B,385.50M,13.00M,13.00M,6.725B,1.279B,7.776B,470.50M,3.994B,489.90M,104.40M,64.70M,4.936B,131.70M,10.18B,27.23B,347.00M,18.74B,6.610B,17.05B,8.492B,10.44B,363.30M,3.994B,12.54B
PCAR,2020-06,-1.290B,4.275B,2.555B,2.980B,0,0.43,0.43,0,6.602B,507.10M,2020-06,1.136B,147.70M,19.50M,19.50M,6.598B,1.281B,7.417B,155.50M,3.625B,184.00M,36.30M,66.50M,3.062B,120.20M,9.777B,26.41B,346.50M,18.14B,6.605B,16.63B,8.271B,10.02B,351.60M,3.625B,12.23B
PCAR,2020-03,-1.384B,4.420B,4.312B,3.912B,0,1.04,1.03,0,6.562B,849.20M,2020-03,1.270B,359.40M,13.10M,13.10M,6.559B,1.323B,7.226B,434.30M,3.803B,462.20M,102.80M,71.00M,5.162B,164.00M,9.637B,27.29B,346.40M,19.07B,7.716B,17.66B,8.223B,9.942B,414.90M,3.803B,12.85B
PCAR,2019-12,-1.100B,5.337B,5.029B,3.797B,0,1.53,1.53,0,11.59B,1.089B,2019-12,1.153B,531.30M,10.30M,10.30M,6.671B,1.378B,7.426B,657.40M,3.551B,687.80M,156.50M,83.60M,6.117B,183.20M,9.706B,28.36B,346.30M,20.13B,8.417B,18.66B,8.230B,10.24B,431.20M,2.541B,13.25B
PCAR,2019-09,-1.19B,4.777B,5.206B,4.14B,0,1.75,1.75,0,7.748B,1.161B,2019-09,1.293B,607.90M,11.60M,11.60M,6.385B,1.400B,6.716B,744.90M,4.177B,777.60M,169.70M,82.20M,6.367B,172.60M,9.963B,27.77B,347.40M,19.70B,8.317B,17.80B,8.063B,9.488B,416.10M,4.177B,13.25B
PCAR,2019-06,-1.062B,4.337B,5.440B,3.90B,0,1.79,1.78,0,7.807B,1.188B,2019-06,1.337B,619.70M,9.80M,9.80M,6.411B,1.491B,6.732B,782.80M,4.074B,814.40M,194.70M,82.50M,6.628B,173.30M,9.635B,27.17B,347.20M,19.24B,7.974B,17.53B,7.932B,9.559B,405.30M,4.074B,13.16B
PCAR,2019-03,-1.096B,3.924B,5.304B,3.425B,0,1.81,1.81,0,7.691B,1.183B,2019-03,1.273B,629.00M,10.30M,10.30M,6.269B,1.505B,6.772B,789.80M,4.078B,819.40M,190.40M,78.30M,6.488B,169.40M,9.106B,26.16B,347.00M,18.52B,7.502B,17.05B,7.632B,9.549B,393.30M,4.078B,12.93B
PCAR,2018-12,-1.098B,4.456B,5.762B,3.257B,0,1.66,1.65,0,11.01B,518.10M,2018-12,1.185B,578.10M,18.30M,18.30M,6.294B,1.547B,6.694B,714.20M,3.516B,752.40M,174.30M,80.50M,6.280B,166.20M,8.593B,25.48B,346.60M,17.99B,7.503B,16.89B,7.493B,9.387B,-196.10M,2.523B,11.98B
PCAR,2018-09,-895.00M,3.914B,4.737B,3.002B,0,1.55,1.55,0,6.151B,1.020B,2018-09,1.292B,545.30M,7.40M,7.40M,6.147B,1.528B,6.585B,645.00M,3.764B,668.80M,123.50M,72.90M,5.757B,153.50M,9.171B,25.10B,352.20M,17.61B,6.766B,15.93B,7.491B,9.166B,374.90M,3.764B,12.03B
PCAR,2018-06,-893.70M,3.540B,4.730B,3.131B,0,1.59,1.59,0,6.048B,1.076B,2018-06,1.258B,559.60M,16.40M,16.40M,6.044B,1.440B,6.077B,688.60M,3.613B,719.60M,160.00M,76.70M,5.805B,156.80M,8.779B,24.16B,352.20M,16.87B,6.744B,15.38B,7.286B,8.633B,387.10M,3.613B,11.58B
PCAR,2018-03,-718.30M,3.551B,4.763B,3.234B,0,1.45,1.45,0,6.140B,890.80M,2018-03,1.068B,512.10M,18.70M,18.70M,6.130B,1.417B,5.896B,640.70M,3.530B,669.40M,157.30M,76.00M,5.654B,168.20M,8.567B,23.78B,352.10M,16.43B,6.764B,15.21B,7.349B,8.450B,250.10M,3.530B,11.42B
PCAR,2017-12,-793.60M,3.732B,4.647B,2.724B,0,1.67,1.67,0,11.46B,807.60M,2017-12,928.40M,589.20M,10.70M,10.70M,6.758B,2.113B,6.156B,584.10M,2.803B,604.30M,15.10M,70.60M,5.455B,148.00M,8.050B,23.44B,351.80M,15.74B,6.182B,15.39B,7.702B,9.208B,223.50M,2.043B,10.67B
PCAR,2017-09,-816.20M,3.529B,4.280B,2.865B,0,1.14,1.14,0,6.666B,779.60M,2017-09,983.00M,402.70M,9.80M,9.80M,6.657B,2.297B,5.967B,563.00M,3.234B,581.80M,179.10M,67.00M,5.060B,144.90M,7.936B,23.10B,351.50M,15.45B,6.099B,15.17B,7.650B,9.069B,216.60M,3.234B,10.69B
PCAR,2017-06,-925.20M,3.124B,3.974B,2.889B,0,1.06,1.06,0,6.503B,730.00M,2017-06,885.30M,373.00M,11.90M,11.90M,6.494B,2.222B,5.655B,518.40M,3.016B,539.00M,166.00M,66.10M,4.704B,138.70M,7.500B,22.05B,351.30M,14.61B,5.905B,14.55B,7.442B,8.648B,211.60M,3.016B,10.33B
PCAR,2017-03,-1.058B,2.971B,3.605B,2.516B,0,0.88,0.88,0,6.152B,633.20M,2017-03,772.20M,310.30M,14.00M,14.00M,6.144B,2.070B,5.849B,426.10M,2.777B,448.20M,137.90M,61.00M,4.238B,140.20M,7.079B,21.04B,351.30M,13.93B,5.293B,13.96B,7.110B,8.667B,207.10M,2.777B,9.962B
PCAR,2016-12,-1.128B,3.057B,3.456B,2.242B,0,0.82,0.82,0,10.07B,614.20M,2016-12,727.80M,288.80M,11.10M,11.10M,6.040B,2.008B,6.233B,400.80M,2.083B,418.90M,130.10M,67.60M,4.071B,141.90M,6.778B,20.64B,350.70M,13.57B,4.882B,13.86B,7.072B,8.979B,213.40M,1.544B,9.557B
