Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
PEAK,2020-12,-3.685M,44.23M,-223.60M,129.59M,774.32M,0.27,0.27,519.92M,192.35M,97.15M,2020-12,0,146.39M,-46.18M,-46.18M,192.35M,0,6.348B,59.09M,763.39M,-92.65M,6.793M,-126.45M,25.51M,6.788B,15.92B,538.40M,2.975B,2.083B,8.576B,12.94B,6.492B,38.06M,0,237.64M
PEAK,2020-09,-3.236M,197.12M,314.29M,0,755.02M,-0.12,-0.12,501.58M,190.88M,283.45M,2020-09,0,-63.42M,-56.24M,-56.24M,190.88M,0,6.555B,88.16M,834.52M,-15.93M,24.17M,597.74M,21.66M,6.840B,15.75B,538.36M,2.807B,1.683B,8.346B,12.94B,6.663B,195.29M,0,294.38M
PEAK,2020-06,-2.186M,730.96M,315.84M,0,751.44M,0.09,0.09,537.56M,193.73M,272.60M,2020-06,0,51.51M,-57.55M,-57.55M,193.73M,0,6.906B,70.39M,847.08M,64.79M,-7.346M,588.44M,23.72M,7.099B,16.32B,538.32M,1.543B,1.631B,8.648B,14.77B,7.017B,202.21M,0,327.21M
PEAK,2020-03,-2.495M,783.54M,376.01M,0,753.43M,0.55,0.54,550.35M,171.84M,209.14M,2020-03,0,279.08M,-58.38M,-58.38M,171.84M,0,6.546B,-2.488M,856.03M,261.48M,-33.04M,585.15M,22.35M,7.237B,16.07B,538.14M,1.468B,1.641B,8.259B,14.61B,6.618B,211.62M,0,305.69M
PEAK,2019-12,-2.857M,80.40M,-225.74M,93.00M,274.55M,0.09,0.09,260.20M,167.32M,0.392M,2019-12,0,43.52M,-50.11M,-50.11M,167.32M,0,6.062B,12.87M,457.53M,165.19M,6.104M,-225.35M,21.52M,6.085B,14.03B,505.22M,3.977B,1.229B,7.365B,10.06B,6.137B,-12.48M,0,235.42M
PEAK,2019-09,-5.223M,124.99M,248.07M,737.79M,208.65M,-0.09,-0.09,303.72M,172.96M,289.90M,2019-09,0,-45.86M,-61.23M,-61.23M,172.96M,0,6.019B,94.99M,431.49M,-40.93M,-6.261M,537.97M,22.97M,5.933B,14.01B,494.85M,752.46M,1.413B,7.487B,13.26B,6.074B,194.91M,0,194.61M
PEAK,2019-06,-4.459M,130.52M,213.99M,530.00M,193.29M,-0.03,-0.03,317.96M,172.42M,277.57M,2019-06,0,-13.60M,-56.94M,-56.94M,172.42M,0,5.915B,85.16M,371.24M,-10.34M,-1.864M,491.57M,27.12M,6.054B,13.71B,491.11M,495.45M,1.125B,7.094B,13.22B,5.969B,192.42M,0,178.40M
PEAK,2019-03,-3.883M,120.12M,168.93M,276.50M,181.47M,0.13,0.13,275.56M,165.75M,267.23M,2019-03,0,61.47M,-49.33M,-49.33M,165.75M,0,5.640B,113.92M,352.64M,62.40M,-3.458M,436.15M,21.36M,5.837B,12.90B,477.93M,292.19M,810.74M,6.500B,12.61B,5.690B,153.31M,0,134.69M
PEAK,2018-12,-4.708M,110.79M,-148.97M,80.10M,190.68M,1.75,1.73,305.08M,0,-64.48M,2018-12,0,831.55M,-49.65M,-49.65M,0,0,5.488B,-71.93M,391.58M,613.96M,10.52M,-213.45M,21.51M,5.944B,12.72B,477.50M,359.10M,663.49M,6.206B,12.36B,5.542B,7.451M,0,111.17M
PEAK,2018-09,-4.297M,78.86M,181.21M,636.71M,174.51M,0.21,0.21,305.80M,0,274.82M,2018-09,0,99.37M,-63.49M,-63.49M,0,0,6.162B,119.11M,410.80M,98.91M,-4.929M,456.02M,23.50M,5.071B,13.08B,469.92M,621.81M,1.225B,7.444B,12.46B,6.218B,155.70M,0,90.00M
