Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
PEP,2021-03,-15.25B,6.625B,6.671B,4.674B,1.24,1.24,38.11B,46.54B,8.149B,2021-03,4.556B,1.714B,-258.00M,-258.00M,21.25B,4.491B,38.99B,2.312B,18.02B,2.174B,451.00M,14.82B,5.837B,13.95B,91.22B,23.00M,21.20B,22.69B,77.17B,70.03B,54.48B,5.837B,18.02B,8.885B
PEP,2020-12,-15.48B,9.551B,10.43B,4.24B,1.337,1.33,38.07B,48.01B,12.03B,2020-12,4.172B,1.845B,-339.00M,-339.00M,23.04B,4.284B,40.37B,2.826B,13.22B,2.357B,498.00M,22.46B,9.203B,13.45B,92.92B,23.00M,23.00B,23.37B,79.37B,69.92B,55.99B,9.203B,10.28B,8.404B
PEP,2020-09,-15.36B,9.705B,8.156B,6.692B,1.66,1.65,37.79B,44.12B,9.935B,2020-09,4.135B,2.291B,-264.00M,-264.00M,19.73B,4.217B,37.88B,3.011B,19.32B,2.833B,526.00M,18.09B,6.924B,13.48B,92.04B,23.00M,24.06B,26.01B,78.45B,67.98B,52.44B,6.924B,19.32B,9.295B
PEP,2020-06,-15.78B,9.123B,7.088B,6.607B,1.19,1.18,36.84B,43.02B,8.857B,2020-06,4.314B,1.646B,-235.00M,-235.00M,19.19B,4.203B,38.37B,2.319B,17.22B,2.168B,510.00M,15.94B,6.538B,12.49B,89.52B,23.00M,23.19B,23.83B,76.94B,66.34B,53.11B,6.538B,17.22B,8.78B
PEP,2020-03,-15.06B,11.25B,6.127B,5.882B,0.96,0.96,31.44B,42.70B,7.754B,2020-03,3.60B,1.338B,-290.00M,-290.00M,18.98B,4.06B,35.36B,1.924B,16.20B,1.711B,360.00M,13.88B,5.83B,13.46B,85.06B,23.00M,24.27B,22.08B,71.50B,60.79B,49.42B,5.83B,16.20B,8.477B
PEP,2019-12,-14.30B,5.738B,9.346B,3.362B,1.27,1.26,31.54B,44.55B,11.29B,2019-12,3.338B,1.766B,-284.00M,-284.00M,20.85B,4.091B,29.15B,2.699B,12.13B,2.208B,430.00M,20.64B,8.595B,14.79B,78.55B,23.00M,17.64B,20.46B,63.68B,60.90B,43.22B,8.595B,9.364B,7.822B
PEP,2019-09,-15.13B,5.781B,7.694B,2.924B,1.5,1.49,31.15B,40.64B,9.494B,2019-09,3.667B,2.10B,-224.00M,-224.00M,17.59B,3.643B,29.63B,2.855B,17.21B,2.669B,559.00M,17.19B,6.639B,14.13B,77.44B,23.00M,19.20B,20.13B,63.22B,58.25B,43.09B,6.639B,17.21B,8.735B
PEP,2019-06,-14.98B,3.584B,7.404B,3.473B,1.45,1.44,31.21B,40.26B,9.045B,2019-06,3.988B,2.035B,-223.00M,-223.00M,17.44B,3.658B,27.71B,2.729B,16.46B,2.567B,524.00M,16.45B,6.316B,13.95B,75.08B,23.00M,17.21B,19.93B,61.05B,57.87B,41.12B,6.316B,16.46B,8.502B
PEP,2019-03,-14.66B,5.361B,5.688B,3.291B,1.01,1,30.92B,40.24B,7.196B,2019-03,3.554B,1.413B,-204.00M,-204.00M,17.55B,3.619B,28.46B,2.008B,15.80B,1.868B,446.00M,12.88B,5.188B,14.20B,75.47B,23.00M,17.92B,19.09B,61.17B,57.55B,42.08B,5.188B,15.80B,7.604B
PEP,2018-12,-15.12B,8.993B,8.936B,4.026B,4.864,4.83,30.63B,40.16B,10.59B,2018-12,3.128B,6.854B,-563.00M,-563.00M,17.59B,3.499B,28.30B,2.431B,13.08B,1.935B,-4.932B,19.52B,8.157B,14.52B,77.65B,23.00M,21.89B,22.14B,63.05B,55.76B,40.91B,8.157B,10.54B,7.142B
