Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
PFE,2020-12,-11.69B,12.22B,1.504B,2.703B,0,0.11,0.1,78.05B,28.71B,4.443B,2020-12,8.046B,594.00M,-268.00M,-268.00M,13.90B,4.063B,35.57B,-2.19B,7.52B,-2.517B,-491.00M,3.189B,5.947B,2.696B,63.24B,154.23B,470.00M,35.07B,25.92B,90.76B,119.16B,64.84B,6.633B,7.52B,11.19B
PFE,2020-09,-12.68B,10.50B,2.529B,13.36B,0,0.39,0.39,90.83B,31.04B,9.602B,2020-09,9.295B,2.194B,-399.00M,-399.00M,14.40B,4.542B,48.16B,3.328B,7.683B,2.176B,-26.00M,2.36B,12.13B,3.016B,65.26B,178.98B,470.00M,47.74B,34.15B,113.49B,131.24B,79.33B,6.274B,7.683B,14.01B
PFE,2020-06,-13.25B,11.38B,2.281B,13.08B,0,0.62,0.61,91.99B,31.00B,9.52B,2020-06,8.564B,3.426B,-353.00M,-353.00M,14.11B,5.409B,50.53B,3.453B,7.428B,3.953B,519.00M,2.132B,11.80B,3.03B,64.34B,177.93B,470.00M,46.42B,32.72B,113.37B,131.51B,80.65B,6.067B,7.428B,12.55B
PFE,2020-03,-13.13B,10.35B,2.378B,16.00B,0,0.61,0.61,92.97B,30.97B,9.65B,2020-03,8.423B,3.401B,-356.00M,-356.00M,14.04B,5.268B,36.28B,4.168B,5.122B,3.885B,475.00M,1.724B,12.03B,2.873B,65.03B,166.34B,487.00M,34.74B,33.89B,101.00B,131.60B,67.11B,5.482B,5.122B,13.23B
PFE,2019-12,-11.64B,9.646B,640.00M,16.19B,0,-0.06,-0.06,82.14B,27.96B,1.47B,2019-12,7.068B,-336.00M,-375.00M,-375.00M,12.97B,5.652B,34.65B,-4.621B,6.971B,-7.705B,-1.948B,2.567B,2.11B,2.64B,63.14B,167.59B,485.00M,32.80B,37.30B,104.15B,134.79B,66.84B,6.091B,6.971B,9.508B
PFE,2019-09,-11.80B,9.087B,2.602B,16.61B,0,1.38,1.36,97.66B,30.43B,10.08B,2019-09,8.222B,7.68B,-349.00M,-349.00M,13.70B,6.724B,36.04B,3.323B,7.826B,10.73B,3.047B,2.283B,12.68B,3.26B,65.10B,170.45B,486.00M,33.46B,36.97B,105.05B,136.99B,68.08B,6.755B,7.826B,13.17B
PFE,2019-06,-11.54B,12.91B,2.576B,10.51B,0,0.91,0.89,86.38B,29.91B,10.69B,2019-06,8.233B,5.046B,-330.00M,-330.00M,13.52B,3.18B,36.17B,4.151B,7.529B,4.141B,-915.00M,1.842B,13.26B,3.511B,59.57B,156.20B,486.00M,47.07B,32.03B,96.28B,109.13B,64.24B,6.537B,7.529B,13.52B
PFE,2019-03,-10.92B,11.62B,2.433B,9.411B,0,0.69,0.68,87.53B,29.62B,10.68B,2019-03,8.029B,3.884B,-295.00M,-295.00M,13.47B,3.591B,35.73B,4.46B,6.005B,4.323B,433.00M,1.703B,13.12B,3.339B,58.81B,155.42B,487.00M,45.29B,29.42B,96.26B,110.13B,66.84B,6.225B,6.005B,13.20B
PFE,2018-12,-11.28B,18.83B,814.00M,8.836B,0,-0.07,-0.07,88.62B,29.98B,341.00M,2018-12,7.508B,-393.00M,-277.00M,-277.00M,13.38B,3.70B,32.91B,-5.13B,7.986B,-9.237B,-1.536B,2.211B,1.155B,2.164B,63.41B,159.42B,486.00M,49.93B,31.86B,95.66B,109.50B,63.81B,5.471B,7.986B,11.40B
PFE,2018-09,-10.42B,17.24B,2.694B,14.78B,0,0.7,0.69,100.92B,31.11B,10.60B,2018-09,8.184B,4.114B,-228.00M,-228.00M,14.04B,5.512B,33.65B,3.849B,9.041B,4.177B,66.00M,2.008B,13.30B,3.494B,71.32B,167.84B,486.00M,41.58B,29.01B,96.17B,126.26B,67.16B,6.755B,9.041B,13.71B
