Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Income (Quarterly),Net Income,Net Loan Assets,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
PFG,2020-12,2.383B,81.56B,84.70M,0,1.72,1.71,3.434B,2020-12,472.60M,18.13B,0,0,1.019B,2.331B,4.279B,22.30M,591.60M,100.10M,3.765B,1.162B,16.56B,296.63B,4.80M,83.28B,107.00M,280.01B,105.06B,6.866B,1.162B,22.30M,1.724B
PFG,2020-09,1.747B,80.05B,76.60M,0,0.86,0.85,3.359B,2020-09,236.00M,17.66B,0,0,998.80M,2.107B,4.279B,15.70M,275.10M,39.20M,3.311B,1.166B,15.65B,278.48B,4.80M,81.58B,92.30M,262.76B,102.09B,6.664B,1.166B,15.70M,1.530B
PFG,2020-06,1.451B,77.42B,76.30M,0,1.45,1.45,3.340B,2020-06,398.30M,17.49B,0,0,993.10M,2.062B,4.163B,16.30M,498.60M,82.50M,3.115B,983.30M,15.24B,271.31B,4.80M,79.18B,92.60M,256.00B,99.84B,6.498B,983.30M,16.30M,1.76B
PFG,2020-03,-599.20M,72.19B,105.60M,0,1.05,1.04,3.333B,2020-03,288.90M,17.44B,0,0,973.80M,1.450B,3.670B,14.70M,328.20M,43.20M,4.551B,1.336B,12.91B,246.90B,4.80M,73.88B,120.30M,233.93B,94.13B,5.360B,1.336B,14.70M,1.691B
PFG,2019-12,1.038B,72.62B,93.40M,0,1.08,1.07,3.480B,2019-12,300.90M,17.28B,0,0,967.70M,1.797B,3.734B,16.20M,371.30M,56.00M,4.047B,1.223B,14.62B,276.09B,4.80M,74.36B,109.60M,261.40B,95.75B,5.796B,1.223B,16.20M,1.740B
PFG,2019-09,1.307B,71.27B,96.10M,0,0.99,0.98,3.492B,2019-09,277.10M,17.29B,0,0,961.70M,1.928B,3.764B,21.60M,345.70M,61.10M,4.458B,1.242B,14.80B,270.24B,4.80M,72.90B,117.70M,255.37B,93.77B,6.061B,1.242B,21.60M,1.636B
PFG,2019-06,647.70M,68.58B,76.80M,0,1.38,1.37,2.412B,2019-06,386.30M,16.94B,0,0,959.50M,1.688B,3.762B,19.80M,450.30M,58.20M,3.973B,1.046B,14.03B,267.92B,4.80M,70.13B,96.60M,253.82B,89.61B,5.754B,1.046B,19.80M,1.549B
PFG,2019-03,-418.90M,65.38B,43.90M,0,1.54,1.53,2.421B,2019-03,429.90M,16.40B,0,0,933.20M,1.319B,3.266B,22.30M,526.00M,73.90M,3.744B,992.70M,12.69B,259.42B,4.80M,67.02B,66.20M,246.66B,86.79B,5.123B,992.70M,22.30M,1.641B
PFG,2018-12,-1.565B,63.09B,42.90M,0,0.84,0.84,2.415B,2018-12,236.50M,16.14B,0,0,767.30M,958.40M,3.260B,25.30M,242.90M,11.20M,3.771B,1.057B,11.39B,243.04B,4.80M,64.50B,68.20M,231.58B,83.29B,4.609B,1.057B,25.30M,1.413B
PFG,2018-09,-1.348B,63.37B,36.10M,0,1.6,1.59,2.483B,2018-09,456.30M,15.72B,0,0,770.60M,911.40M,3.246B,29.30M,569.10M,109.10M,4.348B,1.105B,11.70B,258.76B,4.80M,64.89B,65.40M,246.99B,83.37B,4.305B,1.105B,29.30M,1.514B
PFG,2018-06,-1.138B,61.65B,64.50M,0,1.59,1.58,2.459B,2018-06,456.60M,15.17B,0,0,762.90M,887.90M,3.220B,19.80M,515.40M,55.90M,3.235B,990.10M,11.64B,252.10B,4.80M,63.11B,84.30M,240.40B,81.75B,4.247B,990.10M,19.80M,1.456B
PFG,2018-03,-469.30M,62.95B,78.10M,0,1.37,1.36,2.489B,2018-03,397.10M,15.29B,0,0,775.20M,909.00M,3.197B,17.60M,457.00M,54.50M,2.884B,985.00M,12.19B,253.64B,4.70M,64.58B,95.70M,241.38B,81.35B,4.233B,985.00M,17.60M,1.638B
PFG,2017-12,165.50M,61.86B,39.50M,0,2.92,2.86,2.384B,2017-12,841.80M,14.96B,0,0,759.50M,1.092B,3.178B,16.70M,314.80M,-528.10M,3.238B,1.089B,12.85B,253.94B,4.70M,63.33B,56.20M,241.02B,81.25B,4.372B,1.089B,16.70M,1.470B
