Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
PGR,2021-03,931.70M,41.33B,499.70M,2.51,2.51,609.90M,2021-03,1.48B,-56.40M,-56.40M,1.106B,310.00M,5.397B,7.650B,1.868B,387.90M,11.44B,0,17.84B,65.41B,1.079B,54.70B,7.650B,47.58B,50.74B,41.51B,0,7.650B,13.36B
PGR,2020-12,950.60M,42.11B,499.60M,2.87,2.85,624.10M,2020-12,1.684B,-56.20M,-56.20M,1.182B,213.90M,5.396B,5.406B,2.106B,421.90M,11.41B,0,17.04B,64.10B,1.080B,54.65B,5.906B,47.06B,50.06B,39.41B,0,5.406B,12.18B
PGR,2020-09,975.00M,41.07B,499.50M,2.6,2.59,638.20M,2020-09,1.531B,-56.40M,-56.40M,1.190B,197.10M,4.896B,5.576B,1.924B,392.70M,10.94B,0,18.09B,62.89B,1.079B,54.10B,6.076B,44.80B,48.33B,38.90B,0,5.576B,12.56B
PGR,2020-06,404.20M,39.53B,499.30M,3.05,3.04,652.40M,2020-06,1.790B,-56.40M,-56.40M,1.215B,118.00M,4.895B,5.346B,2.269B,478.40M,10.97B,0,16.67B,59.41B,1.079B,51.11B,5.846B,42.74B,46.38B,36.66B,0,5.346B,11.21B
PGR,2020-03,341.70M,37.17B,499.20M,1.17,1.17,666.50M,2020-03,692.70M,-48.00M,-48.00M,1.214B,136.00M,4.894B,5.992B,874.70M,175.60M,9.318B,0,14.35B,56.27B,1.078B,45.18B,5.992B,41.91B,42.95B,36.07B,0,5.992B,7.568B
PGR,2019-12,510.50M,35.14B,499.10M,1.82,1.82,681.00M,2019-12,1.071B,-47.40M,-47.40M,1.214B,134.50M,4.407B,5.223B,1.339B,264.30M,10.73B,0,13.67B,54.91B,1.078B,46.65B,5.722B,41.24B,41.93B,35.24B,0,5.223B,10.89B
PGR,2019-09,453.10M,34.33B,0,1.43,1.42,695.60M,2019-09,841.70M,-47.50M,-47.50M,1.175B,38.50M,3.907B,4.868B,1.010B,166.70M,9.525B,0,14.12B,54.01B,1.078B,42.47B,5.367B,39.88B,41.24B,34.16B,0,4.868B,7.687B
PGR,2019-06,178.10M,32.64B,0,1.67,1.66,711.40M,2019-06,979.40M,-47.40M,-47.40M,1.127B,0,3.907B,4.594B,1.244B,264.60M,9.444B,0,13.33B,51.32B,1.078B,40.15B,4.594B,37.99B,39.44B,32.63B,0,4.594B,7.167B
PGR,2019-03,-120.90M,30.56B,0,1.84,1.83,729.40M,2019-03,1.078B,-47.40M,-47.40M,1.132B,0,4.405B,5.046B,1.568B,484.70M,9.294B,0,12.11B,48.85B,1.077B,38.20B,5.546B,36.74B,37.04B,32.15B,0,5.046B,7.190B
PGR,2018-12,0,29.98B,0,0.44,0.44,747.30M,2018-12,264.70M,-46.00M,-46.00M,0,0,3.906B,0,242.20M,-17.60M,8.029B,0,10.82B,46.58B,0,36.78B,0,35.75B,35.81B,30.21B,0,0,6.497B
PGR,2018-09,-263.70M,28.57B,3.269B,1.58,1.57,765.30M,2018-09,928.40M,-42.00M,-42.00M,1.139B,53.50M,3.860B,3.924B,1.130B,200.30M,8.49B,0,11.86B,45.54B,1.077B,35.73B,3.924B,33.68B,34.65B,29.76B,1.20M,3.924B,6.777B
PGR,2018-06,-221.90M,27.18B,2.426B,1.2,1.19,783.30M,2018-06,704.20M,-41.70M,-41.70M,1.116B,46.00M,3.860B,3.922B,880.10M,178.90M,8.012B,0,11.00B,43.36B,1.076B,33.70B,3.922B,32.36B,33.23B,28.44B,-0.20M,3.922B,6.230B
PGR,2018-03,-172.60M,25.66B,1.931B,1.23,1.22,801.30M,2018-03,718.00M,-36.80M,-36.80M,1.112B,53.20M,3.859B,3.414B,910.80M,181.00M,7.424B,0,10.32B,41.33B,1.076B,32.05B,3.414B,31.01B,31.53B,27.59B,0,3.414B,6.044B
PGR,2017-12,1.282B,23.34B,0,0.99,0.99,819.30M,2017-12,576.30M,-35.50M,-35.50M,1.120B,135.00M,37.10M,3.481B,691.40M,111.10M,7.115B,0,9.285B,38.70B,581.70M,28.96B,6.750B,29.42B,29.63B,22.67B,1.60M,3.481B,5.422B
PGR,2017-09,1.226B,23.20B,0,0.39,0.38,837.30M,2017-09,224.00M,-37.40M,-37.40M,1.129B,201.50M,3.312B,3.273B,251.40M,36.60M,6.786B,0,9.289B,38.93B,581.60M,28.93B,3.273B,29.64B,29.35B,26.37B,0,3.273B,5.520B
PGR,2017-06,1.151B,22.28B,0,0.63,0.63,854.50M,2017-06,367.60M,-43.40M,-43.40M,1.152B,191.80M,3.383B,3.153B,554.60M,181.90M,6.599B,0,8.992B,36.69B,581.00M,27.58B,3.153B,27.70B,28.36B,24.55B,0,3.153B,5.091B
PGR,2017-03,1.068B,20.73B,0,0.73,0.73,866.70M,2017-03,424.30M,-36.80M,-36.80M,1.166B,168.40M,3.112B,2.939B,641.50M,211.20M,6.316B,0,8.523B,34.81B,580.90M,25.76B,2.939B,26.29B,26.83B,23.35B,0,2.939B,4.851B
PGR,2016-12,933.40M,20.03B,0,0.66,0.65,882.20M,2016-12,383.20M,-37.10M,-37.10M,1.177B,111.30M,3.148B,2.891B,537.50M,139.40M,6.122B,0,7.957B,33.43B,579.90M,24.71B,2.891B,25.47B,25.88B,22.58B,0,2.891B,4.509B
PGR,2016-09,1.046B,19.94B,0,0.34,0.34,897.70M,2016-09,198.70M,-35.30M,-35.30M,1.115B,156.90M,727.50M,2.722B,258.50M,53.00M,5.930B,0,8.095B,33.62B,580.80M,24.85B,5.149B,25.53B,25.86B,20.38B,0,2.722B,4.744B
PGR,2016-06,957.80M,18.89B,0,0.33,0.33,913.20M,2016-06,190.90M,-34.30M,-34.30M,1.084B,140.70M,733.40M,2.706B,287.30M,92.40M,5.812B,0,7.836B,31.96B,581.90M,23.59B,4.637B,24.12B,24.71B,19.49B,0,2.706B,4.522B
PGR,2016-03,868.00M,18.00B,1.930B,0.44,0.44,927.00M,2016-03,258.20M,-34.20M,-34.20M,1.062B,113.90M,771.20M,2.451B,387.40M,128.70M,5.553B,0,7.560B,30.72B,583.00M,22.60B,4.382B,23.16B,23.65B,18.78B,0,2.451B,4.379B
