Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
PH,2020-12,-2.131B,608.05M,2.520B,610.91M,3.47,3.41,11.80B,6.027B,892.36M,2020-12,1.871B,447.31M,-62.99M,-62.99M,2.302B,420.70M,6.602B,535.79M,2.596B,576.51M,129.02M,3.412B,356.57M,7.106B,19.83B,90.52M,4.800B,3.207B,12.71B,15.03B,9.498B,356.57M,1.562B,2.129B
PH,2020-09,-2.388B,775.86M,2.384B,884.45M,2.5,2.47,11.72B,5.902B,846.21M,2020-09,1.796B,321.41M,-63.96M,-63.96M,2.293B,413.89M,7.058B,476.36M,2.444B,415.30M,93.58M,3.231B,369.85M,6.529B,19.79B,90.52M,4.869B,3.328B,13.24B,14.92B,9.913B,369.85M,1.461B,2.134B
PH,2020-06,-2.559B,756.32M,2.357B,809.53M,2.3,2.27,11.67B,5.811B,803.28M,2020-06,1.815B,295.72M,-43.55M,-43.55M,2.293B,382.53M,7.652B,450.49M,2.339B,370.57M,74.87M,3.161B,352.79M,6.114B,19.74B,90.52M,4.885B,3.148B,13.61B,14.85B,10.46B,352.79M,1.307B,2.099B
PH,2020-03,-2.195B,790.15M,2.767B,1.035B,2.86,2.83,11.71B,5.750B,935.74M,2020-03,2.011B,367.25M,-80.76M,-80.76M,2.297B,497.92M,8.098B,522.28M,2.638B,454.16M,86.79M,3.702B,413.46M,6.296B,20.37B,90.52M,5.481B,3.674B,14.06B,14.88B,10.38B,413.46M,1.573B,2.497B
PH,2019-12,-1.946B,1.093B,2.683B,1.604B,1.59,1.57,11.99B,5.818B,815.21M,2019-12,2.014B,204.47M,-82.89M,-82.89M,2.336B,569.58M,8.141B,324.09M,2.487B,254.75M,50.15M,3.498B,491.12M,6.330B,21.04B,90.52M,5.661B,4.091B,14.70B,15.38B,10.61B,491.12M,1.477B,2.292B
PH,2019-09,-2.131B,3.909B,2.480B,1.737B,2.64,2.6,8.512B,5.271B,854.77M,2019-09,1.790B,338.90M,-51.96M,-51.96M,1.880B,178.45M,7.367B,455.59M,2.421B,433.16M,94.12M,3.335B,399.18M,6.097B,19.57B,90.52M,8.138B,4.157B,13.47B,11.43B,9.308B,399.18M,1.476B,2.272B
PH,2019-06,-2.059B,3.371B,2.740B,587.01M,3.22,3.17,7.237B,5.187B,941.89M,2019-06,1.678B,413.67M,-32.07M,-32.07M,1.768B,193.07M,6.521B,550.40M,2.565B,513.35M,99.61M,3.681B,391.49M,5.962B,17.58B,90.52M,7.673B,3.152B,11.61B,9.904B,8.457B,391.49M,1.580B,2.442B
PH,2019-03,-1.729B,1.169B,2.767B,1.017B,3.2,3.14,7.294B,5.189B,920.77M,2019-03,1.756B,411.25M,-48.21M,-48.21M,1.780B,277.21M,4.284B,559.91M,2.532B,529.20M,117.82M,3.688B,360.86M,6.010B,15.48B,90.52M,5.538B,3.549B,9.462B,9.940B,5.913B,360.86M,1.610B,2.435B
PH,2018-12,-1.795B,1.078B,2.602B,1.144B,2.39,2.36,7.346B,5.192B,869.71M,2018-12,1.805B,311.74M,-47.52M,-47.52M,1.794B,286.62M,4.303B,472.45M,2.365B,431.15M,119.24M,3.472B,397.26M,5.815B,15.31B,90.52M,5.335B,3.509B,9.487B,9.973B,5.978B,397.26M,1.490B,2.263B
PH,2018-09,-1.776B,992.91M,2.595B,796.86M,2.84,2.79,7.441B,5.208B,884.47M,2018-09,1.763B,375.71M,-44.34M,-44.34M,1.828B,265.42M,4.313B,490.15M,2.512B,459.72M,83.82M,3.479B,394.32M,6.101B,15.43B,90.52M,5.298B,3.309B,9.318B,10.13B,6.009B,394.32M,1.643B,2.377B
