Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
PHM,2020-12,-0.145M,3.147B,2.383B,11.97M,449.47M,1.62,1.62,163.42M,431.82M,808.94M,2020-12,7.722B,438.11M,0.587M,0.587M,203.02M,103.55M,3.255B,524.24M,1.514B,523.75M,85.64M,3.192B,279.66M,6.570B,12.21B,2.665M,11.64B,1.976B,5.636B,568.14M,3.660B,284.70M,511.32M,270.04M
PHM,2020-09,-0.17M,2.467B,2.195B,25.16M,403.65M,1.54,1.54,168.47M,400.64M,759.91M,2020-09,7.615B,416.40M,0.666M,0.666M,181.74M,0,3.028B,483.61M,1.693B,484.17M,67.77M,2.955B,271.26M,6.240B,11.37B,2.682M,10.16B,2.097B,5.125B,1.208B,3.028B,276.30M,358.05M,250.43M
PHM,2020-06,-0.195M,2.053B,1.935B,50.28M,335.04M,1.29,1.29,173.51M,302.24M,659.15M,2020-06,7.585B,348.62M,-1.674M,-1.674M,92.94M,0,3.027B,457.25M,1.745B,457.01M,108.39M,2.594B,196.86M,5.852B,10.96B,2.682M,9.706B,2.080B,5.107B,1.252B,3.027B,201.90M,441.98M,347.40M
PHM,2020-03,-0.22M,2.181B,1.745B,0,344.97M,0.75,0.74,178.55M,0,550.15M,2020-03,7.858B,203.71M,3.01M,3.01M,0,0,3.726B,281.93M,1.822B,263.77M,60.06M,2.295B,263.67M,5.530B,11.42B,2.681M,10.10B,2.167B,5.893B,1.319B,3.726B,268.23M,502.27M,0
PHM,2019-12,-0.245M,1.727B,2.316B,0,294.43M,1.23,1.22,124.99M,0,701.39M,2019-12,7.681B,335.80M,3.618M,3.618M,0,0,3.183B,436.25M,1.483B,435.95M,100.15M,3.017B,261.55M,5.458B,10.72B,2.702M,10.14B,1.803B,5.257B,577.46M,3.455B,265.15M,435.92M,0
PHM,2019-09,-0.27M,1.121B,2.068B,0,333.67M,0.99,0.99,128.59M,0,641.88M,2019-09,7.830B,273.10M,3.407M,3.407M,0,0,2.994B,367.65M,1.756B,366.15M,93.04M,2.710B,270.62M,5.182B,10.26B,2.71M,9.017B,2.089B,5.083B,1.247B,2.994B,274.22M,428.47M,0
PHM,2019-06,-0.295M,975.04M,1.905B,0,334.48M,0.86,0.86,132.19M,0,583.72M,2019-06,7.802B,241.04M,4.325M,4.325M,0,0,2.975B,320.72M,1.717B,320.78M,79.74M,2.489B,259.44M,5.070B,10.10B,2.75M,8.844B,2.051B,5.026B,1.252B,2.975B,262.99M,408.28M,0
PHM,2019-03,-0.32M,1.382B,1.526B,0,294.55M,0.59,0.59,123.74M,0,470.40M,2019-03,7.507B,166.76M,4.805M,4.805M,0,0,3.247B,214.23M,1.733B,216.70M,49.95M,1.997B,252.73M,4.933B,10.21B,2.771M,8.954B,2.027B,5.274B,1.253B,3.247B,256.18M,462.43M,0
PHM,2018-12,-0.345M,1.571B,2.370B,0,254.62M,0.84,0.84,127.19M,0,628.90M,2018-12,7.253B,237.65M,4.195M,4.195M,0,0,3.376B,333.14M,1.434B,329.49M,91.84M,2.999B,292.32M,4.818B,10.17B,2.771M,9.583B,1.738B,5.355B,590.23M,3.617B,295.77M,363.61M,0
PHM,2018-09,-0.37M,1.078B,2.008B,0,342.38M,1.01,1.01,130.64M,0,640.93M,2018-09,7.489B,289.54M,1.69M,1.69M,0,0,3.256B,384.73M,1.728B,384.69M,95.15M,2.649B,252.76M,4.729B,10.06B,2.821M,8.664B,2.070B,5.326B,1.391B,3.256B,256.21M,476.16M,0
PHM,2018-06,-0.395M,736.72M,1.933B,34.64M,354.97M,1.12,1.12,134.09M,277.21M,637.18M,2018-06,7.500B,324.09M,0.67M,0.67M,70.71M,0,3.270B,407.68M,1.664B,409.17M,85.08M,2.570B,226.06M,4.527B,9.816B,2.843M,8.349B,2.019B,5.289B,1.466B,3.270B,229.51M,421.81M,313.45M
PHM,2018-03,-0.424M,536.27M,1.504B,35.11M,308.86M,0.59,0.59,137.54M,270.34M,466.39M,2018-03,7.465B,170.75M,0.421M,0.421M,77.44M,0,3.335B,222.05M,1.788B,224.19M,53.44M,1.970B,240.89M,4.275B,9.706B,2.859M,8.105B,2.097B,5.432B,1.602B,3.335B,244.34M,561.97M,436.44M
PHM,2017-12,-0.445M,843.28M,2.181B,0,250.78M,0.26,0.26,140.99M,0,614.32M,2017-12,7.147B,77.41M,0.488M,0.488M,0,0,3.445B,409.26M,1.596B,408.77M,331.35M,2.795B,201.61M,4.154B,9.687B,2.868M,8.731B,1.881B,5.533B,956.02M,3.651B,205.06M,480.74M,0
PHM,2017-09,-0.465M,522.97M,1.619B,0,306.64M,0.59,0.58,144.44M,0,512.03M,2017-09,7.370B,177.54M,0.384M,0.384M,0,0,3.439B,271.08M,1.881B,268.25M,90.71M,2.131B,237.50M,4.345B,9.971B,2.94M,8.028B,2.187B,5.626B,1.943B,3.439B,240.94M,441.48M,0
