Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
PLD,2020-12,-1.194B,598.09M,290.98M,171.79M,0,0.37,0.37,726.82M,610.50M,820.62M,2020-12,281.89M,-70.99M,-70.99M,610.50M,167.97M,17.16B,332.97M,1.254B,348.89M,40.88M,0,1.112B,66.14M,31.97B,56.07B,71.34M,2.188B,1.442B,19.74B,53.88B,18.30B,487.65M,1.254B,380.38M
PLD,2020-09,-1.184B,940.19M,291.28M,39.73M,0,0.4,0.4,314.18M,455.70M,791.49M,2020-09,302.69M,-86.58M,-86.58M,455.70M,118.12M,16.93B,313.39M,1.119B,344.68M,12.15M,0,1.083B,74.35M,32.10B,55.76B,71.34M,2.697B,1.159B,19.27B,53.06B,18.11B,478.11M,780.64M,242.07M
PLD,2020-06,-1.142B,549.13M,313.65M,115.11M,0,0.55,0.54,450.69M,497.80M,952.47M,2020-06,406.17M,-80.27M,-80.27M,497.80M,96.17M,16.04B,481.63M,1.141B,501.45M,46.51M,0,1.266B,64.66M,32.24B,55.22B,76.34M,2.498B,1.256B,18.48B,52.72B,17.22B,470.84M,831.32M,239.53M
PLD,2020-03,-1.142B,807.87M,274.19M,52.52M,0,0.7,0.7,0,510.19M,704.05M,2020-03,491.05M,-75.63M,-75.63M,510.19M,0,16.12B,273.82M,888.34M,552.08M,30.91M,0,978.24M,69.69M,32.26B,55.01B,76.33M,2.783B,940.86M,18.23B,52.22B,17.29B,430.23M,0,0
PLD,2019-12,-990.40M,1.089B,230.19M,184.26M,0,0.61,0.6,0,593.80M,595.83M,2019-12,386.99M,-48.62M,-48.62M,593.80M,0,12.19B,237.54M,780.64M,447.53M,21.29M,0,826.02M,65.54M,22.65B,40.03B,75.27M,2.161B,1.007B,13.96B,37.87B,12.95B,358.29M,0,0
PLD,2019-09,-1.050B,1.025B,244.27M,0,0,0.71,0.71,0,437.04M,697.91M,2019-09,452.15M,-59.59M,-59.59M,437.04M,0,11.89B,348.17M,808.90M,504.10M,13.09M,0,942.18M,65.20M,22.52B,39.45B,75.26M,1.824B,808.90M,13.51B,37.62B,12.70B,349.75M,0,0
PLD,2019-06,-1.079B,401.19M,218.34M,112.91M,0,0.61,0.6,0,394.60M,572.03M,2019-06,385.28M,-54.81M,-54.81M,394.60M,0,11.26B,217.86M,740.94M,437.46M,26.63M,0,790.37M,66.28M,22.33B,38.71B,75.26M,1.010B,853.85M,12.93B,37.70B,12.08B,354.17M,0,0
PLD,2019-03,-1.029B,251.03M,226.13M,26.18M,0,0.55,0.55,0,383.70M,545.93M,2019-03,348.55M,-53.09M,-53.09M,383.70M,0,11.07B,188.38M,695.76M,387.28M,13.51M,0,772.05M,69.70M,22.33B,38.39B,75.26M,1.151B,721.94M,12.57B,37.24B,11.85B,357.54M,0,0
PLD,2018-12,-1.085B,343.86M,220.13M,50.50M,0,0.95,0.94,0,112.21M,586.95M,2018-12,598.06M,-56.99M,-56.99M,112.21M,0,11.04B,241.08M,831.32M,709.21M,18.72M,0,807.08M,56.70M,22.30B,38.42B,75.24M,1.314B,894.79M,12.62B,37.10B,11.72B,345.87M,0,0
PLD,2018-09,-1.047B,275.56M,182.57M,235.82M,0,0.6,0.6,0,0,499.86M,2018-09,347.84M,-62.30M,-62.30M,0,0,11.00B,181.52M,873.41M,389.48M,13.96M,0,682.43M,62.24M,22.03B,38.27B,75.24M,1.037B,1.109B,12.83B,37.23B,11.72B,318.34M,0,0
PLD,2018-06,-1.041B,527.83M,168.18M,11.66M,0,0.63,0.62,202.09M,0,453.10M,2018-06,336.09M,-50.67M,-50.67M,109.82M,87.15M,9.415B,187.29M,719.68M,379.10M,14.10M,0,621.28M,57.62M,15.64B,29.50B,74.28M,1.420B,731.34M,10.78B,28.08B,10.05B,265.80M,769.87M,0
PLD,2018-03,-903.34M,458.10M,186.80M,336.85M,0,0.69,0.68,267.91M,0,506.86M,2018-03,367.38M,-45.02M,-45.02M,102.83M,111.86M,9.123B,237.11M,692.85M,408.51M,16.55M,0,693.66M,62.43M,15.68B,29.67B,74.28M,931.25M,1.030B,10.88B,28.74B,9.854B,269.75M,640.73M,0
PLD,2017-12,-901.66M,447.05M,175.70M,317.39M,0,0.56,0.55,0,0,444.22M,2017-12,300.89M,-58.25M,-58.25M,0,0,9.095B,158.42M,769.87M,351.15M,12.28M,0,619.92M,59.71M,15.63B,29.48B,74.27M,1.130B,1.087B,10.78B,28.35B,9.688B,285.81M,0,239.12M
PLD,2017-09,-924.62M,568.73M,164.73M,0,0,1.65,1.63,0,0,438.14M,2017-09,877.89M,-59.37M,-59.37M,0,0,9.721B,175.49M,707.05M,931.36M,17.95M,0,602.87M,57.66M,15.54B,29.65B,83.56M,890.63M,707.05M,11.09B,28.76B,10.39B,262.65M,0,0
PLD,2017-06,-934.20M,271.35M,199.78M,0,0,0.5,0.5,0,0,566.40M,2017-06,268.62M,-73.46M,-73.46M,0,0,11.08B,275.27M,554.78M,302.76M,14.78M,0,766.18M,60.08M,14.85B,30.15B,83.55M,641.88M,554.78M,12.29B,29.51B,11.74B,291.13M,0,19.54M
PLD,2017-03,-943.28M,395.83M,184.46M,0,0,0.38,0.38,0,0,444.70M,2017-03,204.93M,-70.22M,-70.22M,0,0,10.97B,161.89M,549.84M,230.29M,9.60M,0,629.16M,53.62M,14.75B,29.81B,83.54M,852.58M,549.84M,12.15B,28.96B,11.60B,282.81M,0,17.01M
PLD,2016-12,-937.47M,807.32M,171.77M,35.02M,0,0.84,0.83,0,0,448.34M,2016-12,442.20M,-69.10M,-69.10M,0,0,10.57B,164.21M,640.73M,484.67M,17.97M,0,620.12M,56.43M,14.99B,30.25B,83.52M,1.523B,675.76M,11.79B,28.73B,11.12B,284.13M,0,273.56M
