Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
PM,2021-03,-11.18B,3.902B,2.274B,2.122B,0,1.55,1.55,7.72B,14.91B,5.311B,2021-03,9.591B,2.418B,-167.00M,-167.00M,5.952B,511.00M,27.28B,3.416B,15.06B,3.249B,697.00M,7.585B,1.877B,-11.55B,39.80B,0,17.91B,15.22B,49.38B,21.89B,34.16B,1.895B,12.15B,3.761B
PM,2020-12,-10.57B,7.28B,2.572B,3.368B,0,1.27,1.27,7.983B,14.29B,4.872B,2020-12,8.16B,1.976B,-164.00M,-164.00M,6.365B,684.00M,28.17B,2.876B,12.40B,2.712B,613.00M,7.444B,1.978B,-12.57B,44.82B,0,21.49B,19.62B,55.45B,23.32B,35.83B,1.996B,9.751B,3.712B
PM,2020-09,-10.01B,4.821B,2.416B,2.144B,0,1.48,1.48,7.573B,14.08B,5.03B,2020-09,8.968B,2.307B,-163.00M,-163.00M,6.134B,661.00M,27.35B,3.22B,12.28B,3.057B,640.00M,7.446B,1.792B,-12.09B,39.13B,0,17.45B,15.52B,49.37B,21.68B,33.85B,1.81B,9.905B,3.944B
PM,2020-06,-10.77B,4.20B,2.179B,2.585B,0,1.25,1.25,7.601B,13.70B,4.472B,2020-06,9.045B,1.947B,-162.00M,-162.00M,6.184B,775.00M,27.04B,2.709B,12.43B,2.547B,528.00M,6.651B,1.744B,-12.00B,39.16B,0,17.78B,15.79B,49.28B,21.39B,33.49B,1.763B,9.774B,3.334B
PM,2020-03,-9.363B,3.746B,2.402B,3.371B,0,1.17,1.17,7.134B,14.45B,4.751B,2020-03,9.235B,1.826B,-129.00M,-129.00M,6.107B,838.00M,25.00B,2.766B,13.40B,2.637B,596.00M,7.153B,1.967B,-12.94B,37.49B,0,16.86B,16.58B,48.56B,20.63B,31.97B,1.985B,10.76B,3.717B
PM,2019-12,-8.966B,6.861B,2.778B,4.389B,0,1.04,1.04,7.971B,14.16B,4.935B,2019-12,8.529B,1.616B,-136.00M,-136.00M,6.631B,908.00M,26.66B,2.478B,11.84B,2.342B,623.00M,7.713B,2.441B,-11.58B,42.88B,0,20.51B,18.83B,52.47B,22.36B,33.64B,2.457B,9.388B,3.729B
PM,2019-09,-9.051B,6.507B,2.605B,5.39B,0,1.22,1.22,7.808B,14.53B,5.037B,2019-09,8.255B,1.896B,-132.00M,-132.00M,6.636B,905.00M,26.43B,2.768B,12.27B,2.636B,635.00M,7.642B,2.254B,-11.01B,41.42B,0,19.58B,18.04B,50.58B,21.84B,32.53B,2.269B,9.866B,4.074B
PM,2019-06,-9.237B,4.008B,2.665B,5.031B,0,1.49,1.49,7.958B,14.30B,5.034B,2019-06,8.318B,2.319B,-150.00M,-150.00M,6.917B,786.00M,24.86B,3.167B,10.64B,3.017B,611.00M,7.699B,1.851B,-11.20B,39.92B,0,17.16B,18.05B,49.33B,22.76B,31.29B,1.867B,8.319B,3.535B
PM,2019-03,-10.11B,3.081B,2.465B,7.133B,0,0.87,0.87,7.904B,14.56B,4.286B,2019-03,8.804B,1.354B,-152.00M,-152.00M,6.894B,921.00M,23.13B,2.029B,11.61B,1.877B,424.00M,6.751B,2.238B,-11.97B,38.04B,0,15.74B,18.49B,48.23B,22.30B,29.74B,2.257B,9.515B,3.564B
PM,2018-12,0,6.593B,2.781B,4.784B,0,1.23,1.23,9.467B,0,4.718B,2018-12,0,1.91B,-125.00M,-125.00M,7.201B,898.00M,26.98B,2.68B,0,2.555B,551.00M,7.499B,2.019B,-12.46B,39.80B,0,19.44B,17.19B,50.54B,20.36B,33.35B,2.038B,0,0
PM,2018-09,-9.199B,5.88B,2.618B,3.587B,57.00M,1.44,1.44,9.588B,14.58B,4.886B,2018-09,8.44B,2.247B,-145.00M,-145.00M,7.138B,809.00M,28.18B,3.149B,11.20B,3.004B,691.00M,7.504B,1.717B,-11.72B,39.38B,0,18.54B,15.60B,49.32B,20.84B,33.72B,1.737B,9.219B,3.522B
PM,2018-06,-8.908B,6.587B,2.744B,3.617B,55.00M,1.41,1.41,9.648B,14.38B,4.982B,2018-06,8.925B,2.198B,-168.00M,-168.00M,7.113B,793.00M,28.05B,3.087B,13.09B,2.919B,644.00M,7.726B,1.874B,-11.92B,40.72B,0,20.03B,17.44B,50.89B,20.69B,33.45B,1.895B,11.14B,3.772B
PM,2018-03,-8.883B,7.20B,2.615B,5.27B,0,1,1,10.12B,15.06B,4.281B,2018-03,8.592B,1.556B,-227.00M,-227.00M,7.459B,822.00M,29.58B,2.42B,11.65B,2.193B,559.00M,6.896B,1.839B,-12.35B,43.07B,0,20.59B,17.69B,53.55B,22.48B,35.86B,1.861B,9.424B,3.894B
