Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
PNW,2020-12,-62.80M,59.97M,494.57M,243.78M,48.34M,-0.17,-0.17,282.57M,22.88B,246.39M,2020-12,334.30M,-19.39M,-55.82M,-55.82M,15.38B,2.548B,6.676B,30.85M,628.63M,-34.43M,-19.91M,740.96M,5.634B,20.02B,2.677B,1.198B,1.360B,14.27B,18.82B,12.91B,215.54M,571.67M,432.78M
PNW,2020-09,-57.49M,181.93M,590.14M,146.99M,47.73M,3.07,3.07,266.22M,22.16B,664.36M,2020-09,339.08M,346.37M,-53.88M,-53.88M,15.16B,2.576B,6.675B,455.01M,570.26M,428.48M,77.23M,1.255B,5.841B,19.75B,2.670B,1.455B,1.245B,13.78B,18.30B,12.54B,209.35M,509.62M,579.01M
PNW,2020-06,-57.88M,6.763M,457.77M,375.75M,49.13M,1.72,1.71,275.03M,21.97B,471.82M,2020-06,335.62M,193.58M,-55.19M,-55.19M,15.07B,2.477B,6.332B,261.87M,609.29M,239.52M,41.06M,929.59M,5.490B,19.31B,2.666B,1.147B,1.496B,13.70B,18.16B,12.20B,209.94M,555.78M,476.60M
PNW,2020-03,-55.58M,63.14M,409.84M,1.225B,54.96M,0.27,0.27,279.24M,21.29B,252.09M,2020-03,340.48M,29.99M,-51.88M,-51.88M,14.50B,2.425B,4.885B,40.42M,549.66M,14.66M,-20.21M,661.93M,5.469B,18.56B,2.664B,1.078B,2.295B,12.96B,17.48B,10.67B,211.67M,496.06M,364.54M
PNW,2019-12,-57.10M,10.28M,454.42M,927.39M,64.91M,0.57,0.57,290.56M,21.40B,215.97M,2019-12,345.92M,63.98M,-53.09M,-53.09M,14.38B,2.404B,4.884B,12.00M,632.86M,-19.68M,-88.54M,670.39M,5.431B,18.48B,2.660B,1.030B,2.078B,12.93B,17.45B,10.85B,203.97M,579.33M,408.15M
PNW,2019-09,-46.54M,29.85M,583.44M,533.60M,78.17M,2.78,2.77,266.59M,20.82B,607.34M,2019-09,312.43M,312.28M,-51.30M,-51.30M,14.26B,2.361B,5.037B,403.29M,548.04M,370.42M,53.27M,1.191B,5.553B,18.38B,2.654B,1.133B,1.587B,12.70B,17.24B,11.11B,204.05M,497.05M,524.57M
PNW,2019-06,-47.64M,1.648M,469.76M,742.97M,84.18M,1.28,1.28,261.58M,20.64B,399.74M,2019-06,315.38M,144.14M,-50.27M,-50.27M,14.17B,2.210B,4.940B,196.59M,620.30M,166.10M,17.08M,869.50M,5.233B,18.17B,2.648B,1.029B,1.901B,12.81B,17.14B,10.91B,203.15M,569.71M,454.40M
PNW,2019-03,-46.50M,6.109M,476.22M,559.48M,87.26M,0.16,0.16,268.00M,20.44B,264.31M,2019-03,307.15M,17.92M,-51.69M,-51.69M,14.04B,2.168B,4.940B,60.08M,513.68M,25.21M,2.418M,740.53M,5.251B,17.85B,2.644B,876.39M,1.591B,12.47B,16.98B,10.88B,204.22M,463.60M,361.19M
PNW,2018-12,-47.71M,5.766M,488.10M,576.40M,91.17M,0.23,0.23,262.90M,20.52B,268.27M,2018-12,294.09M,26.08M,-53.59M,-53.59M,13.77B,2.145B,4.638B,66.88M,575.94M,37.74M,6.795M,756.38M,5.223B,17.66B,2.634B,924.99M,1.649B,12.32B,16.74B,10.67B,201.39M,514.83M,400.99M
PNW,2018-09,-55.07M,64.99M,636.48M,728.20M,89.92M,2.81,2.8,268.63M,19.89B,631.55M,2018-09,308.58M,315.01M,-53.74M,-53.74M,13.56B,2.137B,4.487B,433.31M,528.93M,404.22M,84.33M,1.268B,5.354B,17.67B,2.630B,1.207B,1.735B,12.19B,16.46B,10.45B,198.25M,475.90M,561.87M
