Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
POOL,2021-03,-14.02M,27.08M,759.61M,73.67M,0,2.45,2.42,279.77M,318.87M,301.13M,2021-03,977.23M,98.66M,-2.582M,-2.582M,318.87M,31.13M,570.34M,129.03M,769.67M,126.45M,27.87M,1.061B,172.10M,657.93M,2.142B,0.04M,1.517B,843.34M,1.484B,624.40M,640.42M,172.10M,635.00M,122.94M
POOL,2020-12,-21.60M,34.13M,600.17M,72.80M,0,1.47,1.45,280.35M,484.14M,239.10M,2020-12,780.99M,59.17M,-3.061M,-3.061M,314.12M,27.65M,551.04M,74.35M,312.36M,71.29M,12.16M,839.26M,164.74M,639.47M,1.740B,0.04M,1.122B,483.25M,1.100B,617.74M,616.95M,164.74M,287.43M,122.25M
POOL,2020-09,-24.73M,74.75M,810.53M,68.69M,0,2.97,2.92,209.88M,289.32M,328.70M,2020-09,612.82M,119.10M,-1.861M,-1.861M,289.32M,29.48M,453.25M,148.23M,413.83M,146.37M,27.36M,1.139B,180.46M,589.50M,1.588B,0.04M,1.067B,482.52M,998.09M,520.91M,515.57M,180.46M,268.41M,135.56M
POOL,2020-06,-24.30M,44.18M,907.36M,66.18M,0,3.94,3.87,203.40M,294.38M,373.48M,2020-06,628.42M,157.56M,-2.643M,-2.643M,294.38M,29.40M,557.48M,205.86M,485.93M,203.21M,45.73M,1.281B,167.62M,486.79M,1.655B,0.04M,1.137B,552.12M,1.168B,517.65M,615.89M,167.62M,346.27M,144.84M
POOL,2020-03,-10.36M,17.81M,487.66M,72.06M,0,0.77,0.75,203.21M,288.64M,189.63M,2020-03,858.19M,30.91M,-4.789M,-4.789M,288.64M,30.46M,690.16M,42.53M,580.23M,30.80M,-0.025M,677.29M,147.10M,348.40M,1.748B,0.04M,1.238B,652.29M,1.399B,509.40M,747.09M,147.10M,517.62M,66.33M
POOL,2019-12,-13.80M,28.58M,420.18M,68.07M,0,0.45,0.44,199.63M,450.32M,162.05M,2019-12,702.27M,18.02M,-5.234M,-5.234M,288.94M,32.60M,621.67M,25.80M,285.46M,20.56M,2.592M,582.23M,136.25M,410.18M,1.483B,0.04M,973.57M,390.85M,1.073B,509.70M,682.24M,136.25M,271.78M,76.65M
POOL,2019-09,-11.08M,36.69M,640.57M,67.86M,0,1.99,1.95,199.37M,288.69M,257.93M,2019-09,616.22M,79.52M,-5.498M,-5.498M,288.69M,27.95M,657.12M,104.54M,295.77M,99.04M,19.59M,898.50M,153.39M,405.97M,1.481B,0.04M,973.09M,363.63M,1.075B,508.32M,711.80M,153.39M,214.31M,95.97M
POOL,2019-06,-11.05M,60.69M,791.01M,79.67M,0,3.3,3.22,200.17M,287.21M,330.31M,2019-06,694.45M,131.39M,-6.424M,-6.424M,287.21M,28.85M,787.74M,172.52M,423.96M,166.10M,34.78M,1.121B,157.79M,343.17M,1.691B,0.04M,1.183B,503.63M,1.347B,507.39M,843.79M,157.79M,342.34M,127.26M
POOL,2019-03,-11.00M,28.58M,422.82M,77.48M,0,0.83,0.8,200.22M,284.98M,174.63M,2019-03,815.74M,32.64M,-6.616M,-6.616M,284.98M,29.37M,800.01M,38.39M,520.14M,31.77M,-0.802M,597.46M,136.24M,224.88M,1.678B,0.04M,1.174B,597.62M,1.453B,504.78M,855.85M,136.24M,472.49M,72.35M
POOL,2018-12,0,16.36M,382.64M,9.168M,0,0.42,0.41,200.48M,248.61M,160.44M,2018-12,672.58M,16.81M,-6.447M,-6.447M,106.96M,29.40M,657.59M,25.97M,258.65M,19.52M,2.785M,543.08M,134.47M,223.59M,1.241B,0,915.24M,305.61M,1.017B,325.63M,711.67M,134.47M,246.17M,69.49M
POOL,2018-09,-7.635M,35.69M,576.31M,9.343M,0,1.71,1.66,201.33M,223.80M,235.00M,2018-09,609.98M,69.26M,-4.931M,-4.931M,109.94M,24.80M,571.36M,92.34M,280.34M,87.41M,18.21M,811.31M,142.67M,372.74M,1.284B,0.04M,952.91M,289.69M,911.02M,330.85M,621.33M,142.67M,204.71M,90.78M
POOL,2018-06,-8.855M,42.17M,749.15M,21.46M,0,2.89,2.8,201.67M,192.67M,308.66M,2018-06,606.58M,117.05M,-5.991M,-5.991M,113.05M,24.73M,635.66M,162.04M,383.50M,156.05M,39.06M,1.058B,146.61M,313.80M,1.404B,0.04M,1.070B,404.96M,1.090B,333.95M,685.52M,146.61M,300.23M,135.10M
POOL,2018-03,-5.554M,8.803M,419.83M,20.79M,0,0.78,0.75,202.68M,0,166.07M,2018-03,703.79M,31.34M,-3.527M,-3.527M,109.31M,24.95M,547.32M,33.54M,513.30M,30.01M,-1.279M,585.90M,132.53M,249.78M,1.380B,0.041M,1.051B,534.08M,1.130B,328.76M,595.80M,132.53M,467.80M,75.89M
POOL,2017-12,-7.328M,29.94M,364.78M,10.84M,0,0.64,0.62,202.66M,0,145.40M,2017-12,536.47M,25.66M,-3.581M,-3.581M,100.94M,24.58M,508.82M,17.26M,263.21M,13.68M,-11.97M,510.18M,128.14M,223.15M,1.101B,0.04M,782.25M,321.57M,877.92M,318.81M,556.35M,128.14M,253.22M,76.60M
POOL,2017-09,-7.749M,36.40M,526.80M,8.609M,0,1.2,1.16,202.23M,0,216.61M,2017-09,484.29M,48.78M,-4.009M,-4.009M,103.88M,27.24M,555.96M,81.93M,296.95M,77.92M,29.18M,743.40M,134.68M,210.54M,1.122B,0.04M,798.31M,305.56M,911.38M,323.61M,605.82M,134.68M,209.06M,90.14M
POOL,2017-06,-9.874M,26.67M,698.50M,14.90M,0,2.3,2.21,199.55M,0,289.66M,2017-06,542.80M,94.90M,-3.952M,-3.952M,106.79M,28.44M,538.58M,154.19M,371.53M,150.23M,55.65M,988.16M,135.48M,303.26M,1.279B,0.041M,955.27M,386.44M,975.88M,323.87M,589.44M,135.48M,273.31M,112.80M
POOL,2017-03,-12.54M,13.41M,392.82M,9.775M,0,0.54,0.52,198.23M,0,153.62M,2017-03,647.88M,22.28M,-3.647M,-3.647M,97.14M,29.23M,480.44M,31.00M,514.91M,27.35M,5.119M,546.44M,122.62M,222.65M,1.281B,0.041M,967.05M,524.68M,1.058B,313.82M,533.53M,122.62M,465.93M,61.26M
POOL,2016-12,-14.08M,21.96M,317.46M,1.105M,0,0.06,0.06,198.12M,0,127.78M,2016-12,486.12M,2.615M,-4.527M,-4.527M,83.29M,34.48M,436.94M,9.743M,248.03M,5.216M,2.687M,445.24M,118.03M,205.21M,994.10M,0.041M,695.56M,296.22M,788.88M,298.54M,492.66M,118.03M,239.15M,61.44M
POOL,2016-09,-13.85M,30.29M,491.88M,1.298M,0,1.06,1.03,199.13M,0,199.55M,2016-09,455.16M,44.53M,-2.989M,-2.989M,84.64M,28.36M,388.89M,74.17M,326.58M,71.18M,26.81M,691.43M,125.38M,271.98M,1.038B,0.042M,736.22M,327.87M,765.54M,301.30M,437.66M,125.38M,199.92M,81.07M
