Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
PPG,2021-03,-2.73B,1.928B,2.232B,1.061B,1.59,1.58,7.454B,8.27B,1.649B,2021-03,1.914B,378.00M,-24.00M,-24.00M,3.903B,422.00M,6.012B,527.00M,3.815B,499.00M,114.00M,102.00M,3.881B,891.00M,5.839B,20.14B,969.00M,7.339B,5.12B,14.17B,12.80B,9.05B,1.122B,2.625B,3.034B
PPG,2020-12,-2.599B,1.922B,2.14B,758.00M,1.15,1.14,7.453B,8.323B,1.617B,2020-12,1.735B,272.00M,-26.00M,-26.00M,3.974B,435.00M,5.848B,517.00M,3.707B,345.00M,67.00M,100.00M,3.757B,882.00M,5.689B,19.56B,969.00M,6.798B,4.831B,13.74B,12.76B,8.91B,1.10B,2.424B,2.726B
PPG,2020-09,-2.788B,2.095B,2.026B,849.00M,1.87,1.86,6.349B,8.007B,1.659B,2020-09,1.672B,442.00M,-30.00M,-30.00M,3.726B,436.00M,5.498B,599.00M,3.482B,572.00M,124.00M,92.00M,3.685B,836.00M,5.31B,18.30B,969.00M,7.002B,4.613B,12.88B,11.30B,8.263B,1.06B,2.572B,2.843B
PPG,2020-06,-2.925B,2.297B,1.703B,1.859B,0.43,0.43,6.223B,7.867B,1.312B,2020-06,1.706B,102.00M,-36.00M,-36.00M,3.691B,397.00M,5.282B,337.00M,3.055B,126.00M,29.00M,86.00M,3.015B,766.00M,4.832B,18.17B,969.00M,7.077B,5.234B,13.23B,11.09B,7.998B,975.00M,0,2.673B
PPG,2020-03,-3.042B,1.936B,1.908B,1.622B,1.03,1.02,6.161B,7.712B,1.469B,2020-03,1.859B,243.00M,-23.00M,-23.00M,3.647B,399.00M,5.378B,334.00M,3.367B,319.00M,71.00M,101.00M,3.377B,905.00M,4.723B,18.06B,969.00M,7.066B,5.195B,13.23B,11.00B,8.032B,1.135B,0,2.804B
PPG,2019-12,-2.35B,1.273B,2.111B,683.00M,1.23,1.22,6.601B,7.847B,1.561B,2019-12,1.71B,292.00M,-24.00M,-24.00M,3.765B,452.00M,5.161B,432.00M,3.411B,398.00M,95.00M,109.00M,3.672B,894.00M,5.284B,17.71B,969.00M,6.17B,4.375B,12.30B,11.54B,7.93B,1.129B,0,2.756B
PPG,2019-09,-2.328B,1.49B,2.181B,801.00M,1.55,1.54,6.418B,7.568B,1.645B,2019-09,1.86B,367.00M,-23.00M,-23.00M,3.604B,455.00M,5.473B,518.00M,3.636B,481.00M,109.00M,107.00M,3.826B,887.00M,5.247B,18.06B,969.00M,6.817B,4.578B,12.71B,11.25B,8.131B,1.127B,0,3.028B
PPG,2019-06,-2.23B,1.016B,2.288B,821.00M,1.15,1.14,6.393B,7.623B,1.736B,2019-06,1.945B,272.00M,-28.00M,-28.00M,3.66B,382.00M,5.417B,565.00M,3.746B,363.00M,86.00M,111.00M,4.024B,934.00M,5.079B,17.96B,969.00M,6.707B,4.706B,12.77B,11.25B,8.062B,1.171B,0,3.332B
PPG,2019-03,-2.224B,839.00M,2.073B,821.00M,1.32,1.31,6.123B,7.489B,1.551B,2019-03,1.965B,312.00M,-25.00M,-25.00M,3.592B,447.00M,5.192B,439.00M,3.684B,419.00M,102.00M,105.00M,3.624B,889.00M,4.904B,17.37B,969.00M,6.409B,4.588B,12.36B,10.96B,7.773B,1.112B,0,3.197B
PPG,2018-12,-2.30B,963.00M,2.188B,651.00M,1.08,1.08,6.042B,6.633B,1.457B,2018-12,1.783B,258.00M,-25.00M,-25.00M,2.805B,429.00M,4.365B,380.00M,3.543B,342.00M,83.00M,105.00M,3.645B,855.00M,4.63B,16.02B,969.00M,5.961B,4.373B,11.28B,10.05B,6.91B,1.077B,0,2.845B
