Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Income (Quarterly),Net Income,Net Loan Assets,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
PRU,2020-12,30.74B,435.06B,1.225B,2.067,2.03,4.718B,2020-12,819.00M,76.70B,0,0,0,19.72B,12.02B,900.00M,-88.00M,16.03B,3.719B,67.42B,940.72B,6.00M,435.60B,13.25B,872.51B,559.40B,306.90B,3.719B,12.02B,540.00M
PRU,2020-09,30.00B,432.59B,1.413B,3.72,3.7,1.131B,2020-09,1.487B,76.04B,0,0,0,21.11B,12.11B,1.447B,-50.00M,15.42B,3.323B,66.22B,911.59B,6.00M,433.20B,13.52B,844.70B,546.80B,194.40B,3.323B,12.11B,603.00M
PRU,2020-06,30.84B,440.51B,1.43B,-6.12,-6.12,1.04B,2020-06,-2.409B,75.75B,0,0,0,21.06B,13.26B,-2.332B,115.00M,12.12B,3.347B,65.90B,915.39B,6.00M,441.19B,14.69B,848.88B,553.52B,193.23B,3.347B,13.26B,683.00M
PRU,2020-03,22.60B,430.40B,2.839B,-0.7,-0.7,1.07B,2020-03,-271.00M,75.66B,0,0,0,21.10B,11.12B,-338.00M,-58.00M,13.46B,3.524B,60.45B,873.71B,6.00M,430.40B,13.96B,812.64B,528.37B,190.95B,3.524B,11.12B,600.00M
PRU,2019-12,24.04B,413.17B,2.233B,2.815,2.794,2.573B,2019-12,1.128B,75.66B,0,0,0,19.62B,11.38B,1.344B,221.00M,19.22B,3.828B,63.12B,896.55B,6.00M,413.77B,13.61B,832.83B,529.10B,287.50B,3.828B,11.38B,0
PRU,2019-09,27.56B,417.76B,1.789B,3.47,3.44,1.106B,2019-09,1.418B,73.86B,0,0,0,20.08B,12.66B,1.725B,332.00M,15.10B,3.294B,65.80B,885.63B,6.00M,417.76B,14.45B,819.31B,527.72B,186.58B,3.294B,12.66B,0
PRU,2019-06,23.98B,405.05B,2.958B,1.73,1.71,1.227B,2019-06,708.00M,73.26B,0,0,0,18.79B,11.48B,876.00M,162.00M,15.39B,3.138B,61.66B,873.82B,6.00M,405.05B,14.44B,811.67B,516.85B,184.19B,3.138B,11.48B,0
PRU,2019-03,17.22B,387.91B,2.549B,2.25,2.22,1.575B,2019-03,932.00M,72.86B,0,0,0,19.53B,10.03B,1.14B,232.00M,15.09B,3.156B,55.01B,849.32B,6.00M,387.91B,12.58B,793.87B,499.33B,184.72B,3.156B,10.03B,0
PRU,2018-12,10.91B,375.69B,2.451B,2.04,1.999,5.211B,2018-12,842.00M,71.85B,0,0,0,18.33B,7.936B,1.053B,218.00M,18.43B,3.22B,48.62B,815.08B,6.00M,375.69B,10.39B,766.05B,482.69B,275.65B,3.22B,7.936B,0
PRU,2018-09,9.15B,359.40B,2.393B,3.97,3.9,1.962B,2018-09,1.672B,71.26B,0,0,0,18.35B,7.014B,1.838B,184.00M,16.15B,2.96B,46.72B,822.75B,6.00M,359.40B,9.407B,775.67B,470.08B,181.31B,2.96B,7.014B,0
PRU,2018-06,11.66B,362.14B,2.056B,0.46,0.46,2.027B,2018-06,197.00M,70.56B,0,0,0,17.67B,7.888B,250.00M,68.00M,14.66B,2.846B,48.23B,819.86B,6.00M,362.14B,9.944B,771.27B,469.95B,180.88B,2.846B,7.888B,0
