Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Receivables
PSA,2020-12,-43.40M,257.56M,205.52M,0,1.67,1.67,204.65M,188.08M,553.52M,2020-12,351.27M,-11.44M,-11.44M,188.08M,2.545B,391.56M,394.66M,352.43M,1.757M,759.04M,15.59M,8.559B,11.82B,3.810B,257.56M,394.66M,3.240B,11.56B,2.845B,161.96M,0
PSA,2020-09,-62.34M,293.96M,217.46M,0,1.41,1.41,204.70M,176.66M,513.20M,2020-09,324.87M,-7.068M,-7.068M,176.66M,2.500B,353.58M,433.52M,325.85M,1.62M,730.66M,17.96M,8.434B,11.39B,3.657B,293.96M,433.52M,2.933B,11.09B,2.500B,159.62M,0
PSA,2020-06,-73.14M,1.268B,225.61M,0,1.41,1.41,206.92M,153.38M,483.68M,2020-06,314.92M,-8.314M,-8.314M,153.38M,2.458B,325.77M,394.99M,315.81M,4.255M,709.28M,14.72M,8.993B,12.36B,4.152B,1.268B,394.99M,3.348B,11.09B,2.953B,157.91M,0
PSA,2020-03,-78.00M,718.43M,218.87M,0,1.8,1.79,209.44M,161.70M,497.21M,2020-03,366.16M,-7.142M,-7.142M,161.70M,2.439B,340.25M,357.04M,367.14M,2.444M,716.08M,16.91M,9.013B,11.83B,4.082B,718.43M,357.04M,2.796B,11.11B,2.439B,156.96M,0
PSA,2019-12,-64.89M,409.74M,188.95M,0,1.88,1.87,205.94M,141.93M,536.83M,2019-12,386.02M,-7.976M,-7.976M,141.93M,1.902B,391.48M,383.28M,387.10M,1.748M,725.78M,7.63M,9.063B,11.37B,4.082B,409.74M,383.28M,2.286B,10.96B,1.902B,145.36M,0
PSA,2019-09,-78.51M,541.36M,212.26M,0,1.94,1.93,211.48M,184.03M,517.07M,2019-09,397.94M,-6.132M,-6.132M,184.03M,1.892B,370.93M,444.96M,399.42M,1.312M,729.34M,14.33M,8.774B,11.41B,3.784B,541.36M,444.96M,2.625B,10.87B,2.180B,146.14M,0
PSA,2019-06,-67.55M,360.33M,207.74M,0,1.76,1.76,210.18M,191.87M,503.21M,2019-06,370.06M,-3.672M,-3.672M,191.87M,1.908B,361.09M,410.67M,371.46M,1.723M,710.95M,12.26M,8.769B,11.11B,3.755B,360.33M,410.67M,2.319B,10.75B,1.908B,142.12M,0
PSA,2019-03,-65.97M,217.97M,204.20M,0,1.73,1.73,210.46M,213.78M,484.84M,2019-03,366.52M,-1.178M,-1.178M,213.78M,1.406B,343.39M,374.24M,367.68M,2.067M,689.04M,16.00M,9.070B,10.88B,4.042B,217.97M,374.24M,1.780B,10.66B,1.406B,141.44M,0
PSA,2018-12,-64.06M,361.22M,177.74M,0,3.05,3.04,209.86M,285.34M,519.97M,2018-12,586.20M,-2.282M,-2.282M,285.34M,1.412B,384.16M,371.26M,587.92M,0.761M,697.70M,11.53M,9.119B,10.93B,4.042B,361.22M,371.26M,1.784B,10.57B,1.412B,135.81M,0
PSA,2018-09,-84.34M,432.52M,195.54M,0,1.85,1.85,209.32M,253.72M,510.82M,2018-09,378.03M,-1.08M,-1.08M,253.72M,1.418B,358.88M,409.97M,379.58M,1.139M,706.37M,25.46M,8.895B,10.75B,4.042B,432.52M,409.97M,1.828B,10.32B,1.418B,151.94M,0
