Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables,,,,,2011-03
PSX,2020-12,-789.00M,2.514B,15.51B,987.00M,-1.23,-1.23,2.268B,40.22B,901.00M,2020-12,3.893B,-539.00M,-147.00M,-147.00M,23.72B,5.644B,14.91B,-746.00M,7.958B,-691.00M,-197.00M,16.41B,432.00M,18.98B,54.72B,6.00M,13.28B,9.518B,33.20B,41.44B,23.68B,1.647B,6.90B,6.522B,,,,,
PSX,2020-09,-967.00M,1.462B,14.86B,1.86B,-1.82,-1.82,2.274B,39.68B,1.068B,2020-09,4.897B,-799.00M,-132.00M,-132.00M,23.49B,5.507B,12.67B,-438.00M,8.21B,-1.35B,-624.00M,15.93B,384.00M,19.72B,54.28B,6.00M,12.82B,10.51B,31.98B,41.46B,21.46B,1.506B,6.686B,5.963B,,,,,
PSX,2020-06,-1.148B,1.89B,9.951B,1.783B,-0.33,-0.33,2.299B,39.14B,962.00M,2020-06,5.136B,-141.00M,-122.00M,-122.00M,24.28B,5.471B,12.66B,-587.00M,7.845B,-445.00M,-378.00M,10.91B,409.00M,20.72B,54.52B,6.00M,12.50B,10.02B,31.22B,42.02B,21.20B,1.549B,6.414B,4.852B,,,,,40.39B
PSX,2020-03,-991.00M,1.221B,18.78B,2.243B,-5.66,-5.66,2.305B,38.57B,2.096B,2020-03,5.331B,-2.496B,-117.00M,-117.00M,24.05B,5.487B,10.72B,279.00M,7.985B,-2.478B,-51.00M,20.88B,319.00M,21.37B,53.46B,6.00M,11.70B,10.53B,29.82B,41.76B,19.29B,1.817B,6.025B,4.559B,,,,,
PSX,2019-12,-788.00M,1.614B,26.45B,547.00M,1.65,1.64,4.139B,38.07B,2.671B,2019-12,3.776B,736.00M,-95.00M,-95.00M,23.79B,5.553B,11.22B,781.00M,10.39B,1.066B,256.00M,29.12B,491.00M,24.91B,58.72B,6.00M,14.40B,11.65B,31.55B,44.32B,19.90B,1.89B,9.554B,8.51B,,,,,1.056
PSX,2019-09,-871.00M,2.268B,24.14B,842.00M,1.58,1.58,4.142B,36.91B,3.076B,2019-09,5.521B,712.00M,-109.00M,-109.00M,22.95B,5.503B,11.08B,1.349B,10.62B,943.00M,150.00M,27.22B,416.00M,24.86B,58.74B,6.00M,15.62B,12.08B,31.65B,43.12B,19.57B,1.727B,9.501B,7.086B,,,,,1.056
PSX,2019-06,-767.00M,1.819B,24.89B,667.00M,3.13,3.12,4.141B,36.24B,2.959B,2019-06,5.093B,1.424B,-120.00M,-120.00M,22.50B,5.533B,10.77B,1.289B,10.00B,1.829B,325.00M,27.85B,408.00M,24.75B,57.78B,6.00M,14.30B,11.17B,30.48B,43.49B,19.30B,1.67B,9.086B,6.727B,,,,,
PSX,2019-03,-709.00M,1.253B,21.39B,30.00M,0.44,0.44,4.134B,35.71B,1.717B,2019-03,5.344B,204.00M,-125.00M,-125.00M,22.26B,5.456B,11.27B,-84.00M,10.94B,340.00M,70.00M,23.10B,366.00M,24.22B,57.86B,6.00M,14.82B,11.33B,31.11B,43.04B,19.78B,1.801B,9.953B,7.303B,,,,,
PSX,2018-12,-692.00M,3.019B,25.00B,67.00M,4.85,4.82,4.139B,35.20B,4.101B,2018-12,3.543B,2.24B,-82.00M,-82.00M,22.02B,5.275B,11.09B,2.316B,8.144B,2.918B,602.00M,29.10B,419.00M,24.65B,54.30B,6.00M,13.21B,8.935B,27.15B,41.09B,18.21B,1.785B,7.702B,6.173B,,,,,4.393B
PSX,2018-09,-639.00M,924.00M,26.73B,316.00M,3.2,3.18,4.144B,34.78B,3.057B,2018-09,5.544B,1.492B,-130.00M,-130.00M,21.62B,5.311B,11.02B,1.302B,11.09B,1.975B,407.00M,29.79B,440.00M,23.32B,55.88B,6.00M,15.31B,11.97B,30.09B,40.57B,18.12B,1.755B,10.51B,7.971B,,,,,2011-03
PSX,2018-06,-680.00M,1.884B,26.08B,341.00M,2.86,2.84,4.136B,34.33B,2.896B,2018-06,4.901B,1.339B,-141.00M,-141.00M,21.46B,5.191B,11.02B,1.212B,10.93B,1.835B,431.00M,28.98B,432.00M,22.54B,54.83B,6.00M,14.58B,11.73B,29.87B,40.25B,18.13B,1.684B,10.47B,7.173B,,,,,
PSX,2018-03,-504.00M,842.00M,21.47B,42.00M,1.07,1.07,4.141B,34.12B,2.121B,2018-03,4.743B,524.00M,-129.00M,-129.00M,21.50B,5.119B,11.58B,379.00M,8.853B,717.00M,132.00M,23.60B,386.00M,21.92B,52.13B,6.00M,12.12B,9.236B,27.83B,40.01B,18.60B,1.742B,8.418B,6.124B,,,,,676.00M
PSX,2017-12,-617.00M,3.119B,24.26B,41.00M,6.29,6.25,4.146B,33.74B,5.486B,2017-12,3.395B,3.198B,-89.00M,-89.00M,21.46B,5.008B,10.07B,464.00M,9.484B,654.00M,-2.601B,29.75B,437.00M,25.08B,54.37B,6.00M,14.39B,10.11B,26.94B,39.98B,16.84B,5.022B,9.029B,7.506B,,,,,-4.00M
PSX,2017-09,-684.00M,1.547B,19.80B,706.00M,1.6,1.6,4.154B,33.35B,5.827B,2017-09,4.455B,823.00M,-117.00M,-117.00M,21.30B,7.605B,9.495B,802.00M,8.717B,1.256B,407.00M,25.63B,435.00M,22.52B,52.71B,6.00M,12.94B,9.905B,28.75B,39.78B,18.85B,5.025B,8.172B,6.355B,,,,,-4.00M
PSX,2017-06,-809.00M,2.161B,18.67B,493.00M,1.06,1.06,4.159B,32.99B,5.414B,2017-06,4.245B,550.00M,-113.00M,-113.00M,21.29B,7.565B,9.472B,482.00M,8.022B,848.00M,267.00M,24.09B,439.00M,22.37B,51.83B,6.00M,12.46B,8.874B,28.02B,39.37B,19.15B,4.932B,7.448B,5.594B,,,,,
PSX,2017-03,-952.00M,1.513B,17.99B,609.00M,1.02,1.02,4.165B,32.66B,4.90B,2017-03,4.387B,535.00M,-110.00M,-110.00M,21.24B,7.254B,9.601B,90.00M,7.837B,797.00M,234.00M,22.89B,384.00M,22.36B,51.40B,6.00M,12.17B,8.73B,27.68B,39.24B,18.95B,4.81B,7.225B,5.69B,,,,,
PSX,2016-12,-995.00M,2.711B,18.68B,550.00M,0.31,0.31,4.158B,31.99B,4.713B,2016-12,3.15B,163.00M,-76.00M,-76.00M,20.86B,6.743B,9.588B,-57.00M,8.386B,62.00M,-132.00M,23.40B,420.00M,22.39B,51.65B,6.00M,12.68B,9.463B,27.93B,38.97B,18.46B,4.77B,7.866B,6.397B,,,,,
PSX,2016-09,-792.00M,2.337B,16.25B,1.583B,0.97,0.96,4.159B,31.36B,5.37B,2016-09,3.905B,511.00M,-86.00M,-86.00M,20.45B,6.568B,7.275B,474.00M,8.064B,813.00M,277.00M,21.62B,411.00M,22.90B,50.25B,6.00M,11.96B,10.10B,25.94B,38.29B,15.84B,4.896B,7.431B,5.001B,,,,,366.00M
PSX,2016-06,-752.00M,2.232B,16.49B,1.532B,0.94,0.93,4.171B,31.31B,5.361B,2016-06,3.993B,496.00M,-88.00M,-88.00M,20.25B,6.233B,7.33B,352.00M,8.483B,720.00M,204.00M,21.85B,421.00M,22.84B,50.36B,6.00M,12.64B,10.40B,26.30B,37.72B,15.90B,5.009B,7.996B,5.597B,,,,,
PSX,2016-03,-657.00M,1.723B,12.21B,32.00M,0.72,0.72,4.176B,30.93B,5.199B,2016-03,4.108B,385.00M,-91.00M,-91.00M,20.08B,6.089B,8.803B,329.00M,7.081B,596.00M,198.00M,17.41B,386.00M,22.79B,48.25B,6.00M,11.22B,7.419B,24.60B,37.03B,17.18B,4.87B,6.587B,4.737B,,,,,1.095B
PSX,2015-12,-653.00M,3.074B,16.15B,44.00M,1.21,1.2,4.181B,30.31B,5.741B,2015-12,3.477B,650.00M,-52.00M,-52.00M,19.72B,6.041B,8.843B,869.00M,6.911B,832.00M,166.00M,21.89B,433.00M,23.10B,48.58B,6.00M,12.26B,7.531B,24.64B,36.32B,17.11B,4.872B,6.533B,5.173B,,,,,418.00M
PSX,2015-09,-588.00M,4.822B,18.85B,43.00M,2.92,2.9,4.154B,29.64B,6.942B,2015-09,4.388B,1.578B,-76.00M,-76.00M,19.26B,5.401B,8.908B,1.812B,8.374B,2.359B,767.00M,25.79B,437.00M,23.19B,49.42B,6.00M,15.05B,8.875B,25.38B,34.37B,16.51B,5.13B,7.842B,5.198B,,,,,44.78B
PSX,2015-06,-469.00M,5.089B,22.53B,42.00M,1.85,1.84,4.155B,28.94B,5.985B,2015-06,4.126B,1.012B,-85.00M,-85.00M,18.76B,5.447B,8.923B,987.00M,9.664B,1.465B,440.00M,28.51B,406.00M,22.39B,49.87B,6.00M,16.53B,10.08B,26.65B,33.34B,16.58B,4.998B,9.258B,6.567B,,,,,323.00M
PSX,2015-03,-694.00M,5.39B,16.95B,35.00M,1.8,1.79,4.156B,27.86B,5.83B,2015-03,4.166B,987.00M,-91.00M,-91.00M,17.92B,5.483B,8.914B,880.00M,9.546B,1.388B,391.00M,22.78B,394.00M,21.76B,49.08B,6.00M,16.14B,9.864B,26.48B,32.93B,16.62B,4.95B,8.805B,5.737B,,,,,
PSX,2014-12,-531.00M,5.207B,28.72B,842.00M,2.068,2.068,4.174B,27.14B,6.241B,2014-12,3.397B,1.147B,-58.00M,-58.00M,17.35B,5.491B,7.793B,1.032B,9.79B,1.361B,203.00M,34.96B,448.00M,21.59B,48.69B,6.00M,16.69B,11.09B,26.66B,32.00B,15.56B,5.209B,8.942B,7.255B,,,,,
PSX,2014-09,-25.00M,3.108B,33.85B,35.00M,2.11,2.09,4.094B,26.54B,6.566B,2014-09,5.673B,1.18B,-66.00M,-66.00M,16.95B,5.632B,6.178B,1.187B,13.37B,1.727B,538.00M,40.42B,401.00M,21.75B,49.65B,6.00M,18.19B,13.77B,27.46B,31.46B,13.69B,5.379B,12.42B,8.766B,,,,,
PSX,2014-06,186.00M,4.956B,39.56B,38.00M,1.52,1.51,3.875B,25.55B,5.994B,2014-06,4.928B,863.00M,-72.00M,-72.00M,16.09B,5.686B,6.174B,673.00M,14.78B,1.359B,487.00M,45.55B,412.00M,21.51B,50.82B,6.00M,20.60B,15.12B,28.87B,30.22B,13.75B,5.321B,13.93B,10.11B,,,,,
PSX,2014-03,77.00M,5.326B,34.62B,40.00M,2.69,2.67,3.878B,24.98B,5.668B,2014-03,5.908B,1.572B,-74.00M,-74.00M,15.75B,5.692B,6.177B,538.00M,14.89B,1.298B,426.00M,40.28B,402.00M,21.38B,50.85B,6.00M,21.06B,15.16B,29.02B,29.79B,13.85B,5.13B,14.21B,9.12B,,,,,
PSX,2013-12,37.00M,5.40B,37.27B,24.00M,1.38,1.37,3.794B,24.43B,5.778B,2013-12,3.354B,826.00M,-54.00M,-54.00M,15.40B,6.125B,6.131B,535.00M,12.43B,1.211B,396.00M,43.05B,434.00M,21.95B,49.80B,6.00M,19.24B,12.93B,27.41B,30.56B,14.48B,5.243B,11.96B,9.632B,,,,,
PSX,2013-09,-367.00M,5.942B,38.95B,24.00M,0.88,0.87,3.941B,23.89B,5.196B,2013-09,4.737B,535.00M,-74.00M,-74.00M,15.08B,5.633B,6.132B,224.00M,14.32B,804.00M,278.00M,44.15B,349.00M,21.55B,50.98B,6.00M,21.08B,14.68B,28.99B,29.90B,14.31B,4.972B,13.63B,9.744B,,,,,
PSX,2013-06,-566.00M,4.22B,37.49B,14.00M,1.55,1.53,3.944B,23.25B,5.704B,2013-06,5.033B,958.00M,-75.00M,-75.00M,14.68B,5.48B,6.455B,803.00M,13.69B,1.453B,507.00M,43.19B,368.00M,21.66B,49.93B,6.00M,20.53B,14.00B,28.24B,29.40B,14.23B,4.901B,13.15B,9.793B,,,,,
PSX,2013-03,-622.00M,4.753B,35.48B,13.00M,2.25,2.23,4.071B,23.78B,5.726B,2013-03,5.811B,1.407B,-76.00M,-76.00M,15.26B,5.507B,6.958B,1.097B,14.70B,2.058B,663.00M,41.21B,327.00M,21.34B,51.15B,6.00M,21.17B,14.95B,29.77B,29.98B,14.82B,4.629B,14.15B,9.91B,,,,,4.027B
PSX,2012-12,-314.00M,3.474B,37.74B,13.00M,1.12,1.11,4.068B,23.83B,6.08B,2012-12,3.43B,708.00M,-65.00M,-65.00M,15.41B,5.444B,6.961B,1.247B,12.03B,1.144B,482.00M,43.82B,442.00M,20.78B,48.07B,6.00M,17.96B,12.48B,27.27B,30.11B,14.78B,4.833B,11.61B,10.40B,,,,,
PSX,2012-09,-129.00M,4.43B,36.42B,585.00M,2.53,2.51,4.07B,23.57B,6.527B,2012-09,5.743B,1.599B,-81.00M,-81.00M,15.31B,5.436B,7.393B,1.801B,15.45B,2.449B,848.00M,42.94B,432.00M,20.57B,52.23B,6.00M,21.87B,16.39B,31.62B,30.36B,15.24B,4.726B,14.84B,10.79B,,,,,
PSX,2012-06,-358.00M,3.104B,40.62B,590.00M,1.88,1.86,4.072B,23.14B,6.125B,2012-06,5.496B,1.181B,-89.00M,-89.00M,15.17B,5.497B,7.396B,1.186B,13.51B,1.894B,712.00M,46.75B,480.00M,18.95B,48.58B,6.00M,18.53B,14.37B,29.60B,30.05B,15.22B,4.939B,12.56B,9.213B,,,,,
PSX,2012-03,160.00M,0,40.54B,207.00M,0.9938,0.9938,4.059B,23.46B,5.239B,2012-03,5.04B,636.00M,-18.00M,-18.00M,14.85B,6.008B,5.971B,378.00M,14.47B,1.069B,431.00M,45.78B,349.00M,24.91B,53.00B,0,23.13B,14.71B,28.06B,29.87B,13.34B,4.861B,14.01B,11.32B,,,,,
PSX,2011-12,122.00M,0,40.73B,30.00M,3.142,3.142,4.064B,23.16B,7.365B,2011-12,3.466B,2.011B,6.00M,6.00M,14.77B,5.803B,361.00M,135.00M,12.29B,2.286B,317.00M,48.10B,352.00M,23.26B,43.21B,0,13.95B,12.38B,19.92B,29.26B,7.534B,7.23B,11.88B,10.02B,,,,,
PSX,2011-09,147.00M,0,44.93B,32.00M,1.639,1.639,4.354B,22.91B,5.475B,2011-09,6.148B,1.049B,-4.00M,-4.00M,14.65B,5.467B,365.00M,1.202B,14.25B,1.55B,499.00M,50.41B,372.00M,26.34B,47.92B,0,17.84B,14.33B,21.55B,30.08B,7.218B,4.273B,13.76B,10.89B,,,,,
PSX,2011-06,214.00M,0,47.62B,29.00M,1.623,1.623,4.41B,24.62B,5.028B,2011-06,4.113B,1.039B,-3.00M,-3.00M,15.41B,4.817B,388.00M,818.00M,12.38B,1.628B,588.00M,52.65B,347.00M,26.00B,44.96B,0,14.70B,12.50B,18.93B,30.25B,6.426B,4.21B,11.93B,10.21B,,,,,
