Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
PTC,2020-12,-90.86M,398.70M,86.83M,30.13M,424.70M,0.2,0.2,1.861B,243.53M,342.22M,2020-12,0,23.52M,-11.52M,-11.52M,243.53M,21.21M,1.164B,90.58M,163.02M,77.41M,53.89M,70.84M,429.05M,174.25M,1.495B,3.449B,1.167M,936.20M,712.24M,1.954B,2.513B,1.242B,251.64M,39.82M,415.84M
PTC,2020-09,-103.37M,303.59M,84.62M,34.64M,416.80M,0.46,0.45,1.863B,610.46M,306.37M,2020-09,0,53.41M,-15.25M,-15.25M,251.43M,22.09M,1.186B,67.99M,128.23M,55.38M,1.975M,69.88M,390.98M,161.75M,1.438B,3.383B,1.161M,833.45M,680.76M,1.944B,2.549B,1.264B,238.38M,31.92M,415.22M
PTC,2020-06,-110.21M,403.26M,79.22M,36.75M,395.85M,0.3,0.3,1.852B,252.66M,272.50M,2020-06,0,34.68M,-18.96M,-18.96M,252.66M,25.93M,1.304B,63.16M,143.97M,44.52M,9.838M,61.43M,351.72M,140.30M,1.328B,3.376B,1.16M,847.24M,666.29M,2.049B,2.529B,1.382B,209.33M,46.66M,319.24M
PTC,2020-03,-113.50M,861.03M,83.03M,535.89M,407.41M,0.06,0.06,1.854B,261.16M,276.58M,2020-03,0,7.156M,-31.02M,-31.02M,261.16M,29.33M,1.319B,68.27M,164.97M,15.78M,8.622M,59.95M,359.60M,141.07M,1.274B,3.866B,1.157M,1.341B,1.192B,2.592B,2.525B,1.400B,208.31M,49.69M,352.67M
PTC,2019-12,-103.86M,266.28M,87.40M,33.91M,359.50M,0.31,0.31,1.872B,270.66M,268.70M,2019-12,0,35.46M,-12.10M,-12.10M,270.66M,29.16M,1.316B,44.46M,152.08M,19.03M,-16.42M,65.31M,356.11M,152.16M,1.248B,3.280B,1.155M,739.17M,631.51M,2.032B,2.541B,1.400B,224.25M,64.92M,344.41M
PTC,2019-09,-110.71M,297.47M,85.42M,0,385.51M,0.09,0.09,1.408B,440.07M,249.59M,2019-09,0,9.826M,-13.47M,-13.47M,105.53M,52.81M,669.13M,52.20M,163.88M,33.78M,23.96M,64.11M,335.00M,127.22M,1.202B,2.665B,1.149M,782.62M,638.16M,1.463B,1.882B,824.44M,197.39M,59.85M,372.74M
PTC,2019-06,-93.01M,300.94M,82.70M,0,374.29M,-0.13,-0.13,1.428B,392.77M,212.78M,2019-06,0,-14.76M,-9.816M,-9.816M,107.75M,45.64M,698.92M,9.296M,148.08M,-0.485M,14.27M,60.59M,295.49M,136.98M,1.216B,2.649B,1.151M,752.66M,601.22M,1.433B,1.896B,831.78M,203.48M,52.29M,321.43M
PTC,2019-03,-95.12M,319.73M,79.90M,0,381.39M,-0.37,-0.37,1.422B,0,210.55M,2019-03,0,-43.51M,-10.38M,-10.38M,106.84M,46.74M,738.70M,4.122M,143.58M,-33.42M,10.09M,61.40M,290.45M,139.09M,1.248B,2.716B,1.181M,790.60M,598.38M,1.468B,1.925B,869.73M,206.42M,43.26M,352.22M
PTC,2018-12,-95.11M,302.59M,77.35M,0,325.11M,0.18,0.18,1.436B,0,257.34M,2018-12,0,20.98M,-9.276M,-9.276M,107.36M,46.46M,778.48M,48.54M,141.38M,20.42M,-0.562M,60.78M,334.69M,142.08M,1.321B,2.753B,1.187M,799.98M,540.97M,1.432B,1.953B,890.83M,208.80M,57.65M,385.67M
PTC,2018-09,-85.58M,285.78M,78.13M,0,487.59M,0.12,0.11,1.383B,0,234.40M,2018-09,0,13.19M,-13.10M,-13.10M,80.61M,17.44M,643.27M,13.46M,145.90M,0.669M,-12.52M,62.40M,312.52M,150.76M,874.59M,2.329B,1.18M,633.78M,735.28M,1.454B,1.695B,719.15M,220.94M,71.52M,129.30M
