Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
PVH,2021-01,-519.10M,1.651B,963.50M,462.50M,55.80M,-0.8115,-0.8115,6.472B,4.259B,1.126B,2021-01,1.417B,-57.70M,-34.50M,-34.50M,2.508B,416.60M,4.944B,-47.40M,2.064B,-8.20M,49.90M,2.090B,1.174B,4.730B,13.29B,86.30M,3.944B,2.582B,8.563B,9.350B,5.981B,1.174B,1.124B,666.60M
PVH,2020-10,-614.30M,1.46B,1.017B,468.10M,25.60M,0.98,0.98,6.345B,2.567B,1.101B,2020-10,1.484B,69.80M,-33.50M,-33.50M,2.567B,61.60M,4.919B,114.10M,2.074B,88.60M,19.10M,2.118B,987.20M,4.676B,13.26B,86.20M,3.968B,2.568B,8.581B,9.289B,6.013B,987.20M,1.134B,818.70M
PVH,2020-07,-622.60M,1.394B,697.40M,511.10M,49.60M,-0.72,-0.72,6.369B,2.672B,883.30M,2020-07,1.642B,-51.40M,-32.10M,-32.10M,2.672B,433.70M,5.030B,1.10M,1.965B,-33.80M,17.90M,1.581B,882.20M,4.584B,13.25B,86.20M,3.847B,2.526B,8.669B,9.406B,6.143B,882.20M,1.048B,596.20M
PVH,2020-04,-733.40M,800.70M,678.10M,734.70M,51.70M,-15.37,-15.37,6.144B,2.614B,665.90M,2020-04,1.561B,-1.097B,-21.20M,-21.20M,2.614B,624.10M,4.347B,-274.20M,1.535B,-1.240B,-142.40M,1.344B,940.10M,4.513B,12.29B,86.10M,3.188B,2.322B,7.781B,9.106B,5.459B,940.10M,783.90M,566.90M
PVH,2020-01,-640.10M,503.40M,1.203B,426.90M,64.70M,-0.9258,-0.93,7.158B,4.282B,1.398B,2020-01,1.616B,-67.40M,-30.00M,-30.00M,2.703B,599.10M,4.226B,140.30M,1.812B,-125.70M,-57.20M,2.601B,1.258B,5.812B,13.63B,85.90M,3.394B,2.361B,7.820B,10.24B,5.458B,1.258B,882.80M,765.10M
PVH,2019-10,-622.60M,555.20M,1.182B,776.10M,44.80M,2.83,2.82,7.458B,2.643B,1.406B,2019-10,1.768B,209.20M,-27.80M,-27.80M,2.643B,543.00M,4.256B,264.60M,1.732B,241.70M,32.80M,2.588B,1.142B,5.985B,14.02B,85.90M,3.582B,2.553B,8.034B,10.44B,5.481B,1.142B,780.50M,998.80M
PVH,2019-07,-611.40M,433.50M,1.076B,569.60M,68.90M,2.59,2.58,7.461B,2.634B,1.288B,2019-07,1.862B,193.50M,-27.00M,-27.00M,2.634B,565.20M,4.278B,133.90M,1.789B,222.80M,29.70M,2.364B,1.154B,5.872B,13.82B,85.90M,3.399B,2.428B,7.949B,10.42B,5.522B,1.154B,930.20M,808.90M
PVH,2019-04,-583.70M,494.30M,1.060B,665.00M,55.90M,1.09,1.08,7.150B,2.568B,1.296B,2019-04,1.608B,82.00M,-29.90M,-29.90M,2.568B,655.30M,4.259B,134.40M,1.486B,105.20M,23.60M,2.356B,1.162B,5.762B,13.36B,85.80M,3.253B,2.207B,7.594B,10.10B,5.387B,1.162B,696.20M,876.00M
PVH,2019-01,-507.90M,452.00M,1.128B,12.80M,65.30M,2.099,2.09,7.240B,2.398B,1.356B,2019-01,1.732B,158.70M,-29.20M,-29.20M,984.50M,0,2.819B,138.50M,1.816B,104.50M,-53.90M,2.484B,1.217B,5.828B,11.86B,85.40M,3.239B,1.894B,6.036B,8.625B,4.142B,1.217B,924.20M,803.80M
PVH,2018-10,-534.30M,398.50M,1.160B,276.70M,39.30M,3.18,3.15,7.230B,923.70M,1.365B,2018-10,1.687B,243.10M,-29.40M,-29.40M,923.70M,0,2.878B,273.50M,1.583B,252.90M,10.30M,2.524B,1.091B,5.681B,11.83B,85.40M,3.308B,1.899B,6.150B,8.523B,4.251B,1.091B,752.50M,965.60M
