Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
PWR,2020-12,-233.00M,184.62M,2.446B,99.90M,582.43M,1.21,1.17,2.557B,3.190B,465.87M,2020-12,50.47M,170.05M,-9.969M,-9.969M,1.818B,166.41M,1.353B,178.77M,1.078B,171.72M,-0.239M,2.912B,265.78M,4.344B,8.398B,0.002M,3.588B,2.139B,4.049B,4.810B,1.911B,287.10M,860.92M,3.170B
PWR,2020-09,-274.34M,216.94M,2.513B,97.38M,537.05M,1.16,1.13,2.533B,3.043B,507.51M,2020-09,39.82M,162.91M,-10.97M,-10.97M,1.703B,206.28M,1.387B,237.17M,1.544B,234.18M,70.48M,3.020B,250.65M,4.152B,8.325B,0.002M,3.677B,2.178B,4.170B,4.648B,1.992B,270.34M,885.79M,3.229B
PWR,2020-06,-290.05M,530.67M,2.151B,162.20M,613.19M,0.53,0.52,2.403B,2.954B,355.26M,2020-06,48.27M,73.95M,-8.379M,-8.379M,1.656B,220.69M,1.508B,109.63M,1.318B,107.78M,32.99M,2.506B,227.85M,3.914B,8.090B,0.002M,3.645B,2.093B,4.172B,4.445B,2.078B,245.63M,835.38M,2.860B
PWR,2020-03,-324.79M,377.20M,2.432B,164.82M,591.09M,0.27,0.26,2.402B,2.928B,332.20M,2020-03,50.36M,38.69M,-13.25M,-13.25M,1.676B,217.78M,1.790B,83.50M,1.360B,57.66M,16.16M,2.764B,230.79M,3.790B,8.229B,0.002M,3.759B,2.116B,4.434B,4.470B,2.318B,248.70M,0,3.162B
PWR,2019-12,-241.82M,164.80M,2.669B,167.34M,639.34M,0.81,0.8,2.436B,2.921B,443.32M,2019-12,55.72M,118.14M,-18.66M,-18.66M,1.671B,214.78M,1.489B,166.64M,1.140B,145.93M,25.63M,3.113B,255.13M,4.050B,8.332B,0.002M,3.831B,2.263B,4.278B,4.501B,2.015B,276.68M,0,3.349B
PWR,2019-09,-264.11M,80.04M,2.879B,169.26M,540.19M,0.93,0.92,2.434B,2.883B,473.44M,2019-09,67.04M,136.07M,-18.18M,-18.18M,1.679B,279.86M,2.008B,213.17M,1.648B,191.93M,54.91M,3.353B,245.01M,3.907B,8.865B,0.002M,4.302B,2.358B,4.956B,4.563B,2.598B,260.27M,0,3.841B
PWR,2019-06,-251.33M,73.36M,2.520B,145.63M,471.21M,0.19,0.19,2.197B,2.803B,319.50M,2019-06,68.40M,27.34M,-15.55M,-15.55M,1.639B,276.57M,1.709B,82.95M,1.289B,69.55M,41.09M,2.839B,223.94M,3.775B,8.022B,0.002M,3.752B,1.906B,4.246B,4.270B,2.339B,236.55M,0,3.316B
PWR,2019-03,-267.20M,85.42M,2.443B,136.64M,403.37M,0.83,0.82,2.203B,2.740B,363.98M,2019-03,81.12M,120.49M,-13.57M,-13.57M,1.603B,253.16M,1.538B,119.40M,1.239B,164.88M,43.84M,2.807B,231.91M,3.724B,7.653B,0.002M,3.555B,1.779B,3.927B,4.098B,2.149B,244.58M,0,3.154B
PWR,2018-12,-286.05M,78.69M,2.693B,65.65M,466.04M,0.38,0.38,2.180B,2.368B,419.72M,2018-12,107.73M,56.82M,-11.34M,-11.34M,1.276B,219.12M,1.041B,195.25M,995.33M,128.79M,71.00M,3.112B,212.01M,3.604B,7.076B,0.002M,3.326B,1.806B,3.470B,3.750B,1.664B,224.47M,0,2.932B
PWR,2018-09,-237.69M,113.52M,2.559B,22.81M,452.49M,0.82,0.81,2.197B,2.437B,425.83M,2018-09,94.67M,124.55M,-8.897M,-8.897M,1.351B,209.48M,952.89M,191.17M,1.341B,168.17M,43.27M,2.985B,224.04M,3.823B,7.191B,0.002M,3.378B,1.816B,3.367B,3.813B,1.551B,234.66M,0,2.972B
