Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
RCL,2020-12,-739.34M,3.684B,265.26M,1.474B,1.785B,-6.09,-6.09,1.254B,35.86B,-231.12M,2020-12,118.70M,-1.367B,-267.81M,-267.81M,25.85B,18.52B,-804.68M,1.222B,-1.367B,34.14M,255.53M,8.761B,32.47B,2.652M,4.312B,4.537B,23.70B,28.15B,19.17B,573.56M,353.42M,284.15M
RCL,2020-09,-869.11M,3.017B,308.61M,1.359B,1.820B,-6.29,-6.29,1.257B,25.95B,-342.30M,2020-09,142.43M,-1.347B,-254.33M,-254.33M,25.95B,18.18B,-906.22M,1.333B,-1.339B,-33.69M,246.78M,8.329B,31.83B,2.425M,3.532B,4.625B,23.50B,28.30B,18.87B,563.92M,421.02M,165.22M
RCL,2020-06,-951.23M,4.147B,680.42M,1.178B,1.806B,-7.83,-7.83,1.260B,26.26B,-504.82M,2020-06,152.60M,-1.639B,-213.68M,-213.68M,26.26B,18.32B,-1.126B,1.594B,-1.632B,175.60M,301.42M,8.964B,33.31B,2.372M,4.684B,4.737B,24.34B,28.62B,19.61B,621.18M,661.43M,205.92M
RCL,2020-03,-1.096B,3.891B,1.511B,3.854B,2.373B,-6.91,-6.91,1.294B,26.48B,521.93M,2020-03,177.70M,-1.444B,-87.38M,-87.38M,26.48B,12.86B,-198.29M,2.552B,-1.437B,2.033B,395.89M,10.23B,33.45B,2.372M,4.594B,8.982B,23.21B,28.85B,14.23B,720.22M,1.414B,220.88M
RCL,2019-12,-797.71M,243.74M,1.482B,2.718B,3.428B,1.31,1.3,1.874B,36.24B,1.036B,2019-12,162.11M,273.14M,-89.56M,-89.56M,26.15B,9.016B,299.42M,1.712B,280.47M,2.517B,414.71M,12.16B,30.32B,2.365M,1.163B,7.953B,18.16B,29.16B,10.20B,736.47M,563.71M,305.82M
RCL,2019-09,-946.36M,276.73M,1.623B,1.958B,3.410B,4.21,4.2,1.865B,25.70B,1.564B,2019-09,167.21M,883.24M,-96.41M,-96.41M,25.70B,9.440B,890.79M,1.643B,890.36M,3.187B,352.72M,11.98B,29.83B,2.365M,1.204B,7.114B,17.85B,28.62B,10.74B,673.02M,538.95M,348.99M
RCL,2019-06,-653.17M,235.00M,1.545B,2.085B,3.909B,2.26,2.25,1.373B,25.58B,1.262B,2019-06,168.01M,472.83M,-104.96M,-104.96M,25.58B,9.566B,573.65M,1.554B,479.96M,2.807B,376.87M,11.54B,29.81B,2.364M,1.283B,7.586B,18.27B,28.53B,10.68B,688.47M,531.79M,340.92M
RCL,2019-03,-578.98M,248.20M,1.414B,2.847B,3.730B,1.19,1.19,1.378B,24.42B,1.026B,2019-03,157.94M,249.68M,-90.63M,-90.63M,24.42B,8.235B,318.83M,1.440B,256.81M,2.440B,414.95M,11.27B,28.72B,2.364M,1.333B,8.106B,17.45B,27.39B,9.345B,707.23M,497.18M,374.98M
RCL,2018-12,-627.73M,287.85M,1.360B,2.422B,3.149B,1.51,1.5,1.880B,32.44B,971.89M,2018-12,153.57M,315.70M,-91.28M,-91.28M,23.47B,8.355B,364.03M,1.463B,320.45M,2.332B,327.69M,11.11B,27.70B,2.358M,1.242B,7.112B,16.59B,26.46B,9.481B,607.86M,488.21M,324.51M
RCL,2018-09,-230.58M,254.82M,1.411B,2.527B,3.112B,3.88,3.86,1.375B,0,1.385B,2018-09,152.16M,810.39M,-80.68M,-80.68M,22.60B,7.647B,799.73M,1.387B,810.39M,2.796B,325.17M,11.34B,27.09B,2.358M,1.359B,7.073B,15.76B,25.73B,8.682B,585.09M,432.09M,385.30M
RCL,2018-06,-265.20M,109.00M,1.314B,1.178B,3.049B,2.2,2.19,288.42M,27.78B,1.023B,2018-06,121.88M,466.30M,-68.77M,-68.77M,21.43B,7.341B,456.90M,1.231B,466.30M,2.338B,312.92M,10.77B,24.06B,2.358M,1.100B,5.502B,13.28B,22.96B,7.781B,566.30M,418.62M,355.73M
RCL,2018-03,-182.82M,111.24M,1.176B,1.144B,2.785B,1.03,1.02,288.48M,28.14B,851.74M,2018-03,110.83M,218.65M,-60.14M,-60.14M,21.21B,7.665B,274.15M,1.225B,218.65M,2.028B,337.36M,10.65B,23.97B,2.357M,1.035B,5.195B,13.32B,22.94B,8.129B,577.59M,454.58M,387.86M
RCL,2017-12,-334.26M,120.11M,1.146B,1.189B,2.308B,1.35,1.34,288.51M,0,858.77M,2017-12,111.39M,288.04M,-56.46M,-56.46M,19.74B,6.351B,307.35M,1.311B,288.04M,2.004B,311.06M,10.70B,22.36B,2.352M,907.64M,4.855B,11.66B,21.45B,6.804B,551.42M,360.11M,318.64M
RCL,2017-09,-526.89M,139.95M,1.318B,1.516B,2.226B,3.51,3.49,288.52M,0,1.251B,2017-09,119.95M,752.84M,-68.54M,-68.54M,19.69B,6.076B,737.49M,1.226B,752.84M,2.570B,273.64M,10.44B,22.10B,2.351M,798.15M,5.057B,11.66B,21.30B,6.607B,513.79M,384.54M,285.33M
RCL,2017-06,-761.04M,130.48M,1.257B,1.542B,2.533B,1.72,1.71,288.48M,0,938.49M,2017-06,109.14M,369.53M,-70.82M,-70.82M,19.80B,6.479B,419.70M,1.084B,369.53M,2.195B,283.86M,9.683B,22.02B,2.351M,767.64M,5.286B,12.34B,21.26B,7.055B,518.79M,376.51M,263.99M
RCL,2017-03,-892.32M,109.31M,1.176B,1.728B,2.302B,1,0.99,288.47M,0,832.74M,2017-03,108.43M,214.73M,-74.06M,-74.06M,19.86B,6.841B,279.52M,1.088B,214.73M,2.009B,317.46M,9.267B,22.02B,2.351M,756.69M,5.272B,12.75B,21.26B,7.479B,553.21M,362.99M,292.98M
RCL,2016-12,-916.48M,132.60M,1.123B,1.286B,1.965B,1.22,1.21,288.39M,0,786.35M,2016-12,114.09M,261.09M,-74.59M,-74.59M,20.16B,8.102B,296.84M,1.044B,261.09M,1.910B,256.31M,9.121B,22.31B,2.346M,748.30M,4.442B,13.19B,21.56B,8.747B,489.51M,305.31M,291.90M
RCL,2016-09,-1.078B,178.43M,1.340B,1.298B,1.968B,3.23,3.21,288.46M,0,1.224B,2016-09,118.85M,693.26M,-76.14M,-76.14M,20.23B,8.420B,734.96M,1.033B,693.26M,2.564B,259.33M,8.790B,22.45B,2.346M,803.07M,4.501B,13.66B,21.65B,9.160B,488.66M,259.03M,273.42M
RCL,2016-06,-1.172B,175.16M,1.311B,895.41M,2.222B,1.07,1.06,288.40M,0,794.68M,2016-06,112.38M,229.90M,-73.06M,-73.06M,20.19B,9.153B,282.27M,918.31M,229.90M,2.105B,290.78M,8.146B,22.47B,2.346M,857.94M,4.374B,14.33B,21.61B,9.952B,512.40M,319.61M,215.80M
RCL,2016-03,-1.323B,117.36M,1.242B,895.49M,1.947B,0.46,0.46,286.85M,0,676.22M,2016-03,121.39M,99.14M,-62.73M,-62.73M,18.83B,7.807B,163.13M,978.29M,99.14M,1.918B,302.33M,7.888B,20.96B,2.345M,892.29M,4.398B,13.08B,20.07B,8.678B,513.09M,371.85M,253.30M
RCL,2015-12,-1.328B,121.56M,1.173B,899.54M,1.742B,0.95,0.94,286.76M,26.22B,728.71M,2015-12,121.33M,206.80M,-60.35M,-60.35M,18.78B,7.628B,249.92M,999.00M,206.80M,1.902B,269.46M,8.063B,20.78B,2.339M,837.02M,4.293B,12.72B,19.95B,8.426B,478.79M,302.07M,238.97M
