Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Income (Quarterly),Net Income,Net Loan Assets,Net PP&E,Non-Current Portion of LTD and Capital Lease Obligation,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Receivables
RF,2021-03,592.00M,52.01B,0,0.64,0.63,5.696B,4.61B,2021-03,642.00M,84.27B,1.852B,2.916B,822.00M,180.00M,1.608B,546.00M,17.86B,153.33B,1.666B,52.35B,0,135.47B,128.08B,132.52B,546.00M,336.00M
RF,2020-12,1.315B,45.11B,0,0.61,0.61,5.608B,4.614B,2020-12,616.00M,85.00B,1.897B,3.569B,737.00M,121.00M,1.673B,619.00M,18.11B,147.39B,1.666B,45.46B,0,129.28B,129.09B,126.05B,598.00M,346.00M
RF,2020-09,1.565B,40.48B,0,0.52,0.52,5.583B,4.603B,2020-09,530.00M,87.27B,1.896B,4.919B,634.00M,104.00M,1.631B,557.00M,17.90B,145.18B,1.666B,40.83B,0,127.28B,131.36B,123.36B,552.00M,347.00M
RF,2020-06,1.626B,37.10B,0,-0.25,-0.25,5.579B,0,2020-06,-214.00M,89.42B,1.929B,6.408B,-261.00M,-47.00M,1.533B,564.00M,17.60B,144.07B,1.666B,37.44B,0,126.44B,130.53B,123.19B,548.00M,343.00M
RF,2020-03,1.324B,29.03B,3.15B,0.15,0.14,5.197B,0,2020-03,162.00M,87.10B,1.935B,10.10B,204.00M,42.00M,1.40B,502.00M,17.33B,133.54B,1.32B,29.38B,3.15B,116.21B,127.94B,110.14B,491.00M,349.00M
RF,2019-12,-90.00M,26.72B,2.05B,0.38,0.37,5.295B,0,2019-12,389.00M,82.73B,1.96B,7.879B,487.00M,98.00M,1.465B,527.00M,16.30B,126.24B,1.32B,27.08B,2.05B,109.94B,121.76B,105.35B,499.00M,362.00M
RF,2019-09,295.00M,28.05B,5.401B,0.39,0.39,5.263B,0,2019-09,409.00M,82.46B,1.944B,9.128B,516.00M,107.00M,1.476B,516.00M,16.58B,128.15B,1.32B,28.43B,5.401B,111.57B,122.70B,103.43B,511.00M,377.00M
RF,2019-06,-21.00M,27.19B,4.25B,0.37,0.37,5.267B,0,2019-06,390.00M,83.21B,1.95B,9.213B,483.00M,93.00M,1.42B,504.00M,16.61B,127.52B,1.321B,27.58B,4.25B,110.91B,122.64B,104.18B,502.00M,389.00M
RF,2019-03,-598.00M,27.59B,1.60B,0.37,0.37,5.323B,0,2019-03,394.00M,83.90B,2.026B,12.96B,499.00M,105.00M,1.434B,514.00M,15.51B,128.80B,831.00M,27.98B,1.60B,113.28B,124.61B,108.68B,508.00M,388.00M
RF,2018-12,-964.00M,26.27B,1.60B,0.38,0.37,5.362B,0,2018-12,406.00M,82.62B,2.045B,12.42B,491.00M,85.00M,1.382B,503.00M,15.09B,125.69B,831.00M,26.64B,1.60B,110.60B,121.78B,106.92B,500.00M,375.00M
RF,2018-09,-1.394B,26.17B,3.25B,0.5,0.5,5.357B,4.478B,2018-09,564.00M,81.31B,2.051B,11.18B,455.00M,85.00M,1.457B,515.00M,14.77B,124.58B,831.00M,26.53B,3.25B,109.81B,120.72B,104.43B,525.00M,360.00M
RF,2018-06,-1.255B,27.22B,1.40B,0.32,0.32,5.422B,4.443B,2018-06,375.00M,80.13B,2.05B,9.89B,467.00M,89.00M,1.441B,561.00M,15.78B,124.56B,832.00M,27.57B,1.40B,108.78B,119.92B,105.17B,574.00M,347.00M
RF,2018-03,-1.151B,26.27B,500.00M,0.35,0.35,5.427B,0,2018-03,414.00M,79.43B,2.065B,7.949B,542.00M,128.00M,1.432B,545.00M,15.87B,122.91B,832.00M,26.60B,500.00M,107.05B,119.40B,104.94B,558.00M,328.00M
RF,2017-12,-749.00M,27.31B,600.00M,0.28,0.27,5.417B,0,2017-12,335.00M,79.36B,2.064B,8.132B,541.00M,221.00M,1.423B,529.00M,16.19B,124.29B,832.00M,27.72B,600.00M,108.10B,119.98B,105.02B,537.00M,337.00M
RF,2017-09,-454.00M,27.42B,600.00M,0.25,0.25,5.426B,0,2017-09,311.00M,78.70B,2.057B,6.102B,450.00M,138.00M,1.384B,516.00M,16.62B,123.27B,832.00M,27.74B,600.00M,106.65B,119.19B,103.69B,529.00M,319.00M
RF,2017-06,-479.00M,27.74B,0,0.25,0.25,5.448B,0,2017-06,316.00M,79.66B,2.06B,6.765B,449.00M,133.00M,1.39B,518.00M,16.89B,124.64B,832.00M,28.05B,0,107.75B,120.20B,104.86B,529.00M,313.00M
RF,2017-03,-565.00M,27.90B,0,0.24,0.23,5.439B,0,2017-03,301.00M,79.32B,2.088B,6.01B,420.00M,127.00M,1.355B,512.00M,16.72B,124.54B,832.00M,28.20B,0,107.82B,119.86B,105.43B,533.00M,308.00M
RF,2016-12,-550.00M,29.22B,2.00M,0.23,0.23,5.449B,0,2016-12,295.00M,79.72B,2.096B,7.763B,420.00M,130.00M,1.299B,452.00M,16.66B,125.97B,833.00M,29.55B,2.00M,109.30B,120.20B,106.80B,446.00M,319.00M
RF,2016-09,105.00M,28.10B,0,0.24,0.24,5.348B,0,2016-09,320.00M,80.33B,2.075B,6.054B,471.00M,152.00M,1.445B,540.00M,17.36B,125.18B,833.00M,28.40B,0,107.81B,120.63B,105.34B,546.00M,305.00M
RF,2016-06,148.00M,27.73B,0,0.2,0.2,5.338B,0,2016-06,275.00M,81.10B,2.091B,8.968B,387.00M,115.00M,1.386B,525.00M,17.38B,126.21B,833.00M,28.04B,0,108.83B,121.66B,106.21B,529.00M,312.00M
RF,2016-03,-23.00M,27.48B,0,0.2,0.2,5.363B,4.372B,2016-03,273.00M,80.81B,2.134B,7.851B,386.00M,113.00M,1.383B,525.00M,17.21B,125.54B,833.00M,27.80B,0,108.33B,120.84B,106.00B,538.00M,314.00M
RF,2015-12,-380.00M,28.02B,10.00M,0.21,0.21,5.39B,4.338B,2015-12,285.00M,80.50B,2.152B,8.349B,408.00M,120.00M,1.375B,523.00M,16.84B,126.05B,833.00M,28.34B,10.00M,109.21B,120.42B,106.78B,517.00M,319.00M
RF,2015-09,-139.00M,27.66B,0,0.18,0.18,5.335B,4.195B,2015-09,258.00M,80.40B,2.122B,7.364B,378.00M,116.00M,1.316B,540.00M,16.95B,124.79B,849.00M,28.04B,0,107.84B,119.46B,104.54B,539.00M,316.00M
RF,2015-06,-287.00M,26.43B,1.75B,0.2,0.2,5.352B,0,2015-06,285.00M,79.54B,2.147B,3.602B,413.00M,124.00M,1.391B,517.00M,16.90B,121.86B,866.00M,26.73B,1.846B,104.96B,117.80B,100.68B,490.00M,305.00M
RF,2015-03,-115.00M,28.84B,0,0.16,0.16,5.327B,0,2015-03,234.00M,77.64B,2.174B,3.208B,331.00M,95.00M,1.27B,506.00M,17.05B,122.45B,882.00M,29.22B,2.085B,105.40B,116.11B,100.68B,441.00M,313.00M
RF,2014-12,-238.00M,25.96B,500.00M,0.14,0.14,5.348B,0,2014-12,216.00M,76.74B,2.193B,3.462B,317.00M,98.00M,1.291B,555.00M,16.87B,119.56B,898.00M,26.37B,2.253B,102.69B,115.25B,97.66B,545.00M,310.00M
RF,2014-09,-174.00M,27.14B,0,0.22,0.22,5.38B,0,2014-09,320.00M,75.93B,2.192B,3.813B,468.00M,151.00M,1.287B,479.00M,17.16B,119.23B,914.00M,27.47B,1.893B,102.07B,114.13B,97.94B,479.00M,310.00M
