Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
ROK,2020-12,-1.527B,730.40M,918.80M,244.50M,383.60M,5.11,5.06,2.442B,2.629B,646.50M,2020-12,640.60M,593.30M,-22.30M,-22.30M,909.10M,0,2.248B,271.90M,1.168B,700.70M,110.30M,0,1.565B,374.60M,1.558B,8.171B,181.40M,2.932B,2.189B,6.297B,5.239B,4.109B,374.60M,1.138B,1.379B
ROK,2020-09,-1.614B,704.60M,930.70M,114.30M,325.30M,2.269,2.25,2.130B,2.592B,639.30M,2020-09,584.00M,262.70M,-20.70M,-20.70M,917.30M,0,2.249B,284.90M,1.041B,299.60M,35.90M,0,1.57B,354.40M,1.028B,7.265B,181.40M,2.686B,1.811B,5.918B,4.579B,4.107B,354.40M,1.026B,1.249B
ROK,2020-06,-1.570B,910.40M,839.80M,512.00M,341.70M,2.74,2.73,2.122B,2.532B,554.20M,2020-06,674.80M,317.80M,-25.40M,-25.40M,884.80M,0,2.225B,184.00M,1.080B,334.50M,20.30M,0,1.394B,370.20M,770.50M,7.330B,181.40M,2.942B,2.242B,6.240B,4.387B,3.998B,370.20M,1.050B,1.202B
ROK,2020-03,-1.626B,641.80M,982.50M,169.90M,326.20M,1.14,1.13,1.795B,2.496B,698.80M,2020-03,629.00M,132.20M,-25.50M,-25.50M,879.30M,0,2.224B,346.80M,1.032B,167.40M,37.50M,0,1.681B,352.00M,620.80M,6.666B,181.40M,2.758B,1.762B,5.728B,3.908B,3.966B,352.00M,1.017B,1.301B
ROK,2019-12,-1.584B,926.20M,981.60M,411.30M,319.20M,2.68,2.66,1.838B,2.514B,702.90M,2019-12,625.30M,310.70M,-24.00M,-24.00M,905.10M,0,2.211B,299.70M,1.044B,334.60M,19.20M,0,1.684B,403.20M,717.00M,7.108B,181.40M,3.008B,2.068B,6.071B,4.100B,4.004B,403.20M,1.015B,1.298B
ROK,2019-09,-1.488B,1.018B,1.007B,300.50M,275.60M,0.07,0.07,1.265B,2.138B,722.90M,2019-09,575.70M,8.10M,-15.90M,-15.90M,571.90M,0,1.956B,317.80M,1.016B,56.40M,48.30M,0,1.730B,405.10M,404.20M,6.113B,181.40M,2.986B,1.937B,5.709B,3.127B,3.772B,405.10M,1.000B,1.179B
ROK,2019-06,-930.20M,913.40M,934.80M,299.40M,293.70M,2.22,2.2,1.282B,2.141B,730.30M,2019-06,656.30M,261.40M,-26.80M,-26.80M,556.50M,0,1.941B,368.60M,1.060B,321.40M,60.00M,0,1.665B,361.70M,1.156B,6.159B,181.40M,2.946B,1.952B,5.002B,3.213B,3.050B,361.70M,1.032B,1.223B
ROK,2019-03,-940.30M,902.20M,949.00M,298.70M,308.90M,2.91,2.88,1.294B,2.115B,708.20M,2019-03,665.40M,346.00M,-23.70M,-23.70M,557.80M,0,1.932B,323.20M,974.50M,402.40M,56.40M,0,1.657B,385.00M,1.336B,6.254B,181.40M,2.977B,1.872B,4.918B,3.277B,3.046B,385.00M,958.60M,1.244B
ROK,2018-12,-976.90M,753.50M,903.60M,631.30M,293.00M,0.67,0.66,1.272B,2.105B,738.70M,2018-12,627.20M,80.30M,-20.70M,-20.70M,559.70M,0,1.235B,352.00M,1.01B,120.80M,40.50M,0,1.642B,386.70M,1.274B,5.935B,181.40M,2.738B,2.266B,4.661B,3.198B,2.396B,386.70M,994.50M,1.189B
ROK,2018-09,-941.90M,909.70M,993.40M,551.00M,249.90M,2.856,2.8,1.291B,2.138B,736.10M,2018-09,581.60M,345.90M,5.20M,5.20M,576.80M,0,1.225B,321.00M,1.048B,481.70M,135.80M,0,1.730B,415.10M,1.618B,6.262B,181.40M,2.831B,2.237B,4.644B,3.431B,2.408B,415.10M,1.035B,1.190B
ROK,2018-06,-1.140B,1.489B,954.00M,0.80M,261.60M,1.6,1.58,1.301B,2.117B,744.70M,2018-06,570.30M,198.60M,-16.50M,-16.50M,537.30M,0,1.227B,345.10M,1.061B,251.70M,53.10M,0,1.699B,399.60M,1.444B,5.838B,181.40M,3.376B,1.754B,4.393B,2.462B,2.640B,399.60M,1.046B,1.149B
ROK,2018-03,-1.082B,2.047B,947.30M,308.50M,286.40M,1.79,1.77,1.335B,2.135B,703.90M,2018-03,570.40M,227.40M,-17.30M,-17.30M,557.20M,0,1.230B,317.30M,948.90M,299.60M,72.20M,0,1.651B,386.60M,1.947B,6.514B,181.40M,3.941B,1.878B,4.566B,2.573B,2.689B,386.60M,936.60M,1.163B
ROK,2017-12,-1.176B,2.648B,886.40M,840.00M,267.50M,-1.84,-1.84,1.316B,2.078B,700.20M,2017-12,570.80M,-236.40M,-20.00M,-20.00M,565.80M,0,1.239B,313.60M,860.20M,297.80M,534.20M,0,1.587B,386.60M,2.156B,7.159B,181.40M,4.534B,2.287B,5.002B,2.625B,2.716B,386.60M,845.10M,1.150B
ROK,2017-09,-1.179B,2.536B,976.10M,600.40M,240.60M,1.593,1.57,1.316B,2.096B,691.40M,2017-09,558.70M,204.60M,0.10M,0.10M,583.90M,0,1.243B,299.80M,904.20M,273.50M,68.90M,0,1.668B,391.60M,2.664B,7.162B,181.40M,4.421B,2.146B,4.498B,2.741B,2.352B,391.60M,887.30M,1.136B
ROK,2017-06,-1.464B,2.615B,921.50M,598.40M,245.40M,1.69,1.67,1.302B,2.048B,677.70M,2017-06,585.50M,216.90M,-19.10M,-19.10M,568.80M,0,1.244B,290.90M,986.80M,276.00M,59.10M,0,1.599B,386.80M,2.178B,7.216B,181.40M,4.456B,2.196B,5.038B,2.759B,2.841B,386.80M,970.60M,1.112B
ROK,2017-03,-1.508B,2.534B,897.80M,623.40M,247.10M,1.47,1.45,1.302B,2.010B,656.50M,2017-03,543.20M,189.50M,-18.90M,-18.90M,567.20M,0,1.24B,247.30M,854.50M,230.30M,40.80M,0,1.554B,409.20M,2.198B,7.065B,181.40M,4.317B,2.025B,4.867B,2.748B,2.842B,409.20M,837.60M,1.083B
