Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
ROST,2021-01,0,4.819B,3.157B,663.03M,0,0.67,0.67,0,9.169B,1.093B,2021-01,1.509B,237.98M,-19.15M,-19.15M,5.795B,317.68M,5.070B,402.00M,3.304B,382.85M,144.87M,4.250B,690.62M,3.291B,12.72B,3.565M,6.692B,3.967B,9.427B,6.025B,5.460B,690.62M,2.312B,115.07M
ROST,2020-10,0,4.416B,2.711B,590.12M,0,0.37,0.37,0,9.136B,1.043B,2020-10,1.630B,131.20M,-28.74M,-28.74M,5.839B,135.03M,5.184B,165.23M,3.352B,136.49M,5.296M,3.755B,877.86M,3.019B,12.57B,3.564M,6.517B,3.942B,9.552B,6.054B,5.61B,877.86M,2.426B,122.65M
ROST,2020-07,0,3.793B,2.080B,1.382B,0,0.06,0.06,0,8.974B,604.59M,2020-07,1.118B,22.05M,-28.86M,-28.86M,5.760B,155.56M,4.888B,85.10M,1.771B,56.24M,34.20M,2.685B,519.50M,2.867B,11.32B,3.56M,5.347B,3.153B,8.455B,5.975B,5.302B,519.50M,1.010B,162.72M
ROST,2020-04,0,2.670B,1.890B,1.376B,0,-0.87,-0.87,0,8.902B,-47.32M,2020-04,1.757B,-305.84M,-6.666M,-6.666M,5.775B,163.15M,4.917B,-462.62M,1.248B,-469.29M,-163.45M,1.843B,415.30M,2.817B,10.73B,3.559M,4.588B,2.624B,7.911B,6.140B,5.287B,415.30M,706.27M,49.62M
ROST,2020-01,0,1.351B,3.224B,564.48M,0,1.29,1.28,0,8.755B,1.189B,2020-01,1.832B,456.13M,3.287M,3.287M,5.707B,291.12M,2.923B,587.33M,2.137B,590.62M,134.48M,4.413B,601.88M,3.359B,9.348B,3.568M,3.433B,2.702B,5.989B,5.916B,3.287B,601.88M,1.311B,102.24M
ROST,2019-10,0,1.143B,2.766B,559.43M,0,1.04,1.03,0,8.593B,1.083B,2019-10,2.169B,370.93M,4.402M,4.402M,5.608B,140.74M,2.914B,478.08M,2.299B,482.48M,111.55M,3.849B,604.60M,3.277B,9.416B,3.594M,3.607B,2.858B,6.139B,5.809B,3.281B,604.60M,1.480B,124.85M
ROST,2019-07,0,1.382B,2.844B,549.84M,0,1.15,1.14,0,8.344B,1.136B,2019-07,1.836B,412.72M,4.782M,4.782M,5.437B,139.54M,2.809B,544.05M,2.130B,548.83M,136.11M,3.980B,591.97M,3.296B,9.152B,3.622M,3.516B,2.679B,5.856B,5.636B,3.176B,591.97M,1.360B,130.44M
ROST,2019-04,0,1.367B,2.702B,536.90M,0,1.16,1.15,0,8.204B,1.095B,2019-04,1.814B,421.14M,5.635M,5.635M,5.379B,134.21M,2.827B,536.72M,2.057B,542.36M,121.22M,3.797B,558.25M,3.268B,9.049B,3.653M,3.463B,2.594B,5.782B,5.586B,3.188B,558.25M,1.385B,121.61M
ROST,2019-01,0,1.413B,2.990B,0,0,1.21,1.2,0,5.257B,1.118B,2019-01,1.750B,441.69M,5.313M,5.313M,2.475B,330.31M,312.44M,541.68M,2.009B,546.99M,105.30M,4.107B,575.97M,3.306B,6.074B,3.682M,3.404B,2.009B,2.768B,2.670B,758.46M,575.97M,1.215B,96.71M
ROST,2018-10,0,1.349B,2.547B,85.00M,0,0.92,0.91,0,5.134B,1.002B,2018-10,1.979B,338.11M,2.953M,2.953M,2.418B,112.14M,312.33M,440.70M,2.167B,443.65M,105.54M,3.550B,561.58M,3.187B,6.236B,3.711M,3.623B,2.252B,3.049B,2.612B,796.31M,561.58M,1.394B,117.82M
ROST,2018-07,0.004M,1.387B,2.667B,84.99M,0,1.05,1.04,0,5.039B,1.071B,2018-07,1.698B,389.40M,1.393M,1.393M,2.384B,114.20M,312.22M,516.36M,1.893B,517.76M,128.35M,3.738B,554.58M,3.185B,5.964B,3.739M,3.380B,1.978B,2.779B,2.584B,801.00M,554.58M,1.184B,121.51M
ROST,2018-04,0.007M,1.303B,2.522B,84.98M,0,1.12,1.11,0,4.952B,1.066B,2018-04,1.895B,418.25M,0.503M,0.503M,2.369B,109.37M,312.10M,541.98M,2.022B,542.48M,124.23M,3.589B,524.42M,3.130B,6.021B,3.771M,3.454B,2.107B,2.891B,2.567B,783.92M,524.42M,1.376B,109.42M
ROST,2018-01,0.027M,1.291B,2.923B,84.97M,0,1.2,1.19,0,4.908B,1.145B,2018-01,1.642B,450.75M,-0.386M,-0.386M,2.382B,279.48M,311.99M,591.92M,1.841B,591.53M,140.78M,4.068B,553.31M,3.049B,5.722B,3.796M,3.151B,1.926B,2.673B,2.571B,746.34M,553.31M,1.060B,87.87M
ROST,2017-10,0.04M,1.145B,2.369B,0,0,0.72,0.72,0,4.809B,959.75M,2017-10,1.840B,274.45M,-1.78M,-1.78M,2.348B,129.78M,396.85M,442.45M,2.056B,440.67M,166.22M,3.329B,517.30M,2.859B,5.767B,3.824M,3.236B,2.056B,2.908B,2.531B,852.22M,517.30M,1.290B,103.07M
ROST,2017-07,0.059M,1.151B,2.421B,0,0,0.83,0.82,0,4.715B,1.011B,2017-07,1.608B,316.54M,-2.341M,-2.341M,2.327B,129.14M,396.73M,512.38M,1.829B,510.04M,193.50M,3.432B,498.28M,2.840B,5.514B,3.859M,3.004B,1.829B,2.675B,2.510B,845.63M,498.28M,1.173B,103.36M
ROST,2017-04,0.075M,1.244B,2.330B,0,0,0.83,0.82,0,4.639B,976.46M,2017-04,1.595B,321.02M,-3.169M,-3.169M,2.309B,131.56M,396.61M,501.64M,1.938B,498.48M,177.46M,3.306B,474.82M,2.778B,5.553B,3.894M,3.065B,1.938B,2.775B,2.488B,837.51M,474.82M,1.310B,100.84M
ROST,2017-01,0.091M,1.112B,2.540B,0,0,0.77,0.77,0,4.591B,970.60M,2017-01,1.513B,300.57M,-3.755M,-3.755M,2.328B,289.75M,396.49M,476.79M,1.753B,473.04M,172.47M,3.510B,493.80M,2.748B,5.309B,3.919M,2.813B,1.753B,2.561B,2.496B,808.83M,493.80M,1.038B,75.15M
ROST,2016-10,0.124M,879.61M,2.206B,0,0,0.63,0.62,0,4.503B,880.60M,2016-10,1.764B,244.55M,-4.156M,-4.156M,2.311B,122.05M,396.38M,390.42M,1.888B,386.27M,141.72M,3.087B,490.17M,2.650B,5.350B,3.944M,2.875B,1.888B,2.700B,2.475B,812.42M,490.17M,1.149B,91.36M
ROST,2016-07,0.159M,928.93M,2.252B,0,0,0.72,0.71,0,4.432B,929.07M,2016-07,1.560B,281.91M,-4.213M,-4.213M,2.310B,135.60M,396.26M,459.56M,1.751B,455.35M,173.44M,3.181B,469.51M,2.614B,5.194B,3.971M,2.714B,1.751B,2.580B,2.481B,828.72M,469.51M,1.126B,97.14M
ROST,2016-04,0.17M,911.75M,2.176B,0,0,0.73,0.73,0,4.370B,912.79M,2016-04,1.498B,290.63M,-4.364M,-4.364M,2.318B,140.80M,396.14M,475.87M,1.751B,471.50M,180.87M,3.089B,436.92M,2.539B,5.114B,4.001M,2.629B,1.751B,2.575B,2.485B,823.84M,436.92M,1.167B,96.24M
ROST,2016-01,0.182M,763.34M,2.387B,0,0,0.66,0.66,2.889M,4.340B,864.14M,2016-01,1.419B,264.16M,-4.53M,-4.53M,2.343B,279.40M,396.02M,413.26M,1.603B,408.73M,144.57M,3.251B,450.88M,2.472B,4.869B,4.023M,2.372B,1.603B,2.397B,2.497B,794.28M,450.88M,945.56M,73.63M
ROST,2015-10,0.213M,487.12M,2.003B,0,0,0.54,0.53,0,4.240B,779.51M,2015-10,1.701B,215.66M,-4.427M,-4.427M,2.308B,79.50M,395.91M,336.15M,1.749B,331.73M,116.07M,2.783B,443.35M,2.394B,4.904B,4.053M,2.435B,1.749B,2.510B,2.469B,760.21M,443.35M,1.053B,81.32M
ROST,2015-07,0.223M,631.29M,2.119B,0,0,0.64,0.63,0,4.160B,848.79M,2015-07,1.510B,258.64M,-1.652M,-1.652M,2.289B,78.93M,395.79M,413.56M,1.676B,411.91M,153.27M,2.968B,435.23M,2.387B,4.824B,4.087M,2.370B,1.676B,2.438B,2.454B,762.13M,435.23M,1.045B,88.44M
ROST,2015-04,0.248M,761.86M,2.067B,0,0,0.69,0.69,0,4.089B,870.69M,2015-04,1.504B,282.20M,-2.003M,-2.003M,2.277B,85.38M,395.68M,461.40M,1.825B,459.39M,177.19M,2.938B,409.30M,2.333B,4.936B,2.06M,2.486B,1.825B,2.603B,2.450B,777.54M,409.30M,1.237B,88.26M
