Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
RSG,2020-12,-12.40M,38.20M,1.547B,201.60M,345.60M,0.74,0.74,12.22B,18.78B,1.026B,2020-12,59.10M,235.40M,-77.00M,-77.00M,8.945B,1.365B,8.973B,481.70M,1.533B,201.30M,-35.00M,2.573B,250.50M,8.484B,23.43B,3.20M,1.522B,2.282B,14.95B,21.91B,12.66B,544.30M,1.047B,1.328B
RSG,2020-09,-15.50M,406.40M,1.535B,220.10M,341.60M,0.81,0.81,11.84B,18.42B,1.037B,2020-09,58.80M,260.00M,-88.40M,-88.40M,8.760B,1.345B,8.812B,489.20M,1.427B,318.70M,58.50M,2.572B,250.00M,8.370B,23.11B,3.50M,1.774B,2.191B,14.74B,21.34B,12.55B,547.50M,957.90M,1.199B
RSG,2020-06,-16.50M,269.70M,1.468B,94.40M,334.60M,0.71,0.71,11.80B,18.30B,986.30M,2020-06,58.50M,225.50M,-88.30M,-88.30M,8.730B,1.300B,8.816B,404.50M,1.400B,300.10M,73.80M,2.454B,280.90M,8.227B,22.83B,3.50M,1.569B,2.066B,14.60B,21.26B,12.53B,581.80M,930.80M,1.161B
RSG,2020-03,-17.60M,306.60M,1.550B,59.80M,342.90M,0.77,0.77,11.80B,18.14B,1.004B,2020-03,57.10M,246.30M,-96.30M,-96.30M,8.68B,1.294B,9.175B,436.70M,1.374B,322.60M,75.80M,2.554B,272.70M,8.117B,22.91B,3.50M,1.754B,1.981B,14.79B,21.16B,12.81B,567.10M,915.80M,1.296B
RSG,2019-12,2.20M,47.10M,1.544B,981.40M,336.00M,0.91,0.9,11.77B,17.90B,1.033B,2019-12,56.80M,289.30M,-94.10M,-94.10M,8.627B,1.297B,7.971B,469.20M,1.539B,284.90M,-5.10M,2.577B,275.00M,8.118B,22.68B,3.50M,1.606B,3.065B,14.56B,21.08B,11.50B,563.50M,1.048B,1.403B
RSG,2019-09,-8.50M,55.60M,1.631B,949.40M,341.10M,0.93,0.93,11.77B,17.70B,1.016B,2019-09,55.30M,298.30M,-96.00M,-96.00M,8.501B,1.188B,7.932B,452.30M,1.49B,369.50M,71.50M,2.647B,267.90M,7.976B,22.33B,3.50M,1.474B,2.997B,14.35B,20.86B,11.35B,563.20M,966.20M,1.251B
RSG,2019-06,3.90M,72.50M,1.617B,1.596B,331.30M,0.78,0.78,11.62B,17.40B,988.30M,2019-06,56.20M,251.50M,-97.10M,-97.10M,8.327B,1.171B,7.101B,441.00M,1.416B,328.60M,77.70M,2.605B,254.20M,7.953B,22.00B,3.50M,1.474B,3.571B,14.04B,20.52B,10.47B,547.30M,969.80M,1.266B
RSG,2019-03,24.80M,68.00M,1.506B,1.629B,330.80M,0.73,0.72,11.55B,17.11B,964.50M,2019-03,55.40M,234.20M,-98.50M,-98.50M,8.218B,1.161B,7.016B,426.10M,1.320B,312.80M,77.90M,2.471B,258.90M,7.920B,21.78B,3.50M,1.445B,3.468B,13.86B,20.34B,10.39B,538.40M,878.10M,1.235B
RSG,2018-12,30.80M,70.50M,1.526B,690.70M,338.70M,0.93,0.92,11.51B,16.75B,1.004B,2018-12,53.10M,300.90M,-95.90M,-95.90M,8.020B,1.124B,7.647B,447.50M,1.511B,357.30M,56.20M,2.53B,308.90M,7.927B,21.62B,3.50M,1.564B,2.719B,13.69B,20.05B,10.97B,556.90M,1.007B,1.350B
RSG,2018-09,55.90M,81.90M,1.577B,690.80M,336.40M,0.81,0.81,11.49B,16.48B,988.30M,2018-09,55.40M,263.40M,-95.50M,-95.50M,7.914B,1.076B,7.557B,444.90M,1.470B,340.30M,77.40M,2.566B,250.10M,7.922B,21.40B,3.50M,1.492B,2.675B,13.48B,19.91B,10.80B,543.40M,922.50M,1.246B
