Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
RTX,2020-12,-3.734B,8.802B,14.27B,797.00M,12.89B,0.09,0.09,94.82B,28.23B,2.153B,2020-12,9.411B,135.00M,-349.00M,-349.00M,16.84B,5.554B,32.54B,142.00M,19.04B,37.00M,-178.00M,710.00M,16.42B,1.351B,72.16B,162.15B,36.93B,43.38B,35.85B,88.30B,118.78B,52.45B,2.011B,8.639B,19.18B
RTX,2020-09,-8.012B,10.00B,13.00B,1.535B,12.21B,0.17,0.17,95.09B,27.63B,1.743B,2020-09,9.843B,264.00M,-350.00M,-350.00M,16.76B,5.069B,32.90B,434.00M,21.70B,337.00M,152.00M,642.00M,14.75B,1.401B,68.38B,162.40B,36.83B,43.51B,35.56B,92.32B,118.89B,56.76B,1.309B,8.143B,19.73B
RTX,2020-06,-8.80B,6.975B,12.21B,1.54B,12.00B,-2.55,-2.55,95.27B,16.91B,1.847B,2020-06,10.26B,-3.835B,-335.00M,-335.00M,16.91B,0,32.93B,-577.00M,21.44B,-3.858B,-38.00M,695.00M,14.06B,1.811B,67.22B,161.52B,36.74B,42.27B,35.29B,92.62B,119.24B,57.33B,2.424B,7.182B,19.44B
RTX,2020-03,-11.79B,8.001B,13.41B,3.087B,6.384B,-0.1,-0.1,73.08B,28.17B,4.802B,2020-03,11.51B,-83.00M,-380.00M,-380.00M,15.11B,0,45.36B,1.807B,22.03B,955.00M,941.00M,671.00M,18.21B,2.248B,39.41B,139.57B,23.10B,38.88B,31.50B,97.64B,100.70B,66.14B,2.995B,10.98B,17.65B
RTX,2019-12,-10.15B,4.937B,9.116B,5.551B,9.014B,1.33,1.32,61.08B,21.33B,2.578B,2019-12,9.047B,1.143B,-417.00M,-417.00M,11.57B,0,38.79B,956.00M,16.23B,687.00M,-44.00M,668.00M,11.69B,1.039B,41.77B,139.62B,23.02B,61.58B,46.59B,95.38B,78.04B,48.79B,1.622B,7.816B,13.20B
RTX,2019-09,-10.82B,7.341B,8.509B,6.822B,6.233B,1.34,1.33,73.73B,27.20B,2.864B,2019-09,11.24B,1.148B,-402.00M,-402.00M,14.76B,0,39.89B,1.43B,22.51B,1.317B,306.00M,592.00M,11.37B,902.00M,40.47B,139.01B,22.87B,37.82B,35.57B,96.19B,101.19B,60.62B,1.434B,10.84B,17.92B
RTX,2019-06,-9.892B,6.819B,8.554B,7.341B,6.219B,2.22,2.2,74.32B,27.43B,2.775B,2019-06,10.93B,1.90B,-352.00M,-352.00M,15.03B,0,40.17B,1.386B,21.86B,1.234B,6.00M,605.00M,11.33B,902.00M,40.75B,138.99B,22.72B,37.06B,35.42B,96.01B,101.93B,60.59B,1.389B,11.11B,18.03B
RTX,2019-03,-9.519B,6.24B,13.71B,4.182B,6.107B,1.58,1.56,74.67B,26.88B,4.658B,2019-03,10.47B,1.346B,-431.00M,-431.00M,14.74B,0,43.02B,2.045B,21.11B,1.822B,397.00M,728.00M,18.36B,1.997B,39.74B,137.38B,22.56B,35.40B,31.40B,95.43B,101.98B,64.03B,2.613B,10.36B,17.37B
RTX,2018-12,-9.333B,6.152B,-8.773B,4.345B,5.72B,0.83,0.83,74.54B,24.08B,-4.983B,2018-12,10.08B,686.00M,-311.00M,-311.00M,12.30B,0,41.19B,-3.765B,21.12B,-3.988B,-538.00M,149.00M,-13.76B,-2.287B,38.45B,134.21B,22.51B,35.50B,31.37B,93.60B,98.71B,62.23B,-1.218B,11.82B,17.76B
RTX,2018-09,-7.723B,13.80B,12.54B,1.668B,5.46B,1.56,1.54,43.38B,21.96B,3.974B,2018-09,9.068B,1.238B,-258.00M,-258.00M,10.24B,0,38.28B,1.838B,19.38B,1.768B,419.00M,586.00M,16.51B,1.681B,32.11B,114.94B,17.87B,40.20B,26.50B,80.69B,74.74B,54.18B,2.136B,10.51B,16.00B
RTX,2018-06,-7.684B,11.07B,12.42B,1.063B,5.652B,2.59,2.56,43.44B,21.60B,4.283B,2018-06,8.979B,2.048B,-234.00M,-234.00M,10.12B,0,27.25B,2.876B,18.35B,2.834B,695.00M,589.00M,16.70B,1.759B,31.36B,101.57B,17.75B,36.56B,25.07B,68.22B,65.01B,43.16B,1.407B,9.623B,15.25B
RTX,2018-03,-6.937B,7.667B,11.28B,2.194B,5.727B,1.64,1.62,44.33B,21.82B,3.962B,2018-03,8.938B,1.297B,-229.00M,-229.00M,10.28B,0,25.15B,1.928B,16.83B,1.89B,522.00M,554.00M,15.24B,1.711B,30.53B,98.78B,17.64B,32.74B,24.75B,66.29B,66.04B,41.54B,2.034B,8.875B,14.69B
RTX,2017-12,-7.525B,8.985B,11.80B,2.496B,4.547B,0.5,0.5,43.79B,21.36B,3.885B,2017-12,9.881B,397.00M,-247.00M,-247.00M,10.19B,0,24.99B,1.798B,17.14B,1.705B,1.219B,630.00M,15.68B,1.72B,29.61B,96.92B,17.57B,32.86B,24.39B,65.50B,64.06B,41.11B,2.087B,10.12B,12.60B
RTX,2017-09,-7.327B,8.523B,11.11B,3.197B,4.217B,1.69,1.67,43.87B,20.98B,3.956B,2017-09,10.08B,1.33B,-223.00M,-223.00M,9.763B,0,24.06B,2.032B,22.05B,1.94B,506.00M,592.00M,15.06B,1.582B,29.88B,96.35B,17.49B,32.96B,25.25B,64.66B,63.39B,39.41B,1.924B,8.999B,13.13B
RTX,2017-06,-7.964B,9.345B,11.16B,2.743B,0,1.83,1.8,43.47B,20.31B,4.116B,2017-06,9.86B,1.439B,-226.00M,-226.00M,9.475B,0,23.88B,2.164B,21.18B,2.064B,532.00M,619.00M,15.28B,1.59B,28.44B,94.79B,17.37B,32.83B,23.92B,64.64B,61.96B,40.72B,1.952B,8.542B,12.60B
RTX,2017-03,-8.333B,7.156B,10.14B,3.684B,0,1.75,1.73,43.05B,19.89B,3.679B,2017-03,9.386B,1.386B,-213.00M,-213.00M,9.255B,0,20.90B,2.144B,20.04B,2.054B,586.00M,586.00M,13.82B,1.537B,27.59B,90.37B,17.36B,29.30B,23.73B,61.10B,61.07B,37.38B,1.535B,7.52B,11.84B
