Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
SBAC,2020-12,-807.58M,308.56M,127.99M,260.04M,113.12M,0.96,0.94,3.156B,8.498B,407.92M,2020-12,105.78M,-102.56M,-102.56M,5.051B,0,13.17B,179.94M,227.35M,140.53M,34.35M,535.91M,47.41M,-4.824B,9.158B,1.098M,472.99M,614.80M,13.98B,8.685B,13.37B,227.97M,119.55M,108.88M
SBAC,2020-09,-873.61M,271.87M,121.52M,253.18M,155.80M,0.2,0.2,3.063B,8.375B,401.42M,2020-09,22.57M,-102.24M,-102.24M,5.008B,0,12.77B,172.78M,125.64M,13.24M,-9.441M,522.94M,48.15M,-4.486B,9.035B,1.114M,458.59M,551.25M,13.52B,8.576B,12.97B,228.64M,41.07M,95.15M
SBAC,2020-06,-867.88M,433.34M,111.50M,253.85M,130.67M,0.2,0.2,3.175B,8.332B,395.72M,2020-06,22.81M,-102.51M,-102.51M,5.034B,0,12.67B,167.85M,142.35M,22.95M,-0.165M,507.23M,49.09M,-4.305B,9.391B,1.119M,624.09M,552.66M,13.70B,8.766B,13.14B,227.87M,37.49M,110.17M
SBAC,2020-03,-846.85M,184.14M,115.51M,754.08M,133.55M,-1.14,-1.14,3.294B,8.350B,401.55M,2020-03,-127.06M,-102.51M,-102.51M,5.118B,0,12.20B,168.71M,113.81M,-194.47M,-66.54M,517.07M,49.62M,-4.317B,9.360B,1.116M,395.06M,1.020B,13.68B,8.964B,12.66B,232.84M,36.33M,126.02M
SBAC,2019-12,-568.76M,108.31M,121.26M,769.10M,113.51M,0.6,0.59,3.627B,8.558B,392.40M,2019-12,67.35M,-104.92M,-104.92M,5.367B,0,12.09B,166.70M,148.73M,84.35M,16.79M,513.66M,43.96M,-3.667B,9.760B,1.118M,334.27M,1.048B,13.43B,9.426B,12.38B,225.70M,41.44M,158.44M
SBAC,2019-09,-620.78M,129.43M,123.51M,254.20M,112.38M,0.19,0.19,3.262B,8.330B,384.04M,2019-09,21.68M,-101.08M,-101.08M,5.213B,0,12.00B,166.52M,132.77M,18.76M,-3.002M,507.55M,42.27M,-3.560B,9.201B,1.126M,329.25M,510.15M,12.76B,8.872B,12.25B,217.52M,45.60M,151.03M
SBAC,2019-06,-554.92M,127.37M,124.45M,1.175B,95.13M,0.28,0.28,3.238B,8.319B,375.70M,2019-06,31.97M,-101.63M,-101.63M,5.264B,0,10.98B,148.28M,148.99M,47.58M,15.61M,500.15M,55.52M,-3.339B,9.269B,1.131M,315.73M,1.428B,12.61B,8.954B,11.18B,227.42M,51.28M,143.05M
SBAC,2019-03,-531.76M,117.61M,123.82M,1.171B,98.97M,0.23,0.23,3.259B,8.299B,369.48M,2019-03,25.99M,-102.57M,-102.57M,5.314B,0,11.06B,147.17M,123.14M,36.20M,10.21M,493.29M,50.96M,-3.303B,9.313B,1.132M,300.57M,1.405B,12.62B,9.012B,11.21B,222.31M,42.31M,136.50M
SBAC,2018-12,-511.90M,143.44M,122.30M,941.73M,108.05M,0.5,0.5,3.331B,5.710B,361.55M,2018-12,57.15M,-101.84M,-101.84M,2.786B,0,8.997B,154.48M,146.70M,73.03M,15.88M,483.85M,35.62M,-3.377B,7.214B,1.124M,373.85M,1.206B,10.59B,6.840B,9.384B,207.07M,42.24M,146.00M
SBAC,2018-09,-528.52M,136.22M,116.74M,24.00M,96.58M,0.14,0.14,3.388B,5.644B,350.48M,2018-09,16.14M,-99.32M,-99.32M,2.788B,0,9.710B,147.87M,134.40M,14.16M,-1.979M,467.22M,34.91M,-3.145B,7.214B,1.142M,327.66M,265.51M,10.36B,6.886B,10.09B,202.61M,41.62M,117.98M
