Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
SBUX,2020-12,-145.90M,5.264B,4.916B,2.510B,1.871B,0.53,0.53,4.213B,22.31B,1.833B,2020-12,1.472B,622.20M,-105.20M,-105.20M,14.38B,6.598B,22.43B,903.00M,3.281B,808.30M,186.10M,6.749B,472.10M,-7.910B,29.97B,1.20M,8.358B,7.884B,37.87B,21.61B,29.99B,930.00M,1.887B,1.370B
SBUX,2020-09,-364.60M,4.632B,4.66B,2.938B,1.456B,0.3346,0.33,4.149B,22.29B,1.543B,2020-09,1.551B,392.60M,-115.90M,-115.90M,14.38B,6.598B,22.32B,641.10M,2.709B,442.40M,49.70M,6.203B,439.00M,-7.805B,29.37B,1.20M,7.806B,7.347B,37.17B,21.57B,29.83B,902.00M,1.259B,1.395B
SBUX,2020-06,-529.90M,4.196B,4.022B,3.423B,1.463B,-0.58,-0.58,4.110B,22.78B,200.30M,2020-06,1.584B,-678.40M,-108.10M,-108.10M,14.51B,6.643B,22.30B,-694.20M,2.877B,-812.00M,-133.90M,4.222B,399.90M,-8.622B,29.14B,1.20M,7.581B,8.002B,37.76B,21.56B,29.76B,894.50M,1.547B,1.525B
SBUX,2020-03,-521.80M,2.625B,4.719B,3.61B,1.436B,0.28,0.28,4.172B,22.84B,1.277B,2020-03,1.492B,328.40M,-97.20M,-97.20M,14.65B,6.686B,19.31B,418.80M,2.986B,390.20M,65.40M,5.996B,406.50M,-7.530B,27.48B,1.20M,5.750B,8.266B,35.01B,21.73B,26.75B,857.80M,1.697B,1.332B
SBUX,2019-12,-387.40M,3.109B,5.058B,2.266B,1.694B,0.75,0.74,4.255B,22.78B,2.039B,2019-12,1.409B,885.70M,-76.00M,-76.00M,14.75B,6.749B,18.36B,1.152B,4.498B,1.144B,258.50M,7.097B,434.20M,-6.760B,27.73B,1.20M,5.900B,8.676B,34.49B,21.83B,25.81B,887.00M,3.160B,1.049B
SBUX,2019-09,-503.30M,2.757B,4.849B,0,1.269B,0.6778,0.67,4.273B,14.27B,1.898B,2019-09,1.529B,802.80M,-79.40M,-79.40M,6.432B,6.744B,11.17B,1.003B,4.689B,1.004B,201.50M,6.747B,458.40M,-6.232B,19.22B,1.20M,5.654B,6.169B,25.45B,13.57B,19.28B,894.80M,3.144B,1.020B
SBUX,2019-06,-349.00M,4.835B,4.843B,75.00M,1.300B,1.13,1.12,4.418B,13.86B,1.980B,2019-06,1.517B,1.373B,-46.20M,-46.20M,6.188B,6.718B,11.16B,1.083B,3.747B,1.677B,303.70M,6.823B,459.70M,-4.321B,20.89B,1.20M,7.735B,5.896B,25.21B,13.16B,19.32B,897.20M,2.845B,898.10M
SBUX,2019-03,-271.50M,2.132B,4.566B,349.90M,1.311B,0.54,0.53,4.522B,13.67B,1.740B,2019-03,1.443B,663.20M,-58.70M,-58.70M,6.136B,6.762B,9.142B,838.40M,3.125B,820.00M,161.20M,6.306B,458.10M,-5.037B,17.64B,1.20M,4.952B,5.273B,22.68B,12.69B,17.40B,901.40M,2.318B,900.00M
SBUX,2018-12,-343.20M,4.992B,4.763B,0,1.554B,0.61,0.61,4.542B,13.47B,1.870B,2018-12,1.355B,760.60M,-50.20M,-50.20M,6.039B,6.824B,9.131B,991.10M,3.106B,965.50M,205.10M,6.633B,448.00M,-2.885B,19.98B,1.20M,7.676B,5.428B,22.86B,12.30B,17.43B,879.00M,2.322B,843.20M
SBUX,2018-09,-330.30M,8.938B,4.482B,0,1.643B,0.5773,0.56,4.584B,13.20B,1.822B,2018-09,1.400B,755.50M,-27.70M,-27.70M,5.929B,6.776B,9.090B,913.90M,3.478B,931.60M,175.50M,6.304B,409.20M,1.170B,24.16B,1.30M,12.49B,5.684B,22.98B,11.66B,17.30B,908.20M,1.911B,1.648B
