Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Income (Quarterly),Net Income,Net Loan Assets,Net PP&E,Non-Current Portion of LTD and Capital Lease Obligation,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
SCHW,2021-03,5.394B,377.75B,0,0.74,0.73,21.94B,6.487B,2021-03,1.484B,23.81B,3.82B,13.63B,121.30B,1.96B,476.00M,4.715B,1.771B,56.06B,549.01B,7.754B,445.70B,121.30B,492.95B,389.14B,371.65B,2.054B,104.20B,67.95B
SCHW,2020-12,5.686B,331.22B,0,0.57,0.57,2.995B,4.941B,2020-12,1.135B,22.29B,2.346B,7.836B,59.47B,1.476B,341.00M,4.176B,1.705B,31.33B,419.36B,5.278B,356.66B,59.47B,388.02B,336.87B,328.55B,1.982B,52.01B,25.44B
SCHW,2020-09,5.611B,314.79B,0,0.48,0.48,3.011B,3.932B,2020-09,698.00M,20.87B,2.314B,8.526B,59.58B,889.00M,191.00M,2.448B,1.015B,30.82B,400.48B,5.278B,336.21B,59.58B,369.67B,312.30B,310.09B,1.137B,50.14B,21.42B
SCHW,2020-06,3.995B,289.69B,0,0.48,0.48,1.227B,0,2020-06,671.00M,19.52B,2.291B,8.522B,58.51B,888.00M,217.00M,2.45B,1.003B,26.27B,370.78B,2.808B,308.69B,58.51B,344.51B,249.01B,286.00B,1.112B,49.25B,19.00B
SCHW,2020-03,88.00M,90.77B,0,0.59,0.58,1.355B,0,2020-03,795.00M,18.21B,2.705B,7.43B,44.74B,1.047B,252.00M,2.617B,1.073B,21.74B,294.00B,2.808B,113.91B,44.74B,272.26B,220.02B,227.52B,1.169B,39.22B,23.15B
SCHW,2019-12,144.00M,76.74B,0,0.62,0.62,1.227B,0,2019-12,852.00M,16.90B,2.017B,7.427B,40.88B,1.112B,260.00M,2.606B,992.00M,21.35B,278.99B,2.808B,99.12B,40.88B,257.63B,220.18B,216.75B,1.086B,37.36B,22.39B
SCHW,2019-09,99.00M,78.85B,0,0.7,0.7,1.227B,0,2019-09,951.00M,16.64B,1.909B,7.424B,39.20B,1.236B,285.00M,2.711B,1.021B,21.32B,276.32B,2.808B,100.74B,39.20B,255.00B,216.08B,215.80B,1.109B,35.64B,21.89B
SCHW,2019-06,-71.00M,92.56B,0,0.67,0.66,1.227B,0,2019-06,937.00M,16.51B,1.813B,6.829B,34.91B,1.236B,299.00M,2.681B,976.00M,21.62B,282.82B,2.808B,113.71B,34.91B,261.19B,215.19B,226.28B,1.06B,31.30B,21.14B
SCHW,2019-03,-252.00M,94.52B,0,0.69,0.69,1.379B,0,2019-03,964.00M,16.61B,1.769B,6.878B,37.51B,1.264B,300.00M,2.723B,1.013B,20.67B,296.48B,2.808B,117.62B,37.51B,275.81B,231.53B,238.30B,1.096B,32.73B,23.10B
SCHW,2018-12,-304.00M,79.39B,0,0.66,0.65,1.227B,0,2018-12,935.00M,16.56B,1.683B,5.79B,32.07B,1.21B,275.00M,2.669B,992.00M,20.83B,272.10B,2.808B,102.60B,32.07B,251.27B,218.58B,219.20B,1.072B,29.37B,23.21B
