Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
SHW,2020-12,-718.30M,226.60M,2.360B,412.50M,1.513,1.487,11.52B,6.310B,2.129B,2020-12,1.804B,407.00M,-84.40M,-84.40M,3.596B,846.10M,9.701B,561.00M,3.429B,503.90M,96.90M,4.489B,1.472B,3.611B,20.40B,89.90M,4.591B,4.594B,16.79B,15.81B,12.20B,1.568B,2.301B,2.078B
SHW,2020-09,-792.30M,619.90M,2.667B,403.80M,2.6,2.553,11.50B,6.157B,2.455B,2020-09,1.673B,705.80M,-84.50M,-84.50M,3.519B,956.70M,9.688B,959.70M,3.30B,875.60M,169.80M,5.122B,1.407B,4.207B,20.81B,120.40M,5.176B,4.358B,16.60B,15.63B,12.24B,1.496B,2.221B,2.454B
SHW,2020-06,-867.20M,188.10M,2.395B,929.60M,2.197,2.16,11.51B,6.078B,2.209B,2020-06,1.789B,595.90M,-89.90M,-89.90M,3.495B,953.20M,9.680B,831.70M,3.063B,747.40M,151.50M,4.604B,1.291B,3.870B,20.49B,120.00M,4.883B,4.460B,16.62B,15.61B,12.16B,1.377B,2.104B,2.472B
SHW,2020-03,-901.10M,238.50M,2.257B,1.852B,1.177,1.153,11.54B,6.069B,1.890B,2020-03,1.955B,321.70M,-88.40M,-88.40M,3.513B,949.50M,9.663B,501.80M,2.930B,392.30M,70.60M,4.147B,1.308B,3.289B,20.57B,119.70M,4.928B,5.220B,17.28B,15.64B,12.06B,1.388B,2.065B,2.292B
SHW,2019-12,-679.50M,161.80M,2.220B,1.006B,0.9033,0.8867,11.74B,6.068B,1.894B,2019-12,1.890B,248.60M,-62.20M,-62.20M,3.521B,969.90M,9.421B,456.10M,2.963B,297.40M,48.80M,4.114B,1.354B,4.123B,20.50B,119.40M,4.632B,4.522B,16.37B,15.86B,11.85B,1.438B,1.962B,2.089B
SHW,2019-09,-767.21M,189.64M,2.642B,1.230B,2.093,2.053,11.85B,5.922B,2.226B,2019-09,1.825B,576.50M,-87.30M,-87.30M,3.457B,1.097B,9.395B,792.30M,3.097B,709.80M,133.30M,4.868B,1.345B,4.023B,20.86B,119.24M,4.908B,4.866B,16.84B,15.96B,11.98B,1.433B,2.123B,2.479B
SHW,2019-06,-630.78M,145.58M,2.696B,2.608B,1.71,1.677,12.01B,5.875B,2.181B,2019-06,1.895B,471.00M,-91.30M,-91.30M,3.441B,1.115B,8.572B,765.30M,3.316B,675.70M,204.70M,4.878B,1.331B,3.747B,21.19B,118.94M,5.090B,6.343B,17.44B,16.10B,11.10B,1.416B,2.222B,2.659B
SHW,2019-03,-632.19M,94.39M,2.306B,1.485B,0.89,0.8733,12.08B,5.705B,1.735B,2019-03,1.993B,245.20M,-93.30M,-93.30M,3.426B,1.129B,10.07B,411.70M,3.115B,298.90M,53.70M,4.041B,1.244B,3.460B,20.96B,118.67M,4.815B,5.001B,17.50B,16.15B,12.50B,1.323B,2.023B,2.340B
SHW,2018-12,-629.90M,155.50M,2.382B,635.60M,0.3633,0.3567,12.16B,4.040B,1.683B,2018-12,1.815B,100.94M,-89.22M,-89.22M,1.777B,1.131B,8.708B,223.35M,3.158B,102.08M,1.133M,4.064B,1.238B,3.731B,19.13B,118.40M,4.344B,4.298B,15.40B,14.79B,11.11B,1.459B,1.880B,2.019B
SHW,2018-09,-610.60M,181.51M,2.721B,960.70M,1.267,1.24,12.25B,3.973B,2.010B,2018-09,1.861B,354.03M,-94.42M,-94.42M,1.766B,1.371B,8.711B,654.96M,3.381B,415.95M,61.93M,4.731B,1.273B,3.975B,19.98B,118.28M,5.038B,4.842B,16.01B,14.94B,11.16B,1.355B,2.264B,2.584B
SHW,2018-06,-542.45M,154.97M,2.735B,651.90M,1.447,1.417,12.46B,3.898B,2.039B,2018-06,1.875B,403.60M,-95.40M,-95.40M,1.776B,1.380B,9.723B,625.62M,3.132B,538.09M,134.48M,4.774B,1.308B,3.747B,20.15B,117.96M,5.037B,4.190B,16.41B,15.12B,12.22B,1.413B,2.222B,2.625B
SHW,2018-03,-335.66M,158.61M,2.278B,921.19M,0.8933,0.8733,12.78B,3.980B,1.687B,2018-03,2.002B,250.13M,-92.16M,-92.16M,1.840B,1.495B,9.891B,386.47M,2.989B,303.59M,53.46M,3.965B,1.215B,3.690B,20.37B,117.88M,4.887B,4.327B,16.68B,15.48B,12.35B,1.300B,2.088B,2.326B
SHW,2017-12,-384.90M,204.20M,2.240B,634.90M,3.207,3.13,12.82B,3.967B,1.739B,2017-12,1.742B,853.03M,-90.32M,-90.32M,1.877B,1.420B,9.886B,316.32M,2.844B,225.97M,-627.12M,3.980B,1.325B,3.648B,19.90B,117.60M,4.407B,3.987B,16.25B,15.49B,12.26B,1.423B,1.871B,2.105B
SHW,2017-09,-452.30M,207.94M,2.605B,865.55M,1.133,1.11,13.39B,4.038B,1.902B,2017-09,1.704B,316.61M,-91.34M,-91.34M,1.896B,2.611B,10.08B,506.53M,3.005B,427.72M,111.12M,4.507B,1.307B,2.741B,20.78B,117.19M,4.684B,4.372B,18.04B,16.10B,13.67B,1.395B,2.113B,2.426B
