Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
SJM,2021-01,-303.50M,501.50M,1.267B,960.60M,2.32,2.32,12.12B,3.895B,809.40M,2021-01,897.90M,261.50M,-43.50M,-43.50M,2.086B,1.303B,4.036B,407.90M,1.143B,361.50M,100.00M,2.077B,371.70M,8.212B,16.43B,27.40M,2.079B,2.532B,8.218B,14.35B,5.685B,401.50M,896.70M,604.90M
SJM,2020-10,-327.50M,405.60M,1.216B,1.273B,2.02,2.02,12.62B,3.952B,818.20M,2020-10,993.80M,230.80M,-45.10M,-45.10M,2.086B,1.357B,4.020B,380.80M,1.116B,303.50M,72.70M,2.034B,382.80M,8.515B,16.93B,28.50M,2.067B,2.693B,8.415B,14.86B,5.722B,437.40M,857.20M,577.00M
SJM,2020-07,-360.90M,396.60M,1.196B,731.70M,2.08,2.08,12.68B,3.908B,775.40M,2020-07,995.00M,237.00M,-46.10M,-46.10M,2.087B,1.354B,4.785B,361.10M,968.90M,313.60M,76.60M,1.972B,357.50M,8.345B,16.90B,28.50M,1.985B,2.073B,8.557B,14.92B,6.484B,414.30M,780.60M,497.60M
SJM,2020-04,-379.00M,391.10M,1.304B,286.70M,1.98,1.98,12.73B,3.887B,788.40M,2020-04,895.30M,226.30M,-45.60M,-45.60M,2.118B,1.352B,5.497B,353.30M,1.050B,298.40M,72.10M,2.092B,373.40M,8.191B,16.97B,29.00M,1.973B,1.587B,8.780B,15.00B,7.192B,435.10M,882.30M,551.40M
SJM,2020-01,-266.30M,74.40M,1.212B,851.50M,1.64,1.64,12.80B,3.814B,760.00M,2020-01,958.80M,187.40M,-45.10M,-45.10M,2.080B,1.364B,4.717B,344.70M,773.70M,242.50M,55.10M,1.972B,358.90M,8.170B,16.64B,29.00M,1.603B,2.077B,8.466B,15.03B,6.388B,415.30M,575.00M,477.30M
SJM,2019-10,-248.40M,48.80M,1.204B,1.172B,1.85,1.85,12.92B,3.756B,754.00M,2019-10,1.013B,211.20M,-49.10M,-49.10M,2.069B,1.378B,4.701B,333.10M,736.00M,279.10M,67.90M,1.958B,361.50M,8.095B,16.79B,29.00M,1.659B,2.310B,8.696B,15.13B,6.386B,420.90M,521.80M,522.40M
SJM,2019-07,-216.70M,48.80M,1.079B,1.138B,1.36,1.36,12.97B,3.707B,699.60M,2019-07,1.013B,154.60M,-49.40M,-49.40M,2.058B,1.387B,4.798B,260.90M,708.40M,206.70M,52.10M,1.779B,380.50M,8.008B,16.79B,29.00M,1.614B,2.291B,8.784B,15.18B,6.493B,438.70M,503.10M,473.70M
SJM,2019-04,-181.80M,101.30M,1.210B,1.224B,0.63,0.63,13.03B,3.532B,692.40M,2019-04,910.30M,71.50M,-49.10M,-49.10M,1.912B,1.399B,4.686B,263.70M,830.40M,101.90M,30.40M,1.902B,369.80M,7.970B,16.71B,28.90M,1.625B,2.342B,8.741B,15.09B,6.399B,428.70M,687.70M,503.80M
SJM,2019-01,-153.30M,206.50M,1.238B,803.30M,1.07,1.07,13.20B,3.423B,773.80M,2019-01,924.70M,121.40M,-51.60M,-51.60M,1.848B,1.450B,5.286B,343.60M,636.70M,157.20M,35.80M,2.012B,373.10M,8.022B,16.93B,28.90M,1.726B,1.816B,8.906B,15.20B,7.090B,430.20M,519.60M,502.60M
SJM,2018-10,-116.40M,171.20M,1.250B,390.00M,1.66,1.66,13.40B,3.343B,771.30M,2018-10,966.20M,188.50M,-53.60M,-53.60M,1.819B,1.525B,5.885B,355.90M,671.60M,269.40M,80.90M,2.022B,382.40M,8.03B,17.17B,28.90M,1.787B,1.434B,9.144B,15.39B,7.710B,415.40M,552.40M,561.90M
