Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
SNA,2021-03,-388.30M,904.60M,534.30M,268.50M,53.60M,3.55,3.5,1.416B,1.547B,578.90M,2021-03,730.10M,192.60M,-13.90M,-13.90M,569.00M,74.90M,1.214B,266.20M,816.00M,256.20M,59.10M,1.113B,0,3.876B,6.674B,67.40M,3.052B,1.234B,2.776B,3.621B,1.542B,312.70M,235.90M,1.286B
SNA,2020-12,-365.80M,923.40M,583.10M,287.80M,55.10M,3.85,3.82,1.243B,1.551B,584.70M,2020-12,746.50M,208.90M,-14.90M,-14.90M,578.10M,70.40M,1.216B,284.70M,655.20M,271.70M,58.20M,1.168B,0,3.825B,6.557B,67.40M,3.083B,1.165B,2.711B,3.474B,1.546B,300.00M,318.50M,1.283B
SNA,2020-09,-465.60M,787.50M,492.30M,289.40M,47.30M,3.31,3.28,1.180B,1.502B,535.10M,2020-09,764.40M,179.70M,-13.30M,-13.30M,556.40M,63.50M,1.224B,251.30M,659.20M,240.30M,55.10M,1.027B,0,3.619B,6.268B,67.40M,2.938B,1.117B,2.627B,3.329B,1.510B,283.80M,206.00M,1.265B
SNA,2020-06,-514.40M,686.20M,410.10M,12.10M,0,1.86,1.85,1.166B,559.60M,398.80M,2020-06,784.00M,101.20M,-13.10M,-13.10M,559.60M,67.50M,1.470B,148.70M,670.10M,137.30M,31.90M,808.90M,0,3.487B,6.114B,67.40M,2.772B,829.40M,2.605B,3.341B,1.776B,250.10M,186.20M,1.170B
SNA,2020-03,-609.90M,185.80M,459.60M,160.10M,0,2.52,2.49,1.132B,1.463B,478.50M,2020-03,757.40M,137.20M,-11.00M,-11.00M,559.60M,66.30M,982.90M,195.80M,645.70M,185.90M,43.90M,938.10M,0,3.331B,5.564B,67.40M,2.303B,921.90M,2.211B,3.261B,1.289B,282.70M,193.70M,1.242B
SNA,2019-12,-507.90M,184.50M,526.40M,222.40M,0,3.12,3.08,1.158B,1.481B,512.70M,2019-12,760.40M,170.60M,-11.70M,-11.70M,577.10M,69.30M,984.40M,233.60M,548.00M,223.90M,48.90M,1.039B,0,3.409B,5.694B,67.40M,2.380B,947.60M,2.263B,3.313B,1.315B,279.10M,261.00M,1.325B
SNA,2019-09,-543.90M,167.50M,476.80M,232.30M,0,2.99,2.96,1.145B,1.454B,509.10M,2019-09,753.50M,164.60M,-11.60M,-11.60M,564.20M,45.80M,981.80M,228.70M,614.90M,219.50M,50.40M,985.90M,0,3.304B,5.596B,67.40M,2.348B,990.10M,2.271B,3.248B,1.281B,280.40M,205.80M,1.321B
SNA,2019-06,-500.70M,164.00M,501.00M,168.20M,0,3.27,3.22,1.135B,1.445B,534.40M,2019-06,725.80M,180.40M,-12.10M,-12.10M,561.80M,45.40M,983.60M,250.50M,630.90M,240.20M,55.60M,1.035B,0,3.288B,5.545B,67.40M,2.307B,930.80M,2.237B,3.239B,1.306B,283.90M,215.30M,1.305B
SNA,2019-03,-496.40M,156.40M,473.60M,142.50M,0,3.21,3.16,1.131B,1.422B,533.70M,2019-03,707.00M,177.90M,-12.10M,-12.10M,552.40M,55.10M,983.30M,249.50M,663.20M,238.50M,56.90M,1.007B,0,3.198B,5.491B,67.40M,2.265B,936.00M,2.273B,3.226B,1.337B,284.20M,200.40M,1.294B
SNA,2018-12,-462.20M,140.90M,521.70M,186.30M,0,3.14,3.09,1.135B,1.345B,513.50M,2018-12,673.80M,175.00M,-12.20M,-12.20M,495.10M,41.40M,946.00M,238.20M,579.40M,228.80M,49.50M,1.035B,0,3.099B,5.373B,67.40M,2.217B,952.00M,2.254B,3.156B,1.302B,275.30M,275.60M,1.309B
SNA,2018-09,-369.70M,122.20M,466.90M,164.50M,38.90M,2.9,2.85,1.152B,1.334B,513.20M,2018-09,690.60M,163.20M,-12.30M,-12.30M,491.00M,27.30M,944.80M,232.40M,642.80M,219.00M,51.50M,980.10M,0,3.164B,5.355B,67.40M,2.215B,956.80M,2.171B,3.140B,1.214B,280.80M,197.60M,1.303B
SNA,2018-06,-377.30M,112.30M,491.70M,127.60M,43.00M,3.17,3.12,1.152B,1.313B,544.90M,2018-06,668.30M,178.70M,-11.80M,-11.80M,479.40M,27.20M,945.40M,250.90M,662.60M,238.30M,55.80M,1.037B,0,3.093B,5.272B,67.40M,2.155B,927.00M,2.160B,3.117B,1.233B,294.00M,198.50M,1.269B
SNA,2018-03,-285.40M,97.50M,490.00M,145.20M,0,2.87,2.82,1.193B,1.325B,528.50M,2018-03,678.80M,163.00M,-13.50M,-13.50M,489.70M,31.70M,946.30M,234.60M,677.20M,223.80M,57.60M,1.018B,0,3.084B,5.318B,67.40M,2.168B,951.60M,2.215B,3.149B,1.264B,293.90M,188.20M,1.285B
