Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
SNPS,2021-01,-34.78M,1.023B,208.00M,170.19M,1.546B,1.06,1.03,3.687B,948.74M,762.32M,2021-01,230.91M,162.34M,-0.429M,-0.429M,948.74M,416.34M,485.54M,148.35M,455.16M,177.10M,15.08M,357.47M,970.32M,248.12M,4.882B,8.013B,1.526M,2.398B,2.171B,3.126B,5.615B,954.56M,613.97M,57.60M,814.51M
SNPS,2020-10,-54.07M,1.236B,224.55M,100.26M,1.388B,1.3,1.26,3.619B,1.719B,800.89M,2020-10,192.33M,197.46M,-0.326M,-0.326M,949.64M,374.59M,563.23M,195.74M,651.40M,191.57M,-4.989M,339.57M,1.025B,256.30M,4.907B,8.030B,1.528M,2.549B,2.140B,3.118B,5.481B,977.77M,605.14M,57.74M,813.06M
SNPS,2020-07,-72.82M,1.050B,193.01M,96.11M,1.390B,1.67,1.62,3.632B,956.77M,771.13M,2020-07,159.81M,252.91M,-0.161M,-0.161M,956.77M,381.40M,577.32M,208.62M,570.56M,236.85M,-16.06M,322.60M,964.13M,229.97M,4.596B,7.663B,1.519M,2.186B,2.056B,3.062B,5.477B,1.006B,562.50M,57.78M,659.45M
SNPS,2020-04,-104.03M,856.42M,184.26M,193.88M,1.397B,0.73,0.71,3.591B,933.19M,677.06M,2020-04,166.44M,109.92M,-0.967M,-0.967M,933.19M,368.81M,576.46M,155.57M,463.81M,110.17M,0.246M,302.57M,861.33M,208.67M,4.275B,7.322B,1.509M,1.961B,2.054B,3.042B,5.362B,987.32M,521.50M,68.51M,653.62M
SNPS,2020-01,-83.31M,700.36M,192.87M,276.85M,1.405B,0.69,0.67,3.514B,917.66M,641.51M,2020-01,148.06M,104.06M,-0.125M,-0.125M,917.66M,362.36M,581.67M,96.27M,374.16M,99.57M,-4.488M,314.28M,834.38M,221.60M,4.149B,7.203B,1.502M,1.951B,2.056B,3.048B,5.251B,992.48M,545.25M,45.39M,821.02M
SNPS,2019-10,-92.45M,728.60M,182.74M,17.61M,1.212B,1.07,1.04,3.451B,1.113B,668.34M,2019-10,141.52M,160.71M,0.528M,0.528M,429.53M,339.92M,120.09M,143.16M,522.36M,131.62M,-29.09M,290.50M,851.08M,224.59M,4.083B,6.405B,1.503M,1.739B,1.752B,2.316B,4.666B,563.83M,525.18M,35.72M,578.75M
SNPS,2019-07,-96.65M,686.78M,186.63M,16.65M,1.139B,0.67,0.65,3.426B,935.99M,666.34M,2019-07,155.11M,99.93M,-0.425M,-0.425M,372.57M,339.74M,125.28M,146.93M,474.80M,132.91M,32.98M,284.80M,852.97M,224.49M,3.934B,6.153B,1.504M,1.618B,1.630B,2.214B,4.536B,583.29M,519.41M,18.02M,487.14M
SNPS,2019-04,-96.72M,631.16M,190.68M,165.69M,1.194B,0.79,0.77,3.451B,0,645.56M,2019-04,166.33M,118.21M,-1.914M,-1.914M,344.18M,305.66M,126.15M,129.94M,372.83M,133.92M,15.71M,290.30M,836.24M,215.00M,3.910B,6.194B,1.50M,1.644B,1.733B,2.279B,4.550B,545.86M,515.62M,38.20M,586.54M
SNPS,2019-01,-97.85M,592.30M,192.89M,414.73M,1.262B,1.03,1.01,3.478B,0,627.51M,2019-01,137.56M,153.51M,-2.989M,-2.989M,317.90M,292.29M,127.14M,147.38M,348.71M,147.06M,-6.459M,271.33M,820.40M,198.02M,3.779B,6.344B,1.493M,1.798B,2.026B,2.560B,4.547B,534.18M,480.13M,39.38M,817.84M
SNPS,2018-10,-113.18M,723.12M,190.58M,343.77M,1.153B,1.71,1.66,3.504B,0,604.50M,2018-10,122.41M,254.33M,-2.662M,-2.662M,309.31M,329.02M,125.54M,72.55M,605.78M,52.25M,-202.08M,290.88M,795.08M,230.37M,3.479B,6.146B,1.493M,1.544B,2.102B,2.661B,4.602B,558.54M,531.95M,112.50M,630.74M
SNPS,2018-07,-94.65M,741.24M,185.38M,497.81M,1.130B,0.53,0.52,3.533B,838.05M,594.33M,2018-07,61.88M,79.41M,-3.462M,-3.462M,290.45M,334.82M,123.75M,63.99M,455.95M,71.89M,-7.516M,277.40M,779.71M,242.29M,3.158B,5.795B,1.486M,1.466B,2.083B,2.631B,4.330B,547.81M,530.34M,56.38M,545.71M
SNPS,2018-04,-62.39M,570.80M,178.78M,396.85M,1.102B,0.69,0.67,3.569B,763.08M,598.06M,2018-04,0,102.47M,-2.953M,-2.953M,283.78M,332.91M,127.50M,129.19M,383.19M,119.30M,16.83M,252.13M,776.84M,206.00M,3.256B,5.699B,1.49M,1.370B,1.882B,2.439B,4.329B,556.75M,468.87M,52.73M,615.28M
SNPS,2018-01,-37.19M,605.89M,181.16M,440.88M,1.121B,-0.02,-0.02,3.565B,0,588.27M,2018-01,0,-3.691M,-1.207M,-1.207M,284.44M,340.34M,131.25M,107.44M,388.23M,120.10M,123.79M,264.41M,769.43M,206.88M,3.137B,5.718B,1.49M,1.332B,1.950B,2.577B,4.385B,626.50M,480.83M,80.96M,543.63M
