Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
SO,2020-12,-395.00M,1.065B,3.037B,4.357B,487.00M,0.37,0.37,5.767B,122.79B,2.08B,2020-12,2.488B,391.00M,-478.00M,-478.00M,90.39B,16.66B,46.68B,703.00M,4.148B,307.00M,-50.00M,5.117B,0,28.26B,122.94B,5.559B,8.617B,12.08B,90.41B,114.32B,78.33B,1.377B,3.635B,3.335B
SO,2020-09,-344.00M,3.379B,2.592B,4.784B,496.00M,1.18,1.18,5.779B,121.34B,3.028B,2020-09,2.476B,1.255B,-443.00M,-443.00M,89.24B,16.93B,47.15B,1.835B,3.523B,1.576B,293.00M,5.62B,0,28.58B,123.16B,5.558B,10.57B,11.75B,90.37B,112.58B,78.62B,1.193B,3.102B,3.016B
SO,2020-06,-363.00M,1.879B,2.242B,3.016B,490.00M,0.58,0.58,5.791B,119.31B,2.378B,2020-06,2.381B,616.00M,-444.00M,-444.00M,87.83B,17.06B,46.75B,1.058B,3.114B,626.00M,5.00M,4.62B,0,27.96B,119.73B,5.557B,9.069B,9.334B,87.48B,110.66B,78.14B,1.32B,2.615B,2.899B
SO,2020-03,-367.00M,2.164B,2.607B,3.749B,491.00M,0.82,0.81,5.803B,118.12B,2.411B,2020-03,2.215B,872.00M,-456.00M,-456.00M,86.94B,17.32B,45.84B,1.224B,2.728B,986.00M,145.00M,5.018B,0,28.02B,118.85B,5.557B,9.43B,9.553B,86.64B,109.42B,77.09B,1.187B,2.314B,2.923B
SO,2019-12,-321.00M,1.975B,3.185B,5.273B,496.00M,0.4179,0.4179,5.816B,116.82B,1.729B,2019-12,2.388B,445.00M,-442.00M,-442.00M,86.06B,16.87B,43.41B,659.00M,3.69B,335.00M,-74.00M,4.914B,0,27.80B,118.70B,5.548B,9.817B,12.55B,86.65B,108.88B,74.10B,1.07B,3.216B,3.409B
SO,2019-09,-279.00M,2.931B,2.815B,4.084B,494.00M,1.26,1.25,5.83B,115.19B,3.18B,2019-09,2.324B,1.32B,-434.00M,-434.00M,84.72B,16.96B,43.70B,2.117B,3.52B,1.712B,367.00M,5.995B,0,27.80B,117.59B,5.525B,9.917B,10.53B,85.51B,107.67B,74.98B,1.063B,3.134B,3.385B
SO,2019-06,-238.00M,1.383B,2.71B,4.774B,489.00M,0.86,0.85,5.832B,115.05B,2.388B,2019-06,2.143B,902.00M,-429.00M,-429.00M,84.35B,16.78B,41.38B,1.334B,3.498B,1.076B,145.00M,5.098B,0,27.19B,114.87B,5.508B,8.352B,11.00B,83.44B,106.52B,72.45B,1.054B,3.043B,3.373B
SO,2019-03,-203.00M,1.361B,3.138B,3.792B,483.00M,2.01,1.99,5.869B,115.52B,2.274B,2019-03,2.093B,2.088B,-430.00M,-430.00M,84.69B,17.11B,42.18B,1.194B,3.652B,3.419B,1.36B,5.412B,0,26.73B,114.10B,5.483B,8.709B,9.919B,83.12B,105.39B,73.20B,1.08B,3.24B,3.689B
SO,2018-12,-203.00M,1.396B,3.647B,6.113B,522.00M,0.2689,0.2689,5.928B,112.90B,1.69B,2018-12,2.394B,282.00M,-456.00M,-456.00M,81.86B,15.86B,40.74B,617.00M,4.564B,120.00M,-149.00M,5.337B,0,25.01B,116.91B,5.455B,9.583B,14.29B,87.58B,107.33B,73.30B,1.073B,4.092B,4.059B
SO,2018-09,-177.00M,1.847B,3.195B,5.577B,524.00M,1.14,1.13,5.989B,110.22B,2.964B,2018-09,2.294B,1.168B,-458.00M,-458.00M,79.48B,15.52B,41.42B,1.857B,4.249B,1.845B,623.00M,6.159B,0,25.20B,111.72B,5.464B,9.384B,12.96B,83.33B,102.33B,70.36B,1.107B,3.827B,3.728B
