Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
SPG,2020-12,-188.68M,1.012B,215.12M,623.02M,0.86,0.86,55.06M,512.91M,916.31M,2020-12,272.32M,-197.86M,-197.86M,512.91M,26.62B,462.05M,3.376B,311.15M,-1.572M,1.131B,43.01M,3.039B,34.79B,42.12M,2.714B,3.999B,31.31B,32.07B,27.32B,454.26M,3.376B,1.237B
SPG,2020-09,-180.47M,1.082B,222.52M,1.327B,0.48,0.48,95.85M,515.00M,838.16M,2020-09,146.76M,-201.86M,-201.86M,515.00M,25.66B,404.02M,3.323B,171.42M,2.779M,1.061B,17.77M,1.753B,31.66B,42.20M,2.535B,3.323B,29.65B,29.13B,26.32B,434.13M,3.323B,1.452B
SPG,2020-06,-155.13M,3.306B,201.92M,758.68M,0.83,0.83,150.74M,517.06M,860.12M,2020-06,255.05M,-197.06M,-197.06M,517.06M,27.79B,450.87M,3.252B,290.49M,-0.062M,1.062B,19.98M,2.029B,34.03B,42.29M,4.764B,3.252B,31.69B,29.26B,28.44B,409.25M,3.252B,1.458B
SPG,2020-03,-119.30M,3.725B,247.60M,0,1.43,1.43,0,519.18M,1.106B,2020-03,438.44M,-187.63M,-187.63M,519.18M,28.07B,654.87M,2.866B,499.62M,-5.783M,1.353B,40.42M,2.182B,34.12B,42.37M,4.518B,2.866B,31.61B,29.60B,28.74B,450.89M,2.866B,793.49M
SPG,2019-12,-118.60M,669.37M,259.08M,0,1.66,1.66,0,514.66M,1.230B,2019-12,511.03M,-189.81M,-189.81M,514.66M,23.35B,776.88M,2.957B,597.16M,6.745M,1.489B,48.55M,2.526B,31.23B,42.45M,1.994B,4.284B,28.32B,29.24B,24.04B,452.66M,2.957B,832.15M
SPG,2019-09,-121.60M,3.647B,263.74M,0,1.77,1.77,0,0,1.153B,2019-09,545.09M,-202.38M,-202.38M,0,26.64B,705.30M,2.892B,634.92M,6.197M,1.417B,44.62M,2.673B,33.84B,42.53M,4.423B,2.892B,30.76B,29.42B,27.87B,447.51M,2.892B,775.62M
SPG,2019-06,-128.74M,479.78M,243.88M,0,1.6,1.6,0,0,1.153B,2019-06,496.16M,-198.42M,-198.42M,0,23.32B,680.63M,2.795B,579.11M,7.01M,1.397B,45.78M,2.920B,30.73B,42.62M,1.216B,2.795B,27.37B,29.52B,24.57B,472.67M,2.795B,736.36M
SPG,2019-03,-120.96M,436.80M,254.93M,0,1.78,1.78,0,0,1.198B,2019-03,549.31M,-198.73M,-198.73M,0,23.19B,745.02M,2.717B,642.05M,10.10M,1.453B,46.26M,3.213B,30.84B,42.70M,1.170B,2.717B,27.14B,29.67B,24.42B,452.88M,2.717B,733.16M
SPG,2018-12,-126.02M,514.34M,254.09M,0,2.3,2.3,0,0,1.208B,2018-12,713.63M,-204.34M,-204.34M,0,22.55B,770.51M,2.853B,843.62M,10.42M,1.462B,54.09M,3.297B,30.69B,42.78M,1.795B,3.612B,26.89B,28.89B,23.28B,437.43M,2.853B,763.82M
SPG,2018-09,-118.59M,695.72M,261.97M,0,1.8,1.8,0,0,1.142B,2018-09,557.10M,-199.47M,-199.47M,0,23.68B,722.84M,2.803B,652.33M,10.12M,1.404B,48.86M,3.384B,31.08B,42.86M,1.418B,2.803B,27.18B,29.66B,24.38B,419.21M,2.803B,722.73M
SPG,2018-06,-115.28M,714.25M,236.59M,978.47M,1.77,1.77,208.56M,0,1.148B,2018-06,547.84M,-206.62M,-206.62M,0,23.51B,727.98M,2.762B,641.55M,10.14M,1.385B,47.40M,3.371B,30.84B,42.94M,1.396B,2.762B,26.96B,29.45B,24.20B,420.48M,2.762B,681.55M
SPG,2018-03,-102.75M,367.21M,255.32M,953.66M,2,2,285.14M,0,1.139B,2018-03,621.49M,-205.49M,-205.49M,0,23.65B,701.93M,2.603B,721.74M,6.22M,1.394B,47.43M,3.506B,31.02B,43.03M,1.053B,2.603B,26.98B,29.96B,24.38B,436.93M,2.603B,686.16M
