Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
SPGI,2020-12,-637.00M,4.117B,559.00M,100.00M,2.168B,1.89,1.88,5.087B,1.365B,1.308B,2020-12,0,454.00M,-32.00M,-32.00M,778.00M,0,4.654B,657.00M,317.00M,640.00M,135.00M,1.867B,599.00M,509.00M,12.54B,294.00M,5.988B,3.587B,11.97B,6.549B,8.379B,651.00M,317.00M,1.593B
SPGI,2020-09,-677.00M,3.148B,519.00M,112.00M,1.72B,1.89,1.88,5.091B,1.559B,1.327B,2020-09,0,455.00M,-35.00M,-35.00M,908.00M,0,4.673B,936.00M,265.00M,636.00M,138.00M,1.846B,339.00M,442.00M,11.45B,294.00M,4.841B,2.815B,10.95B,6.611B,8.139B,391.00M,265.00M,1.427B
SPGI,2020-06,-704.00M,2.667B,493.00M,699.00M,1.85B,3.29,3.28,5.107B,1.56B,1.45B,2020-06,0,792.00M,-40.00M,-40.00M,925.00M,0,4.528B,1.104B,460.00M,1.075B,233.00M,1.943B,295.00M,210.00M,11.10B,294.00M,4.459B,3.04B,10.84B,6.646B,7.797B,346.00M,460.00M,1.557B
SPGI,2020-03,-660.00M,1.932B,521.00M,0,1.897B,2.64,2.62,5.142B,1.584B,1.265B,2020-03,0,639.00M,-34.00M,-34.00M,961.00M,0,4.552B,905.00M,363.00M,877.00M,188.00M,1.786B,311.00M,-250.00M,10.46B,294.00M,3.695B,2.983B,10.66B,6.768B,7.674B,360.00M,363.00M,1.504B
SPGI,2019-12,-624.00M,2.894B,516.00M,0,1.928B,2.22,2.2,4.999B,1.618B,1.219B,2019-12,0,541.00M,-36.00M,-36.00M,996.00M,0,4.568B,818.00M,258.00M,731.00M,145.00M,1.735B,350.00M,479.00M,11.35B,294.00M,4.712B,3.093B,10.81B,6.636B,7.719B,401.00M,258.00M,1.577B
SPGI,2019-09,-684.00M,1.996B,480.00M,0,1.614B,2.52,2.5,4.942B,1.566B,1.209B,2019-09,0,617.00M,-32.00M,-32.00M,958.00M,0,3.581B,842.00M,302.00M,851.00M,189.00M,1.689B,318.00M,346.00M,10.19B,294.00M,3.722B,3.373B,9.786B,6.466B,6.413B,367.00M,302.00M,1.486B
SPGI,2019-06,-651.00M,1.881B,471.00M,0,1.709B,2.25,2.24,4.972B,1.572B,1.233B,2019-06,0,555.00M,-37.00M,-37.00M,949.00M,0,4.285B,813.00M,302.00M,782.00M,180.00M,1.704B,368.00M,512.00M,10.18B,294.00M,3.694B,2.699B,9.615B,6.491B,6.916B,420.00M,302.00M,1.543B
SPGI,2019-03,-633.00M,1.403B,473.00M,0,1.689B,1.66,1.65,5.025B,1.556B,1.098B,2019-03,0,410.00M,-36.00M,-36.00M,943.00M,0,4.28B,705.00M,351.00M,566.00M,113.00M,1.571B,341.00M,327.00M,9.72B,294.00M,3.182B,2.655B,9.332B,6.538B,6.677B,393.00M,351.00M,1.539B
SPGI,2018-12,-742.00M,1.935B,551.00M,0,1.641B,2.06,2.03,5.059B,866.00M,986.00M,2018-12,0,511.00M,-36.00M,-36.00M,270.00M,0,3.662B,704.00M,284.00M,671.00M,120.00M,1.537B,227.00M,628.00M,9.441B,294.00M,3.587B,2.63B,8.757B,5.854B,6.127B,282.00M,284.00M,1.449B
SPGI,2018-09,-703.00M,2.158B,410.00M,0,1.576B,1.97,1.95,4.964B,861.00M,1.136B,2018-09,0,495.00M,-38.00M,-38.00M,275.00M,0,3.661B,704.00M,286.00M,672.00M,137.00M,1.546B,379.00M,905.00M,9.383B,412.00M,3.628B,2.517B,8.425B,5.755B,5.908B,432.00M,286.00M,1.237B
SPGI,2018-06,-705.00M,1.885B,441.00M,400.00M,1.689B,1.83,1.82,4.991B,847.00M,1.168B,2018-06,0,461.00M,-26.00M,-26.00M,273.00M,0,3.66B,672.00M,420.00M,657.00M,156.00M,1.609B,444.00M,583.00M,9.217B,412.00M,3.468B,2.724B,8.581B,5.749B,5.857B,496.00M,271.00M,1.29B
SPGI,2018-03,-630.00M,1.756B,430.00M,399.00M,1.679B,1.94,1.93,4.435B,839.00M,1.137B,2018-03,0,491.00M,-34.00M,-34.00M,270.00M,0,3.17B,711.00M,378.00M,681.00M,147.00M,1.567B,381.00M,7.00M,8.497B,412.00M,3.284B,3.135B,8.429B,5.213B,5.294B,426.00M,296.00M,1.313B
SPGI,2017-12,-649.00M,2.789B,432.00M,400.00M,1.613B,1.03,1.02,4.377B,829.00M,1.156B,2017-12,0,262.00M,-39.00M,-39.00M,275.00M,0,3.17B,627.00M,379.00M,589.00M,290.00M,1.588B,483.00M,709.00M,9.425B,412.00M,4.324B,3.214B,8.659B,5.101B,5.445B,529.00M,272.00M,1.319B
SPGI,2017-09,-678.00M,2.312B,419.00M,309.00M,1.424B,1.62,1.61,4.413B,800.00M,1.094B,2017-09,0,414.00M,-37.00M,-37.00M,259.00M,0,3.568B,649.00M,247.00M,621.00M,169.00M,1.513B,399.00M,839.00M,8.714B,412.00M,3.653B,2.408B,7.821B,5.061B,5.413B,445.00M,247.00M,1.188B
SPGI,2017-06,-699.00M,2.384B,432.00M,472.00M,1.502B,1.63,1.62,4.424B,796.00M,1.077B,2017-06,0,421.00M,-37.00M,-37.00M,264.00M,0,3.566B,668.00M,241.00M,640.00M,183.00M,1.509B,364.00M,1.019B,8.791B,412.00M,3.723B,2.362B,7.718B,5.068B,5.356B,409.00M,241.00M,1.166B
SPGI,2017-03,-735.00M,2.411B,411.00M,0,1.51B,1.54,1.53,4.434B,788.00M,1.042B,2017-03,0,399.00M,-37.00M,-37.00M,265.00M,0,3.565B,639.00M,405.00M,611.00M,181.00M,1.453B,360.00M,789.00M,8.654B,412.00M,3.663B,2.469B,7.81B,4.991B,5.341B,403.00M,405.00M,1.108B
SPGI,2016-12,-773.00M,2.40B,421.00M,0,1.509B,2.07,2.05,4.455B,808.00M,978.00M,2016-12,0,537.00M,-59.00M,-59.00M,271.00M,0,3.564B,450.00M,334.00M,798.00M,229.00M,1.399B,481.00M,650.00M,8.669B,412.00M,3.671B,2.611B,7.968B,4.998B,5.357B,528.00M,278.00M,1.122B
SPGI,2016-09,-635.00M,2.399B,431.00M,0,1.408B,3.39,3.36,4.476B,788.00M,1.008B,2016-09,0,892.00M,-39.00M,-39.00M,255.00M,0,3.563B,626.00M,520.00M,1.309B,386.00M,1.439B,337.00M,462.00M,8.676B,412.00M,3.704B,3.051B,8.165B,4.972B,5.114B,382.00M,520.00M,980.00M
SPGI,2016-06,-627.00M,1.567B,469.00M,0,1.46B,1.45,1.44,4.365B,826.00M,1.013B,2016-06,0,383.00M,-42.00M,-42.00M,242.00M,0,3.47B,651.00M,178.00M,609.00M,197.00M,1.482B,317.00M,376.00M,8.291B,412.00M,3.459B,2.845B,7.866B,4.832B,5.021B,362.00M,178.00M,1.007B
SPGI,2016-03,-580.00M,1.60B,453.00M,0,1.458B,1.11,1.1,4.357B,821.00M,888.00M,2016-03,0,294.00M,-40.00M,-40.00M,251.00M,0,3.469B,512.00M,168.00M,472.00M,149.00M,1.341B,334.00M,222.00M,8.261B,412.00M,3.448B,2.982B,7.991B,4.813B,5.009B,376.00M,168.00M,978.00M
SPGI,2015-12,-600.00M,1.487B,477.00M,143.00M,1.421B,0.92,0.91,4.405B,855.00M,898.00M,2015-12,0,247.00M,-40.00M,-40.00M,270.00M,40.00M,3.468B,424.00M,383.00M,384.00M,108.00M,1.375B,421.00M,194.00M,8.183B,412.00M,3.296B,2.908B,7.94B,4.888B,5.032B,474.00M,262.00M,991.00M
SPGI,2015-09,-553.00M,1.441B,419.00M,365.00M,1.453B,0.93,0.92,4.849B,837.00M,905.00M,2015-09,0,252.00M,-30.00M,-30.00M,237.00M,206.00M,3.489B,410.00M,315.00M,380.00M,99.00M,1.324B,458.00M,658.00M,8.163B,412.00M,2.836B,2.505B,7.459B,5.327B,4.954B,495.00M,211.00M,986.00M
SPGI,2015-06,-511.00M,1.72B,412.00M,0,1.387B,1.29,1.28,2.36B,790.00M,930.00M,2015-06,0,353.00M,-16.00M,-16.00M,208.00M,0,1.494B,582.00M,204.00M,566.00M,185.00M,1.342B,326.00M,763.00M,6.013B,412.00M,3.213B,2.24B,5.198B,2.80B,2.958B,348.00M,181.00M,1.063B
