Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
STX,2021-03,-36.00M,1.212B,1.991B,245.00M,0,1.41,1.39,1.272B,10.34B,740.00M,2021-03,1.281B,329.00M,-58.00M,-58.00M,2.215B,0,4.897B,384.00M,2.57B,339.00M,10.00M,227.00M,2.731B,126.00M,484.00M,8.604B,6.855B,3.692B,2.993B,8.12B,4.912B,5.127B,356.00M,1.861B,978.00M
STX,2020-12,-46.00M,1.799B,1.927B,25.00M,0,1.12,1.12,1.277B,10.28B,696.00M,2020-12,1.318B,280.00M,-52.00M,-52.00M,2.218B,0,5.12B,350.00M,2.39B,291.00M,11.00M,221.00M,2.623B,122.00M,990.00M,8.986B,6.814B,4.081B,2.621B,7.996B,4.905B,5.375B,346.00M,1.891B,801.00M
STX,2020-09,-66.00M,1.664B,1.718B,25.00M,0,0.87,0.86,1.282B,10.32B,596.00M,2020-09,1.323B,223.00M,-49.00M,-49.00M,2.167B,0,4.138B,252.00M,2.462B,221.00M,-2.00M,223.00M,2.314B,118.00M,1.821B,8.862B,0,3.994B,2.644B,7.041B,4.868B,4.397B,344.00M,1.962B,866.00M
STX,2020-06,-67.00M,1.722B,1.85B,33.00M,0,0.65,0.64,1.295B,10.28B,667.00M,2020-06,1.142B,166.00M,-48.00M,-48.00M,2.232B,0,4.205B,330.00M,2.465B,160.00M,-6.00M,222.00M,2.517B,112.00M,1.787B,8.93B,6.725B,4.114B,2.722B,7.143B,4.816B,4.421B,337.00M,1.975B,1.115B
STX,2020-03,-33.00M,1.614B,1.972B,12.00M,0,1.23,1.22,1.307B,10.10B,746.00M,2020-03,1.102B,320.00M,-45.00M,-45.00M,2.20B,0,4.142B,378.00M,2.523B,338.00M,18.00M,246.00M,2.718B,119.00M,1.792B,8.829B,6.667B,4.015B,2.69B,7.037B,4.814B,4.347B,368.00M,1.998B,1.16B
STX,2019-12,-40.00M,1.744B,1.938B,6.00M,0,1.21,1.2,1.32B,9.994B,758.00M,2019-12,1.148B,318.00M,-44.00M,-44.00M,2.049B,0,4.135B,384.00M,2.503B,336.00M,18.00M,250.00M,2.696B,120.00M,1.83B,8.932B,6.61B,4.152B,2.70B,7.102B,4.78B,4.402B,374.00M,2.04B,1.112B
STX,2019-09,-34.00M,1.786B,1.907B,0,0,0.75,0.74,1.334B,9.835B,671.00M,2019-09,1.041B,200.00M,-44.00M,-44.00M,1.991B,0,4.14B,290.00M,2.40B,198.00M,-2.00M,255.00M,2.578B,122.00M,1.77B,8.738B,0,4.031B,2.549B,6.968B,4.707B,4.419B,381.00M,1.915B,1.065B
STX,2019-06,-21.00M,2.22B,1.747B,0,0,3.57,3.54,1.348B,9.736B,624.00M,2019-06,970.00M,983.00M,-38.00M,-38.00M,1.869B,0,4.253B,269.00M,2.063B,291.00M,-692.00M,241.00M,2.371B,108.00M,2.162B,8.885B,6.518B,4.363B,2.232B,6.723B,4.522B,4.491B,355.00M,1.59B,989.00M
STX,2019-03,-21.00M,1.388B,1.712B,0,0,0.69,0.69,1.366B,9.689B,601.00M,2019-03,1.001B,195.00M,-34.00M,-34.00M,1.822B,0,4.522B,247.00M,2.001B,215.00M,20.00M,238.00M,2.313B,110.00M,1.689B,8.596B,6.457B,3.487B,2.146B,6.907B,5.109B,4.761B,354.00M,1.31B,897.00M
STX,2018-12,0,1.357B,1.921B,0,0,1.35,1.34,1.386B,0,794.00M,2018-12,1.097B,384.00M,-34.00M,-34.00M,1.823B,0,4.324B,423.00M,2.136B,398.00M,14.00M,246.00M,2.715B,120.00M,1.934B,8.789B,0,3.676B,2.30B,6.855B,5.113B,4.555B,371.00M,1.62B,1.058B
