Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
STZ,2021-02,-335.50M,460.60M,959.30M,98.00M,68.20M,2,1.95,10.53B,7.808B,993.70M,2021-02,1.291B,382.90M,-89.80M,-89.80M,6.074B,569.70M,10.88B,540.40M,970.10M,485.30M,94.70M,1.953B,453.30M,13.60B,27.10B,2.20M,3.044B,1.269B,13.18B,24.06B,11.91B,453.30M,484.70M,1.088B
STZ,2020-11,-357.40M,152.90M,1.170B,568.40M,0,6.68,6.55,10.53B,5.581B,1.268B,2020-11,1.377B,1.281B,-95.70M,-95.70M,5.581B,1.521B,10.42B,804.40M,1.473B,1.469B,176.60M,2.438B,463.80M,13.31B,27.63B,2.20M,3.447B,2.041B,13.98B,24.18B,11.94B,463.80M,732.10M,915.40M
STZ,2020-08,-815.50M,204.60M,1.045B,533.80M,0,2.68,2.62,10.46B,5.098B,1.216B,2020-08,1.328B,512.10M,-100.20M,-100.20M,5.185B,1.482B,11.07B,816.70M,1.376B,657.20M,135.40M,2.260B,399.10M,11.69B,26.46B,2.20M,3.537B,1.910B,14.46B,22.93B,12.55B,399.10M,651.20M,926.30M
STZ,2020-05,-1.022B,302.80M,975.10M,534.70M,0,-0.94,-0.94,10.42B,7.057B,988.30M,2020-05,1.333B,-177.90M,-100.00M,-100.00M,5.098B,1.380B,11.64B,635.00M,1.218B,-68.20M,104.40M,1.963B,353.30M,11.07B,26.15B,2.20M,3.396B,1.752B,14.77B,22.75B,13.02B,353.30M,505.50M,700.50M
STZ,2020-02,-266.30M,81.40M,953.10M,1.050B,0,2.1,2.04,10.48B,5.690B,949.80M,2020-02,1.374B,398.40M,-99.40M,-99.40M,5.599B,384.00M,11.69B,579.70M,1.051B,488.90M,79.90M,1.903B,370.10M,12.13B,27.32B,2.20M,3.484B,2.312B,14.85B,23.84B,12.54B,370.10M,582.50M,1.215B
STZ,2019-11,-383.80M,93.70M,1.012B,1.016B,0,1.9,1.85,10.49B,5.694B,987.50M,2019-11,1.359B,360.40M,-103.10M,-103.10M,5.690B,334.80M,11.84B,581.20M,1.444B,-292.40M,-658.90M,1.999B,406.30M,11.71B,27.09B,2.20M,3.470B,2.460B,15.06B,23.62B,12.60B,406.30M,676.50M,808.30M
STZ,2019-08,-476.60M,81.30M,1.158B,787.00M,0,-2.77,-2.77,10.48B,5.693B,1.186B,2019-08,1.311B,-525.20M,-111.60M,-111.60M,5.694B,561.30M,12.67B,746.50M,1.409B,-719.20M,-202.20M,2.344B,439.40M,11.38B,27.56B,2.20M,3.538B,2.196B,15.86B,24.02B,13.67B,439.40M,608.60M,953.70M
STZ,2019-05,-355.50M,98.70M,1.068B,1.727B,0,-1.3,-1.3,10.60B,6.751B,1.029B,2019-05,1.494B,-245.40M,-114.60M,-114.60M,5.693B,1.778B,11.75B,622.70M,957.00M,-422.50M,-185.40M,2.097B,406.00M,12.17B,28.95B,2.20M,3.581B,2.939B,16.46B,25.37B,13.52B,406.00M,611.30M,788.30M
STZ,2019-02,-353.90M,93.60M,903.70M,1.857B,0,6.57,6.37,11.29B,4.986B,893.50M,2019-02,2.130B,1.240B,-118.50M,-118.50M,5.046B,1.030B,11.76B,465.30M,1.093B,1.530B,280.80M,1.797B,428.20M,12.55B,29.23B,2.20M,3.684B,3.164B,16.39B,25.55B,13.23B,428.20M,641.20M,1.268B
STZ,2018-11,-505.90M,130.60M,1.003B,1.797B,0,1.62,1.56,11.37B,0,970.00M,2018-11,2.198B,303.10M,-72.80M,-72.80M,4.986B,0,11.77B,556.50M,1.566B,347.40M,35.30M,1.973B,413.50M,11.26B,27.89B,2.20M,3.638B,3.363B,16.37B,24.25B,13.01B,413.50M,882.70M,837.20M
