Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,Current Deferred Liabilities,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
SWK,2020-12,-1.714B,1.381B,2.852B,140.30M,108.70M,2.92,2.88,14.09B,4.680B,1.556B,2020-12,2.737B,467.30M,-50.00M,-50.00M,2.054B,568.00M,4.245B,685.60M,4.042B,540.10M,67.40M,4.408B,866.40M,11.06B,23.57B,1.942B,6.036B,4.558B,12.50B,17.53B,7.942B,870.20M,3.012B,1.512B
SWK,2020-09,-1.961B,683.00M,2.474B,6.30M,358.10M,2.47,2.44,13.96B,4.291B,1.376B,2020-09,2.875B,394.90M,-50.70M,-50.70M,2.006B,590.10M,4.658B,637.40M,4.216B,469.60M,78.40M,3.850B,731.30M,10.37B,23.04B,1.942B,5.787B,4.222B,12.66B,17.25B,8.440B,738.90M,2.345B,1.764B
SWK,2020-06,-2.041B,859.80M,2.135B,706.20M,98.60M,1.52,1.52,13.91B,3.970B,1.013B,2020-06,2.753B,238.40M,-54.80M,-54.80M,2.024B,599.70M,4.659B,280.70M,3.872B,111.10M,-117.30M,3.147B,713.00M,9.960B,22.98B,1.942B,5.770B,4.578B,13.02B,17.21B,8.440B,732.00M,2.117B,1.719B
SWK,2020-03,-2.143B,987.10M,2.106B,1.677B,0,0.89,0.88,13.88B,0,1.023B,2020-03,2.532B,133.20M,-49.60M,-49.60M,2.037B,727.90M,4.663B,274.60M,3.693B,146.20M,12.90M,3.129B,737.80M,8.953B,22.90B,1.942B,5.693B,5.370B,13.95B,17.21B,8.576B,748.50M,2.029B,1.682B
SWK,2019-12,-1.885B,297.70M,2.554B,481.70M,0,1.34,1.32,12.86B,0,1.161B,2019-12,2.255B,199.10M,-52.60M,-52.60M,1.960B,731.20M,3.176B,436.90M,3.474B,236.80M,25.30M,3.714B,718.40M,9.136B,20.60B,1.942B,4.457B,4.406B,11.45B,16.14B,7.049B,723.70M,2.594B,1.455B
SWK,2019-09,-1.945B,311.70M,2.394B,1.458B,0,1.55,1.53,12.81B,0,1.240B,2019-09,2.744B,230.50M,-59.70M,-59.70M,1.912B,729.60M,3.909B,483.40M,3.984B,294.70M,59.20M,3.633B,752.80M,8.262B,21.32B,1.192B,5.328B,5.442B,13.05B,15.99B,7.612B,756.10M,2.070B,1.903B
SWK,2019-06,-1.814B,310.70M,2.462B,1.465B,0,2.41,2.37,12.95B,0,1.300B,2019-06,2.863B,356.30M,-60.30M,-60.30M,1.933B,730.50M,3.909B,517.50M,4.188B,403.70M,51.60M,3.761B,776.20M,8.228B,21.52B,1.192B,5.345B,5.653B,13.29B,16.18B,7.637B,782.30M,2.324B,1.824B
SWK,2019-03,-1.813B,281.80M,2.228B,1.784B,0,1.15,1.13,13.03B,0,1.106B,2019-03,2.792B,169.90M,-57.80M,-57.80M,1.927B,744.40M,3.909B,326.70M,3.982B,194.80M,24.70M,3.334B,760.60M,7.932B,21.46B,1.192B,5.254B,5.766B,13.52B,16.21B,7.757B,778.90M,2.264B,1.882B
SWK,2018-12,-1.814B,288.70M,2.475B,378.60M,0,-0.45,-0.45,12.44B,0,1.160B,2018-12,2.374B,-106.80M,-55.00M,-55.00M,1.915B,705.30M,3.820B,378.50M,3.451B,171.00M,277.00M,3.635B,770.20M,7.836B,19.41B,1.192B,4.569B,4.002B,11.57B,14.84B,7.566B,781.40M,2.598B,1.608B
SWK,2018-09,-1.751B,368.70M,2.256B,2.388B,0,1.67,1.65,12.55B,0,1.238B,2018-09,2.650B,247.80M,-53.40M,-53.40M,1.846B,423.60M,2.831B,439.50M,3.664B,304.90M,56.60M,3.495B,792.90M,8.082B,20.45B,1.192B,5.555B,6.052B,12.36B,14.89B,6.311B,798.90M,2.320B,2.236B
SWK,2018-06,-1.772B,385.80M,2.356B,2.080B,95.60M,1.96,1.93,12.54B,3.660B,1.287B,2018-06,2.444B,293.60M,-53.40M,-53.40M,1.817B,467.00M,2.831B,481.30M,3.558B,294.40M,1.00M,3.644B,801.80M,8.185B,20.18B,1.192B,5.323B,5.639B,11.99B,14.86B,6.353B,805.80M,2.288B,2.151B
SWK,2018-03,-1.493B,405.60M,2.044B,1.378B,81.90M,1.13,1.11,12.33B,3.160B,1.166B,2018-03,2.350B,170.60M,-47.40M,-47.40M,1.770B,442.30M,2.828B,380.10M,3.433B,251.80M,81.70M,3.209B,778.80M,8.439B,19.68B,1.192B,5.078B,4.810B,11.24B,14.61B,6.431B,785.60M,2.173B,1.986B
SWK,2017-12,-1.589B,637.50M,2.218B,982.80M,0,1.88,1.84,12.28B,0,1.246B,2017-12,2.018B,281.50M,-46.60M,-46.60M,1.742B,436.10M,2.828B,450.20M,3.139B,341.70M,60.60M,3.464B,798.90M,8.302B,19.10B,1.192B,4.559B,4.392B,10.79B,14.54B,6.401B,795.80M,2.502B,1.629B
SWK,2017-09,-1.619B,483.30M,2.106B,585.70M,0,1.83,1.8,12.24B,0,1.253B,2017-09,2.247B,274.50M,-46.90M,-46.90M,1.677B,1.182B,3.818B,484.10M,3.416B,354.40M,79.90M,3.359B,763.40M,8.016B,19.77B,1.192B,5.029B,4.002B,11.75B,14.74B,7.752B,768.90M,2.092B,2.010B
SWK,2017-06,-1.722B,539.50M,2.073B,591.70M,0,1.86,1.82,12.02B,0,1.213B,2017-06,2.078B,277.60M,-46.30M,-46.30M,1.650B,1.178B,3.817B,469.10M,3.275B,358.30M,80.70M,3.287B,738.60M,7.70B,19.31B,1.192B,4.839B,3.867B,11.61B,14.47B,7.739B,744.20M,2.093B,1.928B
SWK,2017-03,-1.808B,378.00M,1.790B,1.167B,0,2.64,2.6,11.97B,0,1.066B,2017-03,1.977B,393.70M,-42.70M,-42.70M,1.538B,1.175B,3.816B,375.70M,3.047B,473.40M,79.70M,2.856B,682.00M,6.812B,18.66B,442.30M,4.368B,4.214B,11.84B,14.29B,7.630B,690.30M,1.929B,1.728B
SWK,2016-12,-1.921B,1.132B,2.030B,12.10M,0,1.74,1.71,8.994B,0,1.077B,2016-12,1.478B,258.20M,-42.50M,-42.50M,1.451B,735.40M,3.815B,385.00M,2.541B,285.50M,27.00M,3.107B,685.40M,6.367B,15.63B,442.30M,4.788B,2.808B,9.261B,10.85B,6.454B,692.40M,2.026B,1.303B
SWK,2016-09,-1.682B,420.80M,1.798B,102.20M,0,1.71,1.68,9.589B,0,1.084B,2016-09,1.720B,248.90M,-45.10M,-45.10M,1.480B,757.40M,3.815B,438.70M,3.361B,327.70M,78.70M,2.882B,643.80M,6.034B,15.72B,442.30M,4.262B,3.463B,9.640B,11.46B,6.176B,645.40M,1.741B,1.730B
SWK,2016-06,-1.711B,568.20M,1.804B,357.90M,0,1.87,1.84,9.593B,0,1.129B,2016-06,1.689B,271.50M,-42.20M,-42.20M,1.462B,776.70M,3.814B,462.00M,3.352B,362.00M,90.50M,2.932B,659.70M,5.804B,15.74B,442.30M,4.293B,3.710B,9.891B,11.45B,6.181B,666.90M,1.739B,1.571B
SWK,2016-03,-1.614B,352.20M,1.694B,489.00M,0,1.3,1.28,9.701B,0,977.60M,2016-03,1.685B,189.40M,-41.50M,-41.50M,1.463B,817.90M,3.817B,349.80M,3.208B,254.10M,65.50M,2.672B,620.40M,5.669B,15.61B,442.30M,4.017B,3.697B,9.892B,11.59B,6.196B,627.80M,1.662B,1.593B
SWK,2015-12,-1.694B,465.40M,1.831B,7.60M,89.20M,1.82,1.77,9.626B,3.167B,1.014B,2015-12,1.526B,265.50M,-39.70M,-39.70M,1.450B,825.90M,3.792B,403.60M,2.438B,306.40M,39.10M,2.845B,615.50M,5.812B,15.13B,442.30M,3.662B,2.803B,9.269B,11.47B,6.466B,610.60M,1.962B,1.332B
SWK,2015-09,-1.582B,293.30M,1.802B,457.00M,84.40M,1.57,1.52,9.740B,3.081B,1.027B,2015-09,1.867B,228.70M,-41.60M,-41.60M,1.408B,963.60M,3.847B,418.70M,2.965B,309.10M,75.70M,2.830B,598.40M,5.639B,15.87B,442.30M,4.273B,3.422B,10.15B,11.60B,6.728B,608.30M,1.719B,1.691B
SWK,2015-06,-1.455B,391.90M,1.810B,440.50M,75.80M,1.53,1.49,9.799B,3.012B,1.057B,2015-06,1.840B,227.20M,-43.20M,-43.20M,1.419B,997.50M,3.823B,412.70M,2.924B,314.00M,78.50M,2.867B,631.50M,5.784B,16.00B,442.30M,4.345B,3.385B,10.13B,11.65B,6.747B,644.50M,1.765B,1.646B
SWK,2015-03,-1.528B,435.50M,1.656B,606.20M,0,1.07,1.04,9.789B,0,973.60M,2015-03,1.742B,162.30M,-40.70M,-40.70M,1.412B,988.30M,3.856B,350.60M,2.819B,221.30M,55.30M,2.63B,613.70M,5.615B,15.94B,442.30M,4.325B,3.447B,10.25B,11.62B,6.800B,623.00M,1.675B,1.613B
SWK,2014-12,-1.270B,496.60M,1.931B,7.50M,0,0.94,0.91,10.03B,0,1.051B,2014-12,1.563B,145.80M,-42.20M,-42.20M,1.454B,992.70M,3.840B,392.80M,2.552B,265.70M,46.70M,2.982B,651.80M,6.429B,15.85B,442.30M,3.949B,2.832B,9.337B,11.90B,6.505B,658.30M,2.001B,1.397B
SWK,2014-09,-785.90M,486.80M,1.832B,432.70M,0,1.51,1.47,10.36B,0,1.047B,2014-09,1.758B,236.70M,-40.40M,-40.40M,1.448B,964.00M,3.857B,405.50M,2.950B,304.40M,58.30M,2.879B,637.20M,6.961B,16.73B,442.30M,4.452B,3.387B,9.690B,12.28B,6.302B,641.10M,1.714B,1.861B
SWK,2014-06,-502.90M,515.70M,1.812B,484.00M,0,1.38,1.36,10.59B,0,1.049B,2014-06,1.722B,216.50M,-40.30M,-40.30M,1.484B,1.007B,3.849B,392.70M,2.898B,296.80M,74.10M,2.860B,649.00M,7.055B,16.96B,442.30M,4.401B,3.387B,9.822B,12.56B,6.434B,655.90M,1.701B,1.789B
SWK,2014-03,-494.20M,432.60M,1.661B,683.50M,0,1.04,1.02,10.62B,0,956.40M,2014-03,1.663B,161.90M,-40.70M,-40.70M,1.482B,1.008B,3.831B,315.80M,2.767B,217.90M,48.00M,2.617B,636.90M,6.898B,16.83B,442.30M,4.271B,3.456B,9.854B,12.56B,6.398B,640.60M,1.582B,1.796B
SWK,2013-12,-499.00M,496.20M,1.796B,402.60M,0,0.36,0.35,10.60B,0,1.002B,2013-12,1.473B,56.10M,-38.20M,-38.20M,1.479B,899.70M,3.799B,322.80M,2.554B,55.80M,-11.70M,2.798B,674.50M,6.799B,16.54B,442.30M,4.017B,3.236B,9.655B,12.52B,6.419B,679.10M,1.912B,1.578B
SWK,2013-09,-481.00M,469.10M,1.771B,1.220B,0,1.07,1.04,10.69B,0,987.60M,2013-09,1.630B,166.00M,-36.10M,-36.10M,1.455B,1.020B,3.397B,318.00M,2.724B,186.80M,17.30M,2.758B,665.00M,6.937B,17.02B,442.30M,4.431B,3.949B,10.01B,12.59B,6.057B,669.60M,1.626B,1.936B
SWK,2013-06,-645.90M,561.70M,1.852B,1.290B,78.10M,1.21,1.18,10.61B,2.689B,1.006B,2013-06,1.476B,187.10M,-36.30M,-36.30M,1.398B,1.004B,3.429B,328.50M,2.640B,251.70M,54.40M,2.858B,673.80M,6.646B,16.70B,442.30M,4.257B,3.930B,9.978B,12.45B,6.048B,677.20M,1.559B,1.794B
SWK,2013-03,-530.20M,557.50M,1.568B,1.342B,171.90M,0.52,0.51,10.68B,2.258B,908.60M,2013-03,1.540B,81.10M,-36.70M,-36.70M,1.355B,1.033B,3.494B,243.90M,2.782B,93.50M,8.80M,2.476B,663.20M,6.615B,16.90B,442.30M,4.426B,4.133B,10.24B,12.47B,6.106B,664.70M,1.515B,1.783B
SWK,2012-12,-388.00M,716.00M,1.626B,11.50M,0,3.05,2.99,9.947B,0,907.90M,2012-12,1.305B,492.00M,-35.90M,-35.90M,1.330B,946.00M,3.526B,296.80M,2.441B,123.90M,-7.10M,2.534B,609.30M,6.667B,15.84B,442.30M,4.111B,3.075B,9.117B,11.73B,6.042B,611.10M,1.860B,1.526B
SWK,2012-09,-270.00M,769.50M,1.605B,1.545B,0,0.71,0.69,10.69B,0,911.90M,2012-09,1.702B,115.20M,-34.20M,-34.20M,1.386B,1.003B,2.729B,302.70M,3.125B,102.90M,12.90M,2.517B,604.60M,7.204B,17.11B,442.30M,4.754B,4.670B,9.850B,12.36B,5.18B,609.20M,1.489B,1.830B
SWK,2012-06,-547.60M,577.80M,1.637B,1.006B,0,0.94,0.92,10.45B,0,930.30M,2012-06,1.575B,154.80M,-32.40M,-32.40M,1.295B,993.20M,2.924B,304.10M,2.766B,164.80M,38.60M,2.567B,622.90M,6.844B,16.35B,442.30M,4.306B,3.771B,9.458B,12.04B,5.687B,626.20M,1.437B,1.676B
SWK,2012-03,-272.30M,883.60M,1.514B,733.70M,0,0.74,0.72,10.18B,0,912.00M,2012-03,1.590B,121.80M,-31.40M,-31.40M,1.268B,951.80M,2.906B,274.70M,2.703B,135.40M,29.80M,2.426B,635.00M,7.203B,16.35B,440.70M,4.603B,3.437B,9.089B,11.75B,5.652B,637.30M,1.418B,1.726B
