Ticker,Date,Accrued Comprehensive Inc,Cash and Short Term Investments,Cost of Goods Sold,Current Debt & Capital Lease Obligation,EPS Basic,EPS Diluted,Goodwill and Intangibles,Gross PP&E,Gross Profit,Income (Quarterly),Inventories,Net Income,Net Non-Operating Interest Income Expense,Net Operating Interest Income,Net PP&E,Non-Current Deferred Liabilities,Non-Current Portion of LTD and Capital Lease Obligation,Operating Income,Payables and Accrued Expenses,Pre-Tax Income,Provision for Income Taxes,Research and Development Expense,Revenue,SG&A Expense,Shareholders Equity,Total Assets,Total Capital Stock,Total Current Assets,Total Current Liabilities,Total Liabilities,Total Long Term Assets,Total Long Term Liabilities,Total Operating Expenses,Total Payables,Total Receivables
SWKS,2020-12,-7.70M,1.019B,748.30M,0,3.08,3.05,1.236B,3.475B,761.70M,2020-12,718.50M,509.30M,0,0,1.478B,0,154.90M,570.70M,264.60M,570.90M,61.60M,121.60M,1.51B,66.60M,4.415B,5.420B,41.20M,2.575B,507.60M,1.005B,2.845B,497.30M,191.00M,264.60M,689.90M
SWKS,2020-09,-7.80M,974.80M,497.90M,0,1.48,1.46,1.243B,3.348B,458.90M,2020-09,806.00M,246.90M,0,0,1.417B,0,150.70M,267.60M,226.90M,266.10M,19.20M,126.20M,956.80M,62.30M,4.164B,5.107B,41.40M,2.318B,448.40M,942.50M,2.789B,494.10M,191.30M,226.90M,393.60M
SWKS,2020-06,-7.60M,1.138B,402.70M,0,0.78,0.77,1.253B,3.256B,334.10M,2020-06,698.20M,129.70M,0,0,1.380B,0,155.80M,159.30M,200.90M,144.00M,14.30M,117.00M,736.80M,55.00M,4.182B,5.072B,41.80M,2.337B,401.10M,890.00M,2.735B,488.90M,174.80M,200.90M,346.10M
SWKS,2020-03,-7.50M,1.074B,390.50M,0,1.07,1.06,1.275B,3.191B,375.60M,2020-03,648.90M,181.10M,0,0,1.379B,0,151.90M,200.70M,169.50M,203.00M,21.90M,113.20M,766.10M,58.60M,4.143B,4.982B,41.90M,2.221B,362.20M,839.10M,2.761B,476.90M,174.90M,169.50M,367.60M
SWKS,2019-12,-8.00M,1.190B,451.80M,0,1.51,1.5,1.286B,3.104B,444.30M,2019-12,604.40M,257.10M,0,0,1.35B,0,150.90M,278.10M,138.50M,278.70M,21.60M,107.70M,896.10M,55.40M,4.267B,5.092B,42.60M,2.346B,333.20M,824.50M,2.745B,491.30M,166.20M,138.50M,426.80M
SWKS,2019-09,-7.90M,1.055B,421.40M,0,1.23,1.22,1.298B,2.884B,406.00M,2019-09,609.70M,210.60M,0,0,1.206B,0,0,239.40M,190.50M,234.00M,23.40M,106.80M,827.40M,55.80M,4.122B,4.840B,42.50M,2.235B,374.00M,717.30M,2.605B,343.30M,166.60M,190.50M,465.30M
SWKS,2019-06,-7.80M,935.00M,454.50M,0,0.83,0.83,1.304B,2.862B,312.50M,2019-06,580.80M,144.10M,0,0,1.230B,0,0,159.60M,218.90M,161.90M,17.80M,100.60M,767.00M,46.80M,4.100B,4.842B,42.90M,2.206B,396.50M,742.40M,2.636B,345.90M,152.90M,218.90M,557.80M
SWKS,2019-03,-8.10M,957.40M,410.20M,0,1.23,1.23,1.320B,2.725B,400.20M,2019-03,555.00M,214.00M,0,0,1.170B,0,0,239.10M,167.90M,241.30M,27.30M,107.50M,810.40M,47.90M,4.081B,4.766B,43.20M,2.160B,338.30M,684.60M,2.605B,346.30M,161.10M,167.90M,543.80M
SWKS,2018-12,-8.20M,1.099B,486.90M,0,1.61,1.6,1.320B,2.617B,485.10M,2018-12,493.10M,284.90M,0,0,1.141B,0,0,320.70M,156.50M,323.80M,38.90M,109.20M,972.00M,47.80M,4.038B,4.739B,43.50M,2.208B,357.30M,700.60M,2.530B,343.30M,164.40M,156.50M,524.40M
SWKS,2018-09,-8.80M,1.027B,504.80M,0,1.6,1.58,1.334B,2.550B,503.60M,2018-09,490.20M,285.50M,0,0,1.141B,0,0,339.90M,229.90M,343.40M,57.90M,103.00M,1.008B,54.40M,4.097B,4.829B,44.40M,2.262B,389.70M,731.90M,2.567B,342.20M,163.70M,229.90M,655.80M
SWKS,2018-06,-8.80M,1.542B,442.70M,0,1.58,1.57,942.90M,2.384B,451.60M,2018-06,502.80M,286.50M,0,0,1.035B,0,0,306.30M,230.20M,310.80M,24.30M,96.80M,894.30M,44.60M,4.083B,4.783B,44.90M,2.631B,358.30M,700.40M,2.152B,342.10M,145.30M,230.20M,468.40M
SWKS,2018-03,-8.80M,1.881B,454.70M,0,1.51,1.5,945.70M,2.199B,458.70M,2018-03,466.40M,276.00M,0,0,907.10M,0,0,290.40M,198.40M,292.30M,16.30M,106.70M,913.40M,57.50M,4.070B,4.745B,45.50M,2.811B,318.50M,674.90M,1.934B,356.40M,168.30M,198.40M,367.20M
SWKS,2017-12,-8.50M,1.682B,515.10M,0,0.38,0.38,951.20M,2.108B,536.80M,2017-12,458.60M,70.40M,0,0,869.10M,0,0,383.50M,161.60M,385.60M,315.20M,98.00M,1.052B,51.30M,3.900B,4.594B,45.60M,2.687B,321.50M,693.80M,1.908B,372.30M,153.30M,161.60M,458.80M
SWKS,2017-09,-8.50M,1.617B,485.70M,0,1.53,1.51,950.80M,2.059B,498.90M,2017-09,493.50M,281.30M,0,0,882.30M,0,0,345.70M,258.40M,347.70M,66.40M,91.80M,984.60M,56.40M,4.066B,4.574B,45.80M,2.634B,387.90M,507.90M,1.940B,120.00M,153.20M,258.40M,454.70M
SWKS,2017-06,-9.20M,1.444B,447.20M,0,1.34,1.32,942.60M,1.984B,453.60M,2017-06,482.50M,246.20M,0,0,857.70M,0,0,305.00M,178.70M,306.80M,60.60M,92.00M,900.80M,49.50M,3.898B,4.310B,45.90M,2.412B,300.80M,412.40M,1.898B,111.60M,148.60M,178.70M,397.40M
SWKS,2017-03,-9.30M,1.407B,426.30M,0,1.22,1.2,949.70M,1.873B,425.40M,2017-03,444.50M,224.90M,0,0,800.40M,0,0,281.20M,163.80M,281.40M,56.50M,89.40M,851.70M,47.80M,3.792B,4.167B,46.10M,2.308B,266.90M,375.00M,1.859B,108.10M,144.20M,163.80M,368.80M
SWKS,2016-12,-9.00M,1.350B,450.40M,0,1.39,1.38,955.30M,1.820B,463.90M,2016-12,422.80M,257.80M,0,0,801.50M,0,0,322.50M,161.50M,321.10M,63.30M,82.00M,914.30M,50.90M,3.660B,4.066B,46.20M,2.198B,303.40M,405.40M,1.867B,102.00M,141.40M,161.50M,368.40M
SWKS,2016-09,-10.90M,1.084B,411.00M,0,1.33,1.31,940.30M,1.768B,424.40M,2016-09,424.00M,246.80M,0,0,806.30M,0,0,291.50M,110.40M,291.10M,44.30M,73.20M,835.40M,53.30M,3.541B,3.855B,46.20M,2.002B,210.20M,314.00M,1.853B,103.80M,132.90M,110.40M,416.60M
SWKS,2016-06,-9.00M,973.70M,373.40M,0,0.98,0.97,934.00M,1.753B,378.30M,2016-06,437.60M,185.00M,0,0,844.50M,0,0,243.50M,181.70M,236.20M,51.20M,77.90M,751.70M,46.90M,3.514B,3.956B,46.90M,2.078B,347.00M,441.40M,1.878B,94.40M,134.80M,181.70M,570.00M
SWKS,2016-03,-8.50M,1.178B,384.70M,0,1.09,1.08,893.70M,1.696B,390.40M,2016-03,333.70M,208.10M,0,0,837.70M,0,0,258.00M,180.70M,255.10M,47.00M,79.80M,775.10M,44.00M,3.543B,3.958B,47.50M,2.127B,324.70M,414.90M,1.831B,90.20M,132.40M,180.70M,538.50M
SWKS,2015-12,-8.20M,1.233B,454.70M,0,1.87,1.82,893.30M,1.619B,472.10M,2015-12,276.40M,355.30M,0,0,847.90M,0,0,330.50M,191.80M,418.20M,62.90M,81.50M,926.80M,51.70M,3.483B,3.930B,47.90M,2.115B,367.90M,447.90M,1.816B,80.00M,141.60M,191.80M,527.60M
SWKS,2015-09,-8.20M,1.044B,444.60M,0,1.21,1.18,901.70M,1.585B,436.20M,2015-09,267.90M,229.20M,0,0,826.40M,0,0,298.10M,291.10M,296.20M,67.00M,82.40M,880.80M,47.40M,3.159B,3.719B,47.60M,1.915B,463.90M,560.20M,1.805B,96.30M,138.10M,291.10M,538.00M
SWKS,2015-06,-7.90M,1.106B,416.90M,0,1.09,1.06,908.00M,1.446B,393.10M,2015-06,272.70M,207.40M,0,0,721.60M,0,0,259.30M,228.20M,259.40M,52.00M,76.80M,810.00M,48.60M,3.042B,3.518B,47.80M,1.818B,319.00M,476.30M,1.700B,157.30M,133.80M,228.20M,381.70M
SWKS,2015-03,-7.90M,1.054B,409.90M,0,0.88,0.85,909.20M,1.345B,352.20M,2015-03,276.20M,166.50M,0,0,655.80M,0,0,221.00M,231.00M,220.50M,54.00M,75.50M,762.10M,47.40M,2.864B,3.313B,47.80M,1.679B,298.60M,449.70M,1.634B,151.10M,131.20M,231.00M,277.10M
SWKS,2014-12,-8.70M,1.050B,432.50M,0,1.03,1.01,917.50M,1.266B,373.00M,2014-12,273.80M,195.20M,0,0,610.40M,0,0,248.10M,211.00M,247.50M,52.30M,68.50M,805.50M,47.90M,2.710B,3.191B,47.70M,1.590B,332.90M,480.90M,1.601B,148.00M,124.90M,211.00M,242.30M
SWKS,2014-09,-4.90M,805.80M,394.20M,0,0.93,0.9,926.00M,1.177B,324.10M,2014-09,270.80M,174.90M,0,0,555.90M,0,0,198.40M,200.60M,198.20M,23.30M,68.00M,718.30M,50.30M,2.532B,2.974B,47.30M,1.429B,297.60M,441.40M,1.545B,143.80M,125.70M,200.60M,317.60M
SWKS,2014-06,-0.90M,893.30M,322.80M,0,0.59,0.58,846.80M,980.30M,264.20M,2014-06,198.70M,111.40M,0,0,387.30M,0,0,148.50M,164.00M,148.50M,37.10M,64.20M,587.00M,45.80M,2.389B,2.689B,47.30M,1.387B,234.80M,299.90M,1.302B,65.10M,115.70M,164.00M,251.40M
SWKS,2014-03,-0.90M,797.80M,268.60M,0,0.41,0.4,852.50M,913.30M,212.40M,2014-03,216.60M,76.90M,0,0,343.90M,0,0,102.60M,125.80M,102.50M,25.60M,61.60M,481.00M,41.90M,2.291B,2.535B,47.30M,1.269B,182.80M,243.20M,1.266B,60.40M,109.80M,125.80M,216.30M
SWKS,2013-12,-0.90M,648.60M,283.20M,0,0.51,0.49,858.80M,872.10M,222.00M,2013-12,224.70M,94.50M,0,0,323.70M,0,0,116.00M,107.30M,116.00M,21.50M,58.40M,505.20M,41.10M,2.212B,2.435B,47.20M,1.180B,165.80M,223.20M,1.255B,57.40M,106.00M,107.30M,267.10M
SWKS,2013-09,-0.90M,511.10M,267.90M,0,0.45,0.44,865.30M,859.30M,209.10M,2013-09,229.50M,84.20M,0,0,328.60M,0,0,105.50M,126.50M,105.80M,21.60M,55.30M,477.00M,41.60M,2.101B,2.333B,47.00M,1.073B,179.70M,232.00M,1.260B,52.30M,103.60M,126.50M,292.70M
SWKS,2013-06,-1.60M,400.30M,247.90M,17.12M,0.35,0.34,872.00M,824.60M,188.20M,2013-06,232.30M,65.70M,0,0,309.20M,0,0,84.30M,115.20M,84.50M,18.80M,56.60M,436.10M,40.30M,2.000B,2.218B,46.90M,959.60M,159.00M,217.80M,1.258B,58.80M,103.90M,115.20M,283.90M
SWKS,2013-03,-1.60M,458.80M,248.50M,26.09M,0.33,0.32,879.00M,799.50M,176.70M,2013-03,226.80M,61.70M,-0.10M,-0.10M,294.30M,0,0,73.50M,111.50M,67.30M,5.60M,56.30M,425.20M,39.70M,2.00B,2.217B,47.80M,963.70M,162.60M,216.90M,1.253B,54.30M,103.20M,111.50M,234.60M
SWKS,2012-12,-1.587M,377.54M,261.10M,25.74M,0.35,0.34,886.37M,774.79M,192.60M,2012-12,229.53M,66.50M,-0.481M,-0.481M,287.25M,0,0,88.20M,111.36M,86.80M,20.30M,58.10M,453.70M,38.10M,1.944B,2.151B,47.98M,899.55M,155.69M,207.14M,1.252B,51.45M,104.40M,111.36M,252.15M
SWKS,2012-09,-1.60M,307.10M,243.40M,25.40M,0.33,0.32,894.50M,754.60M,177.70M,2012-09,232.90M,61.50M,-0.437M,-0.437M,279.40M,0,0,74.80M,140.60M,74.70M,13.20M,56.60M,421.10M,37.80M,1.906B,2.137B,48.10M,883.30M,182.70M,231.10M,1.253B,48.40M,102.90M,140.60M,297.60M
SWKS,2012-06,-1.337M,327.10M,223.70M,0,0.26,0.26,907.91M,727.29M,165.30M,2012-06,209.95M,49.30M,-0.465M,-0.465M,266.04M,0,0,63.10M,135.60M,62.10M,12.80M,56.10M,389.00M,37.50M,1.802B,2.090B,47.60M,829.49M,239.57M,288.23M,1.260B,48.66M,102.20M,135.60M,246.89M
SWKS,2012-03,-1.336M,306.47M,212.40M,0,0.18,0.18,913.92M,703.04M,152.30M,2012-03,196.56M,34.00M,-0.461M,-0.461M,252.31M,0,0,49.80M,136.68M,43.40M,9.40M,53.00M,364.70M,40.20M,1.720B,2.007B,47.38M,752.33M,242.64M,287.08M,1.255B,44.44M,102.50M,136.68M,211.49M
SWKS,2011-12,-1.331M,445.64M,221.89M,0,0.31,0.3,744.22M,676.91M,171.85M,2011-12,177.52M,57.13M,0,0,240.40M,0,0,75.69M,96.03M,74.66M,17.54M,46.94M,393.74M,42.91M,1.664B,1.915B,46.98M,856.34M,212.50M,250.97M,1.058B,38.47M,96.16M,96.03M,199.01M
SWKS,2011-09,-1.331M,410.09M,227.74M,0,0.35,0.34,749.85M,673.24M,174.56M,2011-09,198.18M,64.22M,0,0,251.36M,0,0,78.60M,115.29M,77.92M,13.70M,47.37M,402.29M,39.13M,1.609B,1.890B,46.60M,816.33M,247.10M,281.29M,1.074B,34.20M,95.96M,115.29M,177.94M
SWKS,2011-06,-1.297M,309.64M,199.85M,0,0.28,0.27,769.00M,658.71M,156.22M,2011-06,188.80M,51.55M,0,0,252.76M,0,0,73.70M,116.65M,71.76M,20.21M,43.07M,356.08M,35.45M,1.532B,1.806B,46.54M,712.13M,244.35M,273.42M,1.093B,29.08M,82.52M,116.65M,186.13M
SWKS,2011-03,-1.297M,503.80M,184.43M,0,0.27,0.26,499.06M,627.62M,140.98M,2011-03,151.18M,49.96M,0,0,241.73M,0,0,68.26M,111.95M,67.48M,17.52M,39.62M,325.41M,31.46M,1.476B,1.679B,46.49M,872.44M,176.44M,202.40M,806.35M,25.96M,72.72M,111.95M,183.35M
